estimate_year,index,MA_009,MA_017,MA_021,MA_023,MA_025,NH_015,NH_017
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,B02001_7_some_other_race_alone,69098,41190,9153,15823,55320,1628,397
2013-2017,B02001_8_two_or_more_races,21174,46309,15431,11812,47918,4926,3014
2013-2017,B02001_9_two_races_including_some_other_race,3597,6060,2092,2505,4837,467,290
2013-2017,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",17577,40249,13339,9307,43081,4459,2724
2013-2017,B11001_1_total,291659,593784,262324,184195,303676,119955,48543
2013-2017,B11001_2_family_households,195222,385660,173787,131072,151644,83861,31265
2013-2017,B11001_3_married-couple_family,142008,306560,139865,100458,87496,68130,24838
2013-2017,B11001_4_other_family,53214,79100,33922,30614,64148,15731,6427
2013-2017,"B11001_5_male_householder,_no_wife_present",13487,21655,8630,7602,14653,5221,2293
2013-2017,"B11001_6_female_householder,_no_husband_present",39727,57445,25292,23012,49495,10510,4134
2013-2017,B11001_7_nonfamily_households,96437,208124,88537,53123,152032,36094,17278
2013-2017,B11001_8_householder_living_alone,80048,157103,70933,44263,108444,27864,12102
2013-2017,B11001_9_householder_not_living_alone,16389,51021,17604,8860,43588,8230,5176
2013-2017,B15002_1_total,534288,1106543,485216,352035,536354,217737,81763
2013-2017,B15002_2_male,250593,530464,227818,167219,256968,106204,39886
2013-2017,B15002_3_no_schooling_completed,4279,6175,2301,1314,6195,444,246
2013-2017,B15002_4_nursery_to_4th_grade,2558,2874,697,746,3890,72,68
2013-2017,B15002_5_5th_and_6th_grade,3563,3726,1160,739,5318,205,36
2013-2017,B15002_6_7th_and_8th_grade,4058,6037,1661,1726,5684,855,515
2013-2017,B15002_7_9th_grade,3213,4032,1105,1448,3967,770,519
2013-2017,B15002_8_10th_grade,3278,4382,2064,2521,4037,1128,703
2013-2017,B15002_9_11th_grade,3453,4575,2022,2138,4266,1232,681
2013-2017,"B15002_10_12th_grade,_no_diploma",3805,6797,3131,2726,4734,1303,629
2013-2017,B15002_11_high_school_graduate_(includes_equivalency),67168,108387,46836,50845,62859,28060,11160
2013-2017,"B15002_12_some_college,_less_than_1_year",11980,20295,9843,9418,8014,6529,2907
2013-2017,"B15002_13_some_college,_1_or_more_years,_no_degree",29579,47631,22834,21476,27281,13662,5300
2013-2017,B15002_14_associate's_degree,15975,26139,13917,13935,10405,9216,3449
2013-2017,B15002_15_bachelor's_degree,58938,143367,65115,38142,63165,27243,8440
2013-2017,B15002_16_master's_degree,26799,92139,33917,13954,28499,11734,3741
2013-2017,B15002_17_professional_school_degree,7058,21975,11957,4025,10300,2066,670
2013-2017,B15002_18_doctorate_degree,4889,31933,9258,2066,8354,1685,822
2013-2017,B15002_19_female,283695,576079,257398,184816,279386,111533,41877
2013-2017,B15002_20_no_schooling_completed,4031,7146,2941,2016,6944,344,286
2013-2017,B15002_21_nursery_to_4th_grade,2932,3729,822,659,4537,100,0
2013-2017,B15002_22_5th_and_6th_grade,3682,3911,1393,1094,6213,209,123
2013-2017,B15002_23_7th_and_8th_grade,4978,5698,2070,1600,5983,925,395
2013-2017,B15002_24_9th_grade,2950,3608,1634,1170,4129,544,524
2013-2017,B15002_25_10th_grade,2859,4785,2100,1803,4285,992,745
2013-2017,B15002_26_11th_grade,3373,4963,1472,2057,4433,843,275
2013-2017,"B15002_27_12th_grade,_no_diploma",3704,6713,3176,1992,4854,877,434
2013-2017,B15002_28_high_school_graduate_(includes_equivalency),68405,113818,50428,48664,61740,27216,11409
2013-2017,"B15002_29_some_college,_less_than_1_year",14723,23673,10476,11196,8637,6850,2524
2013-2017,"B15002_30_some_college,_1_or_more_years,_no_degree",33935,48262,24342,24448,28816,14077,5344
2013-2017,B15002_31_associate's_degree,28422,40488,22018,20753,15148,12924,4317
2013-2017,B15002_32_bachelor's_degree,65364,154179,73264,41691,67336,28098,9725
2013-2017,B15002_33_master's_degree,35404,112695,44381,20541,39185,14358,4746
2013-2017,B15002_34_professional_school_degree,5537,20647,9725,3386,10703,2099,399
2013-2017,B15002_35_doctorate_degree,3396,21764,7156,1746,6443,1077,631
2013-2017,B19001_1_total,291659,593784,262324,184195,303676,119955,48543
2013-2017,"B19001_2_less_than_$10,000",16251,26940,10363,7715,32068,3171,2073
2013-2017,"B19001_3_$10,000_to_$14,999",13961,19553,8071,6266,20591,2707,1951
2013-2017,"B19001_4_$15,000_to_$19,999",11200,18688,7611,6075,14122,3245,1934
2013-2017,"B19001_5_$20,000_to_$24,999",11430,18147,7870,5902,12534,3593,2295
2013-2017,"B19001_6_$25,000_to_$29,999",10755,16120,7141,5942,10962,3496,2178
2013-2017,"B19001_7_$30,000_to_$34,999",10627,17554,7418,6794,11344,3864,1693
2013-2017,"B19001_8_$35,000_to_$39,999",10411,15411,6891,6411,9837,3703,1893
2013-2017,"B19001_9_$40,000_to_$44,999",9999,16911,7341,6198,10413,4000,1886
2013-2017,"B19001_10_$45,000_to_$49,999",8821,15837,6440,5804,8729,3954,2315
2013-2017,"B19001_11_$50,000_to_$59,999",18628,33627,13849,11356,18646,8703,3241
2013-2017,"B19001_12_$60,000_to_$74,999",26517,47025,21634,16509,26421,12130,5529
2013-2017,"B19001_13_$75,000_to_$99,999",37382,70121,31670,24491,30952,16358,7184
2013-2017,"B19001_14_$100,000_to_$124,999",27991,62045,29445,21112,27654,14894,4898
2013-2017,"B19001_15_$125,000_to_$149,999",20686,50828,21967,15833,18127,10300,3406
2013-2017,"B19001_16_$150,000_to_$199,999",26305,68633,30171,18249,22841,12689,3986
2013-2017,"B19001_17_$200,000_or_more",30695,96344,44442,19538,28435,13148,2081
2013-2017,B19013_1_median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars),73533,92878,95668,82081,61242,85619,67805
2013-2017,B25001_1_total,311179,626351,275925,204764,328662,130187,53109
2013-2017,B25003_1_total,291659,593784,262324,184195,303676,119955,48543
2013-2017,B25003_2_owner_occupied,186007,371697,181881,139821,110361,92025,31845
2013-2017,B25003_3_renter_occupied,105652,222087,80443,44374,193315,27930,16698
2013-2017,B25024_1_total,311179,626351,275925,204764,328662,130187,53109
2013-2017,"B25024_2_1,_detached",157883,303047,161550,143400,44713,85812,29970
2013-2017,"B25024_3_1,_attached",20244,40104,14273,9057,20451,10065,2340
2013-2017,B25024_4_2,33978,79057,18882,10950,48970,4886,3587
2013-2017,B25024_5_3_or_4,34548,54174,16391,12072,77268,4920,4281
2013-2017,B25024_6_5_to_9,16673,30833,14331,7862,34943,4924,2933
2013-2017,B25024_7_10_to_19,13523,31600,12138,6428,24326,4545,1425
2013-2017,B25024_8_20_to_49,14636,35788,14401,3364,28459,6226,2168
2013-2017,B25024_9_50_or_more,17392,49100,22982,6273,48835,2315,1286
2013-2017,B25024_10_mobile_home,2195,2419,892,5342,572,6426,5099
2013-2017,"B25024_11_boat,_rv,_van,_etc.",107,229,85,16,125,68,20
2013-2017,B25077_1_median_value_(dollars),373400,453300,433000,344400,430900,295900,220900
2013-2017,B25034_1_total,311179,626351,275925,204764,328662,130187,53109
2013-2017,B25034_2_built_2014_or_later,1066,4798,1461,1498,3240,990,362
2013-2017,B25034_3_built_2010_to_2013,3736,10430,4506,3988,5651,2584,1135
2013-2017,B25034_4_built_2000_to_2009,20410,44354,21244,19034,21956,16597,7457
2013-2017,B25034_5_built_1990_to_1999,22909,45368,21641,18828,13034,17455,4858
2013-2017,B25034_6_built_1980_to_1989,33201,59101,28931,24088,21292,27714,9185
2013-2017,B25034_7_built_1970_to_1979,30463,66016,32353,31380,25166,21798,6917
2013-2017,B25034_8_built_1960_to_1969,29684,69809,32684,23587,27648,12098,4740
2013-2017,B25034_9_built_1950_to_1959,32648,76570,39966,22365,23928,9146,4587
2013-2017,B25034_10_built_1940_to_1949,17442,35576,18544,10515,18845,4129,2610
2013-2017,B25034_11_built_1939_or_earlier,119620,214329,74595,49481,167902,17676,11258
2013-2017,B25127_1_total,291659,593784,262324,184195,303676,119955,48543
