estimate_year,index,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,WI_059
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,"B19001_17_$200,000_or_more",115108,735,33779,571,11764,1914,28388,6552,13613,189,3916,130,1982,1974
2009-2013,B19013_1_median_household_income_in_the_past_12_months_(in_2013_inflation-adjusted_dollars),54548,53375,78487,64541,69530,81765,77469,76145,76147,57500,49035,50262,62794,54930
2009-2013,B25001_1_total,2176266,40983,356217,20027,182145,40415,260338,116254,237806,13205,209005,6025,66306,69311
2009-2013,B25003_1_total,1933335,37844,336028,18082,170358,38075,241072,108852,222652,11924,182080,5374,61502,62560
2009-2013,B25003_2_owner_occupied,1127937,22784,250115,13775,128377,31847,183009,89602,184498,9497,126738,4114,47630,42209
2009-2013,B25003_3_renter_occupied,805398,15060,85913,4307,41981,6228,58063,19250,38154,2427,55342,1260,13872,20351
2009-2013,B25024_1_total,2176266,40983,356217,20027,182145,40415,260338,116254,237806,13205,209005,6025,66306,69311
2009-2013,"B25024_2_1,_detached",871344,23706,212468,13953,125470,29666,175285,90563,176301,10790,147636,5484,49477,46320
2009-2013,"B25024_3_1,_attached",117285,3941,44353,2328,18835,7041,30190,11705,28696,373,12867,56,2241,2406
2009-2013,B25024_4_2,214785,1664,2564,394,7762,345,6783,1880,4905,540,8362,93,1741,5432
2009-2013,B25024_5_3_or_4,250451,1665,11097,718,7374,780,7425,3105,5553,214,9275,35,2867,2655
2009-2013,B25024_6_5_to_9,208593,3156,23166,795,6846,708,8875,3749,4924,349,11602,80,2825,3413
2009-2013,B25024_7_10_to_19,108663,2718,21047,412,5504,1117,11261,2663,6786,97,8824,82,2501,2506
2009-2013,B25024_8_20_to_49,123776,1519,18183,155,3815,457,7919,1009,2494,84,3588,30,876,3128
2009-2013,B25024_9_50_or_more,265598,1472,22727,289,5224,228,7861,955,4514,22,3794,0,400,1295
2009-2013,B25024_10_mobile_home,15068,1139,548,983,1290,73,4679,581,3578,736,3029,165,3378,2145
2009-2013,"B25024_11_boat,_rv,_van,_etc.",703,3,64,0,25,0,60,44,55,0,28,0,0,11
2009-2013,B25077_1_median_value_(dollars),231200,173000,286500,182200,223100,210800,254800,220500,219400,146200,136600,112000,165700,169600
2009-2013,B25034_1_total,2176266,40983,356217,20027,182145,40415,260338,116254,237806,13205,209005,6025,66306,69311
2009-2013,B25034_2_built_2010_or_later,4293,142,832,81,595,323,594,293,719,136,766,11,339,165
2009-2013,B25034_3_built_2000_to_2009,169423,7967,32068,5494,40296,20158,39627,25477,63681,2353,22610,559,10117,10257
2009-2013,B25034_4_built_1990_to_1999,128692,6426,54452,2829,30323,6023,51404,26946,56200,2562,18829,813,11942,10473
2009-2013,B25034_5_built_1980_to_1989,145451,3581,65296,1772,16712,1944,38002,14747,21292,951,12983,373,8254,5412
