index,13013,13015,13035,13045,13057,13059,13063,13067,13077,13085,13089,13097,13113,13117,13121,13129,13135,13139,13143,13149,13151,13157,13159,13171,13195,13199,13211,13217,13219,13221,13223,13227,13231,13233,13247,13255,13285,13293,13297,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,2007-2011
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2007-2011
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2007-2011
LOGRECNO,0000019,0000020,0000030,0000034,0000040,0000041,0000043,0000045,0000050,0000054,0000056,0000060,0000068,0000070,0000072,0000076,0000079,0000081,0000083,0000086,0000087,0000090,0000091,0000097,0000109,0000111,0000116,0000119,0000120,0000121,0000122,0000124,0000126,0000127,0000134,0000138,0000153,0000157,0000159,2007-2011
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2007-2011
STATE_FIPS,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2007-2011
GEO_ID,05000US13013,05000US13015,05000US13035,05000US13045,05000US13057,05000US13059,05000US13063,05000US13067,05000US13077,05000US13085,05000US13089,05000US13097,05000US13113,05000US13117,05000US13121,05000US13129,05000US13135,05000US13139,05000US13143,05000US13149,05000US13151,05000US13157,05000US13159,05000US13171,05000US13195,05000US13199,05000US13211,05000US13217,05000US13219,05000US13221,05000US13223,05000US13227,05000US13231,05000US13233,05000US13247,05000US13255,05000US13285,05000US13293,05000US13297,2007-2011
GEO_NAME,"Barrow County, Georgia","Bartow County, Georgia","Butts County, Georgia","Carroll County, Georgia","Cherokee County, Georgia","Clarke County, Georgia","Clayton County, Georgia","Cobb County, Georgia","Coweta County, Georgia","Dawson County, Georgia","DeKalb County, Georgia","Douglas County, Georgia","Fayette County, Georgia","Forsyth County, Georgia","Fulton County, Georgia","Gordon County, Georgia","Gwinnett County, Georgia","Hall County, Georgia","Haralson County, Georgia","Heard County, Georgia","Henry County, Georgia","Jackson County, Georgia","Jasper County, Georgia","Lamar County, Georgia","Madison County, Georgia","Meriwether County, Georgia","Morgan County, Georgia","Newton County, Georgia","Oconee County, Georgia","Oglethorpe County, Georgia","Paulding County, Georgia","Pickens County, Georgia","Pike County, Georgia","Polk County, Georgia","Rockdale County, Georgia","Spalding County, Georgia","Troup County, Georgia","Upson County, Georgia","Walton County, Georgia",2007-2011
B01003_1_total,68061,98905,23568,110292,211316,116131,260756,684468,124695,22121,690003,130473,106094,170815,907811,54747,794872,178286,28681,11758,199115,59798,13800,18035,27915,22213,17876,98864,32246,14686,139067,29406,17646,41233,84303,63713,66422,27235,83003,2007-2011
B01001_1_total,68061,98905,23568,110292,211316,116131,260756,684468,124695,22121,690003,130473,106094,170815,907811,54747,794872,178286,28681,11758,199115,59798,13800,18035,27915,22213,17876,98864,32246,14686,139067,29406,17646,41233,84303,63713,66422,27235,83003,2007-2011
B01001_2_male,34068,48491,12637,53874,104376,55207,124919,333420,61124,10933,330643,62877,51312,84822,443056,27088,393072,89201,13952,5935,95796,29989,6849,8730,13730,10519,8626,47096,15875,7354,68066,14565,8634,20376,40135,30773,31944,12955,40574,2007-2011
B01001_3_under_5_years,2878,3381,739,3989,8147,3567,11373,25147,4646,608,26331,5033,2585,7043,31957,2189,32611,7452,898,387,7080,2272,456,548,852,721,502,3933,913,446,5703,882,502,1674,2870,2372,2390,917,3096,2007-2011
B01001_4_5_to_9_years,3186,3863,565,3924,8736,2888,10967,24933,5214,612,22975,4867,3875,8118,31690,2279,33587,7261,968,295,8333,1972,487,609,1112,640,607,4142,1183,401,6291,1066,724,1678,2786,2430,2733,687,3298,2007-2011
B01001_5_10_to_14_years,2693,3755,897,4160,8046,2404,10392,24636,4569,845,22371,5791,4649,7423,28833,1959,32538,6829,1017,585,8882,2333,546,473,925,856,691,3962,1702,690,5948,932,751,1405,3601,2188,2326,1139,3131,2007-2011
B01001_6_15_to_17_years,1658,2394,546,2354,4558,1416,6461,15186,2934,420,13894,3192,3177,3706,17900,1186,19800,4147,724,396,5363,1525,241,409,655,405,344,2485,1045,379,3574,535,395,908,2155,1408,1600,555,1868,2007-2011
B01001_7_18_and_19_years,819,1356,487,2126,2536,5484,4054,9221,1478,235,9115,1774,1611,1830,14138,738,10750,2532,363,140,2822,935,175,561,377,441,142,1662,481,248,1807,361,255,632,1323,948,986,462,1045,2007-2011
B01001_8_20_years,328,763,231,1011,1170,2385,2075,4259,457,207,5346,791,689,978,6955,327,5288,1091,110,39,1526,462,25,119,262,94,102,511,191,206,744,165,111,418,477,404,515,126,546,2007-2011
B01001_9_21_years,401,608,164,792,1610,2836,1826,4113,489,101,5108,728,559,937,6875,485,4911,1028,224,4,986,249,127,86,158,178,89,423,119,98,1008,164,55,290,657,449,471,260,573,2007-2011
B01001_10_22_to_24_years,1321,1581,643,2814,3055,5738,5793,14412,2394,386,14874,2330,1206,1660,21089,882,14610,3810,541,276,2785,1184,318,438,258,239,272,1832,436,98,2071,402,283,668,1538,1123,1343,360,1187,2007-2011
B01001_11_25_to_29_years,2546,3097,939,3935,6448,5617,9805,24895,3816,637,29374,3917,1860,3749,38460,1807,28266,6788,841,345,5237,1735,408,481,757,628,413,2944,568,395,4221,725,410,1421,2289,2083,1919,743,2291,2007-2011
B01001_12_30_to_34_years,2655,3208,873,3599,7388,4184,9404,24842,4087,609,28052,4277,2016,5230,35675,1804,29660,6100,806,280,6065,2056,451,415,879,587,532,3188,753,357,4964,782,505,1235,2251,2078,1890,735,2519,2007-2011
B01001_13_35_to_39_years,2423,3304,759,3603,8521,3131,9409,27211,4259,768,27873,4343,2982,7891,36925,2162,32075,6169,861,429,8235,2271,650,501,979,584,581,3307,1104,331,5669,1218,488,1362,2583,1951,2085,772,2934,2007-2011
B01001_14_40_to_44_years,2691,4293,1244,3818,8996,2766,9852,26235,5458,749,25113,5889,3896,8348,34230,2030,33328,6844,1160,453,8015,2111,354,666,876,716,563,4006,1263,624,6387,1013,766,1241,3243,2152,2131,946,3231,2007-2011
B01001_15_45_to_49_years,2482,3818,1059,3838,8416,2465,8570,26144,4744,862,23490,4974,4640,7675,33205,2005,31538,6479,1124,452,7861,2451,446,654,1200,813,789,3283,1250,578,5261,1041,754,1491,3091,2204,2325,968,3235,2007-2011
B01001_16_50_to_54_years,2157,3432,867,3403,7377,2471,7449,23283,4352,853,20843,4225,4595,5603,29467,1607,26524,5437,995,447,6452,2102,520,633,1084,776,626,2866,1333,683,4585,1020,597,1432,2868,2131,2323,955,2781,2007-2011
B01001_17_55_to_59_years,1552,2857,911,2974,6090,2283,5880,19448,3136,682,17391,3453,3868,4083,24417,1497,19423,4818,751,409,5311,1890,547,571,989,916,583,2686,1136,294,3074,726,502,1104,2551,1888,2082,835,2833,2007-2011
B01001_18_60_and_61_years,663,959,179,1124,2170,732,2031,6240,1722,438,6416,1075,1173,1703,8448,681,7324,1549,399,95,1771,559,181,190,325,153,356,741,348,269,871,551,247,534,819,505,645,304,710,2007-2011
B01001_19_62_to_64_years,961,1415,326,1394,2691,1044,2452,8204,1869,450,7698,1695,2058,2157,10491,821,8142,2394,529,226,2082,823,209,280,381,352,255,1182,516,372,1737,836,303,431,1318,1046,937,493,1199,2007-2011
B01001_20_65_and_66_years,377,899,245,855,1490,599,1321,5176,1076,271,4101,887,968,1167,5537,460,4516,1467,299,133,1132,619,120,210,375,173,231,482,237,183,804,441,136,503,734,563,565,208,734,2007-2011
