index,25001,25005,25009,25017,25021,25023,25025,25027,33001,33011,33013,33015,33017,44001,44003,44005,44007,44009,09015,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,ma,ma,ma,ma,ma,ma,ma,ma,nh,nh,nh,nh,nh,ri,ri,ri,ri,ri,ct,2008-2012
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2008-2012
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2008-2012
LOGRECNO,0000010,0000012,0000014,0000018,0000020,0000021,0000022,0000023,0000013,0000018,0000019,0000020,0000021,0000008,0000009,0000010,0000011,0000012,0000019,2008-2012
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2008-2012
STATE_FIPS,25,25,25,25,25,25,25,25,33,33,33,33,33,44,44,44,44,44,09,2008-2012
GEO_ID,05000US25001,05000US25005,05000US25009,05000US25017,05000US25021,05000US25023,05000US25025,05000US25027,05000US33001,05000US33011,05000US33013,05000US33015,05000US33017,05000US44001,05000US44003,05000US44005,05000US44007,05000US44009,05000US09015,2008-2012
GEO_NAME,"Barnstable County, Massachusetts","Bristol County, Massachusetts","Essex County, Massachusetts","Middlesex County, Massachusetts","Norfolk County, Massachusetts","Plymouth County, Massachusetts","Suffolk County, Massachusetts","Worcester County, Massachusetts","Belknap County, New Hampshire","Hillsborough County, New Hampshire","Merrimack County, New Hampshire","Rockingham County, New Hampshire","Strafford County, New Hampshire","Bristol County, Rhode Island","Kent County, Rhode Island","Newport County, Rhode Island","Providence County, Rhode Island","Washington County, Rhode Island","Windham County, Connecticut",2008-2012
B01003_1_total,216021,548739,744961,1507558,672078,495407,724502,799277,60206,401101,146742,295872,123295,49796,166066,82503,627414,126692,118046,2008-2012
B01001_1_total,216021,548739,744961,1507558,672078,495407,724502,799277,60206,401101,146742,295872,123295,49796,166066,82503,627414,126692,118046,2008-2012
B01001_2_male,103047,265784,358033,733512,321814,240954,349131,393874,29442,198575,72352,146191,60043,23814,80020,40230,303129,61328,58565,2008-2012
B01001_3_under_5_years,4621,15810,22373,43808,18975,14605,20577,24151,1501,12057,3935,7612,3578,1076,4420,1965,18989,2702,3300,2008-2012
B01001_4_5_to_9_years,4740,16773,23924,45990,21372,17011,17061,25747,1599,12662,4312,8876,3435,1528,4695,2285,18963,3444,3526,2008-2012
B01001_5_10_to_14_years,5893,18163,25442,44488,23036,18111,16518,27974,1956,14314,5063,10882,3797,1435,5348,2497,19625,4034,4223,2008-2012
B01001_6_15_to_17_years,3884,11608,16377,29146,13947,11312,10991,17988,1286,8952,3126,6751,2258,1060,3232,1575,12883,2562,2667,2008-2012
B01001_7_18_and_19_years,2725,8095,10365,22058,8164,6579,15567,12746,708,5394,2216,3537,2850,1098,1833,1241,11321,3064,2064,2008-2012
B01001_8_20_years,1207,3514,4960,11242,3896,2866,9826,6557,317,2848,1223,1533,1627,675,1005,501,6429,1317,1090,2008-2012
B01001_9_21_years,1204,4693,5113,9689,3518,2971,9451,5720,335,2788,1002,1393,1287,384,937,675,6164,1205,1091,2008-2012
B01001_10_22_to_24_years,2983,10158,12689,29627,10811,8232,25334,14679,800,6678,2342,5132,3163,871,2788,1488,13989,2880,2136,2008-2012
B01001_11_25_to_29_years,4465,16243,21332,57048,19566,12091,41671,23607,1501,12437,4193,7555,3869,1132,4891,2335,22291,2685,3563,2008-2012
B01001_12_30_to_34_years,4240,15865,20071,52811,18872,12188,31423,23262,1498,12365,3995,7329,3534,987,4760,2222,19985,2662,3505,2008-2012
B01001_13_35_to_39_years,4558,17026,21415,49498,21536,14578,23293,24974,1764,13191,4299,8531,3622,1402,5275,2459,19175,3395,3730,2008-2012
B01001_14_40_to_44_years,6320,20839,26805,56008,24045,19088,23259,30488,1935,15589,5648,12501,4201,1454,6010,2742,21163,3989,4296,2008-2012
B01001_15_45_to_49_years,7821,21465,29137,58405,27114,20361,21589,32949,2331,17302,6089,13738,4757,1888,6469,3094,22226,4914,4843,2008-2012
B01001_16_50_to_54_years,8445,20479,28708,55062,25781,19401,19854,31824,2558,16646,6241,13456,4648,2029,6864,3137,21708,5079,4719,2008-2012
B01001_17_55_to_59_years,8358,16251,24731,47095,22623,16644,17587,26628,2263,13427,5710,11305,4055,1849,6073,3248,18736,4715,4003,2008-2012
B01001_18_60_and_61_years,3444,7226,8855,16380,8015,6305,6417,9333,1052,4977,1928,4010,1325,569,1936,1223,6915,1759,1277,2008-2012
B01001_19_62_to_64_years,4696,9126,11865,22037,10089,8756,7573,11714,1356,6175,2277,5090,1633,808,2841,1321,8353,2454,1971,2008-2012
B01001_20_65_and_66_years,2918,4857,6819,12014,5807,4886,4264,6905,801,3089,1410,3218,949,466,1818,1019,5081,1515,887,2008-2012
B01001_21_67_to_69_years,3972,6252,7753,15073,7506,5766,5656,7714,993,3877,1764,3316,1226,541,1526,1248,5609,1639,1294,2008-2012
B01001_22_70_to_74_years,5529,7274,9857,18865,8724,7195,7981,9849,977,5330,1980,3897,1536,840,2450,1330,7613,1865,1615,2008-2012
B01001_23_75_to_79_years,4937,6328,8080,15562,7054,5616,5386,7298,781,3884,1645,2879,1225,703,2118,1114,6033,1365,1122,2008-2012
B01001_24_80_to_84_years,3765,4291,5952,11998,6661,3504,4150,6256,596,2560,1038,2033,943,471,1730,846,5429,1265,929,2008-2012
B01001_25_85_years_and_over,2322,3448,5410,9608,4702,2888,3703,5511,534,2033,916,1617,525,548,1001,665,4449,819,714,2008-2012
B01001_26_female,112974,282955,386928,774046,350264,254453,375371,405403,30764,202526,74390,149681,63252,25982,86046,42273,324285,65364,59481,2008-2012
B01001_27_under_5_years,4375,15242,21150,42050,18386,13744,19864,22688,1507,11599,3620,7417,3138,1056,3758,1912,18145,2781,3106,2008-2012
B01001_28_5_to_9_years,4798,16349,22981,44434,20984,16445,16450,24770,1813,12728,4298,9424,3480,1574,4692,1872,16942,3691,3306,2008-2012
B01001_29_10_to_14_years,5411,17079,24094,42677,21349,16960,15901,26379,1624,12875,4340,9596,3347,1494,4710,2495,19607,3576,3785,2008-2012
B01001_30_15_to_17_years,3511,11010,15534,27618,13181,10675,10725,16959,1264,8469,3085,6489,2200,918,3223,1525,12304,2445,2341,2008-2012
B01001_31_18_and_19_years,1971,7772,10024,21135,8336,6304,17884,11869,659,5025,2152,3168,3555,1023,1545,1344,11881,3459,2208,2008-2012
B01001_32_20_years,859,4516,4993,10008,4451,3247,12126,5505,334,2910,1070,1325,2463,521,857,573,6505,1464,863,2008-2012
B01001_33_21_years,881,4061,4590,10293,4645,2923,9414,5470,257,2249,1027,1463,1630,448,935,362,5968,1560,993,2008-2012
B01001_34_22_to_24_years,2831,9475,12856,29399,11253,7097,26003,14320,768,6637,2324,4413,2690,841,2740,1544,14164,2151,2098,2008-2012
B01001_35_25_to_29_years,4284,16489,21580,57494,21026,12079,43757,23187,1597,12374,3944,7128,3670,1066,4711,2149,22265,2560,3410,2008-2012
B01001_36_30_to_34_years,4268,16637,21584,53016,20213,12838,31668,23631,1612,12348,4009,7622,3543,1049,4900,1996,20503,2837,3427,2008-2012
B01001_37_35_to_39_years,5406,18257,24601,50753,22075,15539,24413,26565,1730,14165,4617,9670,4009,1475,5378,2524,20018,3350,3624,2008-2012
B01001_38_40_to_44_years,6641,21259,27861,57832,26355,20424,22661,30875,2116,14757,5355,12457,4154,1750,6344,3026,22028,4544,4486,2008-2012
B01001_39_45_to_49_years,8482,22209,31725,60584,28483,21331,21850,33122,2419,17370,6178,14113,4865,2190,7166,3206,23255,5303,4816,2008-2012
B01001_40_50_to_54_years,9233,21555,30915,57871,27666,20374,21266,31710,2735,16520,6421,13525,4740,2215,7472,3410,23350,5468,4792,2008-2012
B01001_41_55_to_59_years,9449,18885,26409,48912,24454,18542,19383,27375,2520,13524,5960,11134,4239,1923,6190,3726,19935,5043,3769,2008-2012
B01001_42_60_and_61_years,3861,7136,10443,19359,8765,6991,7366,9048,927,4610,2089,4272,1452,760,2414,1207,7328,1868,1570,2008-2012
B01001_43_62_to_64_years,5863,8974,13253,25033,10980,9204,9421,12451,1438,6911,2338,5429,1640,806,3277,1374,9508,2431,2145,2008-2012
B01001_44_65_and_66_years,3460,5636,7150,13901,6649,5583,5533,7171,822,3786,1348,3103,1080,594,1652,1129,5216,1362,1245,2008-2012
B01001_45_67_to_69_years,4872,6679,8722,17163,8692,6797,6330,8632,843,4037,2011,3894,1265,711,2122,1094,6834,1673,1169,2008-2012
B01001_46_70_to_74_years,6550,9077,13110,24118,11084,8089,10186,12025,1123,6005,2269,4243,1922,821,3317,1724,10026,2458,1981,2008-2012
B01001_47_75_to_79_years,6234,8087,10980,20951,10315,6591,8018,10639,956,4850,2088,3565,1539,989,2970,1305,8971,1748,1380,2008-2012
B01001_48_80_to_84_years,5076,6996,9768,18752,9637,5823,7225,8948,840,4145,1682,3252,1447,655,2414,1166,8665,1657,1150,2008-2012
B01001_49_85_years_and_over,4658,9575,12605,20693,11285,6853,7927,12064,860,4632,2165,2979,1184,1103,3259,1610,10867,1935,1817,2008-2012
B02001_1_total,216021,548739,744961,1507558,672078,495407,724502,799277,60206,401101,146742,295872,123295,49796,166066,82503,627414,126692,118046,2008-2012
B02001_2_white_alone,201956,491011,605090,1216987,553604,426413,406050,692860,58087,366151,140170,283117,115715,47716,155004,74951,463095,118920,108037,2008-2012
B02001_3_black_or_african_american_alone,4538,20034,26816,69773,39518,41590,161767,32407,396,8321,1517,2284,1098,199,2593,3046,57061,1812,2233,2008-2012
