index,17011,17031,17037,17043,17063,17089,17091,17093,17097,17099,17111,17155,17197,18073,18089,18091,18111,18127,55059,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,il,il,il,il,il,il,il,il,il,il,il,il,il,in,in,in,in,in,wi,2008-2012
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2008-2012
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2008-2012
LOGRECNO,0000018,0000028,0000031,0000034,0000044,0000057,0000058,0000059,0000061,0000062,0000068,0000090,0000111,0000049,0000057,0000058,0000068,0000076,0000042,2008-2012
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2008-2012
STATE_FIPS,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,55,2008-2012
GEO_ID,05000US17011,05000US17031,05000US17037,05000US17043,05000US17063,05000US17089,05000US17091,05000US17093,05000US17097,05000US17099,05000US17111,05000US17155,05000US17197,05000US18073,05000US18089,05000US18091,05000US18111,05000US18127,05000US55059,2008-2012
GEO_NAME,"Bureau County, Illinois","Cook County, Illinois","DeKalb County, Illinois","DuPage County, Illinois","Grundy County, Illinois","Kane County, Illinois","Kankakee County, Illinois","Kendall County, Illinois","Lake County, Illinois","LaSalle County, Illinois","McHenry County, Illinois","Putnam County, Illinois","Will County, Illinois","Jasper County, Indiana","Lake County, Indiana","LaPorte County, Indiana","Newton County, Indiana","Porter County, Indiana","Kenosha County, Wisconsin",2008-2012
B01003_1_total,34798,5197677,104820,918608,49870,514891,113170,114226,701282,113688,308163,5968,677669,33369,495230,111335,14199,164386,166373,2008-2012
B01001_1_total,34798,5197677,104820,918608,49870,514891,113170,114226,701282,113688,308163,5968,677669,33369,495230,111335,14199,164386,166373,2008-2012
B01001_2_male,17031,2517167,52181,450498,24912,256762,55569,56847,350038,56731,153700,3022,336896,16675,239123,57603,7177,80946,82304,2008-2012
B01001_3_under_5_years,987,174535,3352,28784,1881,20266,3865,5128,23848,3432,10045,162,24770,1093,16973,3382,362,5015,5576,2008-2012
B01001_4_5_to_9_years,1154,166783,3317,31973,2085,21333,3962,5328,27413,3911,12428,198,28343,1064,18399,3259,430,5584,5737,2008-2012
B01001_5_10_to_14_years,1151,173937,3292,33229,1851,21697,4352,5147,28660,3553,12354,216,29519,1531,17889,3829,581,6024,6573,2008-2012
B01001_6_15_to_17_years,817,110103,1847,21577,1137,12771,2554,2861,17989,2344,7892,128,17570,743,11407,2495,298,3752,3946,2008-2012
B01001_7_18_and_19_years,434,71702,2952,12652,712,7015,1863,1301,12318,1443,4340,74,9740,550,6974,1458,195,2457,2816,2008-2012
B01001_8_20_years,180,35328,1962,5561,380,2876,1172,510,5461,704,1984,32,4456,340,2993,763,148,1149,1171,2008-2012
B01001_9_21_years,301,35337,2247,5356,379,3713,717,619,4624,682,1537,9,3774,179,2909,846,38,1087,1124,2008-2012
B01001_10_22_to_24_years,372,113767,3911,17421,558,9048,2079,1690,13186,2406,4811,85,11143,521,8923,2231,187,2950,3466,2008-2012
B01001_11_25_to_29_years,913,215584,4228,30547,1514,16615,3475,3661,20084,3564,8308,150,19230,959,15092,4147,376,5098,5051,2008-2012
