index,12011,12061,12085,12086,12093,12099,12111,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,fl,fl,fl,fl,fl,fl,fl,2007-2011
CHARITER,000,000,000,000,000,000,000,2007-2011
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,2007-2011
LOGRECNO,0000018,0000042,0000054,0000055,0000059,0000062,0000068,2007-2011
SUMMARY_LEVEL,050,050,050,050,050,050,050,2007-2011
STATE_FIPS,12,12,12,12,12,12,12,2007-2011
GEO_ID,05000US12011,05000US12061,05000US12085,05000US12086,05000US12093,05000US12099,05000US12111,2007-2011
GEO_NAME,"Broward County, Florida","Indian River County, Florida","Martin County, Florida","Miami-Dade County, Florida","Okeechobee County, Florida","Palm Beach County, Florida","St. Lucie County, Florida",2007-2011
B01003_1_total,1742012,137004,145480,2474676,39978,1309401,274693,2007-2011
B01001_1_total,1742012,137004,145480,2474676,39978,1309401,274693,2007-2011
B01001_2_male,844686,66360,71854,1198400,21371,634124,134495,2007-2011
B01001_3_under_5_years,53064,3338,3120,77130,1407,36086,8540,2007-2011
B01001_4_5_to_9_years,52667,3516,3240,74644,1163,36682,8649,2007-2011
B01001_5_10_to_14_years,58151,3858,4142,76143,1504,39210,8854,2007-2011
B01001_6_15_to_17_years,36920,2635,2573,50771,981,25011,5571,2007-2011
B01001_7_18_and_19_years,22221,1641,1739,35579,691,16109,3513,2007-2011
B01001_8_20_years,10854,821,585,19751,753,8980,1459,2007-2011
B01001_9_21_years,11233,702,860,19024,223,7335,1759,2007-2011
B01001_10_22_to_24_years,30286,1838,2086,50442,607,21707,4234,2007-2011
B01001_11_25_to_29_years,55298,3210,3291,85022,1364,37426,7363,2007-2011
B01001_12_30_to_34_years,53776,3029,3228,82335,1034,35356,7588,2007-2011
B01001_13_35_to_39_years,60262,3546,4304,90452,1630,38790,8297,2007-2011
B01001_14_40_to_44_years,64420,3582,4007,95409,1768,44439,8855,2007-2011
B01001_15_45_to_49_years,70497,4459,5308,94882,1351,46607,9739,2007-2011
B01001_16_50_to_54_years,63911,4505,5315,79045,1314,43856,9057,2007-2011
B01001_17_55_to_59_years,52963,4329,4731,67118,1339,38403,7595,2007-2011
B01001_18_60_and_61_years,18625,1846,2278,24049,230,14773,3832,2007-2011
B01001_19_62_to_64_years,25243,2719,2954,32688,630,20048,4586,2007-2011
B01001_20_65_and_66_years,14076,2058,2172,18907,422,12637,2770,2007-2011
B01001_21_67_to_69_years,18860,2395,2832,25820,590,18279,4587,2007-2011
B01001_22_70_to_74_years,22949,3663,3970,36394,898,25944,6240,2007-2011
B01001_23_75_to_79_years,18674,3674,3911,28031,604,24865,4808,2007-2011
B01001_24_80_to_84_years,15659,2734,2795,20243,569,21946,4018,2007-2011
B01001_25_85_years_and_over,14077,2262,2413,14521,299,19635,2581,2007-2011
B01001_26_female,897326,70644,73626,1276276,18607,675277,140198,2007-2011
B01001_27_under_5_years,51046,3212,3166,73989,1220,34673,8141,2007-2011
B01001_28_5_to_9_years,50219,3111,3358,70943,1013,36912,8328,2007-2011
B01001_29_10_to_14_years,55104,3933,3867,73310,1392,35790,8370,2007-2011
B01001_30_15_to_17_years,34941,2290,2371,48357,934,23580,5334,2007-2011
B01001_31_18_and_19_years,20214,1153,1240,34174,576,14884,3136,2007-2011
B01001_32_20_years,10473,600,542,18357,384,7724,1432,2007-2011
B01001_33_21_years,10311,638,697,17457,175,7511,1505,2007-2011
B01001_34_22_to_24_years,30862,1785,1724,51247,401,19444,4128,2007-2011
B01001_35_25_to_29_years,58142,3102,2784,86158,1047,35856,7457,2007-2011
B01001_36_30_to_34_years,57332,3005,2826,84773,877,35596,7780,2007-2011
B01001_37_35_to_39_years,61697,3147,3007,90105,1019,41049,8589,2007-2011
B01001_38_40_to_44_years,70511,4238,4702,97281,1394,44632,9360,2007-2011
B01001_39_45_to_49_years,72208,4765,5393,98428,1174,48326,9786,2007-2011
B01001_40_50_to_54_years,66488,5088,5581,86718,1278,46173,9688,2007-2011
B01001_41_55_to_59_years,57115,5267,5257,77234,1178,44212,9358,2007-2011
B01001_42_60_and_61_years,21273,2546,2396,27495,578,16677,3587,2007-2011
B01001_43_62_to_64_years,26397,2655,3424,37735,413,23164,4976,2007-2011
B01001_44_65_and_66_years,16345,1784,2269,21353,440,15979,3372,2007-2011
B01001_45_67_to_69_years,20437,3046,2996,32668,599,21965,4882,2007-2011
B01001_46_70_to_74_years,28967,4517,4813,48167,1052,32542,6923,2007-2011
B01001_47_75_to_79_years,24567,4210,4382,38227,688,31803,5529,2007-2011
B01001_48_80_to_84_years,24588,3165,3408,30501,475,28457,4708,2007-2011
B01001_49_85_years_and_over,28089,3387,3423,31599,300,28328,3829,2007-2011
B02001_1_total,1742012,137004,145480,2474676,39978,1309401,274693,2007-2011
B02001_2_white_alone,1115121,119897,128414,1835134,33893,988739,201301,2007-2011
