index,25009,25017,25021,25023,25025,33015,33017,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,ma,ma,ma,ma,ma,nh,nh,2008-2012
CHARITER,000,000,000,000,000,000,000,2008-2012
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,2008-2012
LOGRECNO,0000014,0000018,0000020,0000021,0000022,0000020,0000021,2008-2012
SUMMARY_LEVEL,050,050,050,050,050,050,050,2008-2012
STATE_FIPS,25,25,25,25,25,33,33,2008-2012
GEO_ID,05000US25009,05000US25017,05000US25021,05000US25023,05000US25025,05000US33015,05000US33017,2008-2012
GEO_NAME,"Essex County, Massachusetts","Middlesex County, Massachusetts","Norfolk County, Massachusetts","Plymouth County, Massachusetts","Suffolk County, Massachusetts","Rockingham County, New Hampshire","Strafford County, New Hampshire",2008-2012
B01003_1_total,744961,1507558,672078,495407,724502,295872,123295,2008-2012
B01001_1_total,744961,1507558,672078,495407,724502,295872,123295,2008-2012
B01001_2_male,358033,733512,321814,240954,349131,146191,60043,2008-2012
B01001_3_under_5_years,22373,43808,18975,14605,20577,7612,3578,2008-2012
B01001_4_5_to_9_years,23924,45990,21372,17011,17061,8876,3435,2008-2012
B01001_5_10_to_14_years,25442,44488,23036,18111,16518,10882,3797,2008-2012
B01001_6_15_to_17_years,16377,29146,13947,11312,10991,6751,2258,2008-2012
B01001_7_18_and_19_years,10365,22058,8164,6579,15567,3537,2850,2008-2012
B01001_8_20_years,4960,11242,3896,2866,9826,1533,1627,2008-2012
B01001_9_21_years,5113,9689,3518,2971,9451,1393,1287,2008-2012
B01001_10_22_to_24_years,12689,29627,10811,8232,25334,5132,3163,2008-2012
B01001_11_25_to_29_years,21332,57048,19566,12091,41671,7555,3869,2008-2012
B01001_12_30_to_34_years,20071,52811,18872,12188,31423,7329,3534,2008-2012
B01001_13_35_to_39_years,21415,49498,21536,14578,23293,8531,3622,2008-2012
B01001_14_40_to_44_years,26805,56008,24045,19088,23259,12501,4201,2008-2012
B01001_15_45_to_49_years,29137,58405,27114,20361,21589,13738,4757,2008-2012
B01001_16_50_to_54_years,28708,55062,25781,19401,19854,13456,4648,2008-2012
B01001_17_55_to_59_years,24731,47095,22623,16644,17587,11305,4055,2008-2012
B01001_18_60_and_61_years,8855,16380,8015,6305,6417,4010,1325,2008-2012
B01001_19_62_to_64_years,11865,22037,10089,8756,7573,5090,1633,2008-2012
B01001_20_65_and_66_years,6819,12014,5807,4886,4264,3218,949,2008-2012
B01001_21_67_to_69_years,7753,15073,7506,5766,5656,3316,1226,2008-2012
B01001_22_70_to_74_years,9857,18865,8724,7195,7981,3897,1536,2008-2012
B01001_23_75_to_79_years,8080,15562,7054,5616,5386,2879,1225,2008-2012
B01001_24_80_to_84_years,5952,11998,6661,3504,4150,2033,943,2008-2012
B01001_25_85_years_and_over,5410,9608,4702,2888,3703,1617,525,2008-2012
B01001_26_female,386928,774046,350264,254453,375371,149681,63252,2008-2012
B01001_27_under_5_years,21150,42050,18386,13744,19864,7417,3138,2008-2012
B01001_28_5_to_9_years,22981,44434,20984,16445,16450,9424,3480,2008-2012
B01001_29_10_to_14_years,24094,42677,21349,16960,15901,9596,3347,2008-2012
B01001_30_15_to_17_years,15534,27618,13181,10675,10725,6489,2200,2008-2012
B01001_31_18_and_19_years,10024,21135,8336,6304,17884,3168,3555,2008-2012
B01001_32_20_years,4993,10008,4451,3247,12126,1325,2463,2008-2012
B01001_33_21_years,4590,10293,4645,2923,9414,1463,1630,2008-2012
B01001_34_22_to_24_years,12856,29399,11253,7097,26003,4413,2690,2008-2012
B01001_35_25_to_29_years,21580,57494,21026,12079,43757,7128,3670,2008-2012
B01001_36_30_to_34_years,21584,53016,20213,12838,31668,7622,3543,2008-2012
B01001_37_35_to_39_years,24601,50753,22075,15539,24413,9670,4009,2008-2012
B01001_38_40_to_44_years,27861,57832,26355,20424,22661,12457,4154,2008-2012
B01001_39_45_to_49_years,31725,60584,28483,21331,21850,14113,4865,2008-2012
B01001_40_50_to_54_years,30915,57871,27666,20374,21266,13525,4740,2008-2012
B01001_41_55_to_59_years,26409,48912,24454,18542,19383,11134,4239,2008-2012
B01001_42_60_and_61_years,10443,19359,8765,6991,7366,4272,1452,2008-2012
B01001_43_62_to_64_years,13253,25033,10980,9204,9421,5429,1640,2008-2012
B01001_44_65_and_66_years,7150,13901,6649,5583,5533,3103,1080,2008-2012
B01001_45_67_to_69_years,8722,17163,8692,6797,6330,3894,1265,2008-2012
B01001_46_70_to_74_years,13110,24118,11084,8089,10186,4243,1922,2008-2012
B01001_47_75_to_79_years,10980,20951,10315,6591,8018,3565,1539,2008-2012
B01001_48_80_to_84_years,9768,18752,9637,5823,7225,3252,1447,2008-2012
B01001_49_85_years_and_over,12605,20693,11285,6853,7927,2979,1184,2008-2012
B02001_1_total,744961,1507558,672078,495407,724502,295872,123295,2008-2012
B02001_2_white_alone,605090,1216987,553604,426413,406050,283117,115715,2008-2012
B02001_3_black_or_african_american_alone,26816,69773,39518,41590,161767,2284,1098,2008-2012
B02001_4_american_indian_and_alaska_native_alone,1189,1927,908,832,2344,335,263,2008-2012
B02001_5_asian_alone,23986,142527,59147,6429,60415,5134,3054,2008-2012
B02001_6_native_hawaiian_and_other_pacific_islander_alone,115,619,51,89,329,37,0,2008-2012
B02001_7_some_other_race_alone,71917,38998,8459,10926,51418,1110,719,2008-2012
B02001_8_two_or_more_races,15848,36727,10391,9128,42179,3855,2446,2008-2012
B02001_9_two_races_including_some_other_race,4161,6664,1509,2163,6538,324,143,2008-2012
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",11687,30063,8882,6965,35641,3531,2303,2008-2012
B11001_1_total,285144,579209,257138,179863,287442,115552,46821,2008-2012
B11001_2_family_households,189387,369928,169105,127215,140113,81230,30114,2008-2012
B11001_3_married-couple_family,137994,294857,135918,97472,80259,67256,23420,2008-2012
B11001_4_other_family,51393,75071,33187,29743,59854,13974,6694,2008-2012
"B11001_5_male_householder,_no_wife_present",13041,18366,8059,7358,12966,4406,1969,2008-2012
"B11001_6_female_householder,_no_husband_present",38352,56705,25128,22385,46888,9568,4725,2008-2012
B11001_7_nonfamily_households,95757,209281,88033,52648,147329,34322,16707,2008-2012
B11001_8_householder_living_alone,79957,161608,71926,43101,107116,26167,11849,2008-2012
B11001_9_householder_not_living_alone,15800,47673,16107,9547,40213,8155,4858,2008-2012
B15002_1_total,507496,1043896,465774,336325,470810,206861,78797,2008-2012
B15002_2_male,236790,497464,218095,159267,223806,100475,38048,2008-2012
B15002_3_no_schooling_completed,2846,5819,1932,1041,4527,378,234,2008-2012
B15002_4_nursery_to_4th_grade,2336,2589,613,873,3904,70,85,2008-2012
B15002_5_5th_and_6th_grade,2559,3851,1137,827,5691,134,80,2008-2012
B15002_6_7th_and_8th_grade,4882,5753,2156,2024,5923,1140,870,2008-2012
B15002_7_9th_grade,3319,4624,1657,1493,3880,1031,567,2008-2012
B15002_8_10th_grade,3705,5957,2483,2911,4277,1443,681,2008-2012
B15002_9_11th_grade,3618,5077,1720,3010,4496,1383,752,2008-2012
"B15002_10_12th_grade,_no_diploma",3886,6792,3048,2139,5392,1051,449,2008-2012
"B15002_11_high_school_graduate,_ged,_or_alternative",62750,109627,48656,50219,54799,28895,11611,2008-2012
"B15002_12_some_college,_less_than_1_year",11796,18917,9533,9931,7841,6299,2253,2008-2012
"B15002_13_some_college,_1_or_more_years,_no_degree",28667,49174,23608,20024,24220,13103,5448,2008-2012
B15002_14_associate's_degree,16433,25068,13760,12164,9076,8316,3291,2008-2012
B15002_15_bachelor's_degree,53206,129204,59107,34226,51186,24045,7185,2008-2012
B15002_16_master's_degree,25009,76401,28732,13300,22716,9707,3246,2008-2012
B15002_17_professional_school_degree,7368,20608,11696,3493,9504,2000,533,2008-2012
B15002_18_doctorate_degree,4410,28003,8257,1592,6374,1480,763,2008-2012
B15002_19_female,270706,546432,247679,177058,247004,106386,40749,2008-2012
B15002_20_no_schooling_completed,3850,7598,1958,1384,6454,502,263,2008-2012
B15002_21_nursery_to_4th_grade,2287,3249,850,778,3766,92,87,2008-2012
B15002_22_5th_and_6th_grade,2954,4338,1507,773,5518,152,127,2008-2012
B15002_23_7th_and_8th_grade,5694,6253,2258,2063,6559,771,845,2008-2012
B15002_24_9th_grade,3426,4650,1610,1663,3896,799,473,2008-2012
B15002_25_10th_grade,3994,5549,2190,2321,4408,1104,552,2008-2012
B15002_26_11th_grade,4250,5748,2192,2053,4756,1351,704,2008-2012
"B15002_27_12th_grade,_no_diploma",3495,6239,2677,2134,5098,980,417,2008-2012
"B15002_28_high_school_graduate,_ged,_or_alternative",71539,118840,54407,51551,59239,29073,11634,2008-2012
"B15002_29_some_college,_less_than_1_year",14964,22683,11317,10574,8637,7353,2571,2008-2012
"B15002_30_some_college,_1_or_more_years,_no_degree",34008,52682,25878,23857,28000,13000,5380,2008-2012
B15002_31_associate's_degree,25267,38903,23620,19605,13769,12552,5138,2008-2012
B15002_32_bachelor's_degree,56779,139102,66477,37569,53359,24576,7802,2008-2012
B15002_33_master's_degree,29979,95931,37096,16855,30510,11554,3736,2008-2012
B15002_34_professional_school_degree,5449,18105,8158,2647,8490,1469,496,2008-2012
B15002_35_doctorate_degree,2771,16562,5484,1231,4545,1058,524,2008-2012
B19001_1_total,285144,579209,257138,179863,287442,115552,46821,2008-2012
"B19001_2_less_than_$10,000",17398,27350,11723,7298,34981,3546,2670,2008-2012
"B19001_3_$10,000_to_$14,999",15443,22455,9424,7425,20479,3290,2352,2008-2012
"B19001_4_$15,000_to_$19,999",12552,19568,8317,6400,14866,3093,1674,2008-2012
"B19001_5_$20,000_to_$24,999",11729,20164,8202,6439,12529,4183,2149,2008-2012
"B19001_6_$25,000_to_$29,999",11682,18758,7478,6010,10713,3664,2361,2008-2012
"B19001_7_$30,000_to_$34,999",11622,18390,8513,7092,11448,4634,2292,2008-2012
"B19001_8_$35,000_to_$39,999",10524,17892,7662,6311,10676,3878,1855,2008-2012
"B19001_9_$40,000_to_$44,999",10115,19617,8151,6226,11817,4817,2341,2008-2012
"B19001_10_$45,000_to_$49,999",9989,16422,8084,6463,10471,3923,2355,2008-2012
"B19001_11_$50,000_to_$59,999",18857,36835,16360,12741,19864,7890,3934,2008-2012
"B19001_12_$60,000_to_$74,999",26282,50858,22486,17863,25265,12160,4804,2008-2012
"B19001_13_$75,000_to_$99,999",37491,76803,31915,26374,32245,17629,6633,2008-2012
"B19001_14_$100,000_to_$124,999",27303,64584,29096,20582,22786,14397,4141,2008-2012
"B19001_15_$125,000_to_$149,999",19747,46498,21242,13949,14826,9402,2809,2008-2012
"B19001_16_$150,000_to_$199,999",21724,57372,26302,15225,16172,10784,2574,2008-2012
"B19001_17_$200,000_or_more",22686,65643,32183,13465,18304,8262,1877,2008-2012
B19013_1_median_household_income_in_the_past_12_months_(in_2012_inflation-adjusted_dollars),66918,81420,84087,74722,52700,77939,58538,2008-2012
B25001_1_total,306322,611338,270235,199885,314385,126644,51678,2008-2012
B25003_1_total,285144,579209,257138,179863,287442,115552,46821,2008-2012
B25003_2_owner_occupied,183078,366125,179413,139016,102742,89320,31293,2008-2012
B25003_3_renter_occupied,102066,213084,77725,40847,184700,26232,15528,2008-2012
B25024_1_total,306322,611338,270235,199885,314385,126644,51678,2008-2012
"B25024_2_1,_detached",154742,298215,156637,141022,42993,81559,29363,2008-2012
"B25024_3_1,_attached",18593,37571,12525,7670,18090,9368,1844,2008-2012
B25024_4_2,36021,81586,20639,11668,46464,6464,3006,2008-2012
B25024_5_3_or_4,34470,54760,16218,12170,77041,5177,3763,2008-2012
B25024_6_5_to_9,16842,31742,15139,7043,35044,5139,3518,2008-2012
B25024_7_10_to_19,12774,28685,12725,6048,24894,3897,1437,2008-2012
B25024_8_20_to_49,14734,31297,13214,3709,26482,5587,2177,2008-2012
B25024_9_50_or_more,16182,44949,21954,5579,42888,1781,1450,2008-2012
B25024_10_mobile_home,1921,2469,1149,4976,400,7636,5120,2008-2012
"B25024_11_boat,_rv,_van,_etc.",43,64,35,0,89,36,0,2008-2012
B25077_1_median_value_(dollars),354700,401300,393000,339100,362600,288500,224000,2008-2012
B25034_1_total,306322,611338,270235,199885,314385,126644,51678,2008-2012
B25034_2_built_2010_or_later,349,1190,409,444,492,461,99,2008-2012
B25034_3_built_2000_to_2009,20347,42067,19359,18128,20210,15683,7234,2008-2012
