index,17031,17037,17043,17063,17089,17093,17097,17111,17197,18073,18089,18111,18127,55059,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,il,il,il,il,il,il,il,il,il,in,in,in,in,wi,2012-2016
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2012-2016
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2012-2016
LOGRECNO,0000028,0000031,0000034,0000044,0000057,0000059,0000061,0000068,0000111,0000049,0000057,0000068,0000076,0000042,2012-2016
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2012-2016
STATE_FIPS,17,17,17,17,17,17,17,17,17,18,18,18,18,55,2012-2016
GEO_ID,05000US17031,05000US17037,05000US17043,05000US17063,05000US17089,05000US17093,05000US17097,05000US17111,05000US17197,05000US18073,05000US18089,05000US18111,05000US18127,05000US55059,2012-2016
GEO_NAME,"Cook County, Illinois","DeKalb County, Illinois","DuPage County, Illinois","Grundy County, Illinois","Kane County, Illinois","Kendall County, Illinois","Lake County, Illinois","McHenry County, Illinois","Will County, Illinois","Jasper County, Indiana","Lake County, Indiana","Newton County, Indiana","Porter County, Indiana","Kenosha County, Wisconsin",2012-2016
B01003_1_total,5227575,104458,930514,50338,526615,121452,702890,307083,685378,33461,489698,14022,167016,167896,2012-2016
B01001_1_total,5227575,104458,930514,50338,526615,121452,702890,307083,685378,33461,489698,14022,167016,167896,2012-2016
B01001_2_male,2535190,51767,456361,25173,261893,60053,350890,152971,340422,16556,236906,7075,82416,82941,2012-2016
B01001_3_under_5_years,170607,3187,28085,1711,17969,4766,21691,8931,21553,1020,15713,336,4745,5177,2012-2016
B01001_4_5_to_9_years,164616,3175,30611,2025,20308,5274,25784,10815,26165,1331,17539,415,5485,5738,2012-2016
B01001_5_10_to_14_years,166799,3374,32460,1850,21624,5630,27156,12060,28372,1022,17082,552,5691,6018,2012-2016
B01001_6_15_to_17_years,100608,1923,20412,1171,13056,2925,17275,7628,17536,739,10858,300,3763,3805,2012-2016
B01001_7_18_and_19_years,66100,2713,12471,643,7086,1423,12454,4182,9899,490,6308,131,2289,2654,2012-2016
B01001_8_20_years,34890,1704,5874,277,3546,735,5792,2131,5075,332,3347,73,1195,1385,2012-2016
B01001_9_21_years,35062,1641,5825,352,3765,587,5377,1896,4209,216,3091,76,1295,1110,2012-2016
B01001_10_22_to_24_years,111046,4030,18127,848,9601,1844,15484,5479,13223,611,9748,246,3241,3442,2012-2016
B01001_11_25_to_29_years,215961,4242,29806,1416,15567,3625,19735,8108,19050,911,14310,437,4994,5334,2012-2016
B01001_12_30_to_34_years,206210,3302,30327,1712,17174,4471,19863,8828,20833,991,15137,413,5229,5252,2012-2016
B01001_13_35_to_39_years,179574,2576,28893,1804,17792,5408,21361,8943,22550,961,15173,304,5445,4965,2012-2016
B01001_14_40_to_44_years,171684,3292,30888,1744,18989,4730,23483,11468,26288,1095,14480,591,5398,5809,2012-2016
B01001_15_45_to_49_years,166020,2935,32573,1752,19005,4513,25651,12363,26908,1064,15230,452,5454,6053,2012-2016
B01001_16_50_to_54_years,169267,3132,34960,1922,18931,3829,27268,13063,25858,1223,16838,558,5885,6639,2012-2016
B01001_17_55_to_59_years,158171,3118,32815,1737,16106,3324,24156,11213,21707,1287,17230,650,6017,5580,2012-2016
B01001_18_60_and_61_years,58717,877,12682,585,5704,1070,8801,3753,7595,323,6102,184,2383,2106,2012-2016
B01001_19_62_to_64_years,77900,1426,15291,706,8282,1144,11398,5261,9722,581,8309,247,3155,2763,2012-2016
B01001_20_65_and_66_years,44075,634,9536,441,4956,868,6112,3116,5724,383,4655,114,2115,1498,2012-2016
B01001_21_67_to_69_years,55802,1053,10857,672,5470,936,7897,3369,6765,473,5982,297,2041,1494,2012-2016
B01001_22_70_to_74_years,69099,1412,13666,736,6908,1416,9836,4638,9396,597,7513,286,2797,2548,2012-2016
B01001_23_75_to_79_years,47365,821,7877,495,4497,898,6187,2939,5690,311,5052,232,1592,1426,2012-2016
B01001_24_80_to_84_years,35272,584,6342,381,3023,300,4176,1526,3523,410,3783,86,1340,1147,2012-2016
B01001_25_85_years_and_over,30345,616,5983,193,2534,337,3953,1261,2781,185,3426,95,867,998,2012-2016
B01001_26_female,2692385,52691,474153,25165,264722,61399,352000,154112,344956,16905,252792,6947,84600,84955,2012-2016
B01001_27_under_5_years,164242,2993,27228,1521,17440,4329,20649,8383,20611,981,15054,361,4543,4959,2012-2016
B01001_28_5_to_9_years,161931,2914,30263,1764,19653,5554,23690,10144,25158,1357,16695,432,5059,5285,2012-2016
B01001_29_10_to_14_years,159392,3375,30172,1855,20608,4850,26561,11691,26997,1031,16530,440,5598,6072,2012-2016
B01001_30_15_to_17_years,98203,1931,19540,1135,12295,2885,16371,7255,16524,693,10532,259,3447,3605,2012-2016
B01001_31_18_and_19_years,64312,3140,11716,588,6648,1401,9902,3796,8901,422,5928,167,2164,2466,2012-2016
B01001_32_20_years,32984,1915,5336,264,3899,820,4306,1453,4438,281,2901,72,1110,1227,2012-2016
B01001_33_21_years,34692,1630,5023,281,3349,716,4128,1942,4118,158,3333,82,1123,1629,2012-2016
B01001_34_22_to_24_years,115403,4027,17990,939,8799,1633,13443,5450,12345,579,9606,245,3205,2829,2012-2016
B01001_35_25_to_29_years,219512,3626,28347,1386,15106,3483,17954,7482,18217,852,14816,363,4852,5226,2012-2016
B01001_36_30_to_34_years,209036,3209,30082,1784,16833,5033,20000,8910,21379,1090,16220,385,5298,5362,2012-2016
B01001_37_35_to_39_years,183741,2540,29930,1632,18245,5513,21639,9676,23738,1026,15704,329,5232,5462,2012-2016
B01001_38_40_to_44_years,173515,3204,31201,1894,18519,4854,24916,11100,26857,1008,15874,452,5692,5432,2012-2016
B01001_39_45_to_49_years,171592,3006,34419,1800,18876,4311,26683,12759,27128,1055,16229,427,5675,6172,2012-2016
B01001_40_50_to_54_years,179432,3174,37461,1739,18902,4028,28365,13124,25851,1230,18184,533,6310,6679,2012-2016
B01001_41_55_to_59_years,174770,2954,35094,1737,15991,3441,25155,11312,22275,1213,18393,554,6393,5892,2012-2016
B01001_42_60_and_61_years,65958,1027,12827,597,6282,1142,9575,4377,7266,499,6492,258,2371,2215,2012-2016
