index,25009,25017,25021,25023,25025,33015,33017,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2009-2013
B02001_8_two_or_more_races,16236,42585,11756,9947,42863,3640,2635,2009-2013
B02001_9_two_races_including_some_other_race,3803,7167,1662,1950,6275,165,149,2009-2013
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",12433,35418,10094,7997,36588,3475,2486,2009-2013
B11001_1_total,286008,581120,257451,179617,288240,116262,46968,2009-2013
B11001_2_family_households,189950,371061,169375,127961,141599,81025,30512,2009-2013
B11001_3_married-couple_family,137232,295050,135794,98184,80198,67031,23639,2009-2013
B11001_4_other_family,52718,76011,33581,29777,61401,13994,6873,2009-2013
"B11001_5_male_householder,_no_wife_present",13054,18951,8174,7520,12915,4273,2092,2009-2013
"B11001_6_female_householder,_no_husband_present",39664,57060,25407,22257,48486,9721,4781,2009-2013
B11001_7_nonfamily_households,96058,210059,88076,51656,146641,35237,16456,2009-2013
B11001_8_householder_living_alone,80080,161966,71762,42608,106769,27050,11666,2009-2013
B11001_9_householder_not_living_alone,15978,48093,16314,9048,39872,8187,4790,2009-2013
B15002_1_total,512201,1056080,469777,338889,484292,208659,79374,2009-2013
B15002_2_male,239233,504040,220068,160518,230718,101460,38390,2009-2013
B15002_3_no_schooling_completed,3122,5590,2135,1250,4500,412,237,2009-2013
B15002_4_nursery_to_4th_grade,2538,2613,604,700,3939,69,65,2009-2013
B15002_5_5th_and_6th_grade,2638,4006,1447,947,5197,159,74,2009-2013
B15002_6_7th_and_8th_grade,4530,6209,2030,2062,5778,1077,690,2009-2013
B15002_7_9th_grade,3114,4525,1698,1388,3797,822,544,2009-2013
B15002_8_10th_grade,3600,5284,2149,2756,4302,1213,681,2009-2013
B15002_9_11th_grade,3854,4853,1713,2797,4441,1105,749,2009-2013
"B15002_10_12th_grade,_no_diploma",3499,7099,2779,2254,5148,987,509,2009-2013
B15002_11_high_school_graduate_(includes_equivalency),64198,110250,48355,50410,57778,29603,11326,2009-2013
"B15002_12_some_college,_less_than_1_year",11325,19478,9451,9662,8136,6166,2398,2009-2013
"B15002_13_some_college,_1_or_more_years,_no_degree",30128,48747,24195,20117,24285,13844,5764,2009-2013
B15002_14_associate's_degree,16264,25392,14043,12516,9375,8052,3287,2009-2013
B15002_15_bachelor's_degree,53509,132148,59719,35616,53967,24546,7591,2009-2013
B15002_16_master's_degree,25505,78254,29198,13179,23702,9784,3126,2009-2013
B15002_17_professional_school_degree,7105,20380,12135,3306,9791,2118,491,2009-2013
B15002_18_doctorate_degree,4304,29212,8417,1558,6582,1503,858,2009-2013
B15002_19_female,272968,552040,249709,178371,253574,107199,40984,2009-2013
B15002_20_no_schooling_completed,3670,7136,2167,1564,6632,446,248,2009-2013
B15002_21_nursery_to_4th_grade,2431,3307,935,804,4138,81,47,2009-2013
B15002_22_5th_and_6th_grade,2846,4445,1364,747,5594,160,131,2009-2013
B15002_23_7th_and_8th_grade,5778,6193,2293,1940,6074,863,736,2009-2013
B15002_24_9th_grade,3205,4530,1449,1479,3853,677,451,2009-2013
B15002_25_10th_grade,3779,5497,2061,1841,4531,1146,535,2009-2013
B15002_26_11th_grade,3994,5456,1810,2178,4864,1288,586,2009-2013
"B15002_27_12th_grade,_no_diploma",3540,6483,2881,2209,4994,909,370,2009-2013
B15002_28_high_school_graduate_(includes_equivalency),71470,117942,53399,50642,59761,29128,11602,2009-2013
"B15002_29_some_college,_less_than_1_year",13978,23526,11126,10668,8973,7210,2691,2009-2013
"B15002_30_some_college,_1_or_more_years,_no_degree",34557,52480,26129,24360,28399,13148,5306,2009-2013
B15002_31_associate's_degree,26522,39123,22396,19906,14373,12439,5111,2009-2013
B15002_32_bachelor's_degree,58184,141989,68305,38105,56281,25098,8255,2009-2013
B15002_33_master's_degree,30930,98217,39030,17973,31436,12087,3814,2009-2013
B15002_34_professional_school_degree,5339,18237,8500,2573,8587,1426,520,2009-2013
B15002_35_doctorate_degree,2745,17479,5864,1382,5084,1093,581,2009-2013
B19001_1_total,286008,581120,257451,179617,288240,116262,46968,2009-2013
"B19001_2_less_than_$10,000",16708,26806,11685,7530,34149,3532,2483,2009-2013
"B19001_3_$10,000_to_$14,999",15484,22327,9330,7159,20335,3320,2297,2009-2013
"B19001_4_$15,000_to_$19,999",12937,20093,8402,6191,15088,3528,1744,2009-2013
"B19001_5_$20,000_to_$24,999",12304,20300,7788,6595,12785,4217,2377,2009-2013
"B19001_6_$25,000_to_$29,999",11020,18943,7699,5884,10679,3725,2458,2009-2013
"B19001_7_$30,000_to_$34,999",12468,19259,8810,7086,11129,4563,1838,2009-2013
"B19001_8_$35,000_to_$39,999",10970,17163,7671,6790,9917,3965,2002,2009-2013
"B19001_9_$40,000_to_$44,999",9676,19497,7880,5936,11521,4508,2311,2009-2013
"B19001_10_$45,000_to_$49,999",9578,16817,8054,6270,10858,4430,2448,2009-2013
"B19001_11_$50,000_to_$59,999",18743,36821,16076,12592,19827,7925,3934,2009-2013
"B19001_12_$60,000_to_$74,999",26306,50068,22122,17673,25423,12354,5140,2009-2013
"B19001_13_$75,000_to_$99,999",37428,74478,31904,25961,32226,17634,6569,2009-2013
"B19001_14_$100,000_to_$124,999",27291,63010,28631,20163,23409,13747,4228,2009-2013
"B19001_15_$125,000_to_$149,999",19935,46731,20870,14146,15405,9552,2633,2009-2013
"B19001_16_$150,000_to_$199,999",22594,59642,26702,15294,16713,10648,2753,2009-2013
"B19001_17_$200,000_or_more",22566,69165,33827,14347,18776,8614,1753,2009-2013
B19013_1_median_household_income_in_the_past_12_months_(in_2013_inflation-adjusted_dollars),67311,82090,84916,75092,53540,77348,58825,2009-2013
B25001_1_total,306605,612535,270908,200432,314929,126926,51775,2009-2013
B25003_1_total,286008,581120,257451,179617,288240,116262,46968,2009-2013
B25003_2_owner_occupied,181223,364548,178345,138462,102413,89262,30797,2009-2013
B25003_3_renter_occupied,104785,216572,79106,41155,185827,27000,16171,2009-2013
B25024_1_total,306605,612535,270908,200432,314929,126926,51775,2009-2013
"B25024_2_1,_detached",153710,298958,156665,141849,42580,81952,28971,2009-2013
"B25024_3_1,_attached",18637,38326,12429,8177,18415,9547,1960,2009-2013
B25024_4_2,35971,79334,20187,11064,46343,6016,3112,2009-2013
B25024_5_3_or_4,34752,54432,17216,11773,78110,4632,4204,2009-2013
