index,34005,34007,34015,34033,42017,42029,42045,42091,42101,10003,24015,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,nj,nj,nj,nj,pa,pa,pa,pa,pa,de,md,2008-2012
B01001_41_55_to_59_years,15361,17566,9751,2536,23558,17648,19161,28144,47381,18520,3565,2008-2012
B01001_42_60_and_61_years,6028,6592,3799,880,7973,5731,7722,10664,17781,6339,1245,2008-2012
B01001_43_62_to_64_years,7561,8216,4569,1098,11280,8181,8716,13255,23159,8412,1584,2008-2012
B01001_44_65_and_66_years,4430,4818,2485,567,6505,4683,5094,7780,14015,5069,934,2008-2012
B01001_45_67_to_69_years,5569,6074,3302,897,8619,5633,6520,10036,17202,6147,1122,2008-2012
B01001_46_70_to_74_years,7885,7986,4751,1218,10202,7891,9269,14334,23913,8432,1481,2008-2012
B01001_47_75_to_79_years,6562,6484,3906,1134,9291,6576,9225,13107,21139,7144,1108,2008-2012
B01001_48_80_to_84_years,5535,6434,3273,1059,8255,5681,8293,11775,18261,5623,847,2008-2012
B01001_49_85_years_and_over,6210,7236,3147,853,9568,6151,9363,13727,19494,6082,970,2008-2012
B02001_1_total,449117,513660,288187,66007,625485,499548,558874,799886,1525811,539665,101109,2008-2012
B02001_2_white_alone,333460,332006,239402,52871,562737,436742,407100,657641,631799,363926,90583,2008-2012
B02001_3_black_or_african_american_alone,72612,97391,28656,9535,22785,30005,110537,69139,662657,128385,6440,2008-2012
B02001_4_american_indian_and_alaska_native_alone,528,2205,460,155,540,329,409,884,4473,1280,229,2008-2012
B02001_5_asian_alone,19759,26329,7763,649,24607,19198,26802,51172,96995,23762,1098,2008-2012
B02001_6_native_hawaiian_and_other_pacific_islander_alone,122,133,61,3,138,110,85,207,1594,223,31,2008-2012
B02001_7_some_other_race_alone,9004,39953,5265,1594,5546,4761,4066,5806,90949,10510,853,2008-2012
B02001_8_two_or_more_races,13632,15643,6580,1200,9132,8403,9875,15037,37344,11579,1875,2008-2012
B02001_9_two_races_including_some_other_race,2059,4382,1033,192,1377,1026,1127,1651,7926,1458,40,2008-2012
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",11573,11261,5547,1008,7755,7377,8748,13386,29418,10121,1835,2008-2012
B11001_1_total,165620,188861,104091,24950,229933,183793,206021,308083,580509,200618,35942,2008-2012
B11001_2_family_households,115689,127420,75573,17046,165687,130429,137815,208803,312290,134499,26277,2008-2012
B11001_3_married-couple_family,89534,88545,58113,12237,136085,109579,99165,169758,160378,96197,20539,2008-2012
B11001_4_other_family,26155,38875,17460,4809,29602,20850,38650,39045,151912,38302,5738,2008-2012
"B11001_5_male_householder,_no_wife_present",7036,9187,4710,1345,8231,6210,9677,10670,32189,9629,1857,2008-2012
"B11001_6_female_householder,_no_husband_present",19119,29688,12750,3464,21371,14640,28973,28375,119723,28673,3881,2008-2012
B11001_7_nonfamily_households,49931,61441,28518,7904,64246,53364,68206,99280,268219,66119,9665,2008-2012
B11001_8_householder_living_alone,42248,51407,23393,6770,54062,43006,58275,83568,227141,53104,8086,2008-2012
B11001_9_householder_not_living_alone,7683,10034,5125,1134,10184,10358,9931,15712,41078,13015,1579,2008-2012
B15002_1_total,307746,342579,191400,45107,434853,331731,370252,555266,982024,356060,66837,2008-2012
B15002_2_male,147191,160292,90213,21313,208610,159799,171795,263595,447769,168609,32550,2008-2012
B15002_3_no_schooling_completed,881,2208,678,252,1154,1026,1648,1324,8310,1645,339,2008-2012
B15002_4_nursery_to_4th_grade,416,1240,183,141,181,673,569,396,3739,1001,115,2008-2012
B15002_5_5th_and_6th_grade,948,1638,360,92,777,1699,971,1524,6486,1474,232,2008-2012
B15002_6_7th_and_8th_grade,1625,2567,1295,443,1907,1872,1626,2486,10241,2590,790,2008-2012
B15002_7_9th_grade,1613,3014,1056,388,1808,1380,1362,1889,10266,2744,696,2008-2012
B15002_8_10th_grade,2609,4144,1776,676,3171,2082,2872,3729,17050,3790,1094,2008-2012
B15002_9_11th_grade,2361,4144,1966,703,2994,1913,3092,3867,20495,3910,910,2008-2012
"B15002_10_12th_grade,_no_diploma",2503,2866,1553,475,2792,1752,2707,3034,13979,2397,482,2008-2012
"B15002_11_high_school_graduate,_ged,_or_alternative",42767,50662,30919,8563,64731,36641,52875,65569,156851,49280,12083,2008-2012
"B15002_12_some_college,_less_than_1_year",9957,9746,6749,1382,12873,6802,9249,12540,21601,9899,2269,2008-2012
"B15002_13_some_college,_1_or_more_years,_no_degree",20184,20746,12639,2836,27088,16207,21329,30646,54128,22410,4723,2008-2012
B15002_14_associate's_degree,9793,9923,5888,1312,12414,8006,11170,14228,20086,10249,2076,2008-2012
B15002_15_bachelor's_degree,32441,29417,16807,2760,46765,46266,35958,70030,61475,33007,4466,2008-2012
B15002_16_master's_degree,12788,10793,5584,863,20086,22049,15299,29767,24530,14676,1738,2008-2012
B15002_17_professional_school_degree,4368,5044,1606,276,5837,6393,6597,14142,11814,4510,258,2008-2012
B15002_18_doctorate_degree,1937,2140,1154,151,4032,5038,4471,8424,6718,5027,279,2008-2012
B15002_19_female,160555,182287,101187,23794,226243,171932,198457,291671,534255,187451,34287,2008-2012
B15002_20_no_schooling_completed,1091,2219,452,198,1168,954,1586,1608,10958,1438,245,2008-2012
B15002_21_nursery_to_4th_grade,492,1326,208,123,369,575,631,545,4002,807,109,2008-2012
B15002_22_5th_and_6th_grade,846,2155,517,232,766,1086,832,1592,6442,1215,68,2008-2012
B15002_23_7th_and_8th_grade,2093,3262,1190,533,2458,1782,2310,2843,12243,2439,788,2008-2012
B15002_24_9th_grade,1240,2543,1102,495,1592,1505,1459,1914,10301,2508,585,2008-2012
B15002_25_10th_grade,2989,4773,1887,570,3475,2116,3215,3744,18980,3739,626,2008-2012
B15002_26_11th_grade,2320,4985,2051,713,3455,2102,3791,4117,24959,4019,1045,2008-2012
"B15002_27_12th_grade,_no_diploma",2366,2897,1434,404,2694,1767,2798,3137,14307,2612,601,2008-2012
"B15002_28_high_school_graduate,_ged,_or_alternative",49941,58382,34964,8638,74977,42199,65645,75896,182948,53678,12578,2008-2012
"B15002_29_some_college,_less_than_1_year",10146,11001,7233,1508,12901,7646,11967,15050,27260,12152,2791,2008-2012
"B15002_30_some_college,_1_or_more_years,_no_degree",19983,24181,12028,3357,27018,17970,21531,31602,67223,26338,4800,2008-2012
B15002_31_associate's_degree,13475,13713,9584,2506,19467,11843,15792,21323,31370,14413,2574,2008-2012
B15002_32_bachelor's_degree,35430,33612,20267,3184,46815,51432,39745,74103,69838,38067,4880,2008-2012
B15002_33_master's_degree,14024,13069,6883,1081,23508,22347,19924,40245,37117,18391,2118,2008-2012
B15002_34_professional_school_degree,2726,3085,841,162,3380,3765,4005,8292,10151,3444,247,2008-2012
B15002_35_doctorate_degree,1393,1084,546,90,2200,2843,3226,5660,6156,2191,232,2008-2012
B19001_1_total,165620,188861,104091,24950,229933,183793,206021,308083,580509,200618,35942,2008-2012
"B19001_2_less_than_$10,000",5335,12548,4288,1683,6891,6266,10893,11196,86188,10794,1614,2008-2012
"B19001_3_$10,000_to_$14,999",4244,9091,3497,995,6963,4368,8142,9254,48225,7211,1350,2008-2012
"B19001_4_$15,000_to_$19,999",5114,8291,3941,1553,7481,5238,8677,10263,39751,7950,1784,2008-2012
"B19001_5_$20,000_to_$24,999",5511,8114,3323,1165,7751,5414,9189,10205,38092,8487,1476,2008-2012
"B19001_6_$25,000_to_$29,999",6075,8613,3748,1101,7883,5711,10055,10908,33409,8779,1276,2008-2012
"B19001_7_$30,000_to_$34,999",6044,7976,3982,1015,8679,6742,8815,11908,32307,9054,1369,2008-2012
"B19001_8_$35,000_to_$39,999",5185,7639,3413,1023,8234,5614,8608,10817,27736,7748,1537,2008-2012
"B19001_9_$40,000_to_$44,999",6440,7773,3639,1131,9471,6835,9571,10969,28190,9449,1574,2008-2012
"B19001_10_$45,000_to_$49,999",6732,7068,3376,877,8132,5494,8032,9891,22832,7392,1674,2008-2012
"B19001_11_$50,000_to_$59,999",12256,14209,8009,2044,17737,11761,14856,21237,43878,16391,2715,2008-2012
"B19001_12_$60,000_to_$74,999",16820,18758,10886,2692,22786,16713,20400,29838,50203,20324,3998,2008-2012
"B19001_13_$75,000_to_$99,999",24779,25682,15920,3420,32956,25060,26783,43096,54205,27258,5320,2008-2012
"B19001_14_$100,000_to_$124,999",19347,19153,12647,2630,26316,21734,19222,35143,29749,21305,4158,2008-2012
"B19001_15_$125,000_to_$149,999",13567,12170,8596,1554,18446,13939,13678,23337,16903,13053,2768,2008-2012
"B19001_16_$150,000_to_$199,999",15362,12083,8961,1255,20275,19673,14815,27583,15573,13809,2111,2008-2012
"B19001_17_$200,000_or_more",12809,9693,5865,812,19932,23231,14285,32438,13268,11614,1218,2008-2012
B19013_1_median_household_income_in_the_past_12_months_(in_2012_inflation-adjusted_dollars),78229,62320,74915,59336,76859,86184,64242,78984,37016,64670,66025,2008-2012
B25001_1_total,175844,205174,109884,27437,245591,192257,222632,325269,669244,217357,41131,2008-2012
B25003_1_total,165620,188861,104091,24950,229933,183793,206021,308083,580509,200618,35942,2008-2012
B25003_2_owner_occupied,129059,130044,83949,17941,179829,140502,145833,225549,314076,140751,26611,2008-2012
B25003_3_renter_occupied,36561,58817,20142,7009,50104,43291,60188,82534,266433,59867,9331,2008-2012
B25024_1_total,175844,205174,109884,27437,245591,192257,222632,325269,669244,217357,41131,2008-2012
"B25024_2_1,_detached",113588,114416,80552,20018,155953,118798,101723,177809,56430,118621,29002,2008-2012
"B25024_3_1,_attached",26320,35517,8043,1332,37149,33786,65418,64307,388839,43992,3540,2008-2012
B25024_4_2,3340,8988,2909,1127,8450,3471,11708,11857,59619,4588,1324,2008-2012
B25024_5_3_or_4,5827,7421,3289,784,6721,6295,9858,12911,41640,6701,1015,2008-2012
B25024_6_5_to_9,8264,8015,3971,914,9557,6878,6459,9582,27324,9495,1857,2008-2012
B25024_7_10_to_19,8820,9849,3624,833,9976,7355,8211,13090,15012,16873,829,2008-2012
B25024_8_20_to_49,3636,5479,2502,340,4821,5549,8134,9521,18179,3789,280,2008-2012
B25024_9_50_or_more,3269,13952,2322,959,7922,4768,10380,23035,60882,8316,352,2008-2012
B25024_10_mobile_home,2770,1467,2672,1130,5022,5299,702,3043,1217,4959,2927,2008-2012
"B25024_11_boat,_rv,_van,_etc.",10,70,0,0,20,58,39,114,102,23,5,2008-2012
B25077_1_median_value_(dollars),259800,218700,232400,197200,315600,329700,236600,296000,142300,251200,261900,2008-2012
B25034_1_total,175844,205174,109884,27437,245591,192257,222632,325269,669244,217357,41131,2008-2012
B25034_2_built_2010_or_later,341,314,403,88,373,519,172,565,806,582,173,2008-2012
B25034_3_built_2000_to_2009,18789,12786,16951,2368,22686,29596,11197,29097,21788,23208,7101,2008-2012
B25034_4_built_1990_to_1999,22969,14533,14508,1944,31536,30084,11553,36309,17007,30447,8425,2008-2012
B25034_5_built_1980_to_1989,25767,23188,15739,2546,35864,32297,13928,36704,25296,28810,6106,2008-2012
B25034_6_built_1970_to_1979,32181,34062,18360,4158,47203,27965,19481,42564,45816,26737,5641,2008-2012
B25034_7_built_1960_to_1969,27175,30029,12510,3328,34254,19563,25647,40799,70407,32053,3245,2008-2012
B25034_8_built_1950_to_1959,22427,32911,12728,3893,41349,18107,58422,55182,114134,33177,3073,2008-2012
B25034_9_built_1940_to_1949,6287,19633,6189,2545,8617,5835,32715,22898,105661,15419,2151,2008-2012
B25034_10_built_1939_or_earlier,19908,37718,12496,6567,23709,28291,49517,61151,268329,26924,5216,2008-2012
B25127_1_total,165620,188861,104091,24950,229933,183793,206021,308083,580509,200618,35942,2008-2012
B25127_2_owner_occupied,129059,130044,83949,17941,179829,140502,145833,225549,314076,140751,26611,2008-2012
B25127_3_built_2000_or_later,14376,7754,14134,1727,18144,23618,7326,21245,7340,16533,5472,2008-2012
"B25127_4_1,_detached__or_attached",13665,7233,13331,1653,16384,22297,6456,19630,5877,15712,4941,2008-2012
B25127_5_2_to_4,146,194,52,10,141,209,16,93,176,7,48,2008-2012
B25127_6_5_to_19,168,15,214,0,432,139,243,145,335,62,41,2008-2012
B25127_7_20_to_49,67,178,39,0,202,50,193,266,264,17,0,2008-2012
B25127_8_50_or_more,0,76,17,0,344,78,402,616,656,190,0,2008-2012
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",330,58,481,64,641,845,16,495,32,545,442,2008-2012
B25127_10_built_1980_to_1999,38381,25378,25355,3311,54578,49720,16994,56258,13456,42094,10293,2008-2012
"B25127_11_1,_detached__or_attached",34111,23239,23058,2974,50294,46104,15674,52611,10314,37987,9204,2008-2012
B25127_12_2_to_4,638,302,302,27,835,440,332,375,695,228,53,2008-2012
B25127_13_5_to_19,2367,1164,1096,0,1347,689,281,1225,626,976,59,2008-2012
B25127_14_20_to_49,189,93,72,0,301,120,189,288,425,202,6,2008-2012
B25127_15_50_or_more,127,142,62,0,91,271,299,425,1087,139,4,2008-2012
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",949,438,765,310,1710,2096,219,1334,309,2562,967,2008-2012
B25127_17_built_1960_to_1979,40895,37678,21742,4827,50365,33623,25693,52005,50441,34943,5949,2008-2012
"B25127_18_1,_detached__or_attached",37889,35361,20473,4339,47752,31284,23461,47033,43088,32762,5475,2008-2012
B25127_19_2_to_4,591,387,212,11,367,125,547,520,2641,92,0,2008-2012
B25127_20_5_to_19,1257,724,275,28,434,857,774,792,824,437,30,2008-2012
B25127_21_20_to_49,204,152,9,0,189,421,318,569,256,520,0,2008-2012
B25127_22_50_or_more,125,497,0,0,112,171,444,2384,3524,389,0,2008-2012
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",829,557,773,449,1511,765,149,707,108,743,444,2008-2012
B25127_24_built_1940_to_1959,22004,34741,13887,4234,40856,18272,63810,58119,111471,33344,2543,2008-2012
"B25127_25_1,_detached__or_attached",21777,33932,13660,4193,40476,18056,62249,56833,106105,32789,2488,2008-2012
B25127_26_2_to_4,122,645,109,38,201,140,909,306,3371,108,18,2008-2012
B25127_27_5_to_19,20,33,0,0,48,17,190,132,161,143,0,2008-2012
B25127_28_20_to_49,0,49,10,0,17,34,31,162,162,81,0,2008-2012
B25127_29_50_or_more,20,35,0,0,50,13,373,643,1586,174,0,2008-2012
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",65,47,108,3,64,12,58,43,86,49,37,2008-2012
B25127_31_built_1939_or_earlier,13403,24493,8831,3842,15886,15269,32010,37922,131368,13837,2354,2008-2012
"B25127_32_1,_detached__or_attached",13084,23507,8520,3767,15475,14750,31223,36763,124402,13537,2289,2008-2012
B25127_33_2_to_4,289,822,279,37,312,470,695,747,3674,75,47,2008-2012
B25127_34_5_to_19,30,112,0,0,72,10,37,131,1332,76,18,2008-2012
B25127_35_20_to_49,0,11,18,0,0,9,14,188,559,99,0,2008-2012
B25127_36_50_or_more,0,16,0,0,15,18,41,65,1313,49,0,2008-2012
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",0,25,14,38,12,12,0,28,88,1,0,2008-2012
B25127_38_renter_occupied,36561,58817,20142,7009,50104,43291,60188,82534,266433,59867,9331,2008-2012
B25127_39_built_2000_or_later,3923,4373,2152,564,3565,5080,3135,6718,11441,5511,1326,2008-2012
"B25127_40_1,_detached__or_attached",2024,1219,675,165,1145,1602,950,1536,2705,1958,363,2008-2012
B25127_41_2_to_4,365,595,220,42,124,491,220,480,2208,562,116,2008-2012
B25127_42_5_to_19,873,681,812,39,525,1178,250,1557,1220,2064,542,2008-2012
B25127_43_20_to_49,241,388,95,30,422,721,415,766,905,231,34,2008-2012
B25127_44_50_or_more,368,1469,302,264,1303,985,1260,2370,4353,641,223,2008-2012
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",52,21,48,24,46,103,40,9,50,55,48,2008-2012
B25127_46_built_1980_to_1999,8378,10214,3904,828,10028,10478,6867,14342,23905,14460,2647,2008-2012
"B25127_47_1,_detached__or_attached",2673,1881,909,170,2650,3486,1210,3620,4595,4878,949,2008-2012
B25127_48_2_to_4,1190,1550,764,97,1731,1093,1265,2607,5659,1023,493,2008-2012
B25127_49_5_to_19,2754,2735,1277,333,2732,3107,1458,3499,3736,6032,726,2008-2012
B25127_50_20_to_49,661,922,341,39,830,1073,761,938,2041,730,81,2008-2012
B25127_51_50_or_more,990,3060,487,122,1942,1034,2138,3566,7519,1361,62,2008-2012
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",110,66,126,67,143,685,35,112,355,436,336,2008-2012
B25127_53_built_1960_to_1979,14726,21361,7642,2259,23318,12194,16721,26910,54330,19315,2170,2008-2012
"B25127_54_1,_detached__or_attached",3720,4058,1440,603,4104,2853,2998,4234,11508,4308,1205,2008-2012
B25127_55_2_to_4,2126,3605,1501,380,5497,1522,3978,5078,16887,1838,271,2008-2012
B25127_56_5_to_19,6041,7194,2514,671,8603,4609,4891,7530,8511,8918,400,2008-2012
B25127_57_20_to_49,1478,2072,1239,100,1983,1778,2131,2976,4159,1106,47,2008-2012
B25127_58_50_or_more,1155,4231,834,369,2945,1161,2590,6946,13127,2876,10,2008-2012
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",206,201,114,136,186,271,133,146,138,269,237,2008-2012
B25127_60_built_1940_to_1959,5086,13342,3896,1605,7146,4860,20597,16163,79884,11455,1513,2008-2012
"B25127_61_1,_detached__or_attached",2457,5351,1799,798,3783,2610,8070,5246,38541,5031,903,2008-2012
B25127_62_2_to_4,1254,3448,985,427,1247,892,5931,4624,20817,2471,373,2008-2012
B25127_63_5_to_19,977,2198,545,241,1396,735,3355,2520,7924,2587,204,2008-2012
B25127_64_20_to_49,259,481,341,79,279,294,2028,1163,3511,361,23,2008-2012
B25127_65_50_or_more,139,1861,181,60,415,329,1213,2610,9085,893,10,2008-2012
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",0,3,45,0,26,0,0,0,6,112,0,2008-2012
B25127_67_built_1939_or_earlier,4448,9527,2548,1753,6047,10679,12868,18401,96873,9126,1675,2008-2012
"B25127_68_1,_detached__or_attached",2035,4647,1274,1185,2620,4429,6059,6523,48223,4729,831,2008-2012
B25127_69_2_to_4,1478,2680,866,399,2213,3542,4055,7103,24131,2807,566,2008-2012
B25127_70_5_to_19,720,1153,239,108,995,1856,1470,2788,11939,1040,188,2008-2012
B25127_71_20_to_49,168,317,82,0,85,422,790,937,3575,187,35,2008-2012
B25127_72_50_or_more,47,713,87,50,134,398,490,1050,8966,363,24,2008-2012
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",0,17,0,11,0,32,4,0,39,0,31,2008-2012
B03002_1_total,449117,513660,288187,66007,625485,499548,558874,799886,1525811,539665,101109,2008-2012
B03002_2_not_hispanic_or_latino,419892,440372,274386,61497,598717,467399,542314,766111,1337750,492891,97673,2008-2012
B03002_3_white_alone,316918,309269,233131,50557,542919,410125,397231,632040,561646,332713,88006,2008-2012
B03002_4_black_or_african_american_alone,70614,92997,27841,9207,21904,29502,108782,67668,644938,125637,6148,2008-2012
B03002_5_american_indian_and_alaska_native_alone,385,1029,317,101,368,241,313,619,2700,899,229,2008-2012
B03002_6_asian_alone,19661,26169,7603,648,24589,19174,26637,50854,96321,23668,1098,2008-2012
B03002_7_native_hawaiian_and_other_pacific_islander_alone,97,133,37,3,138,110,85,178,438,49,16,2008-2012
B03002_8_some_other_race_alone,1323,944,588,70,839,1051,446,1479,5567,761,450,2008-2012
B03002_9_two_or_more_races,10894,9831,4869,911,7960,7196,8820,13273,26140,9164,1726,2008-2012
B03002_10_two_races_including_some_other_race,633,806,133,0,514,485,621,660,1330,409,22,2008-2012
"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",10261,9025,4736,911,7446,6711,8199,12613,24810,8755,1704,2008-2012
B03002_12_hispanic_or_latino,29225,73288,13801,4510,26768,32149,16560,33775,188061,46774,3436,2008-2012
B03002_13_white_alone,16542,22737,6271,2314,19818,26617,9869,25601,70153,31213,2577,2008-2012
B03002_14_black_or_african_american_alone,1998,4394,815,328,881,503,1755,1471,17719,2748,292,2008-2012
B03002_15_american_indian_and_alaska_native_alone,143,1176,143,54,172,88,96,265,1773,381,0,2008-2012
B03002_16_asian_alone,98,160,160,1,18,24,165,318,674,94,0,2008-2012
B03002_17_native_hawaiian_and_other_pacific_islander_alone,25,0,24,0,0,0,0,29,1156,174,15,2008-2012
B03002_18_some_other_race_alone,7681,39009,4677,1524,4707,3710,3620,4327,85382,9749,403,2008-2012
B03002_19_two_or_more_races,2738,5812,1711,289,1172,1207,1055,1764,11204,2415,149,2008-2012
B03002_20_two_races_including_some_other_race,1426,3576,900,192,863,541,506,991,6596,1049,18,2008-2012
"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",1312,2236,811,97,309,666,549,773,4608,1366,131,2008-2012
