index,12011,12086,12099,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,2009-2013
FILETYPE,2013e5,2013e5,2013e5,2009-2013
STATE,fl,fl,fl,2009-2013
CHARITER,000,000,000,2009-2013
SEQUENCE,0003,0003,0003,2009-2013
LOGRECNO,0000018,0000055,0000062,2009-2013
SUMMARY_LEVEL,050,050,050,2009-2013
STATE_FIPS,12,12,12,2009-2013
GEO_ID,05000US12011,05000US12086,05000US12099,2009-2013
GEO_NAME,"Broward County, Florida","Miami-Dade County, Florida","Palm Beach County, Florida",2009-2013
B01003_1_total,1784889,2549075,1339221,2009-2013
B01001_1_total,1784889,2549075,1339221,2009-2013
B01001_2_male,866277,1236500,648352,2009-2013
B01001_3_under_5_years,53605,77885,35945,2009-2013
B01001_4_5_to_9_years,53669,75598,37287,2009-2013
B01001_5_10_to_14_years,58072,76761,39513,2009-2013
B01001_6_15_to_17_years,36617,49329,25255,2009-2013
B01001_7_18_and_19_years,22271,34823,16275,2009-2013
B01001_8_20_years,11182,18870,8985,2009-2013
B01001_9_21_years,11770,18803,7407,2009-2013
B01001_10_22_to_24_years,32262,54192,23409,2009-2013
B01001_11_25_to_29_years,57488,89972,39279,2009-2013
B01001_12_30_to_34_years,56364,85243,36666,2009-2013
B01001_13_35_to_39_years,58543,91586,37892,2009-2013
B01001_14_40_to_44_years,62927,94836,43125,2009-2013
B01001_15_45_to_49_years,69657,98996,46036,2009-2013
B01001_16_50_to_54_years,67321,84984,46076,2009-2013
B01001_17_55_to_59_years,57219,71086,40709,2009-2013
B01001_18_60_and_61_years,19422,26075,14794,2009-2013
B01001_19_62_to_64_years,27250,34697,21667,2009-2013
B01001_20_65_and_66_years,16038,20740,13953,2009-2013
B01001_21_67_to_69_years,21553,26697,19716,2009-2013
B01001_22_70_to_74_years,24213,38725,27141,2009-2013
B01001_23_75_to_79_years,18242,29092,24548,2009-2013
B01001_24_80_to_84_years,16458,21230,21226,2009-2013
B01001_25_85_years_and_over,14134,16280,21448,2009-2013
B01001_26_female,918612,1312575,690869,2009-2013
B01001_27_under_5_years,51592,74676,34662,2009-2013
B01001_28_5_to_9_years,50477,72186,37010,2009-2013
B01001_29_10_to_14_years,56051,73278,36740,2009-2013
B01001_30_15_to_17_years,34584,47076,23806,2009-2013
B01001_31_18_and_19_years,20557,33378,15135,2009-2013
B01001_32_20_years,10032,18861,7919,2009-2013
B01001_33_21_years,11295,17925,8030,2009-2013
B01001_34_22_to_24_years,32819,53274,20840,2009-2013
B01001_35_25_to_29_years,59715,90013,37263,2009-2013
B01001_36_30_to_34_years,59702,86561,36847,2009-2013
B01001_37_35_to_39_years,58850,90219,40396,2009-2013
B01001_38_40_to_44_years,70118,96473,42713,2009-2013
B01001_39_45_to_49_years,72376,101025,48307,2009-2013
B01001_40_50_to_54_years,69669,92055,48382,2009-2013
B01001_41_55_to_59_years,60283,80560,46331,2009-2013
B01001_42_60_and_61_years,21329,30120,17157,2009-2013
B01001_43_62_to_64_years,30635,40940,23927,2009-2013
B01001_44_65_and_66_years,18137,24208,18255,2009-2013
B01001_45_67_to_69_years,22657,33007,23762,2009-2013
B01001_46_70_to_74_years,30888,50726,33223,2009-2013
B01001_47_75_to_79_years,25453,39897,30110,2009-2013
B01001_48_80_to_84_years,23043,32508,28302,2009-2013
B01001_49_85_years_and_over,28350,33609,31752,2009-2013
B02001_1_total,1784889,2549075,1339221,2009-2013
B02001_2_white_alone,1129974,1916250,1015518,2009-2013
B02001_3_black_or_african_american_alone,484677,480201,234735,2009-2013
B02001_4_american_indian_and_alaska_native_alone,3858,4092,2363,2009-2013
B02001_5_asian_alone,59768,40515,31621,2009-2013
B02001_6_native_hawaiian_and_other_pacific_islander_alone,1056,644,654,2009-2013
B02001_7_some_other_race_alone,60906,71327,27652,2009-2013
B02001_8_two_or_more_races,44650,36046,26678,2009-2013
B02001_9_two_races_including_some_other_race,10931,13091,4080,2009-2013
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",33719,22955,22598,2009-2013
B11001_1_total,663458,828031,526007,2009-2013
B11001_2_family_households,418780,567717,324859,2009-2013
B11001_3_married-couple_family,284913,365299,238936,2009-2013
B11001_4_other_family,133867,202418,85923,2009-2013
"B11001_5_male_householder,_no_wife_present",30833,52361,22859,2009-2013
"B11001_6_female_householder,_no_husband_present",103034,150057,63064,2009-2013
B11001_7_nonfamily_households,244678,260314,201148,2009-2013
B11001_8_householder_living_alone,199764,214452,166350,2009-2013
B11001_9_householder_not_living_alone,44914,45862,34798,2009-2013
B15002_1_total,1238034,1752160,961003,2009-2013
B15002_2_male,586829,830239,454276,2009-2013
B15002_3_no_schooling_completed,8027,16369,7071,2009-2013
B15002_4_nursery_to_4th_grade,4598,14726,5909,2009-2013
B15002_5_5th_and_6th_grade,8724,35024,10132,2009-2013
B15002_6_7th_and_8th_grade,8990,22323,6921,2009-2013
B15002_7_9th_grade,7605,21247,6097,2009-2013
B15002_8_10th_grade,9646,17425,7803,2009-2013
B15002_9_11th_grade,11816,18425,9643,2009-2013
"B15002_10_12th_grade,_no_diploma",14131,31767,9519,2009-2013
B15002_11_high_school_graduate_(includes_equivalency),161997,239069,112309,2009-2013
"B15002_12_some_college,_less_than_1_year",30397,31660,24015,2009-2013
"B15002_13_some_college,_1_or_more_years,_no_degree",92124,96390,65162,2009-2013
B15002_14_associate's_degree,48162,65259,31945,2009-2013
B15002_15_bachelor's_degree,113935,134376,96052,2009-2013
B15002_16_master's_degree,40148,47276,33637,2009-2013
B15002_17_professional_school_degree,19033,27695,20284,2009-2013
B15002_18_doctorate_degree,7496,11208,7777,2009-2013
B15002_19_female,651205,921921,506727,2009-2013
B15002_20_no_schooling_completed,9632,21866,7587,2009-2013
B15002_21_nursery_to_4th_grade,5311,17996,4547,2009-2013
B15002_22_5th_and_6th_grade,9961,44424,7202,2009-2013
B15002_23_7th_and_8th_grade,9618,24151,6905,2009-2013
B15002_24_9th_grade,7481,20500,4725,2009-2013
B15002_25_10th_grade,9928,15097,7218,2009-2013
B15002_26_11th_grade,11245,16625,8750,2009-2013
"B15002_27_12th_grade,_no_diploma",14245,33154,10124,2009-2013
B15002_28_high_school_graduate_(includes_equivalency),182251,257538,139125,2009-2013
"B15002_29_some_college,_less_than_1_year",37740,38184,32237,2009-2013
"B15002_30_some_college,_1_or_more_years,_no_degree",100163,107883,77416,2009-2013
B15002_31_associate's_degree,64278,84543,46894,2009-2013
B15002_32_bachelor's_degree,124131,156271,98264,2009-2013
B15002_33_master's_degree,48434,54973,41844,2009-2013
B15002_34_professional_school_degree,10956,19570,9118,2009-2013
B15002_35_doctorate_degree,5831,9146,4771,2009-2013
B19001_1_total,663458,828031,526007,2009-2013
"B19001_2_less_than_$10,000",47868,87606,33842,2009-2013
"B19001_3_$10,000_to_$14,999",36219,55600,27699,2009-2013
"B19001_4_$15,000_to_$19,999",37252,55369,29057,2009-2013
"B19001_5_$20,000_to_$24,999",35655,53055,29495,2009-2013
"B19001_6_$25,000_to_$29,999",35998,48206,28559,2009-2013
"B19001_7_$30,000_to_$34,999",37027,46360,27275,2009-2013
"B19001_8_$35,000_to_$39,999",33250,41998,25662,2009-2013
"B19001_9_$40,000_to_$44,999",34098,41137,27015,2009-2013
"B19001_10_$45,000_to_$49,999",26787,33643,23095,2009-2013
"B19001_11_$50,000_to_$59,999",53822,62134,42738,2009-2013
"B19001_12_$60,000_to_$74,999",64688,74165,50392,2009-2013
"B19001_13_$75,000_to_$99,999",76842,83229,59003,2009-2013
"B19001_14_$100,000_to_$124,999",50939,52224,39943,2009-2013
"B19001_15_$125,000_to_$149,999",30995,28175,24750,2009-2013
"B19001_16_$150,000_to_$199,999",32041,29272,24884,2009-2013
"B19001_17_$200,000_or_more",29977,35858,32598,2009-2013
B19013_1_median_household_income_in_the_past_12_months_(in_2013_inflation-adjusted_dollars),51251,43100,52432,2009-2013
B25001_1_total,810651,990697,665665,2009-2013
B25003_1_total,663458,828031,526007,2009-2013
B25003_2_owner_occupied,437074,461562,374397,2009-2013
B25003_3_renter_occupied,226384,366469,151610,2009-2013
B25024_1_total,810651,990697,665665,2009-2013
"B25024_2_1,_detached",335719,405691,307900,2009-2013
"B25024_3_1,_attached",65075,102181,68885,2009-2013
B25024_4_2,22305,20745,18270,2009-2013
B25024_5_3_or_4,35385,34136,45289,2009-2013
B25024_6_5_to_9,46191,50088,40820,2009-2013
B25024_7_10_to_19,58523,62447,43104,2009-2013
B25024_8_20_to_49,100914,87590,64009,2009-2013
B25024_9_50_or_more,124369,214382,58970,2009-2013
B25024_10_mobile_home,21655,13008,18166,2009-2013
"B25024_11_boat,_rv,_van,_etc.",515,429,252,2009-2013
B25077_1_median_value_(dollars),181500,201000,199700,2009-2013
B25034_1_total,810651,990697,665665,2009-2013
B25034_2_built_2010_or_later,2307,3169,1716,2009-2013
B25034_3_built_2000_to_2009,92915,140304,111709,2009-2013
B25034_4_built_1990_to_1999,130578,118490,117329,2009-2013
B25034_5_built_1980_to_1989,149951,153982,188820,2009-2013
B25034_6_built_1970_to_1979,220123,192654,133540,2009-2013
B25034_7_built_1960_to_1969,125874,132657,57173,2009-2013
B25034_8_built_1950_to_1959,72855,148516,35395,2009-2013
B25034_9_built_1940_to_1949,10347,63041,8915,2009-2013
B25034_10_built_1939_or_earlier,5701,37884,11068,2009-2013
B25127_1_total,663458,828031,526007,2009-2013
B25127_2_owner_occupied,437074,461562,374397,2009-2013
B25127_3_built_2000_or_later,47734,54614,62563,2009-2013
"B25127_4_1,_detached__or_attached",37699,39600,55662,2009-2013
B25127_5_2_to_4,1196,1061,1049,2009-2013
B25127_6_5_to_19,2407,2424,1588,2009-2013
B25127_7_20_to_49,839,1659,947,2009-2013
B25127_8_50_or_more,3196,8705,1527,2009-2013
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",2397,1165,1790,2009-2013
B25127_10_built_1980_to_1999,162856,138439,179562,2009-2013
"B25127_11_1,_detached__or_attached",119802,100781,135286,2009-2013
B25127_12_2_to_4,4216,3488,11279,2009-2013
B25127_13_5_to_19,10325,9372,12378,2009-2013
B25127_14_20_to_49,12518,6229,9478,2009-2013
B25127_15_50_or_more,12507,15704,6851,2009-2013
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",3488,2865,4290,2009-2013
B25127_17_built_1960_to_1979,177475,146134,101972,2009-2013
"B25127_18_1,_detached__or_attached",107601,99297,62534,2009-2013
B25127_19_2_to_4,4320,2893,7132,2009-2013
B25127_20_5_to_19,10204,6367,8518,2009-2013
B25127_21_20_to_49,21000,8494,10210,2009-2013
B25127_22_50_or_more,28293,26336,8715,2009-2013
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",6057,2747,4863,2009-2013
B25127_24_built_1940_to_1959,46662,108107,25129,2009-2013
"B25127_25_1,_detached__or_attached",40860,101268,23025,2009-2013
B25127_26_2_to_4,980,1536,422,2009-2013
B25127_27_5_to_19,996,1030,454,2009-2013
B25127_28_20_to_49,1776,1706,489,2009-2013
B25127_29_50_or_more,1571,2006,455,2009-2013
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",479,561,284,2009-2013
B25127_31_built_1939_or_earlier,2347,14268,5171,2009-2013
"B25127_32_1,_detached__or_attached",1739,12912,4592,2009-2013
B25127_33_2_to_4,87,326,151,2009-2013
B25127_34_5_to_19,81,445,89,2009-2013
B25127_35_20_to_49,202,242,144,2009-2013
B25127_36_50_or_more,207,274,168,2009-2013
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",31,69,27,2009-2013
B25127_38_renter_occupied,226384,366469,151610,2009-2013
B25127_39_built_2000_or_later,30970,52599,27367,2009-2013
"B25127_40_1,_detached__or_attached",8197,13264,8395,2009-2013
B25127_41_2_to_4,2890,3357,2802,2009-2013
B25127_42_5_to_19,7489,8697,7450,2009-2013
B25127_43_20_to_49,4766,5576,3471,2009-2013
B25127_44_50_or_more,6849,21078,4486,2009-2013
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",779,627,763,2009-2013
B25127_46_built_1980_to_1999,79528,92928,66240,2009-2013
"B25127_47_1,_detached__or_attached",16864,25382,17564,2009-2013
B25127_48_2_to_4,8664,7962,11541,2009-2013
B25127_49_5_to_19,27764,20528,19026,2009-2013
B25127_50_20_to_49,13098,14795,9001,2009-2013
B25127_51_50_or_more,11997,22736,8096,2009-2013
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",1141,1525,1012,2009-2013
B25127_53_built_1960_to_1979,89398,125302,42467,2009-2013
"B25127_54_1,_detached__or_attached",20861,33011,12397,2009-2013
B25127_55_2_to_4,18056,13314,9737,2009-2013
B25127_56_5_to_19,18917,23701,8988,2009-2013
B25127_57_20_to_49,14881,19771,5095,2009-2013
B25127_58_50_or_more,15041,33613,4620,2009-2013
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",1642,1892,1630,2009-2013
B25127_60_built_1940_to_1959,23849,78211,11993,2009-2013
