B01001_43_62_to_64_years,5501,8575,12408,23574,10706,8824,8976,12140,1303,6557,2377,4882,1591,868,3047,1329,9113,2433,2051,2007-2011
B01001_44_65_and_66_years,3357,5355,6396,13086,6262,5162,5102,6657,866,3526,1298,2810,1117,499,1626,1045,4927,1211,1106,2007-2011
B01001_45_67_to_69_years,4717,6356,8568,15950,8448,6325,6454,8191,822,3749,1892,3554,1255,686,2100,1016,6915,1592,1103,2007-2011
B01001_46_70_to_74_years,6423,8777,12823,24226,10738,7845,9734,11878,982,5921,2189,4317,1745,845,3144,1735,9697,2344,1977,2007-2011
B01001_47_75_to_79_years,6305,8158,10693,21158,10740,6774,8238,10687,948,4588,2103,3430,1536,967,2861,1253,9335,1876,1384,2007-2011
B01001_48_80_to_84_years,5045,7506,10553,18886,9868,5794,6926,9079,757,4384,1709,3235,1384,809,2485,1272,9272,1581,1157,2007-2011
B01001_49_85_years_and_over,4566,9212,12188,20438,10595,6523,7990,12107,948,4628,2129,2893,1226,998,3351,1532,10451,1883,1816,2007-2011
B02001_1_total,216639,547305,739505,1491762,666426,492934,713089,794981,60166,400243,146785,295162,122859,50264,166631,82765,627362,126937,117971,2007-2011
B02001_2_white_alone,202939,491386,603220,1209883,553155,425512,398818,694343,58232,365689,140547,282537,115413,48257,156186,75375,464287,119189,107223,2007-2011
B02001_3_black_or_african_american_alone,4267,19262,24706,66831,37557,40607,158173,30723,307,7926,1472,2124,1019,168,2697,3232,54972,1613,2134,2007-2011
B02001_4_american_indian_and_alaska_native_alone,850,764,1169,1874,768,772,2133,1595,101,566,243,400,289,62,170,174,3131,1069,316,2007-2011
B02001_5_asian_alone,2377,10302,23695,136496,56586,6311,59542,31058,569,13052,2197,4960,2956,774,3775,1197,23405,2325,1400,2007-2011
B02001_6_native_hawaiian_and_other_pacific_islander_alone,0,39,172,612,45,91,368,260,20,138,19,34,80,0,12,179,268,0,29,2007-2011
B02001_7_some_other_race_alone,2232,13757,71943,42086,8363,10883,56914,20260,90,6339,280,1297,712,144,1420,618,63231,1001,4050,2007-2011
B02001_8_two_or_more_races,3974,11795,14600,33980,9952,8758,37141,16742,847,6533,2027,3810,2390,859,2371,1990,18068,1740,2819,2007-2011
B02001_9_two_races_including_some_other_race,544,3077,3553,6376,1480,1845,4922,3319,91,904,78,361,146,88,669,209,5193,317,295,2007-2011
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",3430,8718,11047,27604,8472,6913,32219,13423,756,5629,1949,3449,2244,771,1702,1781,12875,1423,2524,2007-2011
B11001_1_total,96775,210536,284940,577349,255944,178996,286437,299089,24645,153471,57045,115105,46384,19289,68774,34600,238633,49179,44366,2007-2011
B11001_2_family_households,60416,141246,189180,367464,168783,126163,140275,202179,16755,105000,38633,80993,30058,13027,42994,21514,146814,32671,30229,2007-2011
B11001_3_married-couple_family,48534,101601,138002,293159,135689,97721,80201,152968,13149,81928,30994,67696,23598,10725,32819,17201,98699,26813,22421,2007-2011
B11001_4_other_family,11882,39645,51178,74305,33094,28442,60074,49211,3606,23072,7639,13297,6460,2302,10175,4313,48115,5858,7808,2007-2011
"B11001_5_male_householder,_no_wife_present",3138,9523,13089,18471,8351,6925,13012,13188,1036,7208,2060,4018,1921,485,2827,1058,11181,1803,2300,2007-2011
"B11001_6_female_householder,_no_husband_present",8744,30122,38089,55834,24743,21517,47062,36023,2570,15864,5579,9279,4539,1817,7348,3255,36934,4055,5508,2007-2011
B11001_7_nonfamily_households,36359,69290,95760,209885,87161,52833,146162,96910,7890,48471,18412,34112,16326,6262,25780,13086,91819,16508,14137,2007-2011
B11001_8_householder_living_alone,30825,57011,80354,162860,71308,43132,106303,78592,6465,37323,14366,26214,11574,5125,21732,10761,74909,13149,11344,2007-2011
B11001_9_householder_not_living_alone,5534,12279,15406,47025,15853,9701,39859,18318,1425,11148,4046,7898,4752,1137,4048,2325,16910,3359,2793,2007-2011
B15002_1_total,164014,372139,502544,1030224,460421,333185,461552,531460,43222,271021,101211,205114,78183,33777,119429,58808,412504,84069,78780,2007-2011
B15002_2_male,75676,175737,234248,490382,215433,157781,219178,255980,20836,131906,48954,99546,37734,15603,55821,28048,193884,39998,38121,2007-2011
B15002_3_no_schooling_completed,393,3629,2860,5172,1775,957,4387,2326,108,705,280,259,201,397,413,231,4091,384,411,2007-2011
B15002_4_nursery_to_4th_grade,100,3982,2350,2471,627,665,3778,1058,69,371,73,80,138,316,113,35,3288,51,158,2007-2011
B15002_5_5th_and_6th_grade,284,2592,2739,3860,1160,806,5522,1931,74,979,104,201,115,115,190,65,4378,94,403,2007-2011
B15002_6_7th_and_8th_grade,608,6315,4608,5928,2101,1871,5781,5259,595,2501,832,1306,1133,288,824,513,7122,433,1404,2007-2011
B15002_7_9th_grade,549,4769,3753,5166,1730,1566,3904,3808,335,1848,690,1166,532,168,1213,351,4797,500,689,2007-2011
B15002_8_10th_grade,692,5347,4114,6034,2651,3015,4365,6498,631,2474,1175,1208,650,382,1519,295,6841,653,837,2007-2011
B15002_9_11th_grade,830,4850,3679,5320,1675,2767,4382,5335,512,1920,1088,1274,753,206,1188,523,6011,533,1215,2007-2011
"B15002_10_12th_grade,_no_diploma",936,3745,3859,6930,3016,2317,5380,4129,335,2249,718,1123,419,245,828,293,4808,825,914,2007-2011
"B15002_11_high_school_graduate,_ged,_or_alternative",20092,56612,61836,108532,48678,50185,55271,77151,6542,36038,14563,27699,11585,3278,16758,6461,55079,9174,15094,2007-2011
"B15002_12_some_college,_less_than_1_year",4426,9223,11383,18675,9349,9984,7740,13715,1369,7357,2526,6312,2346,637,3421,1345,9955,2256,1943,2007-2011
"B15002_13_some_college,_1_or_more_years,_no_degree",9995,17812,27254,47664,22957,19307,22769,28659,2670,16841,6845,13389,5036,1768,8020,3215,22361,4862,4737,2007-2011
B15002_14_associate's_degree,5678,12408,16213,24703,13303,12064,8948,19172,1592,11291,4533,7939,3387,1140,5245,1682,13036,2942,2355,2007-2011
B15002_15_bachelor's_degree,18289,30214,53167,126685,58346,34066,49282,53477,3901,29933,9432,24302,7188,3967,10569,7190,32613,10134,4754,2007-2011
B15002_16_master's_degree,8240,9781,24709,75527,28683,13124,22333,23173,1499,12914,3971,9899,2970,1488,3700,4119,12204,4618,2114,2007-2011
B15002_17_professional_school_degree,2680,2873,7048,20163,11449,3381,9357,5992,336,2636,1374,1919,620,772,1313,1005,4475,1404,625,2007-2011
B15002_18_doctorate_degree,1884,1585,4676,27552,7933,1706,5979,4297,268,1849,750,1470,661,436,507,725,2825,1135,468,2007-2011
B15002_19_female,88338,196402,268296,539842,244988,175404,242374,275480,22386,139115,52257,105568,40449,18174,63608,30760,218620,44071,40659,2007-2011
B15002_20_no_schooling_completed,256,4424,3812,6773,1978,1243,6324,2713,68,1028,229,387,248,296,403,166,4446,240,301,2007-2011
B15002_21_nursery_to_4th_grade,86,4513,2263,3374,763,685,3610,1534,41,515,43,85,87,342,137,27,4166,88,178,2007-2011
B15002_22_5th_and_6th_grade,230,2444,3232,4333,1705,700,5750,2175,77,727,99,111,117,116,179,129,4276,137,305,2007-2011
B15002_23_7th_and_8th_grade,617,7761,5442,6492,2129,2140,6455,5885,350,2925,490,888,955,397,805,334,7490,332,1172,2007-2011
B15002_24_9th_grade,737,4643,3469,4883,1631,1531,3818,4232,110,1542,465,788,500,192,1144,597,6133,568,615,2007-2011
B15002_25_10th_grade,632,5446,4238,5717,2174,2438,4653,5090,547,2170,810,1291,586,292,1330,330,6248,452,1163,2007-2011
B15002_26_11th_grade,651,3851,4373,6071,2206,2230,4908,4166,371,2248,629,1338,765,271,1137,563,6080,572,1091,2007-2011
"B15002_27_12th_grade,_no_diploma",755,3930,3554,6067,2816,2192,4963,3840,196,1517,583,923,414,272,853,378,3617,448,565,2007-2011
"B15002_28_high_school_graduate,_ged,_or_alternative",20665,55140,71915,120884,54106,51426,59769,76197,6990,38873,14432,29027,11811,4181,20549,7049,63031,10652,14269,2007-2011
"B15002_29_some_college,_less_than_1_year",5420,12295,14498,22589,11704,10574,8242,17154,1532,8721,3373,7195,2623,866,3675,1914,12779,2653,3148,2007-2011
"B15002_30_some_college,_1_or_more_years,_no_degree",13091,24044,33362,51386,25362,23674,26668,34300,3222,17827,7062,13071,5256,2222,8491,3703,28525,5414,5195,2007-2011
B15002_31_associate's_degree,9896,19082,24793,37916,23100,19353,13068,28064,2714,14571,5804,12652,4925,1294,6486,2646,17445,4040,3305,2007-2011
B15002_32_bachelor's_degree,21328,31817,56916,137832,65552,37032,51811,55433,4465,30514,11418,24125,7744,4276,11665,7674,32297,11110,5507,2007-2011
B15002_33_master's_degree,11149,14422,28979,92531,36406,16243,30196,28192,1305,13206,5307,11480,3548,2436,5352,3878,16786,5752,3096,2007-2011
B15002_34_professional_school_degree,1557,1695,4899,17275,8193,2747,7746,3854,273,1748,1070,1303,515,423,909,958,2974,944,393,2007-2011
B15002_35_doctorate_degree,1268,895,2551,15719,5163,1196,4393,2651,125,983,443,904,355,298,493,414,2327,669,356,2007-2011
B19001_1_total,96775,210536,284940,577349,255944,178996,286437,299089,24645,153471,57045,115105,46384,19289,68774,34600,238633,49179,44366,2007-2011
"B19001_2_less_than_$10,000",4915,13998,18505,27899,11902,7506,36074,17121,1177,6256,2407,3516,2736,1126,3623,1971,22723,1856,2275,2007-2011
"B19001_3_$10,000_to_$14,999",4205,13908,15289,22615,9369,7114,19637,14729,1179,5346,2214,3431,2124,923,3530,1402,16423,1671,2162,2007-2011
"B19001_4_$15,000_to_$19,999",4425,11165,12099,19194,8189,6387,14931,13287,1044,6102,2027,3137,1820,729,2934,1309,14237,1864,2105,2007-2011
"B19001_5_$20,000_to_$24,999",4278,10820,11736,20302,8491,6054,11939,12569,1152,6029,2707,4486,2165,711,2749,1347,13042,1928,2058,2007-2011
"B19001_6_$25,000_to_$29,999",4169,9340,11829,18564,7365,6027,11325,11353,1057,6088,2561,3597,2138,695,3515,1252,11001,1856,1997,2007-2011
"B19001_7_$30,000_to_$34,999",4407,9371,12042,18615,8308,6990,12591,12430,1339,5559,2629,4513,2023,823,2825,1512,11572,1951,1831,2007-2011
"B19001_8_$35,000_to_$39,999",4498,8642,10303,18597,7193,6351,10895,11692,1087,6587,2474,4049,1874,813,2798,1166,11466,2039,2164,2007-2011
"B19001_9_$40,000_to_$44,999",4826,8998,10274,19599,8486,6138,11775,11915,1267,5869,2535,4385,2456,616,3363,1576,10917,1821,2050,2007-2011
"B19001_10_$45,000_to_$49,999",4271,8398,10640,17296,7848,6629,10148,11272,1270,5448,1809,4255,2076,627,2504,1169,8923,1790,1820,2007-2011
"B19001_11_$50,000_to_$59,999",8057,16678,19593,37397,15968,12967,19883,21322,2350,12303,4484,7782,4091,1238,5915,2600,18675,3848,3696,2007-2011
"B19001_12_$60,000_to_$74,999",10151,19949,26131,52680,22783,17686,25311,30335,3003,15982,6688,12456,4940,1952,7338,3249,22269,4926,5542,2007-2011
"B19001_13_$75,000_to_$99,999",13966,27592,36987,78548,33165,27426,33209,42563,3361,23268,9391,17285,6648,2427,10458,5038,30312,7030,6950,2007-2011
"B19001_14_$100,000_to_$124,999",9096,19930,27479,63392,29355,20712,21727,31054,2146,17228,6145,14685,4192,1962,6717,3768,19039,5419,3945,2007-2011
"B19001_15_$125,000_to_$149,999",4974,12182,19399,45491,21395,13970,14347,20632,1300,11078,3411,9643,2875,1273,4184,2452,10819,3754,2349,2007-2011
"B19001_16_$150,000_to_$199,999",5704,11872,21281,55851,25208,14299,15490,20775,1171,11530,3160,9891,2448,1739,3604,2568,9362,4095,2280,2007-2011
"B19001_17_$200,000_or_more",4833,7693,21353,61309,30919,12740,17155,16040,742,8798,2403,7994,1778,1635,2717,2221,7853,3331,1142,2007-2011
B19013_1_median_household_income_in_the_past_12_months_(in_2011_inflation-adjusted_dollars),60525,55813,65785,79691,83733,74698,51638,65772,56921,70591,65722,77470,59082,70553,61279,69369,49411,72163,60063,2007-2011
B25001_1_total,159691,230025,306017,610063,269343,199302,314199,325671,37138,165465,63294,126140,51429,20807,73575,41684,264307,61973,48863,2007-2011
B25003_1_total,96775,210536,284940,577349,255944,178996,286437,299089,24645,153471,57045,115105,46384,19289,68774,34600,238633,49179,44366,2007-2011
B25003_2_owner_occupied,77244,134698,184985,366002,180071,138788,103366,200870,18981,104861,41725,90208,31494,13949,49789,21906,131455,37744,31473,2007-2011
B25003_3_renter_occupied,19531,75838,99955,211347,75873,40208,183071,98219,5664,48610,15320,24897,14890,5340,18985,12694,107178,11435,12893,2007-2011
B25024_1_total,159691,230025,306017,610063,269343,199302,314199,325671,37138,165465,63294,126140,51429,20807,73575,41684,264307,61973,48863,2007-2011
"B25024_2_1,_detached",132637,121483,154269,297540,156078,140599,42341,185588,27074,94573,41352,81669,29614,14176,49761,26390,116098,47913,32210,2007-2011
"B25024_3_1,_attached",4641,9315,18106,36606,12203,7617,17705,17700,800,10221,2770,9258,2111,546,2120,2205,9004,1509,1452,2007-2011
B25024_4_2,4782,23221,37652,82620,20554,11540,47362,27466,1576,13191,3583,6118,2898,2139,4037,4318,38451,3767,3855,2007-2011
B25024_5_3_or_4,5534,35418,34117,54773,16256,12556,77662,39636,1825,12409,3438,5020,3570,2002,3838,3331,48095,2926,3749,2007-2011
B25024_6_5_to_9,4823,17760,17047,32096,15176,7273,34852,18223,1655,8524,2839,5040,3256,721,3142,1601,17292,1768,3049,2007-2011
B25024_7_10_to_19,2660,7618,12732,28914,12526,5975,24816,13624,545,6907,2258,3882,1449,504,3950,992,10303,965,1235,2007-2011
B25024_8_20_to_49,1812,4538,14316,31035,13301,3631,26260,8220,450,11651,2223,5696,2009,364,2367,761,7443,665,476,2007-2011
B25024_9_50_or_more,1776,7702,15768,44141,22043,5124,42795,12664,345,4479,1122,1785,1480,355,2975,1165,16391,1232,657,2007-2011
B25024_10_mobile_home,1006,2961,1982,2245,1169,4987,308,2513,2860,3473,3698,7642,5032,0,1385,900,1132,1228,2180,2007-2011
"B25024_11_boat,_rv,_van,_etc.",20,9,28,93,37,0,98,37,8,37,11,30,10,0,0,21,98,0,0,2007-2011
B25077_1_median_value_(dollars),384200,296400,362300,410100,398100,350700,371300,274900,228100,265100,241900,296500,227100,357500,240400,380700,247700,340500,227000,2007-2011
B25034_1_total,159691,230025,306017,610063,269343,199302,314199,325671,37138,165465,63294,126140,51429,20807,73575,41684,264307,61973,48863,2007-2011
B25034_2_built_2005_or_later,2490,5239,6997,17896,8015,6428,9086,9243,1230,4717,2677,5244,2610,388,1546,679,4603,2318,1746,2007-2011
B25034_3_built_2000_to_2004,8833,9791,12566,22249,10060,11294,10225,17401,3174,11290,5063,10520,4392,641,2846,2618,7360,4301,2566,2007-2011
B25034_4_built_1990_to_1999,15954,20614,21217,39755,19625,17930,12135,30385,4496,16203,6400,16472,5172,1219,5445,3746,13101,7963,4740,2007-2011
B25034_5_built_1980_to_1989,33798,25186,31967,58589,28879,24189,18446,40220,7578,33115,12495,27438,9503,2141,8960,4528,23975,10167,7069,2007-2011
B25034_6_built_1970_to_1979,33442,28744,29883,63485,32482,31851,23196,35431,4601,27202,8825,21233,7015,2059,11140,5035,27068,9281,6625,2007-2011
B25034_7_built_1960_to_1969,20819,22377,31643,68006,32215,24462,24404,27293,3586,16436,4911,12258,4699,2473,9462,4626,26528,7517,5410,2007-2011
B25034_8_built_1950_to_1959,16605,21738,34314,75618,38919,22921,23429,35410,3226,12534,4191,9280,4269,3250,11777,4556,30180,6204,4507,2007-2011
B25034_9_built_1940_to_1949,7252,14336,17129,36563,19660,10190,18371,20281,1697,7292,2435,4659,2291,1632,5976,2692,20248,2827,2257,2007-2011
B25034_10_built_1939_or_earlier,20498,82000,120301,227902,79488,50037,174907,110007,7550,36676,16297,19036,11478,7004,16423,13204,111244,11395,13943,2007-2011
B25127_1_total,96775,210536,284940,577349,255944,178996,286437,299089,24645,153471,57045,115105,46384,19289,68774,34600,238633,49179,44366,2007-2011
B25127_2_owner_occupied,77244,134698,184985,366002,180071,138788,103366,200870,18981,104861,41725,90208,31494,13949,49789,21906,131455,37744,31473,2007-2011
B25127_3_built_2000_or_later,6748,11636,11362,21263,10077,13094,5569,21713,2744,11743,5978,12479,4835,774,2741,1727,7486,4257,3734,2007-2011
"B25127_4_1,_detached__or_attached",6290,10808,8974,17023,7875,11703,1923,20707,2488,10698,5592,10278,4083,658,2530,1528,6320,3980,3404,2007-2011
B25127_5_2_to_4,239,270,627,1419,235,331,951,542,0,297,43,268,63,0,127,28,397,79,79,2007-2011
B25127_6_5_to_19,9,137,391,786,606,265,541,169,0,156,12,200,0,92,46,0,409,65,30,2007-2011
B25127_7_20_to_49,55,37,543,904,364,136,585,129,20,121,31,594,22,13,0,0,91,35,0,2007-2011
B25127_8_50_or_more,86,52,704,1046,917,231,1560,68,0,194,0,46,0,11,0,0,212,39,0,2007-2011
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",69,332,123,85,80,428,9,98,236,277,300,1093,667,0,38,171,57,59,221,2007-2011
B25127_10_built_1980_to_1999,28868,33921,38160,66723,33950,34333,9551,53801,6573,35916,13663,34062,10515,2803,10619,5132,21937,12618,8723,2007-2011
"B25127_11_1,_detached__or_attached",27193,30093,31913,55118,27566,30110,4190,49510,5524,30765,11887,29574,8064,2717,8684,4633,18914,11929,7956,2007-2011
B25127_12_2_to_4,823,1016,1993,2714,1163,599,1708,1362,101,1041,281,823,168,51,334,141,1185,325,77,2007-2011
B25127_13_5_to_19,511,1374,1997,3689,2312,1084,1115,1425,125,1222,193,787,149,27,610,116,1277,94,150,2007-2011
B25127_14_20_to_49,164,189,977,1899,783,263,889,429,13,1354,68,340,16,8,258,17,186,0,0,2007-2011
B25127_15_50_or_more,66,214,991,2860,1939,198,1634,237,0,160,104,111,14,0,27,10,196,24,8,2007-2011
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",111,1035,289,443,187,2079,15,838,810,1374,1130,2427,2104,0,706,215,179,246,532,2007-2011
B25127_17_built_1960_to_1979,25329,33055,38120,77382,38853,40063,11143,38543,3729,29125,9323,23843,7042,3316,14116,5191,29513,10873,8051,2007-2011
"B25127_18_1,_detached__or_attached",24230,30185,32868,65778,32489,36906,5185,35218,3154,26407,7759,20159,5741,3196,13144,4637,27124,9977,7178,2007-2011
B25127_19_2_to_4,415,926,1733,1942,1183,389,2295,829,60,602,100,489,53,42,254,128,912,359,110,2007-2011
B25127_20_5_to_19,394,714,1381,3392,1880,999,717,1058,66,388,58,508,101,78,232,170,624,83,39,2007-2011
B25127_21_20_to_49,177,232,779,2579,1288,96,1162,493,0,527,14,246,21,0,152,4,270,24,0,2007-2011
B25127_22_50_or_more,72,133,632,2611,1549,49,1746,177,0,92,0,17,21,0,30,17,127,0,0,2007-2011
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",41,865,727,1080,464,1624,38,768,449,1109,1392,2424,1105,0,304,235,456,430,724,2007-2011
B25127_24_built_1940_to_1959,8826,21394,34816,77495,44914,22679,13411,37194,2351,13265,4154,9014,4091,3646,13681,3908,31980,4889,4653,2007-2011
"B25127_25_1,_detached__or_attached",8574,19827,31970,72579,42756,22070,9100,35429,2296,12588,4066,8755,3960,3517,13502,3758,29470,4802,4423,2007-2011
