index,06037,06059,estimate_year
FILEID,ACSSF,ACSSF,2013-2017
FILETYPE,2017e5,2017e5,2013-2017
STATE,ca,ca,2013-2017
CHARITER,000,000,2013-2017
SEQUENCE,0003,0003,2013-2017
LOGRECNO,0000031,0000042,2013-2017
SUMMARY_LEVEL,050,050,2013-2017
STATE_FIPS,06,06,2013-2017
GEO_ID,05000US06037,05000US06059,2013-2017
GEO_NAME,"Los Angeles County, California","Orange County, California",2013-2017
B01003_1_total,10105722,3155816,2013-2017
B01001_1_total,10105722,3155816,2013-2017
B01001_2_male,4979641,1558245,2013-2017
B01001_3_under_5_years,323689,96701,2013-2017
B01001_4_5_to_9_years,316314,99523,2013-2017
B01001_5_10_to_14_years,320309,104876,2013-2017
B01001_6_15_to_17_years,202006,65218,2013-2017
B01001_7_18_and_19_years,138475,42328,2013-2017
B01001_8_20_years,77364,23472,2013-2017
B01001_9_21_years,78027,23450,2013-2017
B01001_10_22_to_24_years,227674,67229,2013-2017
B01001_11_25_to_29_years,424133,120201,2013-2017
B01001_12_30_to_34_years,388004,109764,2013-2017
B01001_13_35_to_39_years,352715,100458,2013-2017
B01001_14_40_to_44_years,344565,106905,2013-2017
B01001_15_45_to_49_years,346873,112636,2013-2017
B01001_16_50_to_54_years,336491,112707,2013-2017
B01001_17_55_to_59_years,304382,102642,2013-2017
B01001_18_60_and_61_years,110812,35870,2013-2017
B01001_19_62_to_64_years,142602,46227,2013-2017
B01001_20_65_and_66_years,87048,28412,2013-2017
B01001_21_67_to_69_years,105052,35888,2013-2017
B01001_22_70_to_74_years,131080,47063,2013-2017
B01001_23_75_to_79_years,92494,32844,2013-2017
B01001_24_80_to_84_years,65707,22975,2013-2017
B01001_25_85_years_and_over,63825,20856,2013-2017
B01001_26_female,5126081,1597571,2013-2017
B01001_27_under_5_years,308222,92251,2013-2017
B01001_28_5_to_9_years,303675,92811,2013-2017
B01001_29_10_to_14_years,305662,102816,2013-2017
B01001_30_15_to_17_years,193703,62571,2013-2017
B01001_31_18_and_19_years,135187,41003,2013-2017
B01001_32_20_years,75554,22342,2013-2017
B01001_33_21_years,72207,22263,2013-2017
B01001_34_22_to_24_years,225803,64804,2013-2017
B01001_35_25_to_29_years,407143,112612,2013-2017
B01001_36_30_to_34_years,374615,106043,2013-2017
B01001_37_35_to_39_years,349879,103694,2013-2017
B01001_38_40_to_44_years,350696,109598,2013-2017
B01001_39_45_to_49_years,351175,116096,2013-2017
B01001_40_50_to_54_years,346708,115008,2013-2017
B01001_41_55_to_59_years,324131,105764,2013-2017
B01001_42_60_and_61_years,120114,38173,2013-2017
B01001_43_62_to_64_years,161829,51315,2013-2017
B01001_44_65_and_66_years,97862,32491,2013-2017
B01001_45_67_to_69_years,125281,42034,2013-2017
B01001_46_70_to_74_years,164340,54833,2013-2017
B01001_47_75_to_79_years,122687,40444,2013-2017
B01001_48_80_to_84_years,95940,31293,2013-2017
B01001_49_85_years_and_over,113668,37312,2013-2017
B02001_1_total,10105722,3155816,2013-2017
B02001_2_white_alone,5232835,1960484,2013-2017
B02001_3_black_or_african_american_alone,828981,53262,2013-2017
B02001_4_american_indian_and_alaska_native_alone,68211,14468,2013-2017
B02001_5_asian_alone,1460508,621178,2013-2017
B02001_6_native_hawaiian_and_other_pacific_islander_alone,27691,9620,2013-2017
B02001_7_some_other_race_alone,2101084,373605,2013-2017
B02001_8_two_or_more_races,386412,123199,2013-2017
B02001_9_two_races_including_some_other_race,108199,23697,2013-2017
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",278213,99502,2013-2017
B11001_1_total,3295198,1024976,2013-2017
B11001_2_family_households,2203922,739052,2013-2017
B11001_3_married-couple_family,1477624,561638,2013-2017
B11001_4_other_family,726298,177414,2013-2017
"B11001_5_male_householder,_no_wife_present",224702,55233,2013-2017
"B11001_6_female_householder,_no_husband_present",501596,122181,2013-2017
B11001_7_nonfamily_households,1091276,285924,2013-2017
B11001_8_householder_living_alone,844567,214250,2013-2017
B11001_9_householder_not_living_alone,246709,71674,2013-2017
B15002_1_total,6801851,2132158,2013-2017
B15002_2_male,3295783,1035448,2013-2017
B15002_3_no_schooling_completed,106167,22670,2013-2017
B15002_4_nursery_to_4th_grade,66883,13773,2013-2017
B15002_5_5th_and_6th_grade,163563,34049,2013-2017
B15002_6_7th_and_8th_grade,69480,15293,2013-2017
B15002_7_9th_grade,89012,19411,2013-2017
B15002_8_10th_grade,45692,10962,2013-2017
B15002_9_11th_grade,70545,13100,2013-2017
"B15002_10_12th_grade,_no_diploma",104382,27942,2013-2017
B15002_11_high_school_graduate_(includes_equivalency),700150,177916,2013-2017
