estimate_year,index,CA_037,CA_059,MSA
2009-2013,FILEID,ACSSF,ACSSF,31080.0
2009-2013,FILETYPE,2013e5,2013e5,31080.0
2009-2013,STATE,ca,ca,31080.0
2009-2013,CHARITER,000,000,31080.0
2009-2013,SEQUENCE,0003,0003,31080.0
2009-2013,LOGRECNO,0000031,0000042,31080.0
2009-2013,SUMMARY_LEVEL,050,050,31080.0
2009-2013,STATE_FIPS,06,06,31080.0
2009-2013,GEO_ID,05000US06037,05000US06059,31080.0
2009-2013,GEO_NAME,"Los Angeles County, California","Orange County, California",31080.0
2009-2013,B01003_1_total,9893481,3051771,31080.0
2009-2013,B01001_1_total,9893481,3051771,31080.0
2009-2013,B01001_2_male,4878648,1509674,31080.0
2009-2013,B01001_3_under_5_years,330393,98485,31080.0
2009-2013,B01001_4_5_to_9_years,322503,103070,31080.0
2009-2013,B01001_5_10_to_14_years,338504,105273,31080.0
2009-2013,B01001_6_15_to_17_years,221058,68403,31080.0
2009-2013,B01001_7_18_and_19_years,151679,45329,31080.0
2009-2013,B01001_8_20_years,81026,25096,31080.0
2009-2013,B01001_9_21_years,82119,23129,31080.0
2009-2013,B01001_10_22_to_24_years,228494,65750,31080.0
2009-2013,B01001_11_25_to_29_years,395250,112860,31080.0
2009-2013,B01001_12_30_to_34_years,367762,103302,31080.0
2009-2013,B01001_13_35_to_39_years,350267,104386,31080.0
2009-2013,B01001_14_40_to_44_years,359317,110839,31080.0
2009-2013,B01001_15_45_to_49_years,347569,113643,31080.0
2009-2013,B01001_16_50_to_54_years,327644,108354,31080.0
2009-2013,B01001_17_55_to_59_years,278313,90471,31080.0
2009-2013,B01001_18_60_and_61_years,96989,30426,31080.0
2009-2013,B01001_19_62_to_64_years,125109,40989,31080.0
2009-2013,B01001_20_65_and_66_years,72584,24391,31080.0
2009-2013,B01001_21_67_to_69_years,86514,28369,31080.0
2009-2013,B01001_22_70_to_74_years,113578,39842,31080.0
2009-2013,B01001_23_75_to_79_years,84902,28429,31080.0
2009-2013,B01001_24_80_to_84_years,62268,20370,31080.0
2009-2013,B01001_25_85_years_and_over,54806,18468,31080.0
2009-2013,B01001_26_female,5014833,1542097,31080.0
2009-2013,B01001_27_under_5_years,315787,93683,31080.0
2009-2013,B01001_28_5_to_9_years,308420,96222,31080.0
2009-2013,B01001_29_10_to_14_years,323821,102732,31080.0
2009-2013,B01001_30_15_to_17_years,210986,64973,31080.0
2009-2013,B01001_31_18_and_19_years,145650,42742,31080.0
2009-2013,B01001_32_20_years,79221,22955,31080.0
2009-2013,B01001_33_21_years,76552,22707,31080.0
2009-2013,B01001_34_22_to_24_years,220496,62414,31080.0
2009-2013,B01001_35_25_to_29_years,378214,105274,31080.0
2009-2013,B01001_36_30_to_34_years,360225,100653,31080.0
2009-2013,B01001_37_35_to_39_years,352329,104480,31080.0
2009-2013,B01001_38_40_to_44_years,360669,115954,31080.0
2009-2013,B01001_39_45_to_49_years,353651,115512,31080.0
2009-2013,B01001_40_50_to_54_years,341271,110325,31080.0
2009-2013,B01001_41_55_to_59_years,299350,93879,31080.0
2009-2013,B01001_42_60_and_61_years,108235,34000,31080.0
2009-2013,B01001_43_62_to_64_years,143586,46084,31080.0
2009-2013,B01001_44_65_and_66_years,83033,27606,31080.0
2009-2013,B01001_45_67_to_69_years,102702,32716,31080.0
2009-2013,B01001_46_70_to_74_years,142209,46849,31080.0
2009-2013,B01001_47_75_to_79_years,110498,35675,31080.0
2009-2013,B01001_48_80_to_84_years,93045,30236,31080.0
2009-2013,B01001_49_85_years_and_over,104883,34426,31080.0
2009-2013,B02001_1_total,9893481,3051771,31080.0
2009-2013,B02001_2_white_alone,5277461,1912743,31080.0
2009-2013,B02001_3_black_or_african_american_alone,833477,49836,31080.0
2009-2013,B02001_4_american_indian_and_alaska_native_alone,51849,11660,31080.0
2009-2013,B02001_5_asian_alone,1372726,559584,31080.0
2009-2013,B02001_6_native_hawaiian_and_other_pacific_islander_alone,26132,10099,31080.0
2009-2013,B02001_7_some_other_race_alone,1963358,405157,31080.0
2009-2013,B02001_8_two_or_more_races,368478,102692,31080.0
2009-2013,B02001_9_two_races_including_some_other_race,108305,23592,31080.0
2009-2013,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",260173,79100,31080.0
2009-2013,B11001_1_total,3230383,995512,31080.0
2009-2013,B11001_2_family_households,2170631,712753,31080.0
2009-2013,B11001_3_married-couple_family,1445559,540108,31080.0
2009-2013,B11001_4_other_family,725072,172645,31080.0
2009-2013,"B11001_5_male_householder,_no_wife_present",219788,54138,31080.0
2009-2013,"B11001_6_female_householder,_no_husband_present",505284,118507,31080.0
2009-2013,B11001_7_nonfamily_households,1059752,282759,31080.0
2009-2013,B11001_8_householder_living_alone,827351,215312,31080.0
2009-2013,B11001_9_householder_not_living_alone,232401,67447,31080.0
2009-2013,B15002_1_total,6456772,2008808,31080.0
2009-2013,B15002_2_male,3122872,975139,31080.0
2009-2013,B15002_3_no_schooling_completed,88039,18659,31080.0
2009-2013,B15002_4_nursery_to_4th_grade,74422,12901,31080.0
2009-2013,B15002_5_5th_and_6th_grade,176047,35400,31080.0
2009-2013,B15002_6_7th_and_8th_grade,71490,14654,31080.0
2009-2013,B15002_7_9th_grade,89784,22420,31080.0
2009-2013,B15002_8_10th_grade,52406,11180,31080.0
2009-2013,B15002_9_11th_grade,76911,14594,31080.0
2009-2013,"B15002_10_12th_grade,_no_diploma",101828,25376,31080.0
2009-2013,B15002_11_high_school_graduate_(includes_equivalency),651073,169537,31080.0
2009-2013,"B15002_12_some_college,_less_than_1_year",136536,47602,31080.0
2009-2013,"B15002_13_some_college,_1_or_more_years,_no_degree",469913,156749,31080.0
2009-2013,B15002_14_associate's_degree,195644,68679,31080.0
2009-2013,B15002_15_bachelor's_degree,603732,238528,31080.0
2009-2013,B15002_16_master's_degree,199119,86955,31080.0
2009-2013,B15002_17_professional_school_degree,88928,32949,31080.0
2009-2013,B15002_18_doctorate_degree,47000,18956,31080.0
2009-2013,B15002_19_female,3333900,1033669,31080.0
2009-2013,B15002_20_no_schooling_completed,111535,22797,31080.0
2009-2013,B15002_21_nursery_to_4th_grade,90696,16234,31080.0
2009-2013,B15002_22_5th_and_6th_grade,192770,39299,31080.0
2009-2013,B15002_23_7th_and_8th_grade,76734,16093,31080.0
2009-2013,B15002_24_9th_grade,91164,22672,31080.0
2009-2013,B15002_25_10th_grade,53231,13926,31080.0
2009-2013,B15002_26_11th_grade,73338,15027,31080.0
2009-2013,"B15002_27_12th_grade,_no_diploma",89942,23950,31080.0
2009-2013,B15002_28_high_school_graduate_(includes_equivalency),672647,191939,31080.0
2009-2013,"B15002_29_some_college,_less_than_1_year",156873,59676,31080.0
2009-2013,"B15002_30_some_college,_1_or_more_years,_no_degree",499819,163249,31080.0
2009-2013,B15002_31_associate's_degree,247650,87344,31080.0
2009-2013,B15002_32_bachelor's_degree,651055,241576,31080.0
2009-2013,B15002_33_master's_degree,228092,86335,31080.0
2009-2013,B15002_34_professional_school_degree,64041,22781,31080.0
2009-2013,B15002_35_doctorate_degree,34313,10771,31080.0
2009-2013,B19001_1_total,3230383,995512,31080.0
2009-2013,"B19001_2_less_than_$10,000",209050,42554,31080.0
2009-2013,"B19001_3_$10,000_to_$14,999",190300,34341,31080.0
2009-2013,"B19001_4_$15,000_to_$19,999",173380,35385,31080.0
2009-2013,"B19001_5_$20,000_to_$24,999",167740,37305,31080.0
2009-2013,"B19001_6_$25,000_to_$29,999",154347,36525,31080.0
2009-2013,"B19001_7_$30,000_to_$34,999",155834,37720,31080.0
2009-2013,"B19001_8_$35,000_to_$39,999",143103,35848,31080.0
2009-2013,"B19001_9_$40,000_to_$44,999",140946,36014,31080.0
2009-2013,"B19001_10_$45,000_to_$49,999",126807,36101,31080.0
2009-2013,"B19001_11_$50,000_to_$59,999",241482,70537,31080.0
2009-2013,"B19001_12_$60,000_to_$74,999",303887,92733,31080.0
2009-2013,"B19001_13_$75,000_to_$99,999",384881,132255,31080.0
2009-2013,"B19001_14_$100,000_to_$124,999",268689,104158,31080.0
2009-2013,"B19001_15_$125,000_to_$149,999",169129,74144,31080.0
2009-2013,"B19001_16_$150,000_to_$199,999",189195,87957,31080.0
2009-2013,"B19001_17_$200,000_or_more",211613,101935,31080.0
2009-2013,B19013_1_median_household_income_in_the_past_12_months_(in_2013_inflation-adjusted_dollars),55909,75422,31080.0
2009-2013,B25001_1_total,3452901,1052959,31080.0
2009-2013,B25003_1_total,3230383,995512,31080.0
2009-2013,B25003_2_owner_occupied,1515098,584250,31080.0
2009-2013,B25003_3_renter_occupied,1715285,411262,31080.0
2009-2013,B25024_1_total,3452901,1052959,31080.0
2009-2013,"B25024_2_1,_detached",1716738,533999,31080.0
2009-2013,"B25024_3_1,_attached",225422,128078,31080.0
2009-2013,B25024_4_2,83404,18724,31080.0
2009-2013,B25024_5_3_or_4,194967,74897,31080.0
2009-2013,B25024_6_5_to_9,272086,69721,31080.0
2009-2013,B25024_7_10_to_19,267831,61937,31080.0
2009-2013,B25024_8_20_to_49,312143,44832,31080.0
2009-2013,B25024_9_50_or_more,325329,90085,31080.0
2009-2013,B25024_10_mobile_home,52952,29913,31080.0
2009-2013,"B25024_11_boat,_rv,_van,_etc.",2029,773,31080.0
2009-2013,B25077_1_median_value_(dollars),420200,519600,31080.0
2009-2013,B25034_1_total,3452901,1052959,31080.0
2009-2013,B25034_2_built_2010_or_later,9769,4794,31080.0
2009-2013,B25034_3_built_2000_to_2009,204683,97863,31080.0
2009-2013,B25034_4_built_1990_to_1999,213866,121320,31080.0
2009-2013,B25034_5_built_1980_to_1989,404099,165299,31080.0
