index,48015,48039,48071,48157,48167,48201,48291,48321,48339,48455,48471,48473,48477,48481,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,2007-2011
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2007-2011
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2007-2011
LOGRECNO,0000020,0000032,0000048,0000091,0000096,0000113,0000158,0000173,0000182,0000240,0000248,0000249,0000251,0000253,2007-2011
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2007-2011
STATE_FIPS,48,48,48,48,48,48,48,48,48,48,48,48,48,48,2007-2011
GEO_ID,05000US48015,05000US48039,05000US48071,05000US48157,05000US48167,05000US48201,05000US48291,05000US48321,05000US48339,05000US48455,05000US48471,05000US48473,05000US48477,05000US48481,2007-2011
GEO_NAME,"Austin County, Texas","Brazoria County, Texas","Chambers County, Texas","Fort Bend County, Texas","Galveston County, Texas","Harris County, Texas","Liberty County, Texas","Matagorda County, Texas","Montgomery County, Texas","Trinity County, Texas","Walker County, Texas","Waller County, Texas","Washington County, Texas","Wharton County, Texas",2007-2011
B01003_1_total,28150,307695,33486,565295,289658,4025409,75317,36662,443622,14511,66833,41990,33261,41083,2007-2011
B01001_1_total,28150,307695,33486,565295,289658,4025409,75317,36662,443622,14511,66833,41990,33261,41083,2007-2011
B01001_2_male,13955,156461,16887,277727,143108,2003555,37080,18283,219923,6824,39784,20835,16388,20146,2007-2011
B01001_3_under_5_years,971,12488,1205,21735,10180,170726,2614,1434,16889,469,1446,1561,1017,1553,2007-2011
B01001_4_5_to_9_years,983,11916,1467,24776,10154,159708,2920,1264,17322,263,1338,1103,1285,1467,2007-2011
