index,34001,34005,34007,34009,34011,34015,34033,10001,10003,42011,42017,42029,42045,42091,42101,24009,24017,24021,24031,24033,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,nj,nj,nj,nj,nj,nj,nj,de,de,pa,pa,pa,pa,pa,pa,md,md,md,md,md,2008-2012
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2008-2012
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2008-2012
LOGRECNO,0000008,0000010,0000011,0000012,0000013,0000015,0000024,0000012,0000013,0000018,0000021,0000027,0000035,0000058,0000063,0000016,0000020,0000022,0000027,0000028,2008-2012
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2008-2012
STATE_FIPS,34,34,34,34,34,34,34,10,10,42,42,42,42,42,42,24,24,24,24,24,2008-2012
GEO_ID,05000US34001,05000US34005,05000US34007,05000US34009,05000US34011,05000US34015,05000US34033,05000US10001,05000US10003,05000US42011,05000US42017,05000US42029,05000US42045,05000US42091,05000US42101,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,2008-2012
GEO_NAME,"Atlantic County, New Jersey","Burlington County, New Jersey","Camden County, New Jersey","Cape May County, New Jersey","Cumberland County, New Jersey","Gloucester County, New Jersey","Salem County, New Jersey","Kent County, Delaware","New Castle County, Delaware","Berks County, Pennsylvania","Bucks County, Pennsylvania","Chester County, Pennsylvania","Delaware County, Pennsylvania","Montgomery County, Pennsylvania","Philadelphia County, Pennsylvania","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland",2008-2012
B01003_1_total,274402,449117,513660,96987,156864,288187,66007,162785,539665,411094,625485,499548,558874,799886,1525811,88774,147107,234268,974824,865443,2008-2012
B01001_1_total,274402,449117,513660,96987,156864,288187,66007,162785,539665,411094,625485,499548,558874,799886,1525811,88774,147107,234268,974824,865443,2008-2012
B01001_2_male,133243,220812,247930,47267,80801,139890,32058,78526,261385,201662,306898,245462,267868,387923,719297,43769,71061,115246,468237,415176,2008-2012
