index,34003,34013,34017,34019,34021,34023,34025,34027,34029,34031,34035,34037,34039,34041,42025,42077,42089,42095,42103,09001,09005,09009,36005,36027,36047,36059,36061,36071,36079,36081,36085,36087,36103,36111,36119,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa,pa,pa,pa,pa,ct,ct,ct,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,2008-2012
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2008-2012
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2008-2012
LOGRECNO,0000009,0000014,0000016,0000017,0000018,0000019,0000020,0000021,0000022,0000023,0000025,0000026,0000027,0000028,0000025,0000051,0000057,0000060,0000064,0000012,0000014,0000016,0000015,0000026,0000036,0000042,0000043,0000048,0000052,0000053,0000055,0000056,0000064,0000068,0000072,2008-2012
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2008-2012
STATE_FIPS,34,34,34,34,34,34,34,34,34,34,34,34,34,34,42,42,42,42,42,09,09,09,36,36,36,36,36,36,36,36,36,36,36,36,36,2008-2012
GEO_ID,05000US34003,05000US34013,05000US34017,05000US34019,05000US34021,05000US34023,05000US34025,05000US34027,05000US34029,05000US34031,05000US34035,05000US34037,05000US34039,05000US34041,05000US42025,05000US42077,05000US42089,05000US42095,05000US42103,05000US09001,05000US09005,05000US09009,05000US36005,05000US36027,05000US36047,05000US36059,05000US36061,05000US36071,05000US36079,05000US36081,05000US36085,05000US36087,05000US36103,05000US36111,05000US36119,2008-2012
GEO_NAME,"Bergen County, New Jersey","Essex County, New Jersey","Hudson County, New Jersey","Hunterdon County, New Jersey","Mercer County, New Jersey","Middlesex County, New Jersey","Monmouth County, New Jersey","Morris County, New Jersey","Ocean County, New Jersey","Passaic County, New Jersey","Somerset County, New Jersey","Sussex County, New Jersey","Union County, New Jersey","Warren County, New Jersey","Carbon County, Pennsylvania","Lehigh County, Pennsylvania","Monroe County, Pennsylvania","Northampton County, Pennsylvania","Pike County, Pennsylvania","Fairfield County, Connecticut","Litchfield County, Connecticut","New Haven County, Connecticut","Bronx County, New York","Dutchess County, New York","Kings County, New York","Nassau County, New York","New York County, New York","Orange County, New York","Putnam County, New York","Queens County, New York","Richmond County, New York","Rockland County, New York","Suffolk County, New York","Ulster County, New York","Westchester County, New York",2008-2012
B01003_1_total,906781,783840,636194,127996,366442,811064,629263,493472,575961,500168,323650,148962,536383,108488,65101,350165,169346,297519,57437,918892,189277,860995,1386364,297291,2512740,1338712,1596735,372951,99702,2235008,468374,312011,1492360,182516,950227,2008-2012
B01001_1_total,906781,783840,636194,127996,366442,811064,629263,493472,575961,500168,323650,148962,536383,108488,65101,350165,169346,297519,57437,918892,189277,860995,1386364,297291,2512740,1338712,1596735,372951,99702,2235008,468374,312011,1492360,182516,950227,2008-2012
B01001_2_male,437214,375925,314989,63852,179071,398362,306128,241638,276133,242949,157862,74120,260183,52762,32183,169873,83724,145530,28712,446935,93098,414726,650728,148019,1186163,647788,751244,186531,49693,1082322,226977,152950,734110,90745,457439,2008-2012
B01001_3_under_5_years,25300,27364,21713,3081,11042,25196,17476,13908,19865,17623,9831,4023,18231,3082,1711,11121,4383,8165,1460,28983,4746,24631,53368,7801,92170,37438,40530,13479,2430,68889,14557,12194,43888,4466,29141,2008-2012
B01001_4_5_to_9_years,29002,26002,17395,4374,11454,26516,20243,17095,18512,16761,11586,4983,18060,3690,1819,11814,5213,9640,1434,31299,6046,25506,50055,8468,83117,42648,31235,13827,3041,62059,14251,12749,49371,4792,31316,2008-2012
B01001_5_10_to_14_years,30100,28633,16849,4717,12275,26067,23832,17686,19259,18015,12106,5374,19049,3792,2085,11732,6620,9050,2532,34922,5955,29313,51370,10431,77834,47400,30082,15347,4152,63720,16692,12058,54546,5598,34438,2008-2012
B01001_6_15_to_17_years,19480,16939,11317,3164,7562,16795,14677,11147,11323,10863,7598,3714,11652,2451,1336,7684,4495,6257,1478,20823,4229,18492,33526,6970,50938,31089,19252,9317,2422,41789,10200,7782,34528,3803,21567,2008-2012
B01001_7_18_and_19_years,10651,11057,8094,1690,6269,12991,8295,6130,6397,7797,3779,2058,6987,1339,670,4784,3017,5172,964,11899,2218,13318,24286,5453,33800,17915,17337,6732,1266,28251,6412,4527,21165,2870,12495,2008-2012
