index,48085,48097,48113,48121,48139,48147,48181,48213,48221,48223,48231,48251,48257,48349,48363,48367,48397,48425,48439,48497,40013,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,ok,2012-2016
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2012-2016
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2012-2016
LOGRECNO,0000055,0000061,0000069,0000073,0000082,0000086,0000103,0000119,0000123,0000124,0000128,0000138,0000141,0000187,0000194,0000196,0000211,0000225,0000232,0000261,0000019,2012-2016
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2012-2016
STATE_FIPS,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,40,2012-2016
GEO_ID,05000US48085,05000US48097,05000US48113,05000US48121,05000US48139,05000US48147,05000US48181,05000US48213,05000US48221,05000US48223,05000US48231,05000US48251,05000US48257,05000US48349,05000US48363,05000US48367,05000US48397,05000US48425,05000US48439,05000US48497,05000US40013,2012-2016
GEO_NAME,"Collin County, Texas","Cooke County, Texas","Dallas County, Texas","Denton County, Texas","Ellis County, Texas","Fannin County, Texas","Grayson County, Texas","Henderson County, Texas","Hood County, Texas","Hopkins County, Texas","Hunt County, Texas","Johnson County, Texas","Kaufman County, Texas","Navarro County, Texas","Palo Pinto County, Texas","Parker County, Texas","Rockwall County, Texas","Somervell County, Texas","Tarrant County, Texas","Wise County, Texas","Bryan County, Oklahoma",2012-2016
B01003_1_total,886633,38878,2513054,754650,160225,33757,124231,79213,54217,35844,89068,157544,111830,48177,27922,123601,88010,8673,1947529,62089,44529,2012-2016
B01001_1_total,886633,38878,2513054,754650,160225,33757,124231,79213,54217,35844,89068,157544,111830,48177,27922,123601,88010,8673,1947529,62089,44529,2012-2016
B01001_2_male,435186,19299,1238199,371110,79024,17824,60695,38586,26724,17592,43952,78506,54970,23714,13754,61585,43084,4265,953334,31097,21641,2012-2016
B01001_3_under_5_years,29713,1282,99609,26026,5537,850,4007,2278,1635,1210,2845,5392,3908,1746,1010,3795,2665,228,72743,2087,1511,2012-2016
B01001_4_5_to_9_years,34329,1391,99135,27569,6427,960,3974,2399,1440,1220,2979,5690,4616,1949,1051,4627,3618,275,76595,2205,1614,2012-2016
B01001_5_10_to_14_years,37543,1217,92550,30406,6437,1166,4733,2657,1891,1406,3285,6434,4451,1742,817,4202,3680,301,75758,2274,1210,2012-2016
B01001_6_15_to_17_years,21339,961,53672,16842,4040,611,2539,1615,1045,759,1897,3674,2775,1162,531,2735,2353,235,43727,1439,820,2012-2016
B01001_7_18_and_19_years,11252,489,33703,10064,2267,492,1701,989,602,493,1302,2185,1478,581,348,1651,1215,61,25857,766,600,2012-2016
B01001_8_20_years,5111,297,18524,5379,1384,264,936,576,405,236,612,815,617,387,200,798,395,20,12017,355,400,2012-2016
B01001_9_21_years,4992,342,17606,5347,916,303,780,457,226,180,735,999,589,388,108,570,567,62,14128,531,423,2012-2016
B01001_10_22_to_24_years,15001,609,55001,14887,3056,650,2286,1343,733,624,1789,3157,1924,765,559,2447,1385,158,40357,997,918,2012-2016
B01001_11_25_to_29_years,25480,1245,102237,27578,4824,1137,3576,2058,1318,1041,2792,4932,3227,1424,819,3523,2142,193,70899,1924,1670,2012-2016
B01001_12_30_to_34_years,29698,1101,99189,27709,4796,1277,3599,1968,1424,1025,2596,5040,3726,1180,633,3541,2736,332,70089,2025,1383,2012-2016
B01001_13_35_to_39_years,33708,1051,89147,27853,5360,1234,3156,2035,1216,1053,2841,5122,3769,1112,877,3661,3233,146,65278,1531,1114,2012-2016
B01001_14_40_to_44_years,36795,1007,86191,30486,4993,960,3859,2128,1421,965,2307,5145,3916,1743,731,3847,3279,376,66318,2132,1378,2012-2016
B01001_15_45_to_49_years,34999,1134,81899,28154,5470,1269,3782,2401,1620,1122,2883,5496,3712,1504,841,4288,3322,267,65288,2160,1309,2012-2016
B01001_16_50_to_54_years,32400,1339,80783,26543,5609,1338,4399,2703,1822,1264,3230,5668,3944,1608,1038,4969,3035,293,65922,2395,1371,2012-2016
B01001_17_55_to_59_years,26060,1398,70013,20990,5025,1195,4267,2912,1741,1339,3025,5184,3532,1624,944,4704,2756,309,56740,2457,1316,2012-2016
B01001_18_60_and_61_years,8327,409,25014,6610,1993,495,1827,1044,923,411,1070,2003,1319,488,450,1491,805,99,19807,737,480,2012-2016
B01001_19_62_to_64_years,10570,917,30622,9568,2426,622,1926,1510,1221,514,1586,2149,1555,827,463,2111,1310,163,25792,898,705,2012-2016
B01001_20_65_and_66_years,6812,414,18679,5660,1405,363,1325,1088,885,443,869,1678,827,497,340,1283,806,229,15330,436,494,2012-2016
B01001_21_67_to_69_years,8437,698,20952,6939,1788,696,1850,1369,1103,529,1121,2014,1314,829,490,2022,1001,88,19148,1121,785,2012-2016
