estimate_year,index,TX_015,TX_039,TX_071,TX_157,TX_167,TX_201,TX_291,TX_339,TX_473
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,B02001_1_total,29292,345995,39283,711421,321184,4525519,79884,535187,48443
2013-2017,B02001_2_white_alone,23622,255706,34329,371815,250913,2864288,64602,462530,31306
2013-2017,B02001_3_black_or_african_american_alone,2623,45827,3154,146619,41271,857122,7979,24861,12241
2013-2017,B02001_4_american_indian_and_alaska_native_alone,11,1925,42,2066,1459,19465,309,1725,165
2013-2017,B02001_5_asian_alone,58,21616,506,137608,10897,309400,454,14951,409
2013-2017,B02001_6_native_hawaiian_and_other_pacific_islander_alone,0,21,0,161,127,3091,17,462,20
2013-2017,B02001_7_some_other_race_alone,2203,13046,755,35466,7464,368849,5233,18126,2987
2013-2017,B02001_8_two_or_more_races,775,7854,497,17686,9053,103304,1290,12532,1315
2013-2017,B02001_9_two_races_including_some_other_race,227,804,11,4556,1345,24415,258,1457,277
2013-2017,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",548,7050,486,13130,7708,78889,1032,11075,1038
2013-2017,B11001_1_total,11021,117088,13320,222331,117455,1562813,25974,186861,14698
2013-2017,B11001_2_family_households,8131,87576,10432,182543,81866,1066649,18902,139465,10755
2013-2017,B11001_3_married-couple_family,6675,68511,8749,146254,61003,734108,14621,112142,7931
2013-2017,B11001_4_other_family,1456,19065,1683,36289,20863,332541,4281,27323,2824
2013-2017,"B11001_5_male_householder,_no_wife_present",363,5987,566,9050,4937,89319,1177,7943,939
2013-2017,"B11001_6_female_householder,_no_husband_present",1093,13078,1117,27239,15926,243222,3104,19380,1885
2013-2017,B11001_7_nonfamily_households,2890,29512,2888,39788,35589,496164,7072,47396,3943
2013-2017,B11001_8_householder_living_alone,2534,24757,2697,33556,29631,408614,6101,39541,2849
2013-2017,B11001_9_householder_not_living_alone,356,4755,191,6232,5958,87550,971,7855,1094
2013-2017,B15002_1_total,19933,224410,24857,453117,214058,2864864,52195,348041,26108
2013-2017,B15002_2_male,9779,112480,12258,217291,103480,1404471,25294,169292,12887
2013-2017,B15002_3_no_schooling_completed,244,1528,180,3144,1604,38257,558,1552,309
2013-2017,B15002_4_nursery_to_4th_grade,236,907,203,1929,644,26441,442,2141,408
2013-2017,B15002_5_5th_and_6th_grade,183,2001,204,2800,1516,64491,694,4020,402
2013-2017,B15002_6_7th_and_8th_grade,215,2099,341,2536,1937,32416,751,1877,309
2013-2017,B15002_7_9th_grade,249,2139,304,3125,1934,42289,807,2872,622
2013-2017,B15002_8_10th_grade,191,2040,180,2728,1892,24507,824,2299,433
2013-2017,B15002_9_11th_grade,303,2336,231,2926,2504,29640,733,3908,177
2013-2017,"B15002_10_12th_grade,_no_diploma",258,1522,178,3340,1876,29080,549,3980,244
2013-2017,B15002_11_high_school_graduate_(includes_equivalency),3023,30289,3710,36897,25579,331224,11016,39565,3764
2013-2017,"B15002_12_some_college,_less_than_1_year",547,7636,785,9556,7049,65517,1650,11190,811
2013-2017,"B15002_13_some_college,_1_or_more_years,_no_degree",1584,20278,2390,31717,17615,207888,3794,25999,2074
2013-2017,B15002_14_associate's_degree,747,8778,1276,14282,8708,81268,1159,10851,775
2013-2017,B15002_15_bachelor's_degree,1321,19875,1771,61102,19181,271575,1727,38147,1790
