index,34001,34005,34007,34009,34011,34015,34033,10001,10003,42011,42017,42029,42045,42091,42101,24009,24017,24021,24031,24033,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,nj,nj,nj,nj,nj,nj,nj,de,de,pa,pa,pa,pa,pa,pa,md,md,md,md,md,2012-2016
B25034_7_built_1970_to_1979,19024,30558,36138,14954,9067,17369,4485,8232,27815,20020,43020,27221,20016,41956,45753,4971,9480,13075,62645,51367,2012-2016
B25034_8_built_1960_to_1969,17052,25671,29287,9771,7937,11727,3764,5464,30938,14795,32691,19715,27961,39735,72545,1756,5257,5952,56749,66959,2012-2016
B25034_9_built_1950_to_1959,15471,22682,32252,11275,8468,13839,4315,4685,32580,17700,41518,17764,57509,55175,108940,1439,2375,4530,46651,46146,2012-2016
B25034_10_built_1940_to_1949,6836,5525,18009,4855,3556,5129,2615,1705,14666,10140,8276,6086,29714,21443,94858,1009,1505,2159,19580,17093,2012-2016
B25034_11_built_1939_or_earlier,18386,19230,36051,14546,10073,12427,5268,4466,25048,45992,25997,27742,48190,59118,271441,1192,1551,11074,18028,14733,2012-2016
B25127_1_total,101083,164623,185722,40073,50718,104762,24255,62140,202524,152451,233517,186721,203610,309884,582594,31479,54105,88995,367764,306711,2012-2016
B25127_2_owner_occupied,67793,125666,124727,30605,32632,83145,17259,43088,139050,109472,178754,140527,141292,223629,305214,25783,41874,65946,241201,189084,2012-2016
B25127_3_built_2010_or_later,1058,1338,748,584,480,1485,173,2105,2559,1157,2548,3328,899,3093,2185,851,2033,2224,4105,3758,2012-2016
"B25127_4_1,_detached__or_attached",929,1278,683,534,480,1430,164,2033,2457,994,2401,3237,756,2815,1752,851,2033,2193,3830,3694,2012-2016
B25127_5_2_to_4,23,0,0,47,0,0,0,0,0,0,1,27,0,0,183,0,0,12,125,12,2012-2016
B25127_6_5_to_19,21,24,11,3,0,19,0,0,0,0,6,0,60,12,26,0,0,12,70,0,2012-2016
B25127_7_20_to_49,5,0,48,0,0,0,0,0,0,0,0,0,52,94,145,0,0,7,63,33,2012-2016
B25127_8_50_or_more,19,0,0,0,0,0,0,0,0,0,9,0,0,56,67,0,0,0,17,14,2012-2016
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",61,36,6,0,0,36,9,72,102,163,131,64,31,116,12,0,0,0,0,5,2012-2016
B25127_10_built_2000_to_2009,11191,13640,7533,4298,3733,13600,1450,13510,16901,13205,18399,23878,7063,21699,7381,5235,9299,12512,23717,23899,2012-2016
"B25127_11_1,_detached__or_attached",10412,13041,6901,3744,3353,12967,1368,12068,15700,12250,16858,22611,6188,20116,5589,5114,9163,11751,18734,22482,2012-2016
B25127_12_2_to_4,153,115,41,262,5,29,4,0,3,24,45,120,39,61,222,11,0,0,329,10,2012-2016
B25127_13_5_to_19,102,129,128,58,7,155,0,16,210,50,329,185,193,149,314,48,59,479,1004,319,2012-2016
B25127_14_20_to_49,49,112,221,16,0,64,0,9,69,57,237,33,248,311,268,15,7,55,843,580,2012-2016
B25127_15_50_or_more,0,11,80,25,49,0,10,0,192,58,308,60,348,691,914,27,18,162,2775,360,2012-2016
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",475,232,162,193,319,385,68,1417,727,766,622,869,47,371,74,20,52,65,32,148,2012-2016
B25127_17_built_1980_to_1999,17561,39196,24473,9116,6248,25066,3147,13224,41651,28619,54245,49201,16784,56373,14408,12132,16719,26639,83244,56535,2012-2016
"B25127_18_1,_detached__or_attached",14646,35413,22658,8024,4994,23390,2911,10409,38213,26426,50332,46330,15626,52624,11049,11867,16520,25242,73582,53797,2012-2016
B25127_19_2_to_4,528,833,314,335,33,258,0,4,180,117,447,238,227,585,1005,0,8,95,536,292,2012-2016
B25127_20_5_to_19,1079,1965,974,157,0,792,0,46,702,200,1347,531,265,1201,525,59,16,1017,4966,1560,2012-2016
B25127_21_20_to_49,303,101,36,74,0,0,0,0,156,0,421,143,95,184,326,6,13,115,711,134,2012-2016
B25127_22_50_or_more,237,118,86,71,17,34,0,0,238,135,140,258,402,571,1118,54,17,68,3246,227,2012-2016
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",768,766,405,455,1204,592,236,2765,2162,1741,1558,1701,169,1208,385,146,145,102,203,525,2012-2016
B25127_24_built_1960_to_1979,18520,38603,36571,7691,9481,20713,4971,8217,33765,22124,47407,32333,25837,49610,49730,5218,10494,13615,70772,58553,2012-2016
"B25127_25_1,_detached__or_attached",16013,36260,34721,6604,8606,19527,4503,7025,31553,20728,45121,30390,23641,45243,43006,5176,10209,13338,61466,54475,2012-2016
B25127_26_2_to_4,449,429,412,405,76,147,19,0,108,69,253,272,460,463,1815,0,27,2,483,264,2012-2016
B25127_27_5_to_19,509,1092,573,126,58,214,13,75,523,133,445,629,754,705,681,7,0,102,3105,2523,2012-2016
B25127_28_20_to_49,70,124,107,49,0,23,0,0,429,50,130,319,339,490,227,0,0,23,1135,274,2012-2016
B25127_29_50_or_more,632,72,364,216,0,10,0,0,402,90,61,71,433,2225,3790,0,12,0,4428,724,2012-2016
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",847,626,394,291,741,792,436,1117,750,1054,1397,652,210,484,211,35,246,150,155,293,2012-2016
B25127_31_built_1940_to_1959,11054,20688,33005,5290,6627,13938,4324,3818,30940,18419,39921,17162,60092,56280,102480,1606,2559,4396,46556,37656,2012-2016
"B25127_32_1,_detached__or_attached",10218,20574,32450,4856,6501,13634,4255,3747,30329,18220,39659,16821,59205,54924,98213,1606,2535,4396,45165,36653,2012-2016
B25127_33_2_to_4,564,79,412,336,60,171,60,0,178,158,136,150,424,417,2790,0,8,0,155,190,2012-2016
B25127_34_5_to_19,114,18,19,30,32,7,0,19,195,7,31,18,148,149,222,0,12,0,596,558,2012-2016
B25127_35_20_to_49,11,0,11,16,0,10,0,0,55,0,52,85,30,171,87,0,4,0,137,85,2012-2016
B25127_36_50_or_more,91,13,81,0,0,0,0,0,116,9,0,14,271,521,989,0,0,0,476,108,2012-2016
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",56,4,32,52,34,116,9,52,67,25,43,74,14,98,179,0,0,0,27,62,2012-2016
B25127_38_built_1939_or_earlier,8409,12201,22397,3626,6063,8343,3194,2214,13234,25948,16234,14625,30617,36574,129030,741,770,6560,12807,8683,2012-2016
"B25127_39_1,_detached__or_attached",7436,11872,21677,3158,5914,8104,3155,2095,12884,25233,15786,14102,29695,35553,121985,716,770,6422,12514,8441,2012-2016
B25127_40_2_to_4,729,300,685,394,137,226,10,23,168,623,316,366,737,563,3825,16,0,106,78,40,2012-2016
B25127_41_5_to_19,117,11,14,51,0,0,11,5,70,22,47,82,32,129,1171,0,0,10,99,99,2012-2016
B25127_42_20_to_49,48,0,0,23,0,13,0,0,47,17,0,13,105,148,603,0,0,5,71,26,2012-2016
B25127_43_50_or_more,46,14,21,0,0,0,0,0,60,7,69,38,48,125,1331,0,0,0,37,27,2012-2016
"B25127_44_mobile_home,_boat,_rv,_van,_etc.",33,4,0,0,12,0,18,91,5,46,16,24,0,56,115,9,0,17,8,50,2012-2016
B25127_45_renter_occupied,33290,38957,60995,9468,18086,21617,6996,19052,63474,42979,54763,46194,62318,86255,277380,5696,12231,23049,126563,117627,2012-2016
B25127_46_built_2010_or_later,581,1269,1166,188,173,669,218,1168,1537,757,515,929,607,1105,4168,81,689,476,5004,2156,2012-2016
"B25127_47_1,_detached__or_attached",227,403,307,57,96,35,96,623,561,277,193,276,131,178,917,68,71,171,344,283,2012-2016
B25127_48_2_to_4,87,89,156,36,15,176,0,51,80,129,15,11,59,96,865,0,39,0,101,36,2012-2016
B25127_49_5_to_19,47,294,327,31,20,384,96,392,520,221,192,105,35,252,425,13,97,58,563,445,2012-2016
B25127_50_20_to_49,27,170,142,19,0,20,0,71,153,18,31,127,172,264,289,0,300,156,392,246,2012-2016
B25127_51_50_or_more,193,279,230,45,26,46,11,0,179,72,74,410,210,305,1672,0,143,70,3604,1141,2012-2016
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",0,34,4,0,16,8,15,31,44,40,10,0,0,10,0,0,39,21,0,5,2012-2016
B25127_53_built_2000_to_2009,2519,4749,5119,744,1561,2495,465,4128,5917,2974,3718,5266,3306,7440,11005,1099,2556,3567,16724,10278,2012-2016
"B25127_54_1,_detached__or_attached",1187,2872,1501,267,568,934,186,2593,1711,1302,1145,1637,902,1942,3001,669,1214,1718,2919,2409,2012-2016
B25127_55_2_to_4,349,399,683,101,445,308,24,322,601,239,231,346,366,320,2324,56,164,74,293,405,2012-2016
B25127_56_5_to_19,496,775,901,69,218,658,70,533,2461,376,637,1259,548,1713,1208,36,453,952,3543,2685,2012-2016
B25127_57_20_to_49,63,301,602,23,16,147,13,234,425,190,286,467,308,819,1057,97,312,204,1125,649,2012-2016
B25127_58_50_or_more,390,380,1404,266,250,405,155,123,692,737,1407,1312,1146,2612,3314,241,413,588,8710,4053,2012-2016
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",34,22,28,18,64,43,17,323,27,130,12,245,36,34,101,0,0,31,134,77,2012-2016
B25127_60_built_1980_to_1999,8362,9562,11210,1738,3644,5462,1100,6216,15473,6538,12341,11113,7483,16159,28041,2904,4377,9008,41151,30167,2012-2016
"B25127_61_1,_detached__or_attached",1877,3288,2632,966,1189,1158,370,2027,5123,2417,3641,3770,1497,4561,5457,1829,3053,3694,11006,9058,2012-2016
B25127_62_2_to_4,1725,1462,1817,318,883,1107,106,498,1193,1045,1823,1231,1404,2394,7065,368,339,394,1529,1218,2012-2016
B25127_63_5_to_19,2545,3065,2936,116,681,1547,341,1629,6690,1349,3031,3161,1362,3850,4771,374,448,3545,16946,13552,2012-2016
B25127_64_20_to_49,276,700,1259,32,236,509,32,463,815,508,899,1157,1130,1333,2676,87,222,548,2399,1322,2012-2016
B25127_65_50_or_more,1703,972,2450,235,411,972,169,357,1252,976,2836,1093,1995,3908,7869,163,280,762,9220,4946,2012-2016
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",236,75,116,71,244,169,82,1242,400,243,111,701,95,113,203,83,35,65,51,71,2012-2016
B25127_67_built_1960_to_1979,10163,13362,22243,3012,5957,6530,2252,4013,20481,10503,22928,12317,17981,27351,57050,927,3274,4423,42435,49503,2012-2016
"B25127_68_1,_detached__or_attached",2214,3599,4122,1222,1611,1414,567,1567,4599,3178,4011,3198,3907,4948,14210,718,2228,2020,8073,8964,2012-2016
B25127_69_2_to_4,2192,2019,3939,806,1408,1452,449,431,2560,2184,5483,1414,4431,5280,16885,101,160,574,1534,2059,2012-2016
B25127_70_5_to_19,3452,4880,7392,414,1699,2101,706,1152,9391,2525,7668,4754,4371,7714,9132,6,382,1388,16591,30354,2012-2016
B25127_71_20_to_49,666,1200,1863,128,184,855,130,120,1043,897,2236,1549,2733,2714,4148,45,235,145,2109,1853,2012-2016
B25127_72_50_or_more,1470,1370,4787,428,620,565,280,125,2646,1425,3272,1056,2387,6592,12413,44,175,248,14114,6164,2012-2016
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",169,294,140,14,435,143,120,618,242,294,258,346,152,103,262,13,94,48,14,109,2012-2016
B25127_74_built_1940_to_1959,6126,5398,12221,2017,3914,3493,1678,2048,11834,7618,8045,5537,20693,16426,77424,448,817,1893,16918,20653,2012-2016
"B25127_75_1,_detached__or_attached",2189,2555,5824,1243,1805,1703,1068,1432,6460,3735,4456,2701,8913,6257,39620,381,541,1230,6689,7538,2012-2016
B25127_76_2_to_4,1531,1274,2746,596,1174,864,315,163,2105,2270,1206,1229,5559,4661,20726,7,110,224,1078,1355,2012-2016
B25127_77_5_to_19,1206,951,1564,93,404,462,209,372,1905,1191,1316,916,2933,2601,5873,12,95,390,4510,9600,2012-2016
B25127_78_20_to_49,314,337,628,9,203,193,20,0,316,223,533,364,2047,772,3564,8,61,21,945,739,2012-2016
B25127_79_50_or_more,854,281,1452,66,257,202,48,78,944,195,518,255,1241,2123,7619,29,0,28,3634,1411,2012-2016
"B25127_80_mobile_home,_boat,_rv,_van,_etc.",32,0,7,10,71,69,18,3,104,4,16,72,0,12,22,11,10,0,62,10,2012-2016
B25127_81_built_1939_or_earlier,5539,4617,9036,1769,2837,2968,1283,1479,8232,14589,7216,11032,12248,17774,99692,237,518,3682,4331,4870,2012-2016
"B25127_82_1,_detached__or_attached",1491,2114,4945,587,1588,1448,814,1142,4995,8326,2966,5027,6494,7217,50818,198,311,2143,1780,2217,2012-2016
B25127_83_2_to_4,2121,1680,2669,942,983,793,306,192,1721,4007,2636,3407,3551,6127,23823,24,76,824,501,333,2012-2016
B25127_84_5_to_19,1167,521,553,127,71,524,100,66,917,1681,1266,1716,1185,2503,10859,0,61,487,1212,1698,2012-2016
B25127_85_20_to_49,244,199,310,94,72,108,0,14,213,241,147,468,438,735,4090,0,70,88,202,132,2012-2016
B25127_86_50_or_more,516,71,531,19,123,75,63,52,371,334,161,398,561,1172,9949,15,0,82,573,477,2012-2016
"B25127_87_mobile_home,_boat,_rv,_van,_etc.",0,32,28,0,0,20,0,13,15,0,40,16,19,20,153,0,0,58,63,13,2012-2016
B11003_1_total,68225,114525,125569,25836,35123,74964,16286,43020,132924,105227,166486,131242,136213,212317,310729,23705,39377,64219,256128,202160,2012-2016
B11003_2_married-couple_family,45648,88345,84464,20532,21492,57170,11790,30363,94609,77837,135764,108210,96938,171919,160700,18209,28481,50628,198439,119956,2012-2016
B11003_3_with_own_children_of_the_householder_under_18_years,17221,35733,34382,5952,8376,24583,4010,11237,35371,28999,52587,47273,40159,71973,59057,7369,12295,22513,92636,49296,2012-2016
B11003_4_under_6_years_only,3488,6948,7279,1454,1503,5204,855,2482,8405,5858,10677,9894,9510,16520,16621,1107,2120,4673,23272,10011,2012-2016
B11003_5_under_6_years_and_6_to_17_years,3197,7097,6744,1044,2098,4459,859,2549,6470,5854,9796,8926,7242,13449,11429,1274,2644,4260,16862,11335,2012-2016
B11003_6_6_to_17_years_only,10536,21688,20359,3454,4775,14920,2296,6206,20496,17287,32114,28453,23407,42004,31007,4988,7531,13580,52502,27950,2012-2016
B11003_7_no_own_children_of_the_householder_under_18_years,28427,52612,50082,14580,13116,32587,7780,19126,59238,48838,83177,60937,56779,99946,101643,10840,16186,28115,105803,70660,2012-2016
B11003_8_other_family,22577,26180,41105,5304,13631,17794,4496,12657,38315,27390,30722,23032,39275,40398,150029,5496,10896,13591,57689,82204,2012-2016
"B11003_9_male_householder,_no_wife_present",5883,7272,9847,1360,3384,4958,1207,2856,9812,7916,8846,6777,9538,11336,31390,1595,2189,4294,16233,20713,2012-2016
B11003_10_with_own_children_of_the_householder_under_18_years,2655,3164,4679,546,1474,2236,532,1318,4751,3998,3313,3344,4547,5349,12350,824,1012,2462,7699,9484,2012-2016
B11003_11_under_6_years_only,581,662,1488,123,224,576,101,261,1094,927,734,697,1552,982,3156,224,221,657,1657,2385,2012-2016
B11003_12_under_6_years_and_6_to_17_years,249,265,713,78,300,246,88,163,864,892,421,389,503,728,1839,63,73,347,1607,2335,2012-2016
B11003_13_6_to_17_years_only,1825,2237,2478,345,950,1414,343,894,2793,2179,2158,2258,2492,3639,7355,537,718,1458,4435,4764,2012-2016
B11003_14_no_own_children_of_the_householder_under_18_years,3228,4108,5168,814,1910,2722,675,1538,5061,3918,5533,3433,4991,5987,19040,771,1177,1832,8534,11229,2012-2016
"B11003_15_female_householder,_no_husband_present",16694,18908,31258,3944,10247,12836,3289,9801,28503,19474,21876,16255,29737,29062,118639,3901,8707,9297,41456,61491,2012-2016
B11003_16_with_own_children_of_the_householder_under_18_years,9120,9035,16682,1638,5783,5846,1939,5565,14681,11652,10104,7985,14674,14567,59449,2014,4815,4897,21972,28933,2012-2016
B11003_17_under_6_years_only,1532,1640,3195,433,968,931,424,1013,2874,2037,1401,1236,2708,2157,10846,409,565,627,3074,5367,2012-2016
B11003_18_under_6_years_and_6_to_17_years,1861,1296,3508,245,1151,1122,414,1028,2659,2477,1485,958,2336,1834,12487,224,779,930,3570,4906,2012-2016
B11003_19_6_to_17_years_only,5727,6099,9979,960,3664,3793,1101,3524,9148,7138,7218,5791,9630,10576,36116,1381,3471,3340,15328,18660,2012-2016
B11003_20_no_own_children_of_the_householder_under_18_years,7574,9873,14576,2306,4464,6990,1350,4236,13822,7822,11772,8270,15063,14495,59190,1887,3892,4400,19484,32558,2012-2016
B25075_1_total,67793,125666,124727,30605,32632,83145,17259,43088,139050,109472,178754,140527,141292,223629,305214,25783,41874,65946,241201,189084,2012-2016
"B25075_2_less_than_$10,000",1091,1548,1479,384,531,1285,239,1254,1960,1394,2171,1762,1270,2148,4097,217,558,589,2221,2686,2012-2016
"B25075_3_$10,000_to_$14,999",232,428,582,275,285,381,289,601,777,758,427,369,459,320,2368,23,69,97,218,377,2012-2016
"B25075_4_$15,000_to_$19,999",374,378,525,73,295,421,122,377,665,1061,675,390,495,438,2560,35,109,144,132,601,2012-2016
"B25075_5_$20,000_to_$24,999",280,521,435,90,266,251,95,476,640,812,1064,664,621,507,2610,55,146,168,204,651,2012-2016
"B25075_6_$25,000_to_$29,999",279,292,301,52,237,248,105,291,510,860,512,602,517,622,2431,36,88,92,224,589,2012-2016
"B25075_7_$30,000_to_$34,999",117,258,346,28,242,128,86,335,476,759,359,266,504,320,4095,24,32,84,278,531,2012-2016
"B25075_8_$35,000_to_$39,999",297,154,317,24,124,129,23,99,211,957,353,313,330,328,2459,12,51,24,230,439,2012-2016
"B25075_9_$40,000_to_$49,999",260,313,1053,139,389,258,87,504,690,1579,584,317,1222,586,8428,25,63,152,355,505,2012-2016
"B25075_10_$50,000_to_$59,999",532,293,1092,180,588,275,163,408,717,1621,329,392,1700,734,10608,13,98,60,385,771,2012-2016
"B25075_11_$60,000_to_$69,999",721,856,2073,87,681,338,207,401,686,2204,500,695,2567,852,12648,0,23,90,378,1010,2012-2016
"B25075_12_$70,000_to_$79,999",892,843,2574,68,716,537,168,547,1159,3114,438,475,2310,992,13456,0,141,302,274,1168,2012-2016
"B25075_13_$80,000_to_$89,999",1311,1178,3344,187,1000,858,377,454,1313,3292,442,574,3452,1517,15728,53,157,137,453,1278,2012-2016
"B25075_14_$90,000_to_$99,999",1075,1440,2787,243,1006,1086,505,718,1979,3569,592,559,3722,1390,14215,79,107,244,786,1371,2012-2016
"B25075_15_$100,000_to_$124,999",4181,5630,9030,705,3790,4185,1419,2803,5771,10747,2701,2436,10320,5533,34851,202,707,1508,2543,5874,2012-2016
"B25075_16_$125,000_to_$149,999",4098,7629,9889,1190,3652,6359,1638,2510,6859,11091,3534,2605,9230,6923,24703,292,996,1970,2726,6208,2012-2016
"B25075_17_$150,000_to_$174,999",6714,11635,15782,1872,5304,11216,2199,4756,10862,14329,7811,6240,11895,12280,31768,773,2822,3135,5126,13929,2012-2016
"B25075_18_$175,000_to_$199,999",6223,11016,14558,1655,3316,9515,2032,5048,12189,10365,8954,6364,8731,11930,22957,1141,2237,3731,4653,13964,2012-2016
"B25075_19_$200,000_to_$249,999",11778,20485,21171,3947,4875,15544,2677,8029,24904,15811,26420,16737,16989,34735,34248,3242,7123,9477,14527,35319,2012-2016
"B25075_20_$250,000_to_$299,999",9842,18548,15164,4447,2692,12099,1966,5945,20543,11106,26681,18987,17215,33829,19084,3780,7185,10018,18075,31827,2012-2016
"B25075_21_$300,000_to_$399,999",9377,23075,12720,5585,1650,12367,1712,4942,26138,8561,41560,30705,21117,48869,19527,6523,11336,15533,44181,41240,2012-2016
"B25075_22_$400,000_to_$499,999",2774,9559,4645,2837,462,3160,639,1157,11215,2300,23855,19245,10841,24262,8613,4416,4787,10056,37685,17426,2012-2016
"B25075_23_$500,000_to_$749,999",3171,6921,3283,3510,253,1847,290,813,6044,1738,20557,20557,10108,23123,8010,3587,2351,6430,57460,8870,2012-2016
"B25075_24_$750,000_to_$999,999",1003,1739,872,1496,66,307,115,243,1377,670,5144,5170,3244,6527,2408,871,373,1222,26359,1307,2012-2016
"B25075_25_$1,000,000_to_$1,499,999",624,495,484,725,74,102,57,92,742,438,1776,2239,1278,2872,2049,259,110,467,14591,375,2012-2016
"B25075_26_$1,500,000_to_$1,999,999",281,158,25,309,23,68,11,75,237,142,474,805,486,895,515,64,45,38,3763,187,2012-2016
"B25075_27_$2,000,000_or_more",266,274,196,497,115,181,38,210,386,194,841,1059,669,1097,778,61,160,178,3374,581,2012-2016
B03002_1_total,274026,450236,511145,95404,155744,291286,64504,171474,551997,414097,626220,512028,562316,815876,1559938,90527,154357,243465,1026371,897693,2012-2016
B03002_2_not_hispanic_or_latino,223856,416661,431018,88568,110368,275048,59412,160148,500085,336151,595821,475867,542788,777276,1345168,87435,146418,222980,835821,747425,2012-2016
B03002_3_white_alone,155570,309122,296745,81874,74799,231306,48719,108515,326993,306740,533846,412876,385607,628870,550157,71639,68377,183905,471476,122505,2012-2016
B03002_4_black_or_african_american_alone,39702,70210,93169,4315,28141,29052,8584,40690,130912,16919,23269,29039,115486,70800,648187,10972,65188,21390,177896,562034,2012-2016
B03002_5_american_indian_and_alaska_native_alone,465,246,488,55,736,160,81,1024,997,336,805,444,483,615,2986,77,975,494,1514,2039,2012-2016
B03002_6_asian_alone,22446,21382,28735,1010,1986,8585,576,3401,28383,5604,27466,23694,29474,57974,106642,1268,4738,10644,148778,37801,2012-2016
B03002_7_native_hawaiian_and_other_pacific_islander_alone,28,139,86,39,0,36,0,53,130,39,1,123,104,198,425,0,162,146,427,241,2012-2016
B03002_8_some_other_race_alone,425,1812,1636,48,49,609,112,384,1308,611,997,456,952,2020,4789,61,252,546,4068,2563,2012-2016
B03002_9_two_or_more_races,5220,13750,10159,1227,4657,5300,1340,6081,11362,5902,9437,9235,10682,16799,31982,3418,6726,5855,31662,20242,2012-2016
B03002_10_two_races_including_some_other_race,471,529,661,13,274,258,13,80,364,172,564,488,519,634,1962,1,78,211,1748,924,2012-2016
"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",4749,13221,9498,1214,4383,5042,1327,6001,10998,5730,8873,8747,10163,16165,30020,3417,6648,5644,29914,19318,2012-2016
B03002_12_hispanic_or_latino,50170,33575,80127,6836,45376,16238,5092,11326,51912,77946,30399,36161,19528,38600,214770,3092,7939,20485,190550,150268,2012-2016
B03002_13_white_alone,28801,17535,25254,5088,24496,7203,3180,6443,32260,39529,22236,28151,10184,26623,93413,2234,5367,14055,94763,51376,2012-2016
B03002_14_black_or_african_american_alone,3009,2458,6981,69,2763,998,132,1407,3590,3090,957,868,2603,1512,20386,152,608,806,4878,8104,2012-2016
B03002_15_american_indian_and_alaska_native_alone,98,249,671,3,427,24,12,99,350,3214,104,180,349,280,2748,0,51,152,1343,1410,2012-2016
B03002_16_asian_alone,212,121,157,3,91,152,18,32,198,129,214,24,107,166,1027,103,22,57,992,262,2012-2016
B03002_17_native_hawaiian_and_other_pacific_islander_alone,38,18,0,59,0,38,0,51,79,121,24,0,0,15,1238,0,0,0,76,28,2012-2016
B03002_18_some_other_race_alone,13800,9578,42086,1238,15297,5715,1387,2167,12717,16838,5072,5371,4887,7671,84300,469,917,3641,77551,84322,2012-2016
B03002_19_two_or_more_races,4212,3616,4978,376,2302,2108,363,1127,2718,15025,1792,1567,1398,2333,11658,134,974,1774,10947,4766,2012-2016
B03002_20_two_races_including_some_other_race,2920,1417,3015,195,1511,1524,138,392,1230,2607,1049,1010,801,1182,5410,109,292,631,5700,2885,2012-2016
"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",1292,2199,1963,181,791,584,225,735,1488,12418,743,557,597,1151,6248,25,682,1143,5247,1881,2012-2016
B25063_1_total,33290,38957,60995,9468,18086,21617,6996,19052,63474,42979,54763,46194,62318,86255,277380,5696,12231,23049,126563,117627,2012-2016
B25063_2_with_cash_rent,31937,37156,58946,8455,17391,20715,6616,17982,61314,40390,52567,44312,59642,83045,265678,5314,11734,21888,123067,114670,2012-2016
B25063_3_less_than_$100,293,20,278,47,118,30,34,25,237,302,151,19,261,130,1331,0,38,24,136,202,2012-2016
B25063_4_$100_to_$149,230,85,356,58,185,84,31,32,262,105,82,88,183,183,1378,0,84,37,433,142,2012-2016
B25063_5_$150_to_$199,553,109,765,55,190,57,46,108,366,251,293,222,402,207,3276,37,172,137,476,303,2012-2016
B25063_6_$200_to_$249,827,140,1650,98,538,293,207,277,656,1149,602,388,599,647,7751,45,189,128,1328,892,2012-2016
B25063_7_$250_to_$299,472,327,1000,123,620,208,130,219,672,621,595,268,568,708,3422,7,44,318,526,487,2012-2016
B25063_8_$300_to_$349,594,100,963,109,326,173,195,204,515,532,701,304,356,730,3845,32,36,169,552,419,2012-2016
B25063_9_$350_to_$399,274,184,681,97,463,268,113,225,566,727,328,375,498,397,3350,26,93,137,497,466,2012-2016
B25063_10_$400_to_$449,482,259,579,62,231,169,51,398,511,705,551,356,486,496,3597,45,62,99,416,419,2012-2016
B25063_11_$450_to_$499,399,184,996,48,276,332,124,279,728,830,542,263,550,384,4584,77,142,245,381,408,2012-2016
B25063_12_$500_to_$549,570,100,1002,169,231,213,121,345,548,1054,609,515,591,874,5358,17,37,149,587,641,2012-2016
B25063_13_$550_to_$599,570,286,582,149,224,219,56,234,767,1456,630,619,1056,782,6490,110,114,180,409,426,2012-2016
B25063_14_$600_to_$649,630,697,1591,255,285,315,116,423,1109,2052,592,505,1406,1375,8810,66,345,279,742,613,2012-2016
B25063_15_$650_to_$699,536,417,1351,257,391,276,128,642,1421,2193,821,595,1758,1892,9824,110,16,319,621,457,2012-2016
B25063_16_$700_to_$749,738,959,2034,137,506,492,256,721,1548,2337,943,1004,2815,1644,11434,111,75,277,663,657,2012-2016
B25063_17_$750_to_$799,1076,903,2777,251,743,708,369,655,2686,2313,1315,1234,3457,2569,14340,26,180,529,696,907,2012-2016
B25063_18_$800_to_$899,2742,2720,6876,927,1868,1963,673,1929,6345,5072,4268,3174,7784,6851,30720,148,457,1044,1789,2994,2012-2016
B25063_19_$900_to_$999,3460,3464,6610,1029,1511,2496,816,2174,7523,5022,6015,3894,7330,8055,30802,366,622,1688,2534,7091,2012-2016
"B25063_20_$1,000_to_$1,249",7083,8718,12221,1994,3934,5093,1606,4058,16273,7396,12643,9400,13072,18794,53954,727,1062,4230,13553,30319,2012-2016
"B25063_21_$1,250_to_$1,499",5205,6045,8042,1383,2653,3325,685,2626,9362,3837,8547,8202,6844,14291,26538,529,1859,4498,22984,27135,2012-2016
"B25063_22_$1,500_to_$1,999",3771,7446,6085,895,1759,2729,722,2002,6944,1646,7706,8138,5637,14405,22386,1525,3713,5152,41571,25693,2012-2016
"B25063_23_$2,000_to_$2,499",1096,3337,1742,173,269,952,84,357,1559,460,2711,2691,2211,4655,7006,896,1906,1654,19247,10800,2012-2016
"B25063_24_$2,500_to_$2,999",204,422,387,40,70,159,23,49,400,93,1088,1013,537,1889,3154,271,358,339,7213,2190,2012-2016
"B25063_25_$3,000_to_$3,499",83,171,181,88,0,97,30,0,228,78,542,370,740,494,1489,135,115,205,3290,645,2012-2016
"B25063_26_$3,500_or_more",49,63,197,11,0,64,0,0,88,159,292,675,501,593,839,8,15,51,2423,364,2012-2016
B25063_27_no_cash_rent,1353,1801,2049,1013,695,902,380,1070,2160,2589,2196,1882,2676,3210,11702,382,497,1161,3496,2957,2012-2016
