B01001_11_25_to_29_years,2205,4227,6698,32670,32388,4454,1396,31914,16479,310,1457,39897,1613,9008,14412,115,3471,4360,998,8121,887,380,1140,1507,590,2008-2012
B01001_12_30_to_34_years,2115,4065,6872,31991,29606,4279,1543,27308,12434,334,1548,39191,1578,11763,15058,122,3711,3873,1120,8229,869,493,615,1418,680,2008-2012
B01001_13_35_to_39_years,2550,4853,7857,32913,28910,4713,1623,21434,8985,424,1781,38484,1921,14277,15611,209,4459,4084,1212,6871,728,417,861,1443,457,2008-2012
B01001_14_40_to_44_years,3336,5909,9261,34351,29954,5157,2164,20064,8458,468,1772,42420,2557,15127,16486,258,4235,5547,1433,5721,870,405,729,1466,758,2008-2012
B01001_15_45_to_49_years,4238,6440,10116,36311,30403,5305,2300,19431,7084,682,2018,43125,2886,13713,16252,272,5320,5769,1684,4916,720,391,760,1546,640,2008-2012
B01001_16_50_to_54_years,3846,5482,9166,35745,28456,5189,2024,18132,6211,641,1699,41481,2788,10764,14094,330,4314,4948,1501,4314,816,460,669,1164,443,2008-2012
B01001_17_55_to_59_years,3235,4089,7554,30393,23976,4755,1815,16154,5484,443,1583,33832,2386,7749,10498,327,3362,3845,1363,3871,736,323,478,942,199,2008-2012
B01001_18_60_and_61_years,889,1809,2718,11511,9000,1845,756,6093,2113,264,559,12694,804,2671,3605,77,1524,1039,432,1432,177,132,300,345,102,2008-2012
B01001_19_62_to_64_years,1350,1709,3243,14398,10629,2518,900,7532,2767,345,616,17288,1121,2974,4811,265,1748,1436,553,1818,400,303,301,509,129,2008-2012
B01001_20_65_and_66_years,882,1145,1904,7394,5845,1547,473,4261,1504,205,336,8851,618,1852,2529,82,991,934,333,872,181,126,130,216,60,2008-2012
B01001_21_67_to_69_years,922,1196,2622,9642,7433,1924,587,5457,1366,172,681,9860,797,1952,3010,193,1261,1085,375,1184,249,107,219,197,76,2008-2012
B01001_22_70_to_74_years,1003,1754,2404,11790,9335,2733,824,6647,2072,265,620,12307,1036,2100,3016,184,1136,1014,693,1263,324,85,206,363,71,2008-2012
B01001_23_75_to_79_years,654,992,2051,9139,6174,2206,474,5107,1197,278,430,8279,563,1690,2012,95,873,703,352,861,177,95,156,201,66,2008-2012
B01001_24_80_to_84_years,471,621,1352,6382,3509,1324,349,3497,883,101,334,5655,640,1119,874,120,727,384,262,560,236,87,103,77,26,2008-2012
B01001_25_85_years_and_over,418,435,1001,6692,2351,1203,185,2759,969,41,197,4023,182,488,861,23,365,240,188,729,117,38,126,104,0,2008-2012
B01001_26_female,45005,76046,119022,506587,450267,76429,26952,319332,104790,7134,23294,548154,33138,159431,203293,3796,62576,64383,18952,72772,11566,6443,13270,19001,7327,2008-2012
B01001_27_under_5_years,2357,4584,7270,31274,28856,4819,1527,17053,5816,351,1624,35708,1789,13495,16325,165,4016,4265,1178,4961,582,382,770,1535,625,2008-2012
B01001_28_5_to_9_years,3212,4858,7931,31360,26527,5096,1801,13460,4969,431,1815,35236,2545,14247,15885,256,4533,4941,1393,3451,567,364,642,1556,707,2008-2012
B01001_29_10_to_14_years,3412,5683,8367,31701,27997,4634,1628,12466,3268,516,1639,34966,2191,12581,15468,175,4879,5472,1225,2039,591,469,577,1160,454,2008-2012
B01001_30_15_to_17_years,2311,3820,5118,19832,17662,2899,1085,8519,2119,348,983,21323,1450,6784,9037,144,3028,3541,729,1467,490,307,263,1051,317,2008-2012
B01001_31_18_and_19_years,1066,1909,2999,9628,14363,1835,858,13882,1379,92,530,11602,797,2832,4855,67,1528,1801,440,739,143,91,989,454,166,2008-2012
B01001_32_20_years,500,976,1385,4269,6805,816,363,6577,782,19,233,5577,279,1047,2116,0,683,712,259,595,130,52,617,329,158,2008-2012
B01001_33_21_years,427,799,1718,4333,7792,992,522,5847,648,50,126,5812,246,923,2558,91,575,758,215,780,182,142,668,142,15,2008-2012
B01001_34_22_to_24_years,1343,2625,3653,17878,18915,2487,964,19886,7431,210,687,17966,1013,4388,7271,29,2213,2185,571,3058,459,136,1138,966,314,2008-2012
B01001_35_25_to_29_years,2226,4399,6919,33564,32794,4327,1440,37314,16970,261,1351,39335,1524,9815,14421,207,3710,3789,1065,9453,1041,497,1217,1346,680,2008-2012
B01001_36_30_to_34_years,2342,4619,7150,34528,31839,4262,1606,29138,12031,358,1573,39687,1735,13380,15916,120,4108,3955,1228,8563,700,434,924,1515,674,2008-2012
B01001_37_35_to_39_years,2867,5952,7971,36400,32177,4665,1863,22627,8508,395,1698,40579,2049,14656,16886,209,4503,4528,1116,6661,821,353,720,1483,607,2008-2012
B01001_38_40_to_44_years,3762,6788,9820,37814,33329,5252,2171,18134,7340,576,1521,43795,2680,15313,16431,293,5004,5824,1438,5602,823,496,556,1223,734,2008-2012
B01001_39_45_to_49_years,4319,7047,10405,40718,35219,5346,2181,18981,6527,611,1845,45350,3054,13763,16453,284,5237,6082,1631,4713,804,477,736,1484,393,2008-2012
B01001_40_50_to_54_years,3976,5672,9328,39646,33629,5403,2010,19068,6129,593,1770,43753,2824,10601,14152,304,4607,4862,1451,4695,862,618,744,1330,414,2008-2012
B01001_41_55_to_59_years,2874,4552,7278,34627,30275,4931,2063,17910,6136,587,1358,37087,2179,7870,10520,299,3844,3705,1313,4496,874,398,575,996,263,2008-2012
B01001_42_60_and_61_years,1088,1745,3116,13709,10730,1734,568,7223,1986,224,647,13837,847,2566,4312,145,1530,1144,392,1828,214,228,366,341,149,2008-2012
B01001_43_62_to_64_years,1534,2110,3585,15189,13062,2913,850,9930,2469,250,855,17310,1300,3335,5042,221,1682,1480,646,2128,433,260,219,443,117,2008-2012
B01001_44_65_and_66_years,971,1096,1713,8829,7901,1798,595,5259,1531,171,516,9043,669,1833,2402,56,1136,761,436,1063,148,95,138,93,66,2008-2012
B01001_45_67_to_69_years,771,1528,2577,11018,9364,2408,617,6624,1665,294,533,10283,945,2373,3496,146,1210,965,276,1498,370,112,188,367,115,2008-2012
B01001_46_70_to_74_years,1111,1909,3298,14616,11164,2775,773,8932,2136,163,642,13810,1006,2581,3859,269,1457,1475,765,1471,380,199,368,375,116,2008-2012
B01001_47_75_to_79_years,1000,1182,2377,12045,8728,2603,463,7169,1863,287,508,10259,714,1843,2502,65,1095,796,441,1224,274,114,242,238,181,2008-2012
B01001_48_80_to_84_years,741,1101,2384,10133,5479,2126,425,6032,1213,182,379,7434,728,1572,1490,113,1009,672,405,1030,376,62,236,329,34,2008-2012
B01001_49_85_years_and_over,795,1092,2660,13476,5660,2308,579,7301,1874,165,461,8402,574,1633,1896,138,989,670,339,1257,302,157,377,245,28,2008-2012
B02001_1_total,88774,147107,234268,974824,865443,149554,53545,605759,209077,14143,46894,1083770,65495,314980,404011,7440,122854,129446,37567,140337,22712,12300,24932,37943,14409,2008-2012
B02001_2_white_alone,72392,75096,193183,560968,188843,139798,47187,239413,149199,12805,36090,691090,57199,220871,242288,6857,92339,92277,34487,89211,16371,9533,16220,27524,8849,2008-2012
B02001_3_black_or_african_american_alone,12187,59877,20261,167316,555713,5232,3342,309263,17742,799,7027,99298,5393,23431,80814,372,19432,22393,1477,30599,1079,634,5850,5410,1876,2008-2012
B02001_4_american_indian_and_alaska_native_alone,179,1320,948,3282,2526,326,45,2143,824,49,69,4623,32,630,1400,33,378,740,121,552,137,8,102,18,93,2008-2012
B02001_5_asian_alone,1114,4832,9129,136409,35833,1401,745,21440,20085,140,746,190824,896,46369,30258,9,2954,3419,262,8462,3578,1212,624,1495,1098,2008-2012
B02001_6_native_hawaiian_and_other_pacific_islander_alone,0,35,136,221,441,0,0,312,142,0,66,934,20,107,359,0,193,168,42,143,32,0,3,0,0,2008-2012
B02001_7_some_other_race_alone,704,1295,4426,70481,59409,1043,627,20652,13954,131,1322,53010,363,12007,29503,37,5081,6150,182,5992,776,602,1434,1851,1579,2008-2012
B02001_8_two_or_more_races,2198,4652,6185,36147,22678,1754,1599,12536,7131,219,1574,43991,1592,11565,19389,132,2477,4299,996,5378,739,311,699,1645,914,2008-2012
B02001_9_two_races_including_some_other_race,61,380,787,7496,3937,256,171,1635,1696,28,243,8597,123,1701,2798,45,263,819,30,1041,53,17,36,486,299,2008-2012
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",2137,4272,5398,28651,18741,1498,1428,10901,5435,191,1331,35394,1469,9864,16591,87,2214,3480,966,4337,686,294,663,1159,615,2008-2012
B11001_1_total,30916,50845,85559,357579,302683,58044,19824,261192,92992,5580,15826,388452,23031,104195,129643,3276,41380,41204,14349,64729,8519,4857,9705,12011,4277,2008-2012
B11001_2_family_households,23470,37970,61941,244586,199652,40063,13939,109643,41738,4069,11841,275386,17150,80849,100266,2162,33054,33418,9907,30415,5854,3073,4896,8891,3249,2008-2012
B11001_3_married-couple_family,18599,27395,49734,190711,117854,32170,11136,58132,33442,3459,9382,226475,14221,68060,77536,1861,25585,27373,7697,22758,4818,2577,3065,6509,2312,2008-2012
B11001_4_other_family,4871,10575,12207,53875,81798,7893,2803,51511,8296,610,2459,48911,2929,12789,22730,301,7469,6045,2210,7657,1036,496,1831,2382,937,2008-2012
"B11001_5_male_householder,_no_wife_present",1457,2495,3547,13816,20187,2464,795,9470,2709,191,698,14675,930,3873,6783,119,2021,1847,654,2120,401,119,363,766,183,2008-2012
"B11001_6_female_householder,_no_husband_present",3414,8080,8660,40059,61611,5429,2008,42041,5587,419,1761,34236,1999,8916,15947,182,5448,4198,1556,5537,635,377,1468,1616,754,2008-2012
B11001_7_nonfamily_households,7446,12875,23618,112993,103031,17981,5885,151549,51254,1511,3985,113066,5881,23346,29377,1114,8326,7786,4442,34314,2665,1784,4809,3120,1028,2008-2012
B11001_8_householder_living_alone,6255,10794,18956,92197,83726,15317,4486,121307,37857,1051,3234,90121,4770,18290,22909,907,6687,6337,3387,28299,1773,1555,3902,2541,862,2008-2012
B11001_9_householder_not_living_alone,1191,2081,4662,20796,19305,2664,1399,30242,13397,460,751,22945,1111,5056,6468,207,1639,1449,1055,6015,892,229,907,579,166,2008-2012
B15002_1_total,58491,95518,155400,667634,559319,102003,35617,417432,156384,10090,31288,737351,44318,200381,252907,5541,78618,79969,25441,106444,15909,8342,14399,23306,8868,2008-2012
B15002_2_male,28114,44726,74819,311322,257969,49152,17413,195790,78006,4973,15631,357387,21490,97247,123129,2672,37497,39261,12499,50762,7487,3842,6793,11498,4297,2008-2012
B15002_3_no_schooling_completed,128,154,537,3764,3971,304,133,2612,1030,23,155,3968,131,916,1333,0,208,168,97,381,54,0,30,206,98,2008-2012
B15002_4_nursery_to_4th_grade,62,242,143,3283,5023,80,75,1816,572,0,82,2880,57,427,1031,27,42,38,36,566,9,0,73,391,14,2008-2012
B15002_5_5th_and_6th_grade,149,235,806,5616,8662,438,275,2423,690,35,266,5171,238,1108,2594,39,250,211,147,666,80,63,8,497,318,2008-2012
B15002_6_7th_and_8th_grade,439,497,856,3197,4729,1592,625,3419,751,124,722,3739,368,764,1839,180,716,498,412,561,22,17,82,264,115,2008-2012
B15002_7_9th_grade,345,547,767,3408,6427,1273,390,3367,509,103,357,3778,206,734,2307,105,461,538,325,666,36,54,86,114,189,2008-2012
B15002_8_10th_grade,596,607,1192,2403,4121,1736,639,3563,545,93,753,2489,400,644,2129,79,1007,613,378,409,18,9,62,232,24,2008-2012
B15002_9_11th_grade,511,1179,1122,2696,5737,1443,464,4830,648,153,476,2973,251,636,1672,78,1104,916,361,639,66,19,146,186,124,2008-2012
"B15002_10_12th_grade,_no_diploma",394,666,1005,4343,4982,701,109,2966,774,48,330,4685,314,815,1732,21,517,535,196,471,160,6,113,281,82,2008-2012
"B15002_11_high_school_graduate,_ged,_or_alternative",9243,14248,19715,40726,73595,21887,5456,36774,6596,1402,5274,42854,5908,12769,26090,711,11910,9829,4775,6188,869,206,2176,3207,1213,2008-2012
"B15002_12_some_college,_less_than_1_year",2111,3588,4662,10658,13973,2954,866,5886,1450,412,1054,11186,1799,3691,6568,172,2650,2457,924,1658,225,99,425,559,270,2008-2012
"B15002_13_some_college,_1_or_more_years,_no_degree",4529,8092,10325,34360,41424,4329,2238,20384,5141,770,1684,39182,3099,11201,19936,242,4850,5773,1266,5506,1133,263,978,1781,673,2008-2012
B15002_14_associate's_degree,1517,3007,4755,12907,13829,3158,1047,5176,2784,287,1090,15568,1506,5012,8300,82,2444,2560,803,2176,550,81,309,637,291,2008-2012
B15002_15_bachelor's_degree,4547,7386,17595,80468,42236,5942,3377,45079,26197,881,2122,104659,4057,33749,26750,442,6841,8422,1800,14968,2056,1170,1123,1981,651,2008-2012
B15002_16_master's_degree,2625,3382,7857,52544,20156,2434,1073,30586,18695,361,900,78487,2241,19765,16542,237,3268,5598,674,10444,1614,1255,916,879,187,2008-2012
B15002_17_professional_school_degree,465,397,1500,25849,4173,532,314,18134,7880,204,239,20518,552,2960,2450,133,747,620,178,3618,364,424,146,178,23,2008-2012
B15002_18_doctorate_degree,453,499,1982,25100,4931,349,332,8775,3744,77,127,15250,363,2056,1856,124,482,485,127,1845,231,176,120,105,25,2008-2012
B15002_19_female,30377,50792,80581,356312,301350,52851,18204,221642,78378,5117,15657,379964,22828,103134,129778,2869,41121,40708,12942,55682,8422,4500,7606,11808,4571,2008-2012
B15002_20_no_schooling_completed,148,241,564,4650,4246,626,122,2602,1315,27,138,4795,19,948,1800,0,288,220,221,370,30,56,2,257,48,2008-2012
B15002_21_nursery_to_4th_grade,5,192,181,3570,3662,206,32,1764,504,0,54,2890,53,517,845,17,183,78,23,313,113,9,87,171,26,2008-2012
B15002_22_5th_and_6th_grade,115,263,889,5068,6002,424,123,2377,574,23,260,6082,80,1279,2230,42,266,88,101,714,112,50,81,493,174,2008-2012
B15002_23_7th_and_8th_grade,222,542,857,3570,4810,1522,339,3062,806,89,440,4062,490,956,1698,116,582,274,393,645,12,6,157,324,152,2008-2012
B15002_24_9th_grade,148,293,626,3347,4383,1238,396,3155,450,39,268,3415,266,693,1909,32,703,559,247,431,40,0,100,149,125,2008-2012
B15002_25_10th_grade,313,757,1222,3166,4100,1670,451,4318,640,139,456,3080,497,842,1700,140,620,482,392,658,86,11,139,186,143,2008-2012
B15002_26_11th_grade,601,1149,1160,2766,5479,1255,524,6241,614,108,245,2488,374,703,1774,95,1215,535,421,724,196,0,248,223,116,2008-2012
"B15002_27_12th_grade,_no_diploma",337,494,827,4967,4472,758,206,3521,858,80,152,5394,262,1159,1581,19,526,529,115,672,152,9,162,164,39,2008-2012
"B15002_28_high_school_graduate,_ged,_or_alternative",9837,15208,20811,53609,78986,22019,5906,42800,7586,1449,5187,55462,6437,15191,28253,782,12404,10784,4948,7240,1304,679,2139,3073,1360,2008-2012
"B15002_29_some_college,_less_than_1_year",2634,4655,5809,14913,18546,3364,1322,8319,1939,329,1432,14903,1853,4632,9152,163,3172,3036,979,2269,400,122,498,923,254,2008-2012
"B15002_30_some_college,_1_or_more_years,_no_degree",4104,9045,11173,39148,53448,4866,2612,25278,5140,804,2092,44603,3474,12262,20840,384,6337,6921,1753,5548,1155,394,1020,1579,577,2008-2012
B15002_31_associate's_degree,2767,4200,7163,21592,19509,4499,1357,7030,3047,409,1345,22639,2054,6527,10208,123,3354,3954,859,2582,624,117,482,915,490,2008-2012
B15002_32_bachelor's_degree,5708,8622,17778,97144,54322,6596,2691,48884,27391,1076,2387,119824,4527,36260,30637,573,7203,8837,1512,17904,2791,1343,1732,2194,674,2008-2012
B15002_33_master's_degree,2719,4324,9199,66505,31252,3339,1806,38694,19546,445,961,69155,1996,17736,14519,246,3689,3817,812,10589,943,1243,642,976,306,2008-2012
B15002_34_professional_school_degree,537,449,1165,17861,4636,301,208,15973,5778,64,205,14025,285,2208,1758,49,435,317,96,3644,312,337,45,163,37,2008-2012
B15002_35_doctorate_degree,182,358,1157,14436,3497,168,109,7624,2190,36,35,7147,161,1221,874,88,144,277,70,1379,152,124,72,18,50,2008-2012
B19001_1_total,30916,50845,85559,357579,302683,58044,19824,261192,92992,5580,15826,388452,23031,104195,129643,3276,41380,41204,14349,64729,8519,4857,9705,12011,4277,2008-2012
"B19001_2_less_than_$10,000",739,1955,2767,11651,11579,2886,841,27304,3108,239,475,8964,653,1394,2964,126,1307,941,800,2366,165,96,1032,585,60,2008-2012
"B19001_3_$10,000_to_$14,999",642,973,2220,7403,7327,2521,784,11975,1843,174,743,5228,515,922,1781,188,1044,693,754,1402,190,68,495,222,220,2008-2012
"B19001_4_$15,000_to_$19,999",677,1019,1968,7596,7385,2845,733,9726,1857,150,683,6690,509,1181,1932,161,1254,729,611,1395,116,65,541,228,62,2008-2012
"B19001_5_$20,000_to_$24,999",959,1163,2349,8540,8835,3265,1063,9771,1910,121,587,7047,627,1620,3030,154,1534,816,845,1931,314,54,423,501,64,2008-2012
"B19001_6_$25,000_to_$29,999",517,1107,2614,8697,9568,3163,691,9231,1874,140,522,7283,724,1076,2889,200,1244,1048,464,1629,165,161,593,428,91,2008-2012
"B19001_7_$30,000_to_$34,999",882,1126,3078,9103,12045,3235,1021,9489,1825,192,624,8683,826,1502,3519,105,915,927,494,2106,176,84,472,550,162,2008-2012
"B19001_8_$35,000_to_$39,999",842,1203,2874,10623,10837,3172,943,9651,2168,178,726,8625,785,1955,3540,192,1500,1257,770,1976,332,113,545,648,100,2008-2012
"B19001_9_$40,000_to_$44,999",1009,1540,2731,10685,14309,3340,1000,10683,2375,220,1007,9845,677,2936,3613,135,1525,1315,551,2390,157,135,632,444,203,2008-2012
"B19001_10_$45,000_to_$49,999",809,1399,2674,10613,12010,3311,712,8606,2001,166,417,9677,841,2150,4126,141,1559,1221,769,2122,300,183,398,270,123,2008-2012
"B19001_11_$50,000_to_$59,999",1935,3710,5974,22745,26640,5427,1556,16914,5023,367,1572,21193,1113,4776,8954,313,2904,2732,914,4836,760,172,823,1178,698,2008-2012
"B19001_12_$60,000_to_$74,999",3025,4772,8597,31188,33707,6917,2064,21497,8362,737,1607,31246,2245,7779,11708,309,4384,3656,1693,6533,698,384,840,1449,438,2008-2012
"B19001_13_$75,000_to_$99,999",4578,7593,12668,44451,45920,8056,3040,29172,13125,836,2363,50323,3483,12972,19683,423,6951,6260,2203,8860,925,485,1021,1600,807,2008-2012
"B19001_14_$100,000_to_$124,999",4068,7660,11694,40209,34296,4686,1959,22457,10899,573,1706,45984,3087,13480,15828,201,5140,5081,1286,6976,925,488,716,1102,503,2008-2012
"B19001_15_$125,000_to_$149,999",3311,5183,8036,31079,23619,2442,1296,14978,8450,472,1176,37078,2156,12717,13260,210,3732,4608,857,5230,902,552,404,1265,229,2008-2012
"B19001_16_$150,000_to_$199,999",4273,6296,8742,42665,26688,1774,1246,19794,11686,512,1105,54265,2349,17216,17103,218,4184,5893,844,6556,1039,688,387,860,308,2008-2012
"B19001_17_$200,000_or_more",2650,4146,6573,60331,17918,1004,875,29944,16486,503,513,76321,2441,20519,15713,200,2203,4027,494,8421,1355,1129,383,681,209,2008-2012
B19013_1_median_household_income_in_the_past_12_months_(in_2012_inflation-adjusted_dollars),92395,93063,83706,96985,73568,52167,64314,64267,102459,80186,65567,109383,88687,122068,96160,57837,79402,96355,61693,83996,98563,122844,45951,70634,71810,2008-2012
B25001_1_total,33793,55049,90215,375973,327803,63106,22086,296671,105395,6226,17762,407349,25672,109928,137592,3872,45276,44124,15955,72460,8690,5449,10603,13128,4873,2008-2012
B25003_1_total,30916,50845,85559,357579,302683,58044,19824,261192,92992,5580,15826,388452,23031,104195,129643,3276,41380,41204,14349,64729,8519,4857,9705,12011,4277,2008-2012
B25003_2_owner_occupied,25293,40580,64670,243751,191829,42318,15049,110853,42696,4387,11654,270928,18216,81476,94406,2536,32285,32278,10272,28403,5958,3024,3650,7842,2816,2008-2012
B25003_3_renter_occupied,5623,10265,20889,113828,110854,15726,4775,150339,50296,1193,4172,117524,4815,22719,35237,740,9095,8926,4077,36326,2561,1833,6055,4169,1461,2008-2012
B25024_1_total,33793,55049,90215,375973,327803,63106,22086,296671,105395,6226,17762,407349,25672,109928,137592,3872,45276,44124,15955,72460,8690,5449,10603,13128,4873,2008-2012
"B25024_2_1,_detached",29172,40007,56448,182216,168642,42852,17149,35992,29047,5568,13578,199428,21679,59904,77385,3701,35625,33192,12637,10735,4977,2275,4312,5776,2581,2008-2012
"B25024_3_1,_attached",1923,8688,17896,68403,52399,5348,1319,75976,9877,252,1617,92743,1775,31624,36807,46,3975,5721,1019,16140,1509,769,1210,3877,1400,2008-2012
B25024_4_2,514,369,1469,1773,1785,2709,437,8518,984,93,95,1429,358,431,584,13,168,148,246,1018,16,35,287,101,8,2008-2012
B25024_5_3_or_4,196,980,1460,4616,5771,2683,487,22667,4008,118,371,4922,217,1036,1494,14,202,345,505,2093,179,61,325,303,9,2008-2012
B25024_6_5_to_9,128,1223,2705,19043,23233,2453,535,18821,6018,78,493,19165,179,3114,3513,10,481,696,333,6569,539,122,735,646,16,2008-2012
B25024_7_10_to_19,571,1018,6314,36545,49583,925,368,31865,7950,36,563,40192,590,7829,12237,0,828,1472,531,9950,1005,283,1940,1555,261,2008-2012
B25024_8_20_to_49,255,911,1269,11653,6011,444,145,25615,5208,0,94,13043,207,2425,2164,0,670,849,162,3507,97,171,920,255,197,2008-2012
B25024_9_50_or_more,505,960,1702,51069,18789,585,172,76877,41930,54,91,33929,235,3121,2344,0,784,436,24,22332,327,1733,849,310,401,2008-2012
B25024_10_mobile_home,529,856,933,543,1449,5048,1474,118,362,12,847,2330,432,430,1061,88,2517,1265,498,116,41,0,25,305,0,2008-2012
"B25024_11_boat,_rv,_van,_etc.",0,37,19,112,141,59,0,222,11,15,13,168,0,14,3,0,26,0,0,0,0,0,0,0,0,2008-2012
B25077_1_median_value_(dollars),368100,320400,316800,455800,289400,178200,223700,443000,577300,348000,265600,480200,363600,448700,330700,417700,264600,309300,231700,475900,465100,645600,323600,247100,233100,2008-2012
B25034_1_total,33793,55049,90215,375973,327803,63106,22086,296671,105395,6226,17762,407349,25672,109928,137592,3872,45276,44124,15955,72460,8690,5449,10603,13128,4873,2008-2012
B25034_2_built_2010_or_later,64,562,389,965,924,276,0,590,467,0,37,1123,92,1379,927,9,160,281,87,93,26,10,122,28,0,2008-2012
B25034_3_built_2000_to_2009,6183,11584,16714,42624,34765,9265,4744,22470,15782,941,4847,47805,4293,43126,41440,321,10908,12728,2597,7856,817,737,1586,987,1372,2008-2012
B25034_4_built_1990_to_1999,9370,11345,19470,46084,43616,9076,3456,8412,9348,739,2961,62956,3778,31248,24815,629,13851,11301,2691,8255,841,335,728,2306,950,2008-2012
B25034_5_built_1980_to_1989,7251,10977,15242,79821,43679,7316,3823,12149,11993,817,2629,94979,6569,14628,28601,674,9638,8767,2503,7117,568,215,1148,4857,490,2008-2012
B25034_6_built_1970_to_1979,5235,9172,13109,63774,52913,8720,3888,22258,11041,1042,2411,87056,4096,8365,22449,583,6076,5867,2496,13320,1357,964,2278,2218,468,2008-2012
B25034_7_built_1960_to_1969,1917,5493,6721,56463,69960,6449,1731,38083,12837,563,1350,57236,1665,4661,12394,403,1853,2292,1500,12690,2132,997,1704,1609,494,2008-2012
B25034_8_built_1950_to_1959,1170,2298,4805,48436,45428,5867,1089,44628,17830,508,1478,39800,1617,1529,4001,228,1205,1388,1302,8927,2387,1037,966,515,1090,2008-2012
