index,17031,17037,17043,17063,17089,17093,17097,17111,17197,18073,18089,18111,18127,55059,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,il,il,il,il,il,il,il,il,il,in,in,in,in,wi,2008-2012
B01001_34_22_to_24_years,116166,4197,15943,839,8328,1453,11191,4599,10077,532,8942,165,2937,2987,2008-2012
B01001_35_25_to_29_years,221590,3670,29485,1669,15921,4152,19024,7905,19103,797,16144,345,5063,5231,2008-2012
B01001_36_30_to_34_years,199423,3204,28875,1769,17712,5023,20924,9191,22809,1046,16193,348,5083,5340,2008-2012
B01001_37_35_to_39_years,183639,3156,29663,1528,18354,5334,23950,10660,26574,1028,16374,367,5556,5776,2008-2012
B01001_38_40_to_44_years,175305,2799,35088,2072,19728,4830,27102,13258,28049,1107,15998,519,5580,5945,2008-2012
B01001_39_45_to_49_years,181991,3302,38276,1855,19224,3959,29384,13704,27153,1220,18292,534,6285,6787,2008-2012
B01001_40_50_to_54_years,185549,3158,38047,1760,17679,3396,27993,12416,24139,1224,19575,540,6628,6242,2008-2012
B01001_41_55_to_59_years,165135,2709,31968,1479,14796,2821,22854,9981,19175,1187,17171,461,5846,5232,2008-2012
B01001_42_60_and_61_years,60975,934,11928,579,5668,983,8076,3582,7032,346,6309,194,1968,1687,2008-2012
B01001_43_62_to_64_years,76869,1333,14462,668,7268,1450,9550,4207,9132,513,7868,306,3113,2228,2008-2012
B01001_44_65_and_66_years,45214,669,8342,450,3946,735,5617,2441,5387,341,4763,209,1547,1227,2008-2012
B01001_45_67_to_69_years,56161,992,10107,485,5010,1057,6958,3799,5985,511,6259,188,1904,1602,2008-2012
B01001_46_70_to_74_years,82346,1270,12639,687,6302,812,8958,3666,8272,572,8227,292,2657,2373,2008-2012
B01001_47_75_to_79_years,66231,1119,10441,481,5155,792,6914,2817,6104,455,7217,217,2112,1915,2008-2012
B01001_48_80_to_84_years,57170,839,8834,392,3800,574,6125,2228,4720,341,6167,168,1645,1956,2008-2012
B01001_49_85_years_and_over,63544,1022,11587,637,4402,528,6869,2585,5477,390,5951,215,1756,1688,2008-2012
B02001_1_total,5197677,104820,918608,49870,514891,114226,701282,308163,677669,33369,495230,14199,164386,166373,2008-2012
B02001_2_white_alone,2934297,88160,738739,47587,378359,96523,545712,279509,522369,32555,308780,13779,152206,143577,2008-2012
B02001_3_black_or_african_american_alone,1284262,6526,41842,539,28009,6223,47655,3449,74036,248,126091,37,4832,11440,2008-2012
B02001_4_american_indian_and_alaska_native_alone,12224,191,1429,36,1460,310,1476,550,1227,83,1615,22,422,633,2008-2012
B02001_5_asian_alone,328072,2505,93861,199,17335,3527,43978,7927,30643,62,6288,16,2281,2489,2008-2012
B02001_6_native_hawaiian_and_other_pacific_islander_alone,1241,28,293,0,110,0,291,0,138,0,97,16,45,89,2008-2012
B02001_7_some_other_race_alone,539082,5094,23981,742,78938,4495,45119,11678,33859,44,40264,86,2190,4529,2008-2012
B02001_8_two_or_more_races,98499,2316,18463,767,10680,3148,17051,5050,15397,377,12095,243,2410,3616,2008-2012
B02001_9_two_races_including_some_other_race,27455,596,4087,60,2947,856,3477,1264,3083,23,4541,6,421,694,2008-2012
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",71044,1720,14376,707,7733,2292,13574,3786,12314,354,7554,237,1989,2922,2008-2012
B11001_1_total,1933670,37959,335532,17987,170069,37817,240744,108950,222092,12117,182028,5338,61312,62301,2008-2012
B11001_2_family_households,1189321,23183,238685,12853,128159,29924,179208,82182,171998,9378,122478,3827,43048,42167,2008-2012
B11001_3_married-couple_family,799030,18238,194240,10139,100327,25062,144031,68190,138400,7765,83157,3057,33880,30571,2008-2012
B11001_4_other_family,390291,4945,44445,2714,27832,4862,35177,13992,33598,1613,39321,770,9168,11596,2008-2012
"B11001_5_male_householder,_no_wife_present",95395,1418,12654,775,8839,1453,10215,4254,10169,588,9380,302,2308,3161,2008-2012
"B11001_6_female_householder,_no_husband_present",294896,3527,31791,1939,18993,3409,24962,9738,23429,1025,29941,468,6860,8435,2008-2012
B11001_7_nonfamily_households,744349,14776,96847,5134,41910,7893,61536,26768,50094,2739,59550,1511,18264,20134,2008-2012
B11001_8_householder_living_alone,619659,10622,82100,4341,34681,6513,52136,21767,41647,2440,52054,1320,15365,16289,2008-2012
B11001_9_householder_not_living_alone,124690,4154,14747,793,7229,1380,9400,5001,8447,299,7496,191,2899,3845,2008-2012
B15002_1_total,3456817,59477,613687,32440,323008,70709,446837,200749,426692,21732,325164,9841,109671,107124,2008-2012
B15002_2_male,1635675,29301,293945,15929,158043,34263,216539,98309,207581,10654,152656,4938,52928,51895,2008-2012
B15002_3_no_schooling_completed,24422,180,1914,47,1696,293,2220,640,1692,127,1967,25,342,404,2008-2012
B15002_4_nursery_to_4th_grade,17815,118,1446,11,2049,111,1560,206,1004,77,738,10,39,185,2008-2012
B15002_5_5th_and_6th_grade,49451,265,3569,109,7919,498,5282,1035,2657,80,2008,15,268,360,2008-2012
B15002_6_7th_and_8th_grade,40845,379,3363,255,3751,322,3293,1079,2920,116,2434,137,614,662,2008-2012
B15002_7_9th_grade,28078,248,2281,174,3710,258,3334,941,2263,221,2234,41,390,816,2008-2012
B15002_8_10th_grade,32978,419,2703,214,3152,432,3374,1112,3076,266,3397,128,1037,1092,2008-2012
B15002_9_11th_grade,38924,500,2895,470,2676,281,3121,985,3398,270,4511,148,1022,1612,2008-2012
"B15002_10_12th_grade,_no_diploma",39126,580,5052,227,3604,552,3965,1831,4526,284,3677,136,668,1240,2008-2012
"B15002_11_high_school_graduate,_ged,_or_alternative",403318,8599,53444,6141,36124,8666,44969,25801,56594,4627,58127,2581,18977,17775,2008-2012
"B15002_12_some_college,_less_than_1_year",77959,2381,16904,1544,9887,2797,11249,8313,15697,797,9332,320,3479,3767,2008-2012
"B15002_13_some_college,_1_or_more_years,_no_degree",233976,4979,41643,2813,21948,6023,29690,16163,33601,1637,25688,527,8474,7490,2008-2012
B15002_14_associate's_degree,91266,2416,17221,1171,10077,2643,11312,7482,14098,722,8987,370,4229,4016,2008-2012
B15002_15_bachelor's_degree,333917,5518,84818,1903,33224,7493,53487,22426,42550,935,20096,334,8656,8608,2008-2012
B15002_16_master's_degree,141480,1619,38295,533,13226,2941,26518,7948,17493,371,6201,89,2830,2881,2008-2012
B15002_17_professional_school_degree,56714,437,11868,266,3169,709,9037,1703,3865,68,2274,48,1051,621,2008-2012
B15002_18_doctorate_degree,25406,663,6529,51,1831,244,4128,644,2147,56,985,29,852,366,2008-2012
B15002_19_female,1821142,30176,319742,16511,164965,36446,230298,102440,219111,11078,172508,4903,56743,55229,2008-2012
B15002_20_no_schooling_completed,26364,185,2729,56,1585,184,2451,611,1692,117,2230,41,307,572,2008-2012
B15002_21_nursery_to_4th_grade,20379,113,1815,0,1616,217,1705,305,934,23,1086,37,126,209,2008-2012
B15002_22_5th_and_6th_grade,48143,331,3755,106,6085,425,5035,1089,2794,60,2018,2,193,384,2008-2012
B15002_23_7th_and_8th_grade,45781,261,3857,273,3966,275,3525,1096,3290,130,2829,110,570,757,2008-2012
B15002_24_9th_grade,26379,271,2907,201,3997,167,3091,995,1495,172,2362,78,561,689,2008-2012
B15002_25_10th_grade,34514,536,3685,271,2891,334,2818,1087,3064,346,3886,116,1334,976,2008-2012
B15002_26_11th_grade,41667,531,3093,280,3288,466,3119,1186,3094,178,4780,188,1038,1474,2008-2012
"B15002_27_12th_grade,_no_diploma",35283,356,4370,193,2716,443,2748,1428,3248,183,3234,85,559,919,2008-2012
"B15002_28_high_school_graduate,_ged,_or_alternative",433427,8408,65880,5796,41314,8819,49832,28498,59719,5028,59890,2319,19792,17700,2008-2012
"B15002_29_some_college,_less_than_1_year",97869,2680,20181,1619,11110,2863,14603,8976,16955,758,11440,364,3926,4089,2008-2012
"B15002_30_some_college,_1_or_more_years,_no_degree",262774,4492,42668,2953,22851,6315,31842,15907,33017,1364,28832,784,8443,8315,2008-2012
B15002_31_associate's_degree,121880,3014,24353,1328,12036,3129,15836,8801,18877,1003,15368,416,5592,6156,2008-2012
B15002_32_bachelor's_degree,381241,5303,89043,2439,33358,8351,58638,21994,46037,1239,22477,275,9666,8683,2008-2012
B15002_33_master's_degree,185476,2884,41023,977,15159,4014,27845,8904,20459,420,9798,81,3579,3622,2008-2012
