index,25001,25005,25009,25017,25021,25023,25025,25027,33001,33011,33013,33015,33017,44001,44003,44005,44007,44009,09015,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,ma,ma,ma,ma,ma,ma,ma,ma,nh,nh,nh,nh,nh,ri,ri,ri,ri,ri,ct,2012-2016
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2012-2016
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2012-2016
LOGRECNO,0000013,0000015,0000017,0000021,0000023,0000024,0000025,0000026,0000013,0000018,0000019,0000020,0000021,0000008,0000009,0000010,0000011,0000012,0000019,2012-2016
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2012-2016
STATE_FIPS,25,25,25,25,25,25,25,25,33,33,33,33,33,44,44,44,44,44,09,2012-2016
GEO_ID,05000US25001,05000US25005,05000US25009,05000US25017,05000US25021,05000US25023,05000US25025,05000US25027,05000US33001,05000US33011,05000US33013,05000US33015,05000US33017,05000US44001,05000US44003,05000US44005,05000US44007,05000US44009,05000US09015,2012-2016
GEO_NAME,"Barnstable County, Massachusetts","Bristol County, Massachusetts","Essex County, Massachusetts","Middlesex County, Massachusetts","Norfolk County, Massachusetts","Plymouth County, Massachusetts","Suffolk County, Massachusetts","Worcester County, Massachusetts","Belknap County, New Hampshire","Hillsborough County, New Hampshire","Merrimack County, New Hampshire","Rockingham County, New Hampshire","Strafford County, New Hampshire","Bristol County, Rhode Island","Kent County, Rhode Island","Newport County, Rhode Island","Providence County, Rhode Island","Washington County, Rhode Island","Windham County, Connecticut",2012-2016
B01003_1_total,214703,554868,769362,1567610,691218,506657,767719,813589,60392,404948,147715,300365,125913,49228,164886,82714,631344,126319,117078,2012-2016
B01001_1_total,214703,554868,769362,1567610,691218,506657,767719,813589,60392,404948,147715,300365,125913,49228,164886,82714,631344,126319,117078,2012-2016
B01001_2_male,102542,268739,370538,765170,331220,246500,371314,401320,29571,200979,72732,148646,61524,23746,79561,40616,306301,61073,58044,2012-2016
B01001_3_under_5_years,4118,14996,22276,44575,19014,13955,21551,23125,1388,11360,3600,7071,3373,965,4158,1669,18771,2472,3077,2012-2016
B01001_4_5_to_9_years,4488,16464,22796,44795,20807,15903,17254,24082,1754,12876,4065,8460,3491,1530,4538,2153,18333,2910,3637,2012-2016
B01001_5_10_to_14_years,5310,17364,25815,46049,22565,17826,17578,27743,1717,12329,4448,9707,3487,1404,4773,2337,19237,3741,3471,2012-2016
B01001_6_15_to_17_years,3529,10971,15855,29072,13970,10948,10762,17016,1105,8405,3015,6365,2210,991,3059,1474,11916,2388,2379,2012-2016
B01001_7_18_and_19_years,2676,7640,10637,23353,8727,6498,14895,12675,637,5210,2234,3530,2997,1019,1613,1174,10407,3170,1889,2012-2016
B01001_8_20_years,1169,4285,5256,10891,4155,3256,8745,6110,451,2482,1268,1389,1661,495,875,465,5680,1415,1089,2012-2016
B01001_9_21_years,1211,3989,5188,10320,4076,3028,8435,5998,215,2827,941,1293,1779,474,746,413,4996,1471,1078,2012-2016
