index,17011,17031,17037,17043,17063,17089,17091,17093,17097,17099,17111,17155,17197,18073,18089,18091,18111,18127,55059,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,il,il,il,il,il,il,il,il,il,il,il,il,il,in,in,in,in,in,wi,2007-2011
B01001_24_80_to_84_years,374,35145,559,5829,241,2641,952,373,3819,1065,1710,42,3281,239,3896,826,123,968,1155,2007-2011
B01001_25_85_years_and_over,322,27567,499,5121,131,1768,737,198,2849,997,1074,54,2226,114,2755,681,48,753,750,2007-2011
B01001_26_female,17926,2673463,52424,465763,24890,255281,57450,55740,350596,57165,154284,2961,338720,16689,256241,53783,7060,83108,83611,2007-2011
B01001_27_under_5_years,1053,169009,3148,28171,1700,20147,3720,4810,23454,3245,9919,151,24572,1120,16447,3288,421,4784,5401,2007-2011
B01001_28_5_to_9_years,1153,163322,3018,30940,1768,20874,4119,4820,26615,3725,11697,162,27320,1251,18092,3357,457,5529,5601,2007-2011
B01001_29_10_to_14_years,1065,167715,3244,32216,1887,19379,3629,4648,27069,3644,12135,189,27519,1038,17029,3661,462,5568,6170,2007-2011
B01001_30_15_to_17_years,698,107221,1928,20387,1138,11825,2471,2444,16902,2469,7661,104,16540,697,11112,2141,296,3556,3659,2007-2011
B01001_31_18_and_19_years,386,69356,3733,11048,531,6224,1915,1159,9099,1380,3724,52,8395,438,6573,1231,186,2349,2458,2007-2011
B01001_32_20_years,174,35082,1757,5116,318,3034,1062,587,4282,802,1418,4,3778,388,3204,619,53,1504,1337,2007-2011
B01001_33_21_years,151,35782,1766,5396,225,2726,603,568,3158,712,1497,71,3547,197,2955,562,60,1019,1172,2007-2011
B01001_34_22_to_24_years,512,115256,4011,15725,850,8472,2211,1397,11084,1476,4362,103,9941,517,8637,1667,180,2662,2916,2007-2011
B01001_35_25_to_29_years,927,221477,3631,29380,1635,15917,3566,4141,19067,3192,7981,147,19420,797,16394,3076,372,5017,5173,2007-2011
B01001_36_30_to_34_years,950,196150,3115,28597,1749,17742,3479,4867,21122,3066,9309,157,23091,1070,16002,3055,355,5014,5478,2007-2011
B01001_37_35_to_39_years,1053,183627,3208,30459,1660,18325,3548,5136,24947,3233,11016,150,27413,1115,16502,3274,452,5522,6042,2007-2011
B01001_38_40_to_44_years,1146,177694,2896,35707,1974,20096,3777,4604,27399,3783,13763,186,28033,1050,16263,3512,433,5734,5873,2007-2011
B01001_39_45_to_49_years,1261,185390,3332,38864,1937,19205,4110,3934,29710,4440,13680,245,26935,1245,18834,4063,578,6433,6839,2007-2011
B01001_40_50_to_54_years,1401,184482,3034,37441,1777,17262,4001,3226,27448,4379,11930,240,23403,1207,19511,4070,554,6573,6071,2007-2011
B01001_41_55_to_59_years,1367,163250,2646,31287,1492,14884,3594,2803,22382,3783,9191,227,19019,1070,16981,3858,482,5563,5051,2007-2011
B01001_42_60_and_61_years,475,59107,907,11139,539,5205,1249,1045,7449,1503,3575,104,6623,376,6036,1452,152,2037,1545,2007-2011
B01001_43_62_to_64_years,517,72586,1235,13756,628,6774,1840,1146,9179,1641,4355,116,8494,551,7384,1950,313,2924,2189,2007-2011
B01001_44_65_and_66_years,426,43357,728,8018,453,3333,1036,708,5246,1061,2270,73,5115,290,4756,1060,161,1375,1262,2007-2011
B01001_45_67_to_69_years,461,54166,808,9492,452,4700,1379,973,6723,1559,3700,70,5794,495,6115,1361,178,1754,1466,2007-2011
B01001_46_70_to_74_years,745,81890,1318,11951,659,6202,1744,862,8579,2230,3519,147,7772,574,7975,1975,310,2731,2276,2007-2011
B01001_47_75_to_79_years,701,67292,1186,10656,475,4731,1631,761,7297,1850,2705,88,6031,425,7271,1796,206,2030,2008,2007-2011
B01001_48_80_to_84_years,624,58425,844,8790,395,3802,1348,580,5758,2008,2282,76,4598,380,6276,1429,169,1579,1924,2007-2011
B01001_49_85_years_and_over,680,61827,931,11227,648,4422,1418,521,6627,1984,2595,99,5367,398,5892,1326,230,1851,1700,2007-2011
B02001_1_total,34963,5182969,104684,914224,49460,509622,112895,110767,700424,113865,307721,5989,674166,33254,495272,111286,14270,163406,165467,2007-2011
B02001_2_white_alone,33504,2863244,88731,733889,47173,374917,89183,94545,538529,106411,277590,5751,521030,32450,308862,94747,13790,151211,141911,2007-2011
B02001_3_black_or_african_american_alone,222,1290906,6476,40944,607,27718,17054,5507,47209,1889,3311,69,73322,261,126048,11923,36,4804,11212,2007-2011
B02001_4_american_indian_and_alaska_native_alone,96,11012,279,1605,40,924,265,255,1157,198,482,1,982,116,1570,230,9,395,719,2007-2011
B02001_5_asian_alone,245,321326,2633,92416,293,16883,1146,3428,43647,626,7838,17,29681,81,6151,615,25,2084,2598,2007-2011
B02001_6_native_hawaiian_and_other_pacific_islander_alone,0,1534,79,247,0,117,18,0,211,0,0,0,133,0,100,6,0,44,85,2007-2011
