estimate_year,index,FL_011,FL_086,FL_099
2013-2017,FILEID,ACSSF,ACSSF,ACSSF
2013-2017,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",762,446,843
2013-2017,B25127_60_built_1980_to_1999,89374,107439,74896
2013-2017,"B25127_61_1,_detached__or_attached",22661,30597,19684
2013-2017,B25127_62_2_to_4,11166,8944,14310
2013-2017,B25127_63_5_to_19,29259,24541,21845
2013-2017,B25127_64_20_to_49,12649,16372,9419
2013-2017,B25127_65_50_or_more,11867,25375,7805
2013-2017,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",1772,1610,1833
2013-2017,B25127_67_built_1960_to_1979,99363,141757,46306
2013-2017,"B25127_68_1,_detached__or_attached",24671,35456,13170
2013-2017,B25127_69_2_to_4,19253,13702,10608
2013-2017,B25127_70_5_to_19,21451,29052,9478
2013-2017,B25127_71_20_to_49,16309,23746,6117
2013-2017,B25127_72_50_or_more,15785,37768,4917
2013-2017,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",1894,2033,2016
2013-2017,B25127_74_built_1940_to_1959,27031,76184,12459
2013-2017,"B25127_75_1,_detached__or_attached",12358,34508,7326
2013-2017,B25127_76_2_to_4,6024,9189,2702
2013-2017,B25127_77_5_to_19,4704,16618,1324
2013-2017,B25127_78_20_to_49,2137,8540,525
2013-2017,B25127_79_50_or_more,1607,6660,479
2013-2017,"B25127_80_mobile_home,_boat,_rv,_van,_etc.",201,669,103
2013-2017,B25127_81_built_1939_or_earlier,3142,18260,3584
2013-2017,"B25127_82_1,_detached__or_attached",918,6447,1681
2013-2017,B25127_83_2_to_4,768,2940,1025
2013-2017,B25127_84_5_to_19,729,5380,547
2013-2017,B25127_85_20_to_49,261,1945,133
2013-2017,B25127_86_50_or_more,388,1433,168
2013-2017,"B25127_87_mobile_home,_boat,_rv,_van,_etc.",78,115,30
2013-2017,B03002_1_total,1890416,2702602,1426772
2013-2017,B03002_2_not_hispanic_or_latino,1354429,879564,1122562
2013-2017,B03002_3_white_alone,721241,371233,799018
2013-2017,B03002_4_black_or_african_american_alone,518277,441604,257856
2013-2017,B03002_5_american_indian_and_alaska_native_alone,3156,2344,1122
2013-2017,B03002_6_asian_alone,66304,40868,36798
2013-2017,B03002_7_native_hawaiian_and_other_pacific_islander_alone,844,541,437
2013-2017,B03002_8_some_other_race_alone,9752,6840,5693
2013-2017,B03002_9_two_or_more_races,34855,16134,21638
2013-2017,B03002_10_two_races_including_some_other_race,4066,2374,2118
2013-2017,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",30789,13760,19520
2013-2017,B03002_12_hispanic_or_latino,535987,1823038,304210
2013-2017,B03002_13_white_alone,443763,1672039,258998
2013-2017,B03002_14_black_or_african_american_alone,18312,43998,6368
2013-2017,B03002_15_american_indian_and_alaska_native_alone,1894,1696,1146
2013-2017,B03002_16_asian_alone,1518,1902,434
2013-2017,B03002_17_native_hawaiian_and_other_pacific_islander_alone,258,183,73
2013-2017,B03002_18_some_other_race_alone,47665,78052,27999
2013-2017,B03002_19_two_or_more_races,22577,25168,9192
2013-2017,B03002_20_two_races_including_some_other_race,7798,10282,4057
2013-2017,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",14779,14886,5135
2013-2017,B11005_1_total,675828,858289,543591
2013-2017,B11005_2_households_with_one_or_more_people_under_18_years,211429,284491,142351
2013-2017,B11005_3_family_households,210020,282903,141310
2013-2017,B11005_4_married-couple_family,126510,167235,88682
2013-2017,B11005_5_other_family,83510,115668,52628
2013-2017,"B11005_6_male_householder,_no_wife_present",18468,26723,13793
2013-2017,"B11005_7_female_householder,_no_husband_present",65042,88945,38835
2013-2017,B11005_8_nonfamily_households,1409,1588,1041
2013-2017,B11005_9_male_householder,937,1127,815
2013-2017,B11005_10_female_householder,472,461,226
2013-2017,B11005_11_households_with_no_people_under_18_years,464399,573798,401240
2013-2017,B11005_12_family_households,223867,302573,198152
2013-2017,B11005_13_married-couple_family,166765,203361,161008
2013-2017,B11005_14_other_family,57102,99212,37144
2013-2017,"B11005_15_male_householder,_no_wife_present",16698,31575,11601
2013-2017,"B11005_16_female_householder,_no_husband_present",40404,67637,25543
2013-2017,B11005_17_nonfamily_households,240532,271225,203088
2013-2017,B11005_18_male_householder,115223,130304,85238
2013-2017,B11005_19_female_householder,125309,140921,117850
2013-2017,B11016_1_total,675828,858289,543591
2013-2017,B11016_2_family_households,433887,585476,339462
2013-2017,B11016_3_2-person_household,178248,209509,168479
2013-2017,B11016_4_3-person_household,105420,158363,73505
2013-2017,B11016_5_4-person_household,92223,126611,58583
2013-2017,B11016_6_5-person_household,36887,56532,24743
2013-2017,B11016_7_6-person_household,14149,21641,8591
2013-2017,B11016_8_7-or-more_person_household,6960,12820,5561
2013-2017,B11016_9_nonfamily_households,241941,272813,204129
2013-2017,B11016_10_1-person_household,195337,226042,168581
2013-2017,B11016_11_2-person_household,40587,40305,30440
2013-2017,B11016_12_3-person_household,4322,4221,3389
2013-2017,B11016_13_4-person_household,1107,1547,1125
2013-2017,B11016_14_5-person_household,331,427,376
2013-2017,B11016_15_6-person_household,152,130,147
2013-2017,B11016_16_7-or-more_person_household,105,141,71
