index,34001,34005,34007,34009,34011,34015,34033,10001,10003,42011,42017,42029,42045,42091,42101,24009,24017,24021,24031,24033,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,nj,nj,nj,nj,nj,nj,nj,de,de,pa,pa,pa,pa,pa,pa,md,md,md,md,md,2007-2011
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2007-2011
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2007-2011
LOGRECNO,0000008,0000010,0000011,0000012,0000013,0000015,0000024,0000012,0000013,0000018,0000021,0000027,0000035,0000058,0000063,0000016,0000020,0000022,0000027,0000028,2007-2011
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2007-2011
STATE_FIPS,34,34,34,34,34,34,34,10,10,42,42,42,42,42,42,24,24,24,24,24,2007-2011
GEO_ID,05000US34001,05000US34005,05000US34007,05000US34009,05000US34011,05000US34015,05000US34033,05000US10001,05000US10003,05000US42011,05000US42017,05000US42029,05000US42045,05000US42091,05000US42101,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,2007-2011
GEO_NAME,"Atlantic County, New Jersey","Burlington County, New Jersey","Camden County, New Jersey","Cape May County, New Jersey","Cumberland County, New Jersey","Gloucester County, New Jersey","Salem County, New Jersey","Kent County, Delaware","New Castle County, Delaware","Berks County, Pennsylvania","Bucks County, Pennsylvania","Chester County, Pennsylvania","Delaware County, Pennsylvania","Montgomery County, Pennsylvania","Philadelphia County, Pennsylvania","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland",2007-2011
B01003_1_total,273674,448095,513582,97265,156142,287036,65984,159936,536478,409624,624351,495651,557648,794921,1514456,88329,145508,231725,959738,858539,2007-2011
B01001_1_total,273674,448095,513582,97265,156142,287036,65984,159936,536478,409624,624351,495651,557648,794921,1514456,88329,145508,231725,959738,858539,2007-2011
B01001_2_male,132909,220233,247912,47423,80224,139322,32077,77247,260004,200979,306297,243433,267136,385372,713241,43569,70378,113918,460785,411881,2007-2011
B01001_3_under_5_years,8490,13168,17068,2360,5412,8860,2024,5601,16986,13061,17525,15931,17092,24036,51016,2603,4862,7746,32741,30342,2007-2011
B01001_4_5_to_9_years,9233,14161,17187,2570,5102,10160,2243,5740,17558,13965,19843,18112,17871,25133,47261,3371,5544,8405,31554,26944,2007-2011
B01001_5_10_to_14_years,9038,15873,18604,2780,5192,10428,2268,5672,17683,13937,22620,17622,18631,27035,46054,3639,5639,8770,32654,29801,2007-2011
B01001_6_15_to_17_years,6123,10098,11820,2023,3457,6612,1465,3659,11917,9467,14270,11639,13281,17208,31174,2433,3768,5493,20943,19240,2007-2011
B01001_7_18_and_19_years,3946,5812,7141,1288,2226,4068,920,2616,8790,6872,7800,7288,10039,9520,27005,1321,2015,3082,10607,16465,2007-2011
B01001_8_20_years,2092,3394,3270,359,1155,2366,597,1296,4301,3494,3655,3206,4924,4120,15019,436,1030,1223,4853,7666,2007-2011
B01001_9_21_years,1463,2762,3028,539,1109,1792,330,1290,4538,2865,3521,3435,4014,4006,14438,529,761,1341,4813,8155,2007-2011
B01001_10_22_to_24_years,5164,8507,10243,1960,3310,5564,1042,3493,11170,7098,9841,8227,10345,13263,38454,1477,2690,4196,17445,18935,2007-2011
B01001_11_25_to_29_years,8029,13446,16994,2482,6368,8066,1761,4979,18393,11680,16731,13543,16752,24239,64288,2113,4163,6569,31701,32282,2007-2011
B01001_12_30_to_34_years,7391,12740,15875,2207,6577,7946,1758,4345,16691,11159,16295,13564,15378,23604,51745,2062,4026,6798,30949,28857,2007-2011
B01001_13_35_to_39_years,8319,15006,16861,2354,6284,9145,2028,4676,18193,12332,19424,16325,16139,25838,46232,2829,5058,8112,33194,28929,2007-2011
B01001_14_40_to_44_years,9778,16741,17648,2954,6108,10908,2167,5258,18348,15008,23159,18399,18356,28973,45223,3429,6005,9406,34011,30577,2007-2011
B01001_15_45_to_49_years,10915,18959,18926,3568,6128,11707,2550,5715,20107,15822,26921,20213,20573,31287,46719,4240,6359,10111,36507,30443,2007-2011
B01001_16_50_to_54_years,10525,17540,18655,3779,5308,10845,2560,5119,19081,15055,26444,19330,20694,30572,45875,3672,5281,8882,35238,27841,2007-2011
B01001_17_55_to_59_years,8468,14017,15508,3326,4804,8744,2155,4121,15719,12924,21865,17020,17359,25807,37775,3175,4006,7165,29585,23345,2007-2011
B01001_18_60_and_61_years,3419,5472,5188,1831,1500,3259,1032,1783,5675,4933,7764,5474,5755,9235,14794,860,1605,2695,11299,8715,2007-2011
B01001_19_62_to_64_years,4186,6735,7176,2059,2008,4195,1034,2518,7271,6025,10279,6825,7876,11880,18557,1227,1755,3171,13506,10182,2007-2011
B01001_20_65_and_66_years,2631,3588,3925,1076,1104,2486,579,1466,3857,3587,5982,4323,4175,6924,10047,903,994,1629,7222,5749,2007-2011
B01001_21_67_to_69_years,3151,4644,4901,1528,1596,2687,805,1880,5300,4310,6698,5041,5205,8461,12932,841,1057,2477,8978,6990,2007-2011
B01001_22_70_to_74_years,3706,6179,6095,2467,2017,3328,990,2443,6602,5788,8804,6261,6953,10651,16586,914,1840,2372,11123,8939,2007-2011
B01001_23_75_to_79_years,3192,5123,4901,1815,1434,2562,806,1750,4967,5096,7325,5159,6096,9631,13729,832,936,2115,9183,5985,2007-2011
B01001_24_80_to_84_years,2112,3626,3887,1260,1121,2277,517,1054,3850,3804,5184,3512,5037,7781,9911,362,569,1240,6064,3482,2007-2011
B01001_25_85_years_and_over,1538,2642,3011,838,904,1317,446,773,3007,2697,4347,2984,4591,6168,8407,301,415,920,6615,2017,2007-2011
B01001_26_female,140765,227862,265670,49842,75918,147714,33907,82689,276474,208645,318054,252218,290512,409549,801215,44760,75130,117807,498953,446658,2007-2011
B01001_27_under_5_years,8119,12776,16254,2206,5311,8513,1858,5460,16526,12361,16807,15253,16561,22910,49508,2366,4652,7307,31068,28952,2007-2011
B01001_28_5_to_9_years,8005,14214,16951,2214,5142,9259,1746,4992,17519,12728,19155,17096,17040,24866,44225,3324,4945,7827,31141,26703,2007-2011
B01001_29_10_to_14_years,9310,14941,17031,2659,4907,10267,2471,5738,16335,13928,20955,17188,18200,25527,45489,3410,5690,8487,31039,28075,2007-2011
