index,48085,48097,48113,48121,48139,48147,48181,48213,48221,48223,48231,48251,48257,48349,48363,48367,48397,48425,48439,48497,40013,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,ok,2008-2012
B25034_5_built_1980_to_1989,58827,2487,179479,58061,9898,1957,8236,10591,6012,2834,6839,10139,6203,3276,1745,8104,4843,912,146927,4346,3659,2008-2012
B25034_6_built_1970_to_1979,29674,3281,186686,27155,6846,1980,8287,8632,4734,2804,6252,9721,4401,3896,2174,6184,2357,589,108449,3286,4060,2008-2012
B25034_7_built_1960_to_1969,8633,1796,139880,9367,3306,1525,7707,3644,969,1689,4884,4390,2070,2467,2492,2803,661,111,68477,1580,1568,2008-2012
B25034_8_built_1950_to_1959,3682,1744,116951,4538,2926,1020,5481,1625,601,1246,2899,2881,1423,1953,1896,1960,558,252,65851,1191,1719,2008-2012
B25034_9_built_1940_to_1949,1720,810,43099,2313,1571,804,2999,876,366,662,1327,1410,653,1046,1382,1209,346,139,25737,774,741,2008-2012
B25034_10_built_1939_or_earlier,2643,1400,35969,2799,3120,2030,5353,851,476,1002,1562,2379,1342,1790,1446,2014,396,208,25590,963,1520,2008-2012
B25127_1_total,283025,14489,849874,237732,50327,11783,46600,30311,20631,13262,30682,51776,34597,17441,10556,41640,26141,3221,651877,20352,16398,2008-2012
B25127_2_owner_occupied,196686,10123,452993,156580,37653,8807,32141,23100,16060,9551,21963,38817,27066,12056,7465,33148,21638,2333,406171,16271,10659,2008-2012
B25127_3_built_2000_or_later,74753,1779,60477,63264,11671,1746,5216,4033,4691,1711,4339,11045,11339,2179,983,10383,10530,500,103865,4107,1781,2008-2012
"B25127_4_1,_detached__or_attached",73210,1350,57298,61236,10680,1386,4428,2875,4074,1320,3163,8596,10017,1416,703,9018,10370,473,101087,3036,1440,2008-2012
B25127_5_2_to_4,65,11,262,68,0,0,0,11,0,0,9,40,11,0,0,11,18,0,276,6,0,2008-2012
B25127_6_5_to_19,43,0,477,21,0,0,0,0,0,0,0,0,0,8,0,0,42,0,40,0,0,2008-2012
B25127_7_20_to_49,9,0,467,12,0,0,0,0,6,0,0,0,0,0,0,0,11,0,65,0,0,2008-2012
B25127_8_50_or_more,184,0,924,27,0,0,0,0,0,0,9,0,0,0,0,0,0,0,208,0,0,2008-2012
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",1242,418,1049,1900,991,360,788,1147,611,391,1158,2409,1311,755,280,1354,89,27,2189,1065,341,2008-2012
B25127_10_built_1980_to_1999,91637,3128,125443,67441,15075,2621,9586,9714,7158,3616,7945,14470,9754,3666,1963,13643,8052,1148,136323,7050,3776,2008-2012
"B25127_11_1,_detached__or_attached",87984,2145,113656,63005,12464,1947,7414,5761,5224,2744,5243,9809,6891,2317,1121,10026,7343,945,129412,4253,2700,2008-2012
B25127_12_2_to_4,345,11,1918,99,76,12,17,21,16,0,0,57,4,6,0,7,45,0,823,0,36,2008-2012
B25127_13_5_to_19,359,0,2248,37,0,0,0,24,0,0,0,0,0,0,4,0,118,0,586,0,0,2008-2012
B25127_14_20_to_49,17,0,707,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,259,0,0,2008-2012
B25127_15_50_or_more,69,0,1590,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,216,0,0,2008-2012
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",2863,972,5324,4300,2535,662,2155,3889,1898,872,2702,4604,2859,1340,838,3610,546,203,5027,2797,1040,2008-2012
B25127_17_built_1960_to_1979,25642,3116,150743,21520,5995,2255,9560,7397,3353,2493,6809,9276,3808,3607,2302,6071,2294,344,94656,3071,3043,2008-2012
"B25127_18_1,_detached__or_attached",25012,2889,142924,20764,5654,2102,8903,5442,2492,2341,6094,8195,3390,3327,2017,5019,2228,214,92092,2552,2691,2008-2012
B25127_19_2_to_4,51,0,2073,10,0,6,40,4,0,0,0,29,0,41,0,0,14,0,604,0,18,2008-2012
B25127_20_5_to_19,57,0,1984,0,0,0,0,0,6,0,3,0,0,0,9,0,21,0,286,17,0,2008-2012
B25127_21_20_to_49,15,16,629,8,0,0,0,0,0,0,0,0,0,21,0,0,0,0,80,0,0,2008-2012
B25127_22_50_or_more,0,0,1582,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,2008-2012
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",507,211,1551,729,341,147,617,1951,855,152,712,1052,418,218,276,1052,31,130,1386,502,334,2008-2012
B25127_24_built_1940_to_1959,3295,1585,97102,3042,2803,1157,4534,1381,703,1101,2110,2688,1384,1599,1314,1868,549,207,56953,1428,1179,2008-2012
"B25127_25_1,_detached__or_attached",3274,1556,95527,2984,2799,1100,4485,1288,674,1093,2047,2677,1382,1577,1274,1856,516,207,56622,1421,1145,2008-2012
B25127_26_2_to_4,21,0,490,0,0,41,12,0,0,0,0,0,0,0,9,0,0,0,192,0,0,2008-2012
B25127_27_5_to_19,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,2008-2012
B25127_28_20_to_49,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2008-2012
B25127_29_50_or_more,0,0,232,8,0,0,0,0,0,0,0,0,0,15,0,0,0,0,19,0,0,2008-2012
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",0,29,350,50,4,16,37,93,29,8,63,11,2,7,31,12,33,0,43,7,34,2008-2012
B25127_31_built_1939_or_earlier,1359,515,19228,1313,2109,1028,3245,575,155,630,760,1338,781,1005,903,1183,213,134,14374,615,880,2008-2012
"B25127_32_1,_detached__or_attached",1344,515,18615,1313,2109,1019,3219,568,155,630,756,1306,781,997,903,1183,213,134,14062,612,880,2008-2012
B25127_33_2_to_4,0,0,297,0,0,6,12,0,0,0,0,0,0,3,0,0,0,0,159,0,0,2008-2012
B25127_34_5_to_19,0,0,48,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,2008-2012
B25127_35_20_to_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2008-2012
B25127_36_50_or_more,15,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,2008-2012
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",0,0,216,0,0,3,14,7,0,0,4,32,0,0,0,0,0,0,56,0,0,2008-2012
B25127_38_renter_occupied,86339,4366,396881,81152,12674,2976,14459,7211,4571,3711,8719,12959,7531,5385,3091,8492,4503,888,245706,4081,5739,2008-2012
B25127_39_built_2000_or_later,25423,799,61602,23943,3335,385,1746,971,1041,476,1298,3093,2104,583,279,2538,1861,70,51679,901,1107,2008-2012
"B25127_40_1,_detached__or_attached",7078,306,9909,6157,1294,143,571,302,536,205,320,1186,1055,178,99,798,1320,46,14158,296,353,2008-2012
B25127_41_2_to_4,1330,204,5238,1209,463,130,223,149,32,71,193,774,413,157,38,669,0,0,4686,112,229,2008-2012
B25127_42_5_to_19,7940,93,17650,6725,725,42,487,110,56,87,311,307,312,62,23,358,173,24,17060,91,311,2008-2012
B25127_43_20_to_49,3112,40,7337,6160,237,2,189,3,56,28,105,108,12,15,0,109,87,0,7117,37,44,2008-2012
B25127_44_50_or_more,5576,8,20770,3180,296,0,119,37,150,35,137,112,37,0,11,120,243,0,7811,33,86,2008-2012
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",387,148,698,512,320,68,157,370,211,50,232,606,275,171,108,484,38,0,847,332,84,2008-2012
B25127_46_built_1980_to_1999,47657,806,135623,40764,4040,1008,4230,2931,2024,1195,3308,4166,2640,1308,488,2888,1639,398,95787,1501,1750,2008-2012
"B25127_47_1,_detached__or_attached",7413,475,21116,6680,1580,336,1142,732,551,435,793,1423,963,327,185,1160,884,66,21317,544,688,2008-2012
B25127_48_2_to_4,3213,84,13597,3050,626,244,741,522,293,145,332,823,528,156,74,478,230,20,13313,189,176,2008-2012
B25127_49_5_to_19,24020,13,57132,18761,666,106,1285,412,254,276,1065,518,448,147,8,244,198,20,39114,102,174,2008-2012
B25127_50_20_to_49,5553,69,18433,7336,64,7,195,83,30,98,121,81,73,51,66,75,117,24,9760,38,90,2008-2012
B25127_51_50_or_more,6468,14,22309,2950,240,15,400,48,75,10,288,104,93,38,3,79,78,0,9966,24,62,2008-2012
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",990,151,3036,1987,864,300,467,1134,821,231,709,1217,535,589,152,852,132,268,2317,604,560,2008-2012
B25127_53_built_1960_to_1979,10541,1594,138278,12260,3356,826,4715,2460,1232,1293,2267,3823,2034,2105,1045,1844,541,319,64510,1142,1548,2008-2012
"B25127_54_1,_detached__or_attached",4599,829,32820,4259,1812,529,2072,1365,507,659,1126,1749,1263,1133,741,727,281,75,21378,433,837,2008-2012
B25127_55_2_to_4,1216,355,14263,1616,828,180,893,143,217,62,235,763,183,492,108,146,24,101,11536,242,138,2008-2012
B25127_56_5_to_19,2646,153,61026,4000,358,66,940,192,95,277,364,382,260,270,45,366,133,122,21004,129,295,2008-2012
B25127_57_20_to_49,773,29,14821,1230,103,3,385,78,26,87,159,204,110,29,16,89,29,21,3792,30,31,2008-2012
B25127_58_50_or_more,964,49,14416,684,74,20,253,82,42,86,150,76,0,78,9,28,11,0,5737,0,54,2008-2012
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",343,179,932,471,181,28,172,600,345,122,233,649,218,103,126,488,63,0,1063,308,193,2008-2012
B25127_60_built_1940_to_1959,1842,630,48263,3039,1220,386,2563,753,164,539,1306,1283,457,953,1020,803,316,82,25818,306,984,2008-2012
"B25127_61_1,_detached__or_attached",1451,591,30045,2303,995,292,2031,467,164,343,742,1120,346,599,756,656,313,82,18277,294,932,2008-2012
B25127_62_2_to_4,162,36,4015,218,133,58,310,127,0,45,97,81,49,209,120,116,0,0,2647,10,21,2008-2012
B25127_63_5_to_19,131,3,8249,256,43,36,134,61,0,115,378,31,25,0,99,28,0,0,2464,0,0,2008-2012
B25127_64_20_to_49,36,0,2863,163,22,0,40,0,0,28,29,11,37,14,16,0,0,0,1180,2,13,2008-2012
B25127_65_50_or_more,38,0,2910,54,9,0,16,12,0,8,40,15,0,119,26,0,0,0,1139,0,17,2008-2012
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",24,0,181,45,18,0,32,86,0,0,20,25,0,12,3,3,3,0,111,0,1,2008-2012
B25127_67_built_1939_or_earlier,876,537,13115,1146,723,371,1205,96,110,208,540,594,296,436,259,419,146,19,7912,231,350,2008-2012
"B25127_68_1,_detached__or_attached",565,476,6688,783,555,311,1002,92,110,208,446,545,296,420,176,419,96,19,5642,231,315,2008-2012
B25127_69_2_to_4,177,10,1540,81,107,40,60,0,0,0,37,0,0,16,54,0,0,0,922,0,25,2008-2012
B25127_70_5_to_19,114,0,1819,278,61,9,92,0,0,0,50,0,0,0,11,0,0,0,804,0,0,2008-2012
B25127_71_20_to_49,10,42,973,0,0,0,51,4,0,0,7,26,0,0,7,0,0,0,85,0,9,2008-2012
B25127_72_50_or_more,10,9,2026,4,0,11,0,0,0,0,0,23,0,0,11,0,50,0,400,0,1,2008-2012
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,2008-2012
B11003_1_total,208722,10309,555311,168703,40204,8471,32566,20337,14777,9763,20832,39841,27316,12354,7414,31395,21219,2191,451651,15819,10431,2008-2012
B11003_2_married-couple_family,170897,7949,370755,134421,31374,6483,23776,16056,12471,7793,16072,31359,20877,9088,5532,25743,17684,1798,327213,13163,7739,2008-2012
B11003_3_with_own_children_under_18_years,92985,3015,181050,70957,14437,2339,8371,5130,3947,2699,6010,13419,9641,3439,1958,10675,9260,859,161910,5374,3112,2008-2012
B11003_4_under_6_years_only,22439,605,41771,17386,2750,314,1433,934,950,557,1210,2296,1825,570,467,2221,1961,215,36848,1113,622,2008-2012
B11003_5_under_6_years_and_6_to_17_years,19775,700,46953,16463,3336,649,2025,1376,786,682,1493,3462,2230,896,504,1929,1854,188,39239,1206,668,2008-2012
B11003_6_6_to_17_years_only,50771,1710,92326,37108,8351,1376,4913,2820,2211,1460,3307,7661,5586,1973,987,6525,5445,456,85823,3055,1822,2008-2012
B11003_7_no_own_children_under_18_years,77912,4934,189705,63464,16937,4144,15405,10926,8524,5094,10062,17940,11236,5649,3574,15068,8424,939,165303,7789,4627,2008-2012
B11003_8_other_family,37825,2360,184556,34282,8830,1988,8790,4281,2306,1970,4760,8482,6439,3266,1882,5652,3535,393,124438,2656,2692,2008-2012
"B11003_9_male_householder,_no_wife_present",10886,799,48358,9165,2523,678,2536,1117,549,522,1220,2860,1832,838,446,1822,1202,75,32442,613,720,2008-2012
B11003_10_with_own_children_under_18_years,5577,361,21994,4702,1199,307,1443,589,333,183,468,1349,825,385,200,1006,686,61,15874,342,362,2008-2012
B11003_11_under_6_years_only,1119,93,6669,1361,280,124,389,49,118,49,225,377,285,101,30,195,31,0,4518,113,108,2008-2012
B11003_12_under_6_years_and_6_to_17_years,981,16,4587,515,250,105,128,207,54,25,66,231,121,44,26,28,157,0,2600,8,31,2008-2012
B11003_13_6_to_17_years_only,3477,252,10738,2826,669,78,926,333,161,109,177,741,419,240,144,783,498,61,8756,221,223,2008-2012
B11003_14_no_own_children_under_18_years,5309,438,26364,4463,1324,371,1093,528,216,339,752,1511,1007,453,246,816,516,14,16568,271,358,2008-2012
"B11003_15_female_householder,_no_husband_present",26939,1561,136198,25117,6307,1310,6254,3164,1757,1448,3540,5622,4607,2428,1436,3830,2333,318,91996,2043,1972,2008-2012
B11003_16_with_own_children_under_18_years,17696,929,81766,16400,3959,625,3754,1551,992,813,2007,3368,2791,1554,891,1968,1476,120,57439,992,1167,2008-2012
B11003_17_under_6_years_only,2593,302,15902,3443,558,65,902,386,198,175,579,536,397,355,170,239,353,16,12351,158,281,2008-2012
B11003_18_under_6_years_and_6_to_17_years,2609,170,18178,2508,957,75,624,343,181,128,294,830,400,349,103,474,301,0,10830,187,202,2008-2012
B11003_19_6_to_17_years_only,12494,457,47686,10449,2444,485,2228,822,613,510,1134,2002,1994,850,618,1255,822,104,34258,647,684,2008-2012
B11003_20_no_own_children_under_18_years,9243,632,54432,8717,2348,685,2500,1613,765,635,1533,2254,1816,874,545,1862,857,198,34557,1051,805,2008-2012
B25075_1_total,196686,10123,452993,156580,37653,8807,32141,23100,16060,9551,21963,38817,27066,12056,7465,33148,21638,2333,406171,16271,10659,2008-2012
"B25075_2_less_than_$10,000",534,92,3873,954,386,220,470,623,136,140,465,443,206,298,213,737,134,29,2863,275,269,2008-2012
"B25075_3_$10,000_to_$14,999",507,165,2661,1051,277,91,323,606,523,124,308,278,312,154,159,284,186,0,2678,174,285,2008-2012
"B25075_4_$15,000_to_$19,999",912,183,2783,861,161,166,498,552,135,143,295,401,229,181,96,289,64,12,2443,159,424,2008-2012
"B25075_5_$20,000_to_$24,999",448,164,1932,682,247,217,532,845,197,263,400,548,169,407,272,553,23,67,2479,239,259,2008-2012
"B25075_6_$25,000_to_$29,999",675,223,2349,602,377,228,568,1013,235,116,578,290,292,471,291,207,26,29,1985,120,239,2008-2012
"B25075_7_$30,000_to_$34,999",341,178,3773,638,439,247,776,798,437,358,658,578,269,331,331,561,70,103,2889,375,348,2008-2012
"B25075_8_$35,000_to_$39,999",396,116,3264,527,408,287,607,663,343,298,580,276,338,463,223,462,153,74,2521,432,232,2008-2012
"B25075_9_$40,000_to_$49,999",1082,549,10037,980,750,561,1869,1061,645,597,1177,1307,724,1058,381,983,116,162,7959,741,618,2008-2012
"B25075_10_$50,000_to_$59,999",1221,298,12714,862,991,516,2009,1895,462,578,1691,1363,1284,1035,539,864,128,21,10089,635,633,2008-2012
"B25075_11_$60,000_to_$69,999",1543,620,17193,1263,1566,551,1967,1228,582,751,1579,2039,1363,877,435,939,284,50,13657,842,775,2008-2012
"B25075_12_$70,000_to_$79,999",1552,799,22517,1435,1717,549,1963,1251,553,491,1153,2533,1230,841,512,1484,161,43,18224,799,757,2008-2012
"B25075_13_$80,000_to_$89,999",2159,653,31876,2799,1968,690,2363,1338,699,711,1653,3106,1361,833,574,1631,289,109,24935,952,650,2008-2012
"B25075_14_$90,000_to_$99,999",2980,692,33376,3312,1587,475,1599,846,631,571,1213,3169,1267,559,392,1498,391,76,26604,821,502,2008-2012
"B25075_15_$100,000_to_$124,999",10317,967,70152,15548,4985,1073,4135,2237,1056,1011,2562,5179,4122,1146,858,2434,1615,317,59347,1835,1229,2008-2012
"B25075_16_$125,000_to_$149,999",19522,731,49009,20347,5303,556,2466,1417,1478,713,1727,3569,3287,756,323,3280,2562,220,54200,1184,810,2008-2012
"B25075_17_$150,000_to_$174,999",28037,679,41013,22145,4572,791,2838,1681,1819,659,1851,3927,3203,678,396,3008,2804,83,45110,1567,832,2008-2012
"B25075_18_$175,000_to_$199,999",22772,557,24551,14813,2643,343,1448,770,974,461,1205,2270,1757,278,240,2092,2391,30,27408,1165,415,2008-2012
"B25075_19_$200,000_to_$249,999",34683,770,33687,22055,3710,443,2054,1415,1553,549,926,3018,2307,614,275,3384,3652,179,34332,1539,534,2008-2012
"B25075_20_$250,000_to_$299,999",22594,711,21450,14471,2243,243,1226,812,1024,271,820,1433,1657,294,247,3121,2112,332,20673,889,313,2008-2012
"B25075_21_$300,000_to_$399,999",23022,391,25099,16779,1951,309,1090,969,1264,407,625,1469,1058,329,299,2759,2253,176,20495,883,273,2008-2012
"B25075_22_$400,000_to_$499,999",9493,256,11847,6823,560,57,479,319,629,58,170,543,336,200,190,1059,1092,92,9821,356,148,2008-2012
"B25075_23_$500,000_to_$749,999",7614,195,12301,5656,456,128,516,359,535,161,133,709,207,183,114,947,585,96,9220,187,58,2008-2012
"B25075_24_$750,000_to_$999,999",2035,53,5693,1100,132,21,156,236,98,79,57,54,14,40,39,240,301,24,2975,44,23,2008-2012
"B25075_25_$1,000,000_or_more",2247,81,9843,877,224,45,189,166,52,41,137,315,74,30,66,332,246,9,3264,58,33,2008-2012
B03002_1_total,788580,38427,2379214,667934,149712,33867,120641,78558,51161,35088,85955,151174,103385,47739,28010,116820,78749,8444,1814667,59351,42494,2008-2012
B03002_2_not_hispanic_or_latino,672580,32431,1471015,546374,114468,30597,107077,70004,45862,29774,74155,123808,85617,36430,22998,104369,66167,6844,1330426,49272,40380,2008-2012
B03002_3_white_alone,496688,30132,788657,429832,98029,27301,94791,63428,44291,26492,64104,115663,72220,28614,21837,99302,58336,6680,939447,47298,31369,2008-2012
B03002_4_black_or_african_american_alone,65028,994,515041,53298,12959,2276,6861,4915,291,2652,7514,3867,9727,6910,660,2056,3945,107,265263,594,649,2008-2012
B03002_5_american_indian_and_alaska_native_alone,3589,345,4857,1831,589,251,1516,423,371,233,535,631,383,153,129,860,276,0,6119,532,3030,2008-2012
B03002_6_asian_alone,89378,217,121352,43801,929,145,991,366,248,215,963,1057,680,288,68,703,1753,10,83839,165,227,2008-2012
B03002_7_native_hawaiian_and_other_pacific_islander_alone,522,9,1072,432,15,16,56,33,0,10,40,312,188,0,0,0,390,0,2941,38,5,2008-2012
B03002_8_some_other_race_alone,1806,105,4822,1166,35,18,207,63,133,16,100,6,38,5,0,6,61,19,3196,69,8,2008-2012
B03002_9_two_or_more_races,15569,629,35214,16014,1912,590,2655,776,528,156,899,2272,2381,460,304,1442,1406,28,29621,576,5092,2008-2012
B03002_10_two_races_including_some_other_race,1138,3,2077,534,45,22,149,0,83,0,27,76,16,6,17,200,77,0,1350,73,0,2008-2012
"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",14431,626,33137,15480,1867,568,2506,776,445,156,872,2196,2365,454,287,1242,1329,28,28271,503,5092,2008-2012
B03002_12_hispanic_or_latino,116000,5996,908199,121560,35244,3270,13564,8554,5299,5314,11800,27366,17768,11309,5012,12451,12582,1600,484241,10079,2114,2008-2012
B03002_13_white_alone,90957,4197,578331,88088,25121,2443,7391,6919,2462,4014,5680,23918,14294,7751,2861,10140,9503,939,334327,8120,462,2008-2012
B03002_14_black_or_african_american_alone,944,107,7596,1705,274,19,53,92,0,123,29,51,274,131,33,0,63,0,4648,16,11,2008-2012
B03002_15_american_indian_and_alaska_native_alone,433,56,5210,775,1609,13,55,38,13,0,20,138,82,1025,76,162,248,31,3193,1,55,2008-2012
B03002_16_asian_alone,435,38,988,341,26,0,11,29,0,0,0,30,0,0,38,0,88,0,821,37,0,2008-2012
B03002_17_native_hawaiian_and_other_pacific_islander_alone,0,0,309,44,0,0,0,0,0,0,0,0,0,0,0,8,14,0,257,0,0,2008-2012
B03002_18_some_other_race_alone,17088,1329,293647,19640,7163,651,5257,1226,2786,1027,5676,2688,2552,2000,1758,1868,2204,630,128532,1498,1386,2008-2012
B03002_19_two_or_more_races,6143,269,22118,10967,1051,144,797,250,38,150,395,541,566,402,246,273,462,0,12463,407,200,2008-2012
B03002_20_two_races_including_some_other_race,3285,198,15240,4108,556,83,614,135,38,43,166,409,415,173,90,248,362,0,8321,179,81,2008-2012
"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",2858,71,6878,6859,495,61,183,115,0,107,229,132,151,229,156,25,100,0,4142,228,119,2008-2012
B25063_1_total,86339,4366,396881,81152,12674,2976,14459,7211,4571,3711,8719,12959,7531,5385,3091,8492,4503,888,245706,4081,5739,2008-2012
B25063_2_with_cash_rent,84087,3987,386480,79065,11377,2435,13267,6089,4014,3271,8072,11669,6993,4673,2594,7392,4313,798,238184,3426,5037,2008-2012
B25063_3_less_than_$100,131,21,1226,51,62,4,171,49,0,75,1,13,11,17,0,0,0,0,657,0,25,2008-2012
B25063_4_$100_to_$149,137,7,829,146,9,12,45,48,0,11,24,40,22,18,0,25,0,5,497,0,49,2008-2012
B25063_5_$150_to_$199,215,120,2400,100,74,24,177,104,0,0,105,116,47,26,24,32,0,89,1363,7,45,2008-2012
B25063_6_$200_to_$249,271,74,2782,127,104,103,217,116,31,52,191,158,25,179,68,58,5,12,1811,16,2,2008-2012
B25063_7_$250_to_$299,201,124,2192,109,95,180,315,44,84,46,228,237,187,66,9,111,36,71,1101,85,66,2008-2012
B25063_8_$300_to_$349,275,86,2707,126,150,87,191,180,125,70,177,169,79,201,18,119,16,0,1388,45,177,2008-2012
B25063_9_$350_to_$399,263,213,2264,146,107,67,312,94,38,30,281,78,62,98,65,115,6,0,1379,69,112,2008-2012
B25063_10_$400_to_$449,260,86,3643,473,122,115,391,339,85,205,191,184,176,211,116,50,0,69,2590,111,258,2008-2012
B25063_11_$450_to_$499,602,109,5914,849,275,115,381,474,148,291,521,231,56,261,80,253,26,34,4381,136,537,2008-2012
B25063_12_$500_to_$549,727,130,12122,1426,319,157,602,516,108,344,385,420,118,282,207,379,38,0,7615,192,466,2008-2012
B25063_13_$550_to_$599,1142,173,18850,2771,625,95,746,432,91,126,408,323,207,367,242,274,6,13,12101,122,416,2008-2012
B25063_14_$600_to_$649,1816,228,25005,3941,344,164,925,527,372,312,393,535,383,326,178,418,20,75,14173,146,495,2008-2012
B25063_15_$650_to_$699,2789,258,26229,4576,531,251,832,368,174,345,704,900,459,474,54,260,122,29,15252,206,371,2008-2012
B25063_16_$700_to_$749,4114,277,27023,5566,860,200,1331,419,201,252,873,889,490,476,262,403,91,93,15887,208,369,2008-2012
B25063_17_$750_to_$799,4617,361,25754,5363,838,203,1149,443,268,163,529,693,491,173,168,421,218,64,16510,157,373,2008-2012
B25063_18_$800_to_$899,11483,418,49587,11695,1365,201,1592,537,476,330,800,1565,879,511,387,1173,350,60,32000,486,514,2008-2012
B25063_19_$900_to_$999,10916,451,42557,9817,924,177,1265,522,527,234,850,1181,885,392,229,984,517,21,25328,371,270,2008-2012
"B25063_20_$1,000_to_$1,249",19301,496,66974,14422,2419,152,1817,598,726,233,941,2327,1020,407,358,1381,847,131,42843,716,395,2008-2012
"B25063_21_$1,250_to_$1,499",11217,291,33285,8006,1350,80,625,189,204,99,242,874,709,132,119,325,744,17,21732,228,49,2008-2012
"B25063_22_$1,500_to_$1,999",9075,64,24422,7155,627,38,119,79,208,10,151,625,575,26,10,361,892,15,14593,72,0,2008-2012
"B25063_23_$2,000_or_more",4535,0,10715,2200,177,10,64,11,148,43,77,111,112,30,0,250,379,0,4983,53,48,2008-2012
B25063_24_no_cash_rent,2252,379,10401,2087,1297,541,1192,1122,557,440,647,1290,538,712,497,1100,190,90,7522,655,702,2008-2012
B25071_1_median_gross_rent_as_a_percentage_of_household_income,27.4,26.7,29.6,28.3,29.6,33.6,28.5,30.5,28.8,30.7,33.2,27.2,31.4,28.9,29.4,26.9,27.4,24.3,29.7,26.6,26.4,2008-2012
B25036_1_total,283025,14489,849874,237732,50327,11783,46600,30311,20631,13262,30682,51776,34597,17441,10556,41640,26141,3221,651877,20352,16398,2008-2012
B25036_2_owner_occupied,196686,10123,452993,156580,37653,8807,32141,23100,16060,9551,21963,38817,27066,12056,7465,33148,21638,2333,406171,16271,10659,2008-2012
B25036_3_built_2010_or_later,1577,6,1072,2063,320,51,73,60,92,107,128,119,393,65,35,169,199,0,2069,63,63,2008-2012
B25036_4_built_2000_to_2009,73176,1773,59405,61201,11351,1695,5143,3973,4599,1604,4211,10926,10946,2114,948,10214,10331,500,101796,4044,1718,2008-2012
B25036_5_built_1990_to_1999,57909,1555,50596,39188,8219,1359,4984,4289,3260,1719,3958,7474,5166,1603,912,7718,4667,542,63153,3979,1648,2008-2012
B25036_6_built_1980_to_1989,33728,1573,74847,28253,6856,1262,4602,5425,3898,1897,3987,6996,4588,2063,1051,5925,3385,606,73170,3071,2128,2008-2012
B25036_7_built_1970_to_1979,19924,1975,78106,17253,4215,1222,4840,5244,2753,1600,3972,6325,2393,2150,964,4046,1841,257,55493,2212,2135,2008-2012
B25036_8_built_1960_to_1969,5718,1141,72637,4267,1780,1033,4720,2153,600,893,2837,2951,1415,1457,1338,2025,453,87,39163,859,908,2008-2012
B25036_9_built_1950_to_1959,2267,1085,72500,2131,1900,654,3006,878,468,701,1475,1936,938,1199,751,1202,315,129,41891,982,873,2008-2012
B25036_10_built_1940_to_1949,1028,500,24602,911,903,503,1528,503,235,400,635,752,446,400,563,666,234,78,15062,446,306,2008-2012
B25036_11_built_1939_or_earlier,1359,515,19228,1313,2109,1028,3245,575,155,630,760,1338,781,1005,903,1183,213,134,14374,615,880,2008-2012
B25036_12_renter_occupied,86339,4366,396881,81152,12674,2976,14459,7211,4571,3711,8719,12959,7531,5385,3091,8492,4503,888,245706,4081,5739,2008-2012
B25036_13_built_2010_or_later,1292,0,1883,799,116,13,10,72,64,0,27,111,6,29,38,25,206,0,1060,12,50,2008-2012
B25036_14_built_2000_to_2009,24131,799,59719,23144,3219,372,1736,899,977,476,1271,2982,2098,554,241,2513,1655,70,50619,889,1057,2008-2012
B25036_15_built_1990_to_1999,26276,322,50080,15821,2068,583,1751,1069,997,539,1372,1917,1330,646,245,1308,623,130,36621,826,752,2008-2012
B25036_16_built_1980_to_1989,21381,484,85543,24943,1972,425,2479,1862,1027,656,1936,2249,1310,662,243,1580,1016,268,59166,675,998,2008-2012
