index,48085,48097,48113,48121,48139,48147,48181,48213,48221,48223,48231,48251,48257,48349,48363,48367,48397,48425,48439,48497,40013,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,ok,2008-2012
B01001_22_70_to_74_years,6930,766,21252,4766,1618,635,2351,1741,1367,607,1556,1927,1209,871,619,1716,1052,215,17051,911,788,2008-2012
B01001_23_75_to_79_years,4317,542,15557,3141,1208,432,1489,1094,1155,525,941,1339,887,505,404,1318,578,92,12294,730,643,2008-2012
B01001_24_80_to_84_years,2510,411,10605,2043,601,348,1097,1024,532,354,537,911,491,310,191,662,354,105,7919,246,272,2008-2012
B01001_25_85_years_and_over,1933,151,8394,1480,474,340,701,572,294,162,544,520,262,316,173,472,204,47,6463,242,261,2008-2012
B01001_26_female,400748,19344,1201654,339205,75816,15980,61934,40045,25911,17737,43386,75487,52504,24120,14231,57716,40149,4297,924400,29431,21720,2008-2012
B01001_27_under_5_years,28567,1294,94587,24256,5250,963,3808,2286,1392,1143,2759,5250,3878,1724,882,3530,2731,225,70043,1908,1457,2008-2012
B01001_28_5_to_9_years,33246,1292,90238,26478,6122,1155,3912,2455,1559,1119,3057,5374,4170,1760,995,3727,3485,296,68605,2115,1468,2008-2012
B01001_29_10_to_14_years,30555,1324,84796,24535,5719,906,4051,2362,1261,1323,2843,5985,3980,1654,917,4494,3237,371,69549,2183,1222,2008-2012
B01001_30_15_to_17_years,17350,747,50837,13969,3804,666,2376,1446,994,757,1682,3372,2388,1029,561,2683,1931,178,39808,1297,774,2008-2012
B01001_31_18_and_19_years,8534,450,31325,9755,2019,430,1695,911,457,401,1226,1929,1241,610,289,1564,928,142,24123,697,725,2008-2012
B01001_32_20_years,3653,317,17053,5755,744,202,876,433,189,140,788,677,450,321,336,631,267,27,12771,309,468,2008-2012
B01001_33_21_years,3612,183,15308,5011,1128,36,993,485,221,151,590,718,866,288,91,643,144,14,12234,213,417,2008-2012
B01001_34_22_to_24_years,12452,693,52177,15119,2737,518,2082,1274,785,663,1664,2839,1575,830,397,1692,1134,159,37460,1100,750,2008-2012
B01001_35_25_to_29_years,26208,1151,98767,25598,4685,805,3534,1999,1258,1040,2564,4695,3307,1379,758,2962,2315,269,69485,1787,1453,2008-2012
B01001_36_30_to_34_years,31392,978,93513,26211,4737,823,3383,2008,1220,933,2489,4905,3590,1404,778,3213,2884,204,66805,1662,1272,2008-2012
B01001_37_35_to_39_years,35623,1374,88075,29123,5522,973,3354,2142,1524,1185,2499,5424,3817,1498,827,3882,3331,311,68068,1795,1166,2008-2012
B01001_38_40_to_44_years,34518,939,83791,26183,5215,1035,4128,2666,1270,1063,3005,4800,3776,1480,900,4179,3009,319,66890,2194,1279,2008-2012
B01001_39_45_to_49_years,32712,1305,82075,26127,5608,1134,4437,2723,1890,1315,3221,5694,3889,1663,969,4700,3345,283,67319,2362,1391,2008-2012
B01001_40_50_to_54_years,27151,1355,77763,22509,5492,1148,4637,2949,1931,1191,3163,5359,3675,1652,1099,4655,2859,276,62585,2276,1467,2008-2012
B01001_41_55_to_59_years,22602,1228,63822,17986,4776,1124,4559,2661,2165,1099,2641,5379,3380,1654,1008,3952,2298,236,50225,1947,1446,2008-2012
B01001_42_60_and_61_years,7527,469,24165,6336,1508,411,1325,1407,901,585,1105,1398,1031,556,451,1530,853,189,19124,758,454,2008-2012
B01001_43_62_to_64_years,10344,894,31024,7710,2201,562,2142,1585,1123,604,1500,2088,1462,730,455,1956,1106,134,24994,877,775,2008-2012
B01001_44_65_and_66_years,5973,409,15921,4350,1288,425,1262,1056,859,471,938,1040,798,548,387,945,615,52,13550,491,348,2008-2012
B01001_45_67_to_69_years,7013,497,21965,5646,1320,510,1756,1807,929,450,1247,2062,1233,828,358,1258,644,77,16219,987,637,2008-2012
B01001_46_70_to_74_years,8062,864,27030,5874,2340,739,2462,1768,1420,708,1480,2427,1428,684,647,2227,1208,227,20834,771,1007,2008-2012
B01001_47_75_to_79_years,5086,749,21472,4522,1589,499,1667,1607,1134,539,1054,1889,1067,605,492,1501,866,101,16927,712,734,2008-2012
B01001_48_80_to_84_years,4774,397,18299,3123,1035,363,1682,1108,688,359,832,1017,886,577,306,820,600,164,13291,544,491,2008-2012
B01001_49_85_years_and_over,3794,435,17651,3029,977,553,1813,907,741,498,1039,1166,617,646,328,972,359,43,13491,446,519,2008-2012
B02001_1_total,788580,38427,2379214,667934,149712,33867,120641,78558,51161,35088,85955,151174,103385,47739,28010,116820,78749,8444,1814667,59351,42494,2008-2012
B02001_2_white_alone,587645,34329,1366988,517920,123150,29744,102182,70347,46753,30506,69784,139581,86514,36365,24698,109442,67839,7619,1273774,55418,31831,2008-2012
B02001_3_black_or_african_american_alone,65972,1101,522637,55003,13233,2295,6914,5007,291,2775,7543,3918,10001,7041,693,2056,4008,107,269911,610,660,2008-2012
B02001_4_american_indian_and_alaska_native_alone,4022,401,10067,2606,2198,264,1571,461,384,233,555,769,465,1178,205,1022,524,31,9312,533,3085,2008-2012
B02001_5_asian_alone,89813,255,122340,44142,955,145,1002,395,248,215,963,1087,680,288,106,703,1841,10,84660,202,227,2008-2012
B02001_6_native_hawaiian_and_other_pacific_islander_alone,522,9,1381,476,15,16,56,33,0,10,40,312,188,0,0,8,404,0,3198,38,5,2008-2012
B02001_7_some_other_race_alone,18894,1434,298469,20806,7198,669,5464,1289,2919,1043,5776,2694,2590,2005,1758,1874,2265,649,131728,1567,1394,2008-2012
B02001_8_two_or_more_races,21712,898,57332,26981,2963,734,3452,1026,566,306,1294,2813,2947,862,550,1715,1868,28,42084,983,5292,2008-2012
B02001_9_two_races_including_some_other_race,4423,201,17317,4642,601,105,763,135,121,43,193,485,431,179,107,448,439,0,9671,252,81,2008-2012
