estimate_year,index,TX_085,TX_113,TX_121,TX_139,TX_221,TX_231,TX_251,TX_257,TX_367,TX_397,TX_425,TX_439,TX_497
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5
2013-2017,STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx
2013-2017,B11005_2_households_with_one_or_more_people_under_18_years,137504,331332,109616,22339,5902,10256,21473,15285,15825,13320,1356,266051,7898
2013-2017,B11005_3_family_households,136890,329475,108799,22270,5823,10168,21335,15164,15747,13245,1356,264330,7807
2013-2017,B11005_4_married-couple_family,107565,197558,81592,16633,4274,6995,15293,10977,11910,10636,833,173226,5821
2013-2017,B11005_5_other_family,29325,131917,27207,5637,1549,3173,6042,4187,3837,2609,523,91104,1986
2013-2017,"B11005_6_male_householder,_no_wife_present",7239,30919,5872,1179,359,754,1763,1225,1243,591,86,22895,447
2013-2017,"B11005_7_female_householder,_no_husband_present",22086,100998,21335,4458,1190,2419,4279,2962,2594,2018,437,68209,1539
2013-2017,B11005_8_nonfamily_households,614,1857,817,69,79,88,138,121,78,75,0,1721,91
2013-2017,B11005_9_male_householder,559,1373,592,51,54,78,125,44,38,68,0,1289,66
2013-2017,B11005_10_female_householder,55,484,225,18,25,10,13,77,40,7,0,432,25
2013-2017,B11005_11_households_with_no_people_under_18_years,186401,574847,165548,32386,15625,21525,33994,21240,28117,17045,1878,423870,13793
2013-2017,B11005_12_family_households,103417,261000,86803,20777,9112,11772,20846,13100,17756,11281,1090,217258,8473
2013-2017,B11005_13_married-couple_family,88252,193504,72911,18023,8135,10029,17687,10695,15894,9916,909,172864,7167
2013-2017,B11005_14_other_family,15165,67496,13892,2754,977,1743,3159,2405,1862,1365,181,44394,1306
2013-2017,"B11005_15_male_householder,_no_wife_present",4530,23788,4885,866,347,733,1046,820,643,382,113,15436,378
2013-2017,"B11005_16_female_householder,_no_husband_present",10635,43708,9007,1888,630,1010,2113,1585,1219,983,68,28958,928
2013-2017,B11005_17_nonfamily_households,82984,313847,78745,11609,6513,9753,13148,8140,10361,5764,788,206612,5320
2013-2017,B11005_18_male_householder,38677,151394,36799,5344,2803,4692,6388,3702,5073,2273,234,98394,2509
2013-2017,B11005_19_female_householder,44307,162453,41946,6265,3710,5061,6760,4438,5288,3491,554,108218,2811
2013-2017,B11016_1_total,323905,906179,275164,54725,21527,31781,55467,36525,43942,30365,3234,689921,21691
2013-2017,B11016_2_family_households,240307,590475,195602,43047,14935,21940,42181,28264,33503,24526,2446,481588,16280
2013-2017,B11016_3_2-person_household,87602,213585,72729,17062,8084,10216,17443,10729,14828,9153,909,182529,7404
2013-2017,B11016_4_3-person_household,57733,139569,46056,8885,3095,4400,9653,6361,7146,5185,568,111579,3234
2013-2017,B11016_5_4-person_household,58451,121059,47021,8960,2136,3938,8188,5903,6529,6236,673,102832,3063
2013-2017,B11016_6_5-person_household,23869,67342,20364,4503,983,2061,4425,3071,3250,2678,153,51746,1605
2013-2017,B11016_7_6-person_household,8183,29484,6682,2295,426,767,1472,1431,1173,845,94,20461,587
2013-2017,B11016_8_7-or-more_person_household,4469,19436,2750,1342,211,558,1000,769,577,429,49,12441,387
2013-2017,B11016_9_nonfamily_households,83598,315704,79562,11678,6592,9841,13286,8261,10439,5839,788,208333,5411
2013-2017,B11016_10_1-person_household,69140,257425,61428,9745,5767,8143,11047,6910,8942,4792,670,170762,4388
2013-2017,B11016_11_2-person_household,12212,49468,14509,1697,700,1311,1954,1178,1274,753,108,31677,872
2013-2017,B11016_12_3-person_household,1649,6100,2368,126,103,290,174,155,151,270,10,4140,89
2013-2017,B11016_13_4-person_household,443,1960,1076,61,22,54,99,8,31,7,0,1258,15
2013-2017,B11016_14_5-person_household,103,598,159,49,0,43,10,10,0,17,0,460,7
2013-2017,B11016_15_6-person_household,19,135,14,0,0,0,2,0,9,0,0,4,40
2013-2017,B11016_16_7-or-more_person_household,32,18,8,0,0,0,0,0,32,0,0,32,0
