estimate_year,index,TX_085,TX_113,TX_121,TX_139,TX_221,TX_231,TX_251,TX_257,TX_367,TX_397,TX_425,TX_439,TX_497
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5
2013-2017,STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx
2013-2017,B15002_25_10th_grade,2533,16488,2667,1093,371,904,1283,816,688,325,113,11217,671
2013-2017,B15002_26_11th_grade,2389,19815,1954,1076,289,717,1645,920,716,394,49,13166,426
2013-2017,"B15002_27_12th_grade,_no_diploma",2814,14167,3182,860,423,542,690,758,644,382,76,10663,271
2013-2017,B15002_28_high_school_graduate_(includes_equivalency),50416,185764,48762,15309,6326,10444,17256,12848,11710,6657,884,155840,6968
2013-2017,"B15002_29_some_college,_less_than_1_year",19077,46852,17867,4651,1792,2390,4429,3564,4171,2914,278,46558,2014
2013-2017,"B15002_30_some_college,_1_or_more_years,_no_degree",45261,134735,43185,9600,3651,5044,9227,5507,7441,4446,537,108905,3728
2013-2017,B15002_31_associate's_degree,24848,49722,20100,4718,1611,2354,4337,3147,4055,2274,237,51243,1999
2013-2017,B15002_32_bachelor's_degree,99900,161540,75805,8979,3427,4036,7465,5447,8367,7852,484,139304,2539
2013-2017,B15002_33_master's_degree,40436,67744,27701,3004,1307,1674,2150,2358,2513,3302,146,51975,781
2013-2017,B15002_34_professional_school_degree,6101,14630,4016,365,161,103,314,119,314,417,7,7033,68
2013-2017,B15002_35_doctorate_degree,3532,6310,3032,190,66,282,189,192,258,280,41,5259,118
2013-2017,B19001_1_total,323905,906179,275164,54725,21527,31781,55467,36525,43942,30365,3234,689921,21691
2013-2017,"B19001_2_less_than_$10,000",10932,59030,10113,2265,1164,2385,2530,1836,2041,632,118,36274,1261
2013-2017,"B19001_3_$10,000_to_$14,999",6670,41383,6439,2204,919,2229,2113,1538,1399,678,234,26158,684
2013-2017,"B19001_4_$15,000_to_$19,999",7100,43976,7673,1516,936,1910,2609,1433,1422,675,319,27471,841
2013-2017,"B19001_5_$20,000_to_$24,999",8318,49066,8145,2099,1188,2112,2281,1277,1573,938,244,30165,1205
2013-2017,"B19001_6_$25,000_to_$29,999",8992,48509,9624,2153,1094,1730,2318,1603,1608,695,85,30212,883
2013-2017,"B19001_7_$30,000_to_$34,999",9616,48930,9967,2492,1112,1624,2409,1686,1806,917,149,34346,1172
2013-2017,"B19001_8_$35,000_to_$39,999",10058,44591,9732,2495,1182,1277,2599,1737,2005,950,152,30215,986
2013-2017,"B19001_9_$40,000_to_$44,999",11818,46528,10332,2305,796,1561,3128,1715,2083,1015,73,29679,1275
2013-2017,"B19001_10_$45,000_to_$49,999",10282,38410,9960,1776,854,1244,2289,1386,1565,1017,182,27741,750
2013-2017,"B19001_11_$50,000_to_$59,999",21327,76043,20638,4677,1445,2139,5215,2886,2831,1995,401,58278,1948
2013-2017,"B19001_12_$60,000_to_$74,999",30662,91983,26218,6273,2564,3238,6251,3896,4967,2687,94,72802,2338
2013-2017,"B19001_13_$75,000_to_$99,999",42472,103448,36919,8274,2476,4149,8095,4846,5801,4212,462,91054,2798
2013-2017,"B19001_14_$100,000_to_$124,999",38826,70113,31616,5372,2046,2085,5639,4285,4687,3975,239,65644,2259
2013-2017,"B19001_15_$125,000_to_$149,999",28385,40615,22571,3862,1227,1721,3140,2719,3281,2825,118,40224,1382
2013-2017,"B19001_16_$150,000_to_$199,999",37550,45889,26888,3998,1296,1563,3014,2369,3204,3637,169,43024,1048
2013-2017,"B19001_17_$200,000_or_more",40897,57665,28329,2964,1228,814,1837,1313,3669,3517,195,46634,861
2013-2017,B19013_1_median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars),90124,53626,80290,67371,60275,49319,60458,63926,70608,93269,52346,62532,59081
2013-2017,B25001_1_total,340142,985738,290621,58592,26004,37377,60389,40073,48857,31853,3790,748333,24398
2013-2017,B25003_1_total,323905,906179,275164,54725,21527,31781,55467,36525,43942,30365,3234,689921,21691
2013-2017,B25003_2_owner_occupied,212556,457251,177522,39978,16373,22146,40981,28175,34062,24414,2391,418852,16642
2013-2017,B25003_3_renter_occupied,111349,448928,97642,14747,5154,9635,14486,8350,9880,5951,843,271069,5049
2013-2017,B25024_1_total,340142,985738,290621,58592,26004,37377,60389,40073,48857,31853,3790,748333,24398
2013-2017,"B25024_2_1,_detached",236615,536363,198773,44618,17591,24949,41359,30441,34732,27048,2884,506371,16109
2013-2017,"B25024_3_1,_attached",8622,36060,5580,860,632,199,616,387,753,442,2,23401,344
2013-2017,B25024_4_2,2209,13310,1907,899,215,669,1046,293,959,137,18,11620,227
2013-2017,B25024_5_3_or_4,6647,42273,7228,1503,413,921,1470,1083,803,490,47,27082,221
2013-2017,B25024_6_5_to_9,18204,86261,15062,1436,387,1665,1280,698,703,703,12,43874,449
2013-2017,B25024_7_10_to_19,24576,100552,21588,1283,489,1089,729,439,824,449,37,59558,130
2013-2017,B25024_8_20_to_49,15367,60487,17857,612,344,392,534,300,284,425,9,26464,120
2013-2017,B25024_9_50_or_more,21690,95142,11331,949,556,492,510,288,105,701,14,35955,40
2013-2017,B25024_10_mobile_home,5990,14955,11049,6368,5254,6830,12737,6073,9485,1458,767,13555,6617
2013-2017,"B25024_11_boat,_rv,_van,_etc.",222,335,246,64,123,171,108,71,209,0,0,453,141
2013-2017,B25077_1_median_value_(dollars),265300,148300,232000,158200,170800,105000,132000,154000,180900,225400,172200,158200,141700
2013-2017,B25034_1_total,340142,985738,290621,58592,26004,37377,60389,40073,48857,31853,3790,748333,24398
2013-2017,B25034_2_built_2014_or_later,11633,13649,9924,1491,643,373,1097,897,928,914,25,9952,396
2013-2017,B25034_3_built_2010_to_2013,22850,27383,20761,3252,1102,897,2659,1859,2329,2738,77,26490,1006
2013-2017,B25034_4_built_2000_to_2009,103822,130864,90830,16704,6027,6898,13651,13438,14425,13669,1313,164616,6338
2013-2017,B25034_5_built_1990_to_1999,91465,118942,64257,10657,5218,6471,11186,6768,9245,5641,559,114715,5165
2013-2017,B25034_6_built_1980_to_1989,61616,185728,56811,9910,5703,6599,10353,5728,8643,5081,607,145339,4193
2013-2017,B25034_7_built_1970_to_1979,29953,184300,28045,6437,4559,5915,10003,4413,5996,2209,285,107105,2492
2013-2017,B25034_8_built_1960_to_1969,9638,132539,10164,3157,1293,4743,4638,2834,2609,745,380,67531,1916
2013-2017,B25034_9_built_1950_to_1959,4220,114191,5189,2763,752,2829,3267,1753,2183,362,179,64776,1611
2013-2017,B25034_10_built_1940_to_1949,2209,41020,2403,1440,303,816,1402,796,917,115,173,24347,550
2013-2017,B25034_11_built_1939_or_earlier,2736,37122,2237,2781,404,1836,2133,1587,1582,379,192,23462,731
2013-2017,B25127_1_total,323905,906179,275164,54725,21527,31781,55467,36525,43942,30365,3234,689921,21691
2013-2017,B25127_2_owner_occupied,212556,457251,177522,39978,16373,22146,40981,28175,34062,24414,2391,418852,16642
2013-2017,B25127_3_built_2010_or_later,21315,12601,20397,3538,1217,979,2665,2218,2459,2867,102,21603,1168
2013-2017,"B25127_4_1,_detached__or_attached",21053,11647,20073,3370,1120,802,2271,2117,2273,2836,102,20869,957
2013-2017,B25127_5_2_to_4,19,21,8,10,0,0,10,0,0,0,0,71,0
2013-2017,B25127_6_5_to_19,10,65,7,0,9,0,0,0,0,0,0,0,0
2013-2017,B25127_7_20_to_49,0,22,16,0,0,0,0,0,0,0,0,0,0
2013-2017,B25127_8_50_or_more,22,113,10,0,0,0,0,0,0,0,0,149,0
2013-2017,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",211,733,283,158,88,177,384,101,186,31,0,514,211
2013-2017,B25127_10_built_2000_to_2009,70947,62477,62586,11962,4148,5014,10565,10748,11224,11090,837,105864,4984
2013-2017,"B25127_11_1,_detached__or_attached",69317,58448,60829,11103,3632,3855,8618,9591,9860,10932,747,103560,3615
2013-2017,B25127_12_2_to_4,382,308,85,0,26,11,0,0,0,0,0,197,0
