estimate_year,index,NJ_005,NJ_007,NJ_015,NJ_033,PA_017,PA_029,PA_045,PA_091,PA_101,DE_003,MD_015
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,B01001_31_18_and_19_years,4990,6149,3636,830,6984,7469,9480,9583,27030,9019,1383
2009-2013,B01001_32_20_years,2668,3427,1983,460,3119,3392,4796,3950,15868,5012,606
2009-2013,B01001_33_21_years,1797,3155,2036,370,2904,2866,4353,4522,15004,4276,871
2009-2013,B01001_34_22_to_24_years,7536,9780,5367,1005,10065,8755,10513,13336,42677,11387,1534
2009-2013,B01001_35_25_to_29_years,12803,17653,8361,1894,16776,13608,17807,24260,74098,18670,2804
2009-2013,B01001_36_30_to_34_years,13079,17096,8851,1859,16900,13936,17147,24618,60423,18081,2895
2009-2013,B01001_37_35_to_39_years,14193,16359,9894,1756,18638,15461,16831,25427,49175,17838,3118
2009-2013,B01001_38_40_to_44_years,16561,18765,10909,2496,22606,18845,18695,28718,48757,18824,4048
2009-2013,B01001_39_45_to_49_years,19045,19824,11940,2580,26763,20593,21335,32107,50694,20952,4237
2009-2013,B01001_40_50_to_54_years,18878,20311,11842,2689,27604,20743,22484,32848,52776,21217,4051
2009-2013,B01001_41_55_to_59_years,15977,17838,9959,2553,23833,17971,20303,28879,47981,18966,3672
2009-2013,B01001_42_60_and_61_years,5920,6483,3764,857,8581,5907,7377,10828,17925,6687,1257
2009-2013,B01001_43_62_to_64_years,7698,8838,5049,1255,11794,8798,9174,13929,24931,8673,1697
2009-2013,B01001_44_65_and_66_years,4494,5378,2588,658,7036,4975,5450,8352,14303,5374,979
2009-2013,B01001_45_67_to_69_years,5861,5733,3197,869,8712,6303,6979,10450,17517,6543,1134
2009-2013,B01001_46_70_to_74_years,8220,8528,5288,1273,10710,7871,9114,14590,24649,8609,1630
2009-2013,B01001_47_75_to_79_years,6680,6515,3460,1155,9506,6277,9154,12927,20519,7165,1136
2009-2013,B01001_48_80_to_84_years,5632,6309,3501,961,8088,5721,7996,11570,17779,5593,909
2009-2013,B01001_49_85_years_and_over,6217,7179,3347,916,9798,6543,9402,14213,19865,6211,917
2009-2013,B02001_1_total,449964,513512,289098,65825,625977,503075,559771,804621,1536704,542784,101435
2009-2013,B02001_2_white_alone,332572,328064,239442,52830,561169,438698,404244,658994,637842,361966,90745
2009-2013,B02001_3_black_or_african_american_alone,73126,99619,28956,9381,23113,29898,113046,70875,665332,130133,6744
2009-2013,B02001_4_american_indian_and_alaska_native_alone,472,1693,387,106,720,448,577,733,4433,1251,229
2009-2013,B02001_5_asian_alone,20198,26988,8053,589,25340,20359,27002,52843,99962,25007,1092
2009-2013,B02001_6_native_hawaiian_and_other_pacific_islander_alone,153,93,58,4,154,76,51,162,1359,295,36
2009-2013,B02001_7_some_other_race_alone,9581,41644,5332,1584,5860,4457,4507,5187,88827,11817,844
2009-2013,B02001_8_two_or_more_races,13862,15411,6870,1331,9621,9139,10344,15827,38949,12315,1745
2009-2013,B02001_9_two_races_including_some_other_race,2013,4157,1227,129,1601,1248,1067,1789,8136,1789,58
2009-2013,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",11849,11254,5643,1202,8020,7891,9277,14038,30813,10526,1687
2009-2013,B11001_1_total,164979,187941,104145,25003,230366,184788,204771,307488,580017,200739,36394
2009-2013,B11001_2_family_households,115577,126823,75480,17095,165708,130385,137038,208752,308924,134103,26555
2009-2013,B11001_3_married-couple_family,88808,87264,57285,12238,135663,108816,98183,169978,160248,95828,20722
2009-2013,B11001_4_other_family,26769,39559,18195,4857,30045,21569,38855,38774,148676,38275,5833
2009-2013,"B11001_5_male_householder,_no_wife_present",7434,9571,4789,1312,8384,6117,9432,10588,30344,9569,1759
2009-2013,"B11001_6_female_householder,_no_husband_present",19335,29988,13406,3545,21661,15452,29423,28186,118332,28706,4074
2009-2013,B11001_7_nonfamily_households,49402,61118,28665,7908,64658,54403,67733,98736,271093,66636,9839
2009-2013,B11001_8_householder_living_alone,41547,51607,23387,6793,54838,43907,57930,83053,228672,53810,8181
2009-2013,B11001_9_householder_not_living_alone,7855,9511,5278,1115,9820,10496,9803,15683,42421,12826,1658
2009-2013,B15002_1_total,309139,343935,192982,45144,437077,335250,372184,559559,996815,359765,67376
2009-2013,B15002_2_male,147881,161126,91032,21373,209732,161698,172936,265843,455423,170362,32892
2009-2013,B15002_3_no_schooling_completed,965,2311,694,286,1269,1007,1715,1369,8575,1745,226
2009-2013,B15002_4_nursery_to_4th_grade,385,1010,219,132,221,624,469,429,3899,939,98
2009-2013,B15002_5_5th_and_6th_grade,928,1467,408,207,721,1693,889,1325,5835,1489,249
2009-2013,B15002_6_7th_and_8th_grade,1421,2643,1296,453,1726,2050,1583,2505,9835,2683,841
2009-2013,B15002_7_9th_grade,1499,2647,1095,366,1685,1327,1345,1895,9911,2632,618
2009-2013,B15002_8_10th_grade,2516,3959,1664,591,3375,2094,2819,3493,16439,3840,1140
2009-2013,B15002_9_11th_grade,2354,3680,1930,654,2608,2036,3050,3797,19805,3659,814
2009-2013,"B15002_10_12th_grade,_no_diploma",2109,3060,1554,420,2906,1790,2754,3335,14176,2315,458
2009-2013,B15002_11_high_school_graduate_(includes_equivalency),44166,50431,31104,8689,64879,37513,54421,66584,160772,50577,11867
2009-2013,"B15002_12_some_college,_less_than_1_year",9699,10123,6793,1388,12489,6445,9431,12340,22300,10379,2548
2009-2013,"B15002_13_some_college,_1_or_more_years,_no_degree",20137,21509,12130,2525,27040,16359,21023,31077,55469,22568,4716
2009-2013,B15002_14_associate's_degree,10416,10397,6346,1381,12407,8372,11485,14487,19857,10152,2123
2009-2013,B15002_15_bachelor's_degree,32412,30044,17492,3056,47755,46577,35615,69937,64133,33028,4821
2009-2013,B15002_16_master's_degree,12761,10659,5506,827,20545,22069,15658,30739,25279,15072,1701
