estimate_year,index,NJ_005,NJ_007,NJ_015,NJ_033,PA_017,PA_029,PA_045,PA_091,PA_101,DE_003,MD_015
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,B25034_6_built_1970_to_1979,31799,35029,18007,4331,46697,27731,19979,41855,46038,27092,5426
2009-2013,B25034_7_built_1960_to_1969,27008,29729,13166,3353,33904,19905,25773,40678,71202,32031,3113
2009-2013,B25034_8_built_1950_to_1959,22429,33050,12681,4014,40766,18179,57858,54511,112234,33031,2880
2009-2013,B25034_9_built_1940_to_1949,5907,19442,5752,2635,8479,6153,32076,22863,104836,14920,2122
2009-2013,B25034_10_built_1939_or_earlier,20171,36586,12610,6060,23970,28160,48685,60490,266692,26647,5356
2009-2013,B25127_1_total,164979,187941,104145,25003,230366,184788,204771,307488,580017,200739,36394
2009-2013,B25127_2_owner_occupied,128340,128420,83578,17925,179645,139815,144471,225139,308931,140533,26976
2009-2013,B25127_3_built_2000_or_later,14517,8138,14266,1621,18980,24433,8059,22116,7787,17143,5905
2009-2013,"B25127_4_1,_detached__or_attached",13791,7621,13645,1542,17015,23027,7048,20407,6133,16317,5251
2009-2013,B25127_5_2_to_4,128,120,50,15,112,193,44,74,164,7,43
2009-2013,B25127_6_5_to_19,157,22,165,0,546,122,290,141,314,67,76
2009-2013,B25127_7_20_to_49,76,179,25,0,244,64,221,310,339,25,0
2009-2013,B25127_8_50_or_more,10,94,19,0,324,103,444,743,799,152,12
2009-2013,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",355,102,362,64,739,924,12,441,38,575,523
2009-2013,B25127_10_built_1980_to_1999,38139,25213,25184,3167,55044,49361,17055,56977,13818,41869,10478
2009-2013,"B25127_11_1,_detached__or_attached",34001,23211,22971,2860,50834,45969,15824,53570,10330,37837,9281
2009-2013,B25127_12_2_to_4,618,294,312,25,709,335,261,368,753,225,57
2009-2013,B25127_13_5_to_19,2429,1127,1056,0,1300,650,311,1161,753,892,67
2009-2013,B25127_14_20_to_49,181,133,48,0,375,101,187,222,473,231,0
2009-2013,B25127_15_50_or_more,60,110,70,0,91,208,297,416,1176,133,3
2009-2013,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",850,338,727,282,1735,2098,175,1240,333,2551,1070
2009-2013,B25127_17_built_1960_to_1979,40648,36918,21672,5067,49511,32836,25595,51437,50132,35337,5513
2009-2013,"B25127_18_1,_detached__or_attached",37779,34482,20483,4534,46978,30639,23340,46771,43480,33258,5003
