estimate_year,index,GA_013,GA_015,GA_035,GA_045,GA_057,GA_063,GA_067,GA_077,GA_085,GA_089,GA_097,GA_113,GA_117,GA_121,GA_135,GA_143,GA_149,GA_151,GA_159,GA_171,GA_199,GA_211,GA_217,GA_223,GA_227,GA_231,GA_247,GA_255,GA_297,MSA
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,12060.0
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,12060.0
2013-2017,STATE,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,12060.0
2013-2017,B15002_3_no_schooling_completed,545,626,67,442,799,1718,2465,441,116,4103,441,112,828,2423,4661,104,46,952,168,131,90,32,349,544,231,20,492,341,168,12060.0
2013-2017,B15002_4_nursery_to_4th_grade,117,224,28,115,553,696,1861,53,0,2060,174,106,176,1225,2678,2,0,145,1,2,37,0,54,37,27,0,49,23,181,12060.0
2013-2017,B15002_5_5th_and_6th_grade,370,398,64,674,892,1717,4166,372,78,4524,404,106,555,2754,6464,78,91,227,35,31,73,34,287,413,65,13,348,190,48,12060.0
2013-2017,B15002_6_7th_and_8th_grade,643,779,393,805,1065,1330,3009,762,174,2987,636,241,880,2767,4572,504,120,864,126,46,400,120,667,669,475,103,386,487,239,12060.0
2013-2017,B15002_7_9th_grade,681,916,382,1038,965,1830,3236,556,211,2620,733,194,456,3777,4444,326,91,938,219,72,179,273,597,506,426,158,598,805,431,12060.0
2013-2017,B15002_8_10th_grade,772,1528,402,1260,1444,1830,2508,1027,318,4677,681,373,661,4608,3520,409,139,1274,214,292,311,93,1026,866,320,213,597,1122,980,12060.0
2013-2017,B15002_9_11th_grade,902,1092,683,1317,1109,2229,2727,904,177,4327,1408,110,779,5832,4030,530,242,1612,275,150,324,149,1222,1333,301,63,478,743,695,12060.0
2013-2017,"B15002_10_12th_grade,_no_diploma",662,914,199,936,1315,1872,2940,728,132,4084,789,537,800,4670,5176,171,57,1423,125,107,165,51,631,998,292,85,717,497,942,12060.0
2013-2017,B15002_11_high_school_graduate_(includes_equivalency),8036,11511,3966,12222,17579,28451,44089,13039,2395,51048,14170,6843,10480,59004,64297,3669,1942,20968,1898,2330,2921,2147,11151,16528,2889,2656,8918,8204,10759,12060.0
2013-2017,"B15002_12_some_college,_less_than_1_year",2113,1774,547,2297,4777,4115,10541,2671,341,9250,2937,2150,3295,9937,12686,785,109,4071,345,362,433,332,1950,3401,531,386,1483,1020,1829,12060.0
2013-2017,"B15002_13_some_college,_1_or_more_years,_no_degree",2902,4947,863,5503,12916,12898,33453,7129,1106,32706,6162,5018,8250,40547,40166,1242,486,10510,438,854,989,992,5133,7741,1808,906,3866,2722,3812,12060.0
2013-2017,B15002_14_associate's_degree,1967,2332,331,1440,5093,5118,14870,3063,401,12799,2566,2697,4263,16431,22417,497,198,4894,271,336,244,384,1922,3035,735,481,1809,1283,2118,12060.0
2013-2017,B15002_15_bachelor's_degree,2729,4220,509,4132,19112,8867,69655,9266,1640,55282,6590,10497,22620,95914,63052,650,232,11161,254,586,400,756,3676,6958,1899,508,4808,1720,3969,12060.0
2013-2017,B15002_16_master's_degree,726,1343,145,1279,5398,2284,25616,2715,718,23984,2839,4234,9758,47697,21765,134,100,3469,88,128,203,275,1280,2588,638,111,1129,498,759,12060.0
2013-2017,B15002_17_professional_school_degree,250,408,116,585,1498,634,6634,632,266,8141,747,1247,1389,15202,4829,107,37,913,41,41,29,138,369,535,139,90,273,279,300,12060.0
2013-2017,B15002_18_doctorate_degree,97,150,26,386,914,395,3985,319,73,6386,252,619,1077,6934,4089,119,10,573,28,76,32,32,236,226,90,43,218,257,164,12060.0
2013-2017,B15002_19_female,25300,35101,7733,37318,80855,92528,259128,47709,8498,268277,48543,39183,69849,355274,294133,10141,4014,74846,4890,6126,7901,6579,36354,50910,11221,6311,31500,23002,30986,12060.0
2013-2017,B15002_20_no_schooling_completed,590,408,30,696,523,1763,2120,471,179,4622,548,214,660,2596,5439,198,35,892,134,54,96,48,529,402,98,75,357,363,252,12060.0
2013-2017,B15002_21_nursery_to_4th_grade,240,165,69,170,250,570,1248,123,0,1253,223,65,166,1246,2062,13,21,44,54,0,32,42,99,107,33,18,131,68,144,12060.0
2013-2017,B15002_22_5th_and_6th_grade,221,538,34,470,655,1448,3391,405,100,3398,227,183,705,2189,5144,79,43,269,50,9,88,44,161,190,33,14,239,215,165,12060.0
2013-2017,B15002_23_7th_and_8th_grade,365,645,242,972,607,1757,2861,734,109,2589,700,373,798,3328,5079,322,117,601,150,108,217,120,669,583,290,120,590,514,388,12060.0
2013-2017,B15002_24_9th_grade,519,1167,316,911,640,1471,2733,732,103,2457,498,207,602,3012,3643,281,126,820,65,110,148,130,665,950,289,118,631,574,528,12060.0
2013-2017,B15002_25_10th_grade,568,863,314,1195,1246,2177,2365,1113,175,3958,847,260,729,4412,3354,459,149,1229,203,143,450,100,1035,921,297,123,715,926,855,12060.0
2013-2017,B15002_26_11th_grade,591,829,363,1107,1228,2409,2660,896,265,4190,1313,372,584,6169,4097,450,224,1397,202,254,583,350,1033,605,222,116,650,980,943,12060.0
2013-2017,"B15002_27_12th_grade,_no_diploma",414,691,153,410,1012,1993,2746,770,53,4316,973,308,768,4789,5992,165,55,1003,226,179,165,79,872,545,200,102,556,551,767,12060.0
2013-2017,B15002_28_high_school_graduate_(includes_equivalency),8615,11953,3088,12557,19887,27330,48833,14344,2369,53838,14180,8302,12482,64817,66023,3501,1612,21044,1687,2066,2859,2146,10665,15539,3473,2333,9693,8275,11487,12060.0
2013-2017,"B15002_29_some_college,_less_than_1_year",2466,2507,487,2584,5606,5654,13075,3550,585,11329,2978,2163,4247,14500,15544,595,264,5498,481,450,514,281,2544,3044,793,421,1820,1608,2206,12060.0
2013-2017,"B15002_30_some_college,_1_or_more_years,_no_degree",3849,5686,1137,6113,13722,17651,39696,7674,1434,41286,8098,5491,9253,51120,43018,1765,616,12057,665,853,1317,1071,7211,9252,1848,1301,4537,3060,4791,12060.0
2013-2017,B15002_31_associate's_degree,2243,2542,564,2447,6638,8332,19938,3293,650,19292,4350,3162,5420,24103,29653,575,280,7287,395,584,526,636,3129,5368,919,321,3149,1624,2578,12060.0
2013-2017,B15002_32_bachelor's_degree,3027,4495,660,4559,19224,12796,75504,8766,1586,65972,8102,11314,22895,105766,67986,883,256,13721,285,913,543,915,4779,8643,1580,838,5190,2807,3749,12060.0
2013-2017,B15002_33_master's_degree,1195,1969,154,2207,7314,5635,32070,3718,800,35471,4274,4968,8714,50689,28653,580,130,6897,248,281,265,435,2191,3362,954,265,2457,960,1536,12060.0
2013-2017,B15002_34_professional_school_degree,243,510,77,477,1501,935,6290,674,24,8112,839,1176,1223,10791,4919,245,52,1440,26,63,82,179,397,1012,172,73,383,245,498,12060.0
2013-2017,B15002_35_doctorate_degree,154,133,45,443,802,607,3598,446,66,6194,393,625,603,5747,3527,30,34,647,19,59,16,3,375,387,20,73,402,232,99,12060.0
2013-2017,B19001_1_total,24588,37120,8053,41123,83150,91604,274361,50531,8557,273614,48426,39604,70468,391850,283256,11033,4379,72697,5100,6263,8108,6698,35823,51397,11379,5963,29937,23475,30488,12060.0
2013-2017,"B19001_2_less_than_$10,000",1099,2312,657,3453,3018,6990,12611,2622,543,19018,2649,1150,2318,30170,11851,999,390,3400,566,869,901,474,2172,2426,524,461,1671,2172,1959,12060.0
2013-2017,"B19001_3_$10,000_to_$14,999",1030,1825,512,1845,2083,5491,7548,1823,321,11785,2129,953,1580,18723,8538,824,328,2344,337,450,802,271,1885,1529,602,318,1361,1653,1225,12060.0
2013-2017,"B19001_4_$15,000_to_$19,999",1159,1964,658,2383,3059,5838,8267,1794,461,12497,1960,1090,1507,17377,8863,819,268,2452,210,441,581,291,2283,1946,363,201,1542,1455,1179,12060.0
2013-2017,"B19001_5_$20,000_to_$24,999",1195,2469,529,2679,3130,6389,10149,1953,261,13726,2156,1134,1769,17993,11510,750,316,2958,466,302,762,314,1837,1604,567,260,1597,1589,1486,12060.0
2013-2017,"B19001_6_$25,000_to_$29,999",1089,1831,492,2437,2557,5341,11809,1972,370,13267,1976,1116,1567,17234,13205,595,291,2689,317,418,348,316,1704,1716,445,253,1432,1330,1698,12060.0
2013-2017,"B19001_7_$30,000_to_$34,999",1381,2045,643,2546,3505,5926,11418,2368,328,13899,2987,1338,1814,15951,13894,688,205,3222,206,357,544,327,2216,2850,515,190,1337,1430,1184,12060.0
2013-2017,"B19001_8_$35,000_to_$39,999",1052,1836,579,2285,3047,5408,11852,1946,233,12792,2209,1155,1689,15877,12806,369,163,3899,324,226,329,418,1245,2210,645,414,1393,1301,1331,12060.0
2013-2017,"B19001_9_$40,000_to_$44,999",1659,1851,440,2103,3430,5193,10907,2179,385,13950,2093,1396,2005,17125,13653,596,233,3907,388,330,283,226,1877,2365,507,391,1905,1427,1820,12060.0
2013-2017,"B19001_10_$45,000_to_$49,999",1163,1535,329,2081,2416,5244,11366,1813,417,11965,2275,1387,2335,13567,11941,443,248,2909,245,297,326,281,1829,2178,482,348,1469,802,1307,12060.0
2013-2017,"B19001_11_$50,000_to_$59,999",2337,3315,556,2897,6549,8480,19479,3919,711,21713,4038,2638,4186,28207,24369,634,292,5462,400,533,815,450,2816,5079,889,442,3057,2254,3172,12060.0
2013-2017,"B19001_12_$60,000_to_$74,999",3332,4420,610,4899,8502,10189,28051,5663,926,27666,6034,3847,6262,35205,30916,918,571,9441,494,448,705,797,3859,6409,1475,564,3128,2260,3428,12060.0
2013-2017,"B19001_13_$75,000_to_$99,999",3592,4953,807,4837,12992,10466,35955,7486,1121,31182,6757,5410,9277,40297,41032,1275,522,11811,474,714,950,1073,5008,7944,1557,731,3920,2589,4276,12060.0
2013-2017,"B19001_14_$100,000_to_$124,999",2357,2705,465,3027,9767,5458,28495,5532,934,21227,4659,4490,8787,31991,27750,908,263,7271,271,311,223,465,3283,5134,928,502,2735,1457,2496,12060.0
2013-2017,"B19001_15_$125,000_to_$149,999",778,2063,458,1572,6261,2411,19088,3307,436,13665,2501,3420,6652,20761,18251,413,183,4668,184,280,262,409,1462,4051,664,408,1261,745,1486,12060.0
2013-2017,"B19001_16_$150,000_to_$199,999",881,1070,174,1071,7247,1638,23313,3589,492,15424,2710,4765,8489,25251,18620,609,61,3668,197,181,120,287,1412,2657,723,317,1312,442,1277,12060.0
2013-2017,"B19001_17_$200,000_or_more",484,926,144,1008,5587,1142,24053,2565,618,19838,1293,4315,10231,46121,16057,193,45,2596,21,106,157,299,935,1299,493,163,817,569,1164,12060.0
2013-2017,B19013_1_median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars),56119,52393,39655,46844,75477,44106,72004,67570,62284,55876,59333,84861,96445,61336,64496,43663,44897,64752,42067,41157,36368,59572,52784,63669,61542,52377,54175,42398,55876,12060.0
2013-2017,B25001_1_total,27464,40380,9357,45097,87941,105058,295227,52929,10914,307776,52184,41747,74692,456265,302157,12382,5181,78971,6347,7558,9980,7606,38713,54395,13844,6878,33421,27178,33041,12060.0
2013-2017,B25003_1_total,24588,37120,8053,41123,83150,91604,274361,50531,8557,273614,48426,39604,70468,391850,283256,11033,4379,72697,5100,6263,8108,6698,35823,51397,11379,5963,29937,23475,30488,12060.0
2013-2017,B25003_2_owner_occupied,17930,24293,5628,26355,63549,46220,176516,36672,6827,147910,31884,32077,59379,201145,188529,7535,3046,52337,3747,4339,5533,5003,24729,39939,8825,4968,20520,14404,22243,12060.0
2013-2017,B25003_3_renter_occupied,6658,12827,2425,14768,19601,45384,97845,13859,1730,125704,16542,7527,11089,190705,94727,3498,1333,20360,1353,1924,2575,1695,11094,11458,2554,995,9417,9071,8245,12060.0
2013-2017,B25024_1_total,27464,40380,9357,45097,87941,105058,295227,52929,10914,307776,52184,41747,74692,456265,302157,12382,5181,78971,6347,7558,9980,7606,38713,54395,13844,6878,33421,27178,33041,12060.0
2013-2017,"B25024_2_1,_detached",22935,28856,7316,33192,72159,67548,194681,43956,8981,173465,40174,35524,63917,220644,221449,8737,3196,65051,4525,5579,7375,6084,32327,49111,10659,5748,25505,20723,27238,12060.0
2013-2017,"B25024_3_1,_attached",364,1295,47,860,3818,4866,25104,1187,147,20500,1626,1213,4288,27739,16424,95,21,1444,46,18,102,21,576,751,287,46,861,584,755,12060.0
2013-2017,B25024_4_2,677,919,191,985,455,1170,2297,653,35,3525,750,401,185,7454,3653,395,119,255,133,319,72,186,1042,518,166,58,1122,1081,1147,12060.0
2013-2017,B25024_5_3_or_4,340,823,221,1163,827,3693,6058,699,210,13058,1057,571,412,16621,5862,301,145,946,55,179,46,153,693,428,106,71,1400,887,342,12060.0
2013-2017,B25024_6_5_to_9,330,949,327,1869,978,11492,16041,1316,160,27488,1723,1078,456,39191,15262,253,28,2280,50,172,93,33,525,828,218,103,1967,864,582,12060.0
2013-2017,B25024_7_10_to_19,171,1150,123,1127,2553,7200,23676,1399,133,29166,2523,694,689,50877,19778,73,7,1835,13,84,28,0,597,512,241,15,1045,425,167,12060.0
2013-2017,B25024_8_20_to_49,158,1030,51,522,2536,4383,14074,1098,0,17751,1750,529,688,23021,8435,93,35,3681,9,29,147,33,462,230,92,26,383,305,98,12060.0
2013-2017,B25024_9_50_or_more,44,221,0,466,1147,1611,9055,893,47,21260,405,681,677,68187,6648,65,15,615,0,0,104,7,311,157,16,0,157,286,59,12060.0
2013-2017,B25024_10_mobile_home,2445,5109,1029,4910,3468,3061,4162,1673,1189,1512,2176,1006,3332,2353,4445,2370,1573,2851,1516,1178,2013,1087,2102,1844,2053,811,981,2012,2499,12060.0
2013-2017,"B25024_11_boat,_rv,_van,_etc.",0,28,52,3,0,34,79,55,12,51,0,50,48,178,201,0,42,13,0,0,0,2,78,16,6,0,0,11,154,12060.0
2013-2017,B25077_1_median_value_(dollars),134300,140500,121500,119600,220200,89400,219700,190700,202300,176000,140100,255300,301100,268900,185200,117000,100500,154900,119700,132400,91300,208200,123300,150400,185700,162000,148600,112400,164700,12060.0
2013-2017,B25034_1_total,27464,40380,9357,45097,87941,105058,295227,52929,10914,307776,52184,41747,74692,456265,302157,12382,5181,78971,6347,7558,9980,7606,38713,54395,13844,6878,33421,27178,33041,12060.0
2013-2017,B25034_2_built_2014_or_later,578,178,19,20,2558,430,2791,867,226,2153,198,423,2888,6430,3200,0,29,881,11,71,0,30,192,842,32,37,127,154,202,12060.0
2013-2017,B25034_3_built_2010_to_2013,484,396,94,368,2942,734,6159,1791,204,4488,903,751,4904,13289,6532,240,17,1517,88,97,173,79,417,803,184,172,191,527,559,12060.0
2013-2017,B25034_4_built_2000_to_2009,10130,9756,2031,12061,31069,25091,55061,16728,3793,54680,17632,8511,30525,107124,84418,2365,767,33206,1834,1575,1780,2008,14520,22950,4586,2287,6643,4433,8889,12060.0
2013-2017,B25034_5_built_1990_to_1999,6574,12183,2070,8899,22408,17808,66473,13910,3165,44539,9560,11764,21526,80271,89502,2582,1080,23503,1183,1485,1958,1575,9393,16435,3924,1286,9568,4944,10057,12060.0
2013-2017,B25034_6_built_1980_to_1989,3735,6562,1228,7651,15308,19161,74706,7376,1736,49904,8135,11759,7677,66637,69953,1801,1245,9980,1115,681,1599,1055,4953,6402,1781,899,8650,3613,6360,12060.0
2013-2017,B25034_7_built_1970_to_1979,2514,4917,1617,5853,7954,21598,48237,4794,789,54759,8586,6149,3676,52524,31941,1894,799,4770,692,1264,1057,1000,3801,3300,1271,834,5750,4805,2967,12060.0
2013-2017,B25034_8_built_1960_to_1969,1437,2540,822,3167,2214,13328,22892,2164,477,46732,3770,1322,1759,48338,9508,1351,419,2388,434,701,1196,693,1897,1281,691,439,1578,2950,1693,12060.0
2013-2017,B25034_9_built_1950_to_1959,995,1380,383,2210,1574,4594,12492,2171,252,28492,1887,389,753,35256,4420,847,261,1184,441,628,652,468,1552,954,455,145,510,2636,970,12060.0
2013-2017,B25034_10_built_1940_to_1949,367,1215,228,1504,689,1204,2885,1040,100,10655,845,137,376,16478,1148,731,293,516,130,310,397,136,615,723,415,143,84,1731,373,12060.0
2013-2017,B25034_11_built_1939_or_earlier,650,1253,865,3364,1225,1110,3531,2088,172,11374,668,542,608,29918,1535,571,271,1026,419,746,1168,562,1373,705,505,636,320,1385,971,12060.0
2013-2017,B25127_1_total,24588,37120,8053,41123,83150,91604,274361,50531,8557,273614,48426,39604,70468,391850,283256,11033,4379,72697,5100,6263,8108,6698,35823,51397,11379,5963,29937,23475,30488,12060.0
2013-2017,B25127_2_owner_occupied,17930,24293,5628,26355,63549,46220,176516,36672,6827,147910,31884,32077,59379,201145,188529,7535,3046,52337,3747,4339,5533,5003,24729,39939,8825,4968,20520,14404,22243,12060.0
2013-2017,B25127_3_built_2010_or_later,782,309,92,231,3961,741,5779,2233,115,2472,550,831,6540,6349,6375,94,46,1541,43,97,149,109,361,1368,133,158,318,413,490,12060.0
2013-2017,"B25127_4_1,_detached__or_attached",772,281,41,202,3763,741,5671,2126,115,2336,550,831,6487,5556,6336,94,34,1541,37,41,149,100,354,1368,111,138,318,382,490,12060.0
2013-2017,B25127_5_2_to_4,0,0,0,0,0,0,23,0,0,24,0,0,42,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_6_5_to_19,0,0,0,0,0,0,46,0,0,78,0,0,0,171,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_7_20_to_49,0,0,0,0,0,0,7,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_8_50_or_more,0,0,0,0,0,0,32,0,0,8,0,0,0,403,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",10,28,51,29,198,0,0,107,0,9,0,0,11,12,12,0,12,0,6,56,0,9,7,0,22,20,0,31,0,12060.0
2013-2017,B25127_10_built_2000_to_2009,7844,6467,1607,7771,23396,13227,37847,12268,2718,25010,11501,6681,25499,47955,58496,1641,582,22879,1195,1098,1120,1520,10341,17717,3084,1908,5195,3167,7632,12060.0
2013-2017,"B25127_11_1,_detached__or_attached",7718,5962,1517,7345,22996,12759,35959,12112,2613,22171,11330,6479,25116,39429,57471,1357,425,22817,1091,1017,1017,1370,10300,17584,2805,1886,5125,3063,7458,12060.0
2013-2017,B25127_12_2_to_4,0,91,0,0,80,61,405,51,0,293,20,12,82,688,133,9,0,0,0,0,3,0,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_13_5_to_19,0,0,0,115,43,116,370,0,0,814,27,58,73,1288,154,41,0,14,0,0,0,0,0,0,0,0,0,0,10,12060.0
2013-2017,B25127_14_20_to_49,0,124,0,0,19,0,265,0,0,389,0,0,0,732,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_15_50_or_more,0,0,0,0,16,0,450,0,35,1279,15,0,18,5645,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12060.0
2013-2017,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",126,290,90,311,242,291,398,105,70,64,109,132,210,173,720,234,157,48,104,81,100,143,41,133,279,22,70,104,164,12060.0
2013-2017,B25127_17_built_1980_to_1999,6442,11710,1955,9850,27742,16100,84476,15353,3132,41567,10717,18617,22972,70826,95427,3041,1406,22075,1444,1377,2141,1624,8974,16583,3917,1542,9393,4823,10679,12060.0
2013-2017,"B25127_18_1,_detached__or_attached",5577,10062,1647,8334,26838,15168,80903,14878,2916,38772,10279,18135,22041,63032,92849,2222,882,20909,879,1114,1584,1213,8072,15792,3161,1257,9110,4146,9968,12060.0
2013-2017,B25127_19_2_to_4,7,14,0,33,0,79,489,7,0,556,19,31,0,936,468,0,0,0,0,0,10,0,28,0,0,0,44,0,0,12060.0
2013-2017,B25127_20_5_to_19,0,0,0,24,17,56,1502,0,0,1096,0,95,53,2287,426,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12060.0
2013-2017,B25127_21_20_to_49,0,0,0,0,8,52,69,14,0,390,0,24,0,1059,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_22_50_or_more,0,0,0,0,0,20,224,0,0,368,0,19,28,2943,26,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",858,1634,308,1459,879,725,1289,454,216,385,419,313,850,569,1581,819,524,1158,565,263,547,411,874,791,756,285,239,677,696,12060.0
2013-2017,B25127_24_built_1960_to_1979,2047,3951,1190,5143,6759,13249,38636,4213,576,47617,7124,5355,3418,38037,24888,1733,618,4278,590,882,1084,1085,3274,2946,942,858,4977,3966,2420,12060.0
2013-2017,"B25127_25_1,_detached__or_attached",1857,3436,1061,4741,6565,13008,37567,4066,430,45303,6838,5197,2994,33727,24386,1516,411,3960,553,869,855,1011,2998,2789,797,765,4837,3706,2257,12060.0
2013-2017,B25127_26_2_to_4,0,103,1,0,42,35,156,0,0,1011,27,31,11,675,75,0,13,0,0,0,0,0,28,18,0,0,0,8,0,12060.0
2013-2017,B25127_27_5_to_19,0,0,0,19,0,82,289,0,0,938,0,17,0,2339,127,0,0,0,0,0,0,0,47,0,0,0,10,0,0,12060.0
2013-2017,B25127_28_20_to_49,0,13,0,0,0,0,11,0,0,37,0,0,10,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_29_50_or_more,0,0,0,0,0,6,55,0,0,142,0,0,6,849,28,0,0,14,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",190,399,128,383,152,118,558,147,146,186,259,110,397,147,272,217,194,304,37,13,229,74,201,139,145,93,130,252,163,12060.0
2013-2017,B25127_31_built_1940_to_1959,455,1232,295,1739,1073,2543,8125,1710,247,23621,1532,266,671,22949,2509,798,251,952,215,387,544,353,1191,1111,460,126,404,1454,576,12060.0
2013-2017,"B25127_32_1,_detached__or_attached",455,1216,294,1739,1041,2509,8065,1685,214,22982,1449,266,638,21730,2456,740,251,908,206,387,518,338,1191,1111,460,126,355,1398,573,12060.0
2013-2017,B25127_33_2_to_4,0,8,0,0,0,9,41,25,0,260,0,0,23,358,9,0,0,16,0,0,0,0,0,0,0,0,5,56,0,12060.0
2013-2017,B25127_34_5_to_19,0,0,0,0,13,5,0,0,0,254,0,0,0,242,44,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_35_20_to_49,0,0,0,0,0,0,0,0,0,44,0,0,10,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_36_50_or_more,0,0,0,0,0,11,0,0,0,60,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",0,8,1,0,19,9,19,0,33,21,83,0,0,28,0,58,0,28,9,0,26,0,0,0,0,0,44,0,3,12060.0
2013-2017,B25127_38_built_1939_or_earlier,360,624,489,1621,618,360,1653,895,39,7623,460,327,279,15029,834,228,143,612,260,498,495,312,588,214,289,376,233,581,446,12060.0
2013-2017,"B25127_39_1,_detached__or_attached",352,613,487,1584,589,332,1624,855,39,7412,460,327,271,12941,824,228,143,612,260,498,495,310,588,214,289,376,233,581,427,12060.0
2013-2017,B25127_40_2_to_4,0,11,0,11,0,28,15,0,0,152,0,0,0,308,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_41_5_to_19,8,0,0,0,0,0,14,0,0,22,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_42_20_to_49,0,0,0,0,0,0,0,0,0,14,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_43_50_or_more,0,0,0,0,0,0,0,0,0,12,0,0,8,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,"B25127_44_mobile_home,_boat,_rv,_van,_etc.",0,0,2,26,29,0,0,40,0,11,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,19,12060.0
2013-2017,B25127_45_renter_occupied,6658,12827,2425,14768,19601,45384,97845,13859,1730,125704,16542,7527,11089,190705,94727,3498,1333,20360,1353,1924,2575,1695,11094,11458,2554,995,9417,9071,8245,12060.0
2013-2017,B25127_46_built_2010_or_later,220,244,0,157,1083,423,2531,361,217,3742,551,343,932,10726,2808,120,0,801,56,71,16,0,248,277,54,51,0,187,225,12060.0
2013-2017,"B25127_47_1,_detached__or_attached",79,34,0,15,348,187,393,245,29,272,167,71,445,959,1076,17,0,402,25,0,16,0,91,256,0,0,0,73,159,12060.0
2013-2017,B25127_48_2_to_4,77,0,0,20,38,53,94,0,69,128,77,140,46,382,90,0,0,0,22,55,0,0,51,6,0,0,0,55,0,12060.0
2013-2017,B25127_49_5_to_19,46,86,0,39,182,114,547,47,98,730,147,39,170,2008,1008,94,0,245,0,16,0,0,0,1,0,51,0,59,30,12060.0
2013-2017,B25127_50_20_to_49,18,65,0,8,242,0,263,15,0,468,126,0,81,1012,268,9,0,70,9,0,0,0,0,0,0,0,0,0,17,12060.0
2013-2017,B25127_51_50_or_more,0,33,0,34,253,69,1158,54,8,2144,34,93,190,6332,347,0,0,84,0,0,0,0,104,14,0,0,0,0,0,12060.0
2013-2017,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",0,26,0,41,20,0,76,0,13,0,0,0,0,33,19,0,0,0,0,0,0,0,2,0,54,0,0,0,19,12060.0
2013-2017,B25127_53_built_2000_to_2009,1615,2574,141,3296,6256,9492,13696,3859,325,23329,5043,1475,3905,43063,20944,553,126,7467,249,325,317,353,3264,4048,644,135,1068,967,855,12060.0
2013-2017,"B25127_54_1,_detached__or_attached",1477,1250,115,1565,3769,4653,6181,1993,223,6336,2225,545,2887,9875,10587,400,60,3247,209,124,223,257,2690,3085,339,103,669,705,605,12060.0
2013-2017,B25127_55_2_to_4,44,341,0,350,251,355,668,94,10,1172,389,82,63,2322,593,50,0,264,13,74,10,32,95,298,69,0,180,26,117,12060.0
2013-2017,B25127_56_5_to_19,8,359,11,914,1051,2341,3406,782,11,5009,1896,363,344,10849,5576,0,0,1762,0,40,19,0,207,481,108,13,140,166,77,12060.0
2013-2017,B25127_57_20_to_49,0,347,15,166,768,1410,1742,569,0,3754,335,185,265,3542,1985,0,0,1934,0,13,33,8,194,89,32,0,34,0,0,12060.0
2013-2017,B25127_58_50_or_more,0,64,0,124,312,343,1574,263,0,6991,138,254,157,16246,1651,0,0,230,0,0,26,0,24,76,0,0,45,0,29,12060.0
2013-2017,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",86,213,0,177,105,390,125,158,81,67,60,46,189,229,552,103,66,30,27,74,6,56,54,19,96,19,0,70,27,12060.0
2013-2017,B25127_60_built_1980_to_1999,2654,5634,904,5435,8331,16381,49015,5000,765,43338,5518,3849,4339,62186,53906,873,685,9191,422,498,862,526,4400,5074,941,413,6138,2896,4548,12060.0
