index,24009,24017,24021,24031,24033,11001,51013,51043,51047,51059,51061,51107,51153,51157,51177,51179,51187,51510,51600,51610,51630,51683,51685,54037,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,md,md,md,md,md,dc,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv,2008-2012
B01001_23_75_to_79_years,654,992,2051,9139,6174,5107,1197,278,430,8279,563,1690,2012,95,873,703,352,861,177,95,156,201,66,474,2008-2012
B01001_24_80_to_84_years,471,621,1352,6382,3509,3497,883,101,334,5655,640,1119,874,120,727,384,262,560,236,87,103,77,26,349,2008-2012
B01001_25_85_years_and_over,418,435,1001,6692,2351,2759,969,41,197,4023,182,488,861,23,365,240,188,729,117,38,126,104,0,185,2008-2012
B01001_26_female,45005,76046,119022,506587,450267,319332,104790,7134,23294,548154,33138,159431,203293,3796,62576,64383,18952,72772,11566,6443,13270,19001,7327,26952,2008-2012
B01001_27_under_5_years,2357,4584,7270,31274,28856,17053,5816,351,1624,35708,1789,13495,16325,165,4016,4265,1178,4961,582,382,770,1535,625,1527,2008-2012
B01001_28_5_to_9_years,3212,4858,7931,31360,26527,13460,4969,431,1815,35236,2545,14247,15885,256,4533,4941,1393,3451,567,364,642,1556,707,1801,2008-2012
B01001_29_10_to_14_years,3412,5683,8367,31701,27997,12466,3268,516,1639,34966,2191,12581,15468,175,4879,5472,1225,2039,591,469,577,1160,454,1628,2008-2012
B01001_30_15_to_17_years,2311,3820,5118,19832,17662,8519,2119,348,983,21323,1450,6784,9037,144,3028,3541,729,1467,490,307,263,1051,317,1085,2008-2012
B01001_31_18_and_19_years,1066,1909,2999,9628,14363,13882,1379,92,530,11602,797,2832,4855,67,1528,1801,440,739,143,91,989,454,166,858,2008-2012
B01001_32_20_years,500,976,1385,4269,6805,6577,782,19,233,5577,279,1047,2116,0,683,712,259,595,130,52,617,329,158,363,2008-2012
B01001_33_21_years,427,799,1718,4333,7792,5847,648,50,126,5812,246,923,2558,91,575,758,215,780,182,142,668,142,15,522,2008-2012
B01001_34_22_to_24_years,1343,2625,3653,17878,18915,19886,7431,210,687,17966,1013,4388,7271,29,2213,2185,571,3058,459,136,1138,966,314,964,2008-2012
B01001_35_25_to_29_years,2226,4399,6919,33564,32794,37314,16970,261,1351,39335,1524,9815,14421,207,3710,3789,1065,9453,1041,497,1217,1346,680,1440,2008-2012
B01001_36_30_to_34_years,2342,4619,7150,34528,31839,29138,12031,358,1573,39687,1735,13380,15916,120,4108,3955,1228,8563,700,434,924,1515,674,1606,2008-2012
B01001_37_35_to_39_years,2867,5952,7971,36400,32177,22627,8508,395,1698,40579,2049,14656,16886,209,4503,4528,1116,6661,821,353,720,1483,607,1863,2008-2012
B01001_38_40_to_44_years,3762,6788,9820,37814,33329,18134,7340,576,1521,43795,2680,15313,16431,293,5004,5824,1438,5602,823,496,556,1223,734,2171,2008-2012
B01001_39_45_to_49_years,4319,7047,10405,40718,35219,18981,6527,611,1845,45350,3054,13763,16453,284,5237,6082,1631,4713,804,477,736,1484,393,2181,2008-2012
B01001_40_50_to_54_years,3976,5672,9328,39646,33629,19068,6129,593,1770,43753,2824,10601,14152,304,4607,4862,1451,4695,862,618,744,1330,414,2010,2008-2012
B01001_41_55_to_59_years,2874,4552,7278,34627,30275,17910,6136,587,1358,37087,2179,7870,10520,299,3844,3705,1313,4496,874,398,575,996,263,2063,2008-2012
B01001_42_60_and_61_years,1088,1745,3116,13709,10730,7223,1986,224,647,13837,847,2566,4312,145,1530,1144,392,1828,214,228,366,341,149,568,2008-2012
B01001_43_62_to_64_years,1534,2110,3585,15189,13062,9930,2469,250,855,17310,1300,3335,5042,221,1682,1480,646,2128,433,260,219,443,117,850,2008-2012
B01001_44_65_and_66_years,971,1096,1713,8829,7901,5259,1531,171,516,9043,669,1833,2402,56,1136,761,436,1063,148,95,138,93,66,595,2008-2012
B01001_45_67_to_69_years,771,1528,2577,11018,9364,6624,1665,294,533,10283,945,2373,3496,146,1210,965,276,1498,370,112,188,367,115,617,2008-2012
B01001_46_70_to_74_years,1111,1909,3298,14616,11164,8932,2136,163,642,13810,1006,2581,3859,269,1457,1475,765,1471,380,199,368,375,116,773,2008-2012
B01001_47_75_to_79_years,1000,1182,2377,12045,8728,7169,1863,287,508,10259,714,1843,2502,65,1095,796,441,1224,274,114,242,238,181,463,2008-2012
B01001_48_80_to_84_years,741,1101,2384,10133,5479,6032,1213,182,379,7434,728,1572,1490,113,1009,672,405,1030,376,62,236,329,34,425,2008-2012
B01001_49_85_years_and_over,795,1092,2660,13476,5660,7301,1874,165,461,8402,574,1633,1896,138,989,670,339,1257,302,157,377,245,28,579,2008-2012
B02001_1_total,88774,147107,234268,974824,865443,605759,209077,14143,46894,1083770,65495,314980,404011,7440,122854,129446,37567,140337,22712,12300,24932,37943,14409,53545,2008-2012
B02001_2_white_alone,72392,75096,193183,560968,188843,239413,149199,12805,36090,691090,57199,220871,242288,6857,92339,92277,34487,89211,16371,9533,16220,27524,8849,47187,2008-2012
B02001_3_black_or_african_american_alone,12187,59877,20261,167316,555713,309263,17742,799,7027,99298,5393,23431,80814,372,19432,22393,1477,30599,1079,634,5850,5410,1876,3342,2008-2012
B02001_4_american_indian_and_alaska_native_alone,179,1320,948,3282,2526,2143,824,49,69,4623,32,630,1400,33,378,740,121,552,137,8,102,18,93,45,2008-2012
B02001_5_asian_alone,1114,4832,9129,136409,35833,21440,20085,140,746,190824,896,46369,30258,9,2954,3419,262,8462,3578,1212,624,1495,1098,745,2008-2012
B02001_6_native_hawaiian_and_other_pacific_islander_alone,0,35,136,221,441,312,142,0,66,934,20,107,359,0,193,168,42,143,32,0,3,0,0,0,2008-2012
B02001_7_some_other_race_alone,704,1295,4426,70481,59409,20652,13954,131,1322,53010,363,12007,29503,37,5081,6150,182,5992,776,602,1434,1851,1579,627,2008-2012
B02001_8_two_or_more_races,2198,4652,6185,36147,22678,12536,7131,219,1574,43991,1592,11565,19389,132,2477,4299,996,5378,739,311,699,1645,914,1599,2008-2012
B02001_9_two_races_including_some_other_race,61,380,787,7496,3937,1635,1696,28,243,8597,123,1701,2798,45,263,819,30,1041,53,17,36,486,299,171,2008-2012
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",2137,4272,5398,28651,18741,10901,5435,191,1331,35394,1469,9864,16591,87,2214,3480,966,4337,686,294,663,1159,615,1428,2008-2012
B11001_1_total,30916,50845,85559,357579,302683,261192,92992,5580,15826,388452,23031,104195,129643,3276,41380,41204,14349,64729,8519,4857,9705,12011,4277,19824,2008-2012
B11001_2_family_households,23470,37970,61941,244586,199652,109643,41738,4069,11841,275386,17150,80849,100266,2162,33054,33418,9907,30415,5854,3073,4896,8891,3249,13939,2008-2012
B11001_3_married-couple_family,18599,27395,49734,190711,117854,58132,33442,3459,9382,226475,14221,68060,77536,1861,25585,27373,7697,22758,4818,2577,3065,6509,2312,11136,2008-2012
B11001_4_other_family,4871,10575,12207,53875,81798,51511,8296,610,2459,48911,2929,12789,22730,301,7469,6045,2210,7657,1036,496,1831,2382,937,2803,2008-2012
"B11001_5_male_householder,_no_wife_present",1457,2495,3547,13816,20187,9470,2709,191,698,14675,930,3873,6783,119,2021,1847,654,2120,401,119,363,766,183,795,2008-2012
"B11001_6_female_householder,_no_husband_present",3414,8080,8660,40059,61611,42041,5587,419,1761,34236,1999,8916,15947,182,5448,4198,1556,5537,635,377,1468,1616,754,2008,2008-2012
B11001_7_nonfamily_households,7446,12875,23618,112993,103031,151549,51254,1511,3985,113066,5881,23346,29377,1114,8326,7786,4442,34314,2665,1784,4809,3120,1028,5885,2008-2012
B11001_8_householder_living_alone,6255,10794,18956,92197,83726,121307,37857,1051,3234,90121,4770,18290,22909,907,6687,6337,3387,28299,1773,1555,3902,2541,862,4486,2008-2012
B11001_9_householder_not_living_alone,1191,2081,4662,20796,19305,30242,13397,460,751,22945,1111,5056,6468,207,1639,1449,1055,6015,892,229,907,579,166,1399,2008-2012
B15002_1_total,58491,95518,155400,667634,559319,417432,156384,10090,31288,737351,44318,200381,252907,5541,78618,79969,25441,106444,15909,8342,14399,23306,8868,35617,2008-2012
B15002_2_male,28114,44726,74819,311322,257969,195790,78006,4973,15631,357387,21490,97247,123129,2672,37497,39261,12499,50762,7487,3842,6793,11498,4297,17413,2008-2012
B15002_3_no_schooling_completed,128,154,537,3764,3971,2612,1030,23,155,3968,131,916,1333,0,208,168,97,381,54,0,30,206,98,133,2008-2012
B15002_4_nursery_to_4th_grade,62,242,143,3283,5023,1816,572,0,82,2880,57,427,1031,27,42,38,36,566,9,0,73,391,14,75,2008-2012
B15002_5_5th_and_6th_grade,149,235,806,5616,8662,2423,690,35,266,5171,238,1108,2594,39,250,211,147,666,80,63,8,497,318,275,2008-2012
B15002_6_7th_and_8th_grade,439,497,856,3197,4729,3419,751,124,722,3739,368,764,1839,180,716,498,412,561,22,17,82,264,115,625,2008-2012
B15002_7_9th_grade,345,547,767,3408,6427,3367,509,103,357,3778,206,734,2307,105,461,538,325,666,36,54,86,114,189,390,2008-2012
B15002_8_10th_grade,596,607,1192,2403,4121,3563,545,93,753,2489,400,644,2129,79,1007,613,378,409,18,9,62,232,24,639,2008-2012
B15002_9_11th_grade,511,1179,1122,2696,5737,4830,648,153,476,2973,251,636,1672,78,1104,916,361,639,66,19,146,186,124,464,2008-2012
"B15002_10_12th_grade,_no_diploma",394,666,1005,4343,4982,2966,774,48,330,4685,314,815,1732,21,517,535,196,471,160,6,113,281,82,109,2008-2012
"B15002_11_high_school_graduate,_ged,_or_alternative",9243,14248,19715,40726,73595,36774,6596,1402,5274,42854,5908,12769,26090,711,11910,9829,4775,6188,869,206,2176,3207,1213,5456,2008-2012
"B15002_12_some_college,_less_than_1_year",2111,3588,4662,10658,13973,5886,1450,412,1054,11186,1799,3691,6568,172,2650,2457,924,1658,225,99,425,559,270,866,2008-2012
"B15002_13_some_college,_1_or_more_years,_no_degree",4529,8092,10325,34360,41424,20384,5141,770,1684,39182,3099,11201,19936,242,4850,5773,1266,5506,1133,263,978,1781,673,2238,2008-2012
B15002_14_associate's_degree,1517,3007,4755,12907,13829,5176,2784,287,1090,15568,1506,5012,8300,82,2444,2560,803,2176,550,81,309,637,291,1047,2008-2012
B15002_15_bachelor's_degree,4547,7386,17595,80468,42236,45079,26197,881,2122,104659,4057,33749,26750,442,6841,8422,1800,14968,2056,1170,1123,1981,651,3377,2008-2012
B15002_16_master's_degree,2625,3382,7857,52544,20156,30586,18695,361,900,78487,2241,19765,16542,237,3268,5598,674,10444,1614,1255,916,879,187,1073,2008-2012
B15002_17_professional_school_degree,465,397,1500,25849,4173,18134,7880,204,239,20518,552,2960,2450,133,747,620,178,3618,364,424,146,178,23,314,2008-2012
B15002_18_doctorate_degree,453,499,1982,25100,4931,8775,3744,77,127,15250,363,2056,1856,124,482,485,127,1845,231,176,120,105,25,332,2008-2012
B15002_19_female,30377,50792,80581,356312,301350,221642,78378,5117,15657,379964,22828,103134,129778,2869,41121,40708,12942,55682,8422,4500,7606,11808,4571,18204,2008-2012
B15002_20_no_schooling_completed,148,241,564,4650,4246,2602,1315,27,138,4795,19,948,1800,0,288,220,221,370,30,56,2,257,48,122,2008-2012
B15002_21_nursery_to_4th_grade,5,192,181,3570,3662,1764,504,0,54,2890,53,517,845,17,183,78,23,313,113,9,87,171,26,32,2008-2012
B15002_22_5th_and_6th_grade,115,263,889,5068,6002,2377,574,23,260,6082,80,1279,2230,42,266,88,101,714,112,50,81,493,174,123,2008-2012
B15002_23_7th_and_8th_grade,222,542,857,3570,4810,3062,806,89,440,4062,490,956,1698,116,582,274,393,645,12,6,157,324,152,339,2008-2012
B15002_24_9th_grade,148,293,626,3347,4383,3155,450,39,268,3415,266,693,1909,32,703,559,247,431,40,0,100,149,125,396,2008-2012
B15002_25_10th_grade,313,757,1222,3166,4100,4318,640,139,456,3080,497,842,1700,140,620,482,392,658,86,11,139,186,143,451,2008-2012
B15002_26_11th_grade,601,1149,1160,2766,5479,6241,614,108,245,2488,374,703,1774,95,1215,535,421,724,196,0,248,223,116,524,2008-2012
"B15002_27_12th_grade,_no_diploma",337,494,827,4967,4472,3521,858,80,152,5394,262,1159,1581,19,526,529,115,672,152,9,162,164,39,206,2008-2012
"B15002_28_high_school_graduate,_ged,_or_alternative",9837,15208,20811,53609,78986,42800,7586,1449,5187,55462,6437,15191,28253,782,12404,10784,4948,7240,1304,679,2139,3073,1360,5906,2008-2012
"B15002_29_some_college,_less_than_1_year",2634,4655,5809,14913,18546,8319,1939,329,1432,14903,1853,4632,9152,163,3172,3036,979,2269,400,122,498,923,254,1322,2008-2012
"B15002_30_some_college,_1_or_more_years,_no_degree",4104,9045,11173,39148,53448,25278,5140,804,2092,44603,3474,12262,20840,384,6337,6921,1753,5548,1155,394,1020,1579,577,2612,2008-2012
B15002_31_associate's_degree,2767,4200,7163,21592,19509,7030,3047,409,1345,22639,2054,6527,10208,123,3354,3954,859,2582,624,117,482,915,490,1357,2008-2012
B15002_32_bachelor's_degree,5708,8622,17778,97144,54322,48884,27391,1076,2387,119824,4527,36260,30637,573,7203,8837,1512,17904,2791,1343,1732,2194,674,2691,2008-2012
B15002_33_master's_degree,2719,4324,9199,66505,31252,38694,19546,445,961,69155,1996,17736,14519,246,3689,3817,812,10589,943,1243,642,976,306,1806,2008-2012
B15002_34_professional_school_degree,537,449,1165,17861,4636,15973,5778,64,205,14025,285,2208,1758,49,435,317,96,3644,312,337,45,163,37,208,2008-2012
B15002_35_doctorate_degree,182,358,1157,14436,3497,7624,2190,36,35,7147,161,1221,874,88,144,277,70,1379,152,124,72,18,50,109,2008-2012
B19001_1_total,30916,50845,85559,357579,302683,261192,92992,5580,15826,388452,23031,104195,129643,3276,41380,41204,14349,64729,8519,4857,9705,12011,4277,19824,2008-2012
"B19001_2_less_than_$10,000",739,1955,2767,11651,11579,27304,3108,239,475,8964,653,1394,2964,126,1307,941,800,2366,165,96,1032,585,60,841,2008-2012
"B19001_3_$10,000_to_$14,999",642,973,2220,7403,7327,11975,1843,174,743,5228,515,922,1781,188,1044,693,754,1402,190,68,495,222,220,784,2008-2012
"B19001_4_$15,000_to_$19,999",677,1019,1968,7596,7385,9726,1857,150,683,6690,509,1181,1932,161,1254,729,611,1395,116,65,541,228,62,733,2008-2012
"B19001_5_$20,000_to_$24,999",959,1163,2349,8540,8835,9771,1910,121,587,7047,627,1620,3030,154,1534,816,845,1931,314,54,423,501,64,1063,2008-2012
"B19001_6_$25,000_to_$29,999",517,1107,2614,8697,9568,9231,1874,140,522,7283,724,1076,2889,200,1244,1048,464,1629,165,161,593,428,91,691,2008-2012
"B19001_7_$30,000_to_$34,999",882,1126,3078,9103,12045,9489,1825,192,624,8683,826,1502,3519,105,915,927,494,2106,176,84,472,550,162,1021,2008-2012
"B19001_8_$35,000_to_$39,999",842,1203,2874,10623,10837,9651,2168,178,726,8625,785,1955,3540,192,1500,1257,770,1976,332,113,545,648,100,943,2008-2012
"B19001_9_$40,000_to_$44,999",1009,1540,2731,10685,14309,10683,2375,220,1007,9845,677,2936,3613,135,1525,1315,551,2390,157,135,632,444,203,1000,2008-2012
"B19001_10_$45,000_to_$49,999",809,1399,2674,10613,12010,8606,2001,166,417,9677,841,2150,4126,141,1559,1221,769,2122,300,183,398,270,123,712,2008-2012
"B19001_11_$50,000_to_$59,999",1935,3710,5974,22745,26640,16914,5023,367,1572,21193,1113,4776,8954,313,2904,2732,914,4836,760,172,823,1178,698,1556,2008-2012
"B19001_12_$60,000_to_$74,999",3025,4772,8597,31188,33707,21497,8362,737,1607,31246,2245,7779,11708,309,4384,3656,1693,6533,698,384,840,1449,438,2064,2008-2012
"B19001_13_$75,000_to_$99,999",4578,7593,12668,44451,45920,29172,13125,836,2363,50323,3483,12972,19683,423,6951,6260,2203,8860,925,485,1021,1600,807,3040,2008-2012
"B19001_14_$100,000_to_$124,999",4068,7660,11694,40209,34296,22457,10899,573,1706,45984,3087,13480,15828,201,5140,5081,1286,6976,925,488,716,1102,503,1959,2008-2012
"B19001_15_$125,000_to_$149,999",3311,5183,8036,31079,23619,14978,8450,472,1176,37078,2156,12717,13260,210,3732,4608,857,5230,902,552,404,1265,229,1296,2008-2012
"B19001_16_$150,000_to_$199,999",4273,6296,8742,42665,26688,19794,11686,512,1105,54265,2349,17216,17103,218,4184,5893,844,6556,1039,688,387,860,308,1246,2008-2012
"B19001_17_$200,000_or_more",2650,4146,6573,60331,17918,29944,16486,503,513,76321,2441,20519,15713,200,2203,4027,494,8421,1355,1129,383,681,209,875,2008-2012
B19013_1_median_household_income_in_the_past_12_months_(in_2012_inflation-adjusted_dollars),92395,93063,83706,96985,73568,64267,102459,80186,65567,109383,88687,122068,96160,57837,79402,96355,61693,83996,98563,122844,45951,70634,71810,64314,2008-2012
B25001_1_total,33793,55049,90215,375973,327803,296671,105395,6226,17762,407349,25672,109928,137592,3872,45276,44124,15955,72460,8690,5449,10603,13128,4873,22086,2008-2012
B25003_1_total,30916,50845,85559,357579,302683,261192,92992,5580,15826,388452,23031,104195,129643,3276,41380,41204,14349,64729,8519,4857,9705,12011,4277,19824,2008-2012
B25003_2_owner_occupied,25293,40580,64670,243751,191829,110853,42696,4387,11654,270928,18216,81476,94406,2536,32285,32278,10272,28403,5958,3024,3650,7842,2816,15049,2008-2012
B25003_3_renter_occupied,5623,10265,20889,113828,110854,150339,50296,1193,4172,117524,4815,22719,35237,740,9095,8926,4077,36326,2561,1833,6055,4169,1461,4775,2008-2012
B25024_1_total,33793,55049,90215,375973,327803,296671,105395,6226,17762,407349,25672,109928,137592,3872,45276,44124,15955,72460,8690,5449,10603,13128,4873,22086,2008-2012
"B25024_2_1,_detached",29172,40007,56448,182216,168642,35992,29047,5568,13578,199428,21679,59904,77385,3701,35625,33192,12637,10735,4977,2275,4312,5776,2581,17149,2008-2012
"B25024_3_1,_attached",1923,8688,17896,68403,52399,75976,9877,252,1617,92743,1775,31624,36807,46,3975,5721,1019,16140,1509,769,1210,3877,1400,1319,2008-2012
B25024_4_2,514,369,1469,1773,1785,8518,984,93,95,1429,358,431,584,13,168,148,246,1018,16,35,287,101,8,437,2008-2012
B25024_5_3_or_4,196,980,1460,4616,5771,22667,4008,118,371,4922,217,1036,1494,14,202,345,505,2093,179,61,325,303,9,487,2008-2012
B25024_6_5_to_9,128,1223,2705,19043,23233,18821,6018,78,493,19165,179,3114,3513,10,481,696,333,6569,539,122,735,646,16,535,2008-2012
B25024_7_10_to_19,571,1018,6314,36545,49583,31865,7950,36,563,40192,590,7829,12237,0,828,1472,531,9950,1005,283,1940,1555,261,368,2008-2012
B25024_8_20_to_49,255,911,1269,11653,6011,25615,5208,0,94,13043,207,2425,2164,0,670,849,162,3507,97,171,920,255,197,145,2008-2012
B25024_9_50_or_more,505,960,1702,51069,18789,76877,41930,54,91,33929,235,3121,2344,0,784,436,24,22332,327,1733,849,310,401,172,2008-2012
B25024_10_mobile_home,529,856,933,543,1449,118,362,12,847,2330,432,430,1061,88,2517,1265,498,116,41,0,25,305,0,1474,2008-2012
"B25024_11_boat,_rv,_van,_etc.",0,37,19,112,141,222,11,15,13,168,0,14,3,0,26,0,0,0,0,0,0,0,0,0,2008-2012
B25077_1_median_value_(dollars),368100,320400,316800,455800,289400,443000,577300,348000,265600,480200,363600,448700,330700,417700,264600,309300,231700,475900,465100,645600,323600,247100,233100,223700,2008-2012
B25034_1_total,33793,55049,90215,375973,327803,296671,105395,6226,17762,407349,25672,109928,137592,3872,45276,44124,15955,72460,8690,5449,10603,13128,4873,22086,2008-2012
B25034_2_built_2010_or_later,64,562,389,965,924,590,467,0,37,1123,92,1379,927,9,160,281,87,93,26,10,122,28,0,0,2008-2012
B25034_3_built_2000_to_2009,6183,11584,16714,42624,34765,22470,15782,941,4847,47805,4293,43126,41440,321,10908,12728,2597,7856,817,737,1586,987,1372,4744,2008-2012
B25034_4_built_1990_to_1999,9370,11345,19470,46084,43616,8412,9348,739,2961,62956,3778,31248,24815,629,13851,11301,2691,8255,841,335,728,2306,950,3456,2008-2012
