index,48085,48097,48113,48121,48139,48147,48181,48213,48221,48223,48231,48251,48257,48349,48363,48367,48397,48425,48439,48497,40013,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,ok,2007-2011
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2007-2011
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2007-2011
LOGRECNO,0000055,0000061,0000069,0000073,0000082,0000086,0000103,0000119,0000123,0000124,0000128,0000138,0000141,0000187,0000194,0000196,0000211,0000225,0000232,0000261,0000019,2007-2011
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2007-2011
STATE_FIPS,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,40,2007-2011
GEO_ID,05000US48085,05000US48097,05000US48113,05000US48121,05000US48139,05000US48147,05000US48181,05000US48213,05000US48221,05000US48223,05000US48231,05000US48251,05000US48257,05000US48349,05000US48363,05000US48367,05000US48397,05000US48425,05000US48439,05000US48497,05000US40013,2007-2011
GEO_NAME,"Collin County, Texas","Cooke County, Texas","Dallas County, Texas","Denton County, Texas","Ellis County, Texas","Fannin County, Texas","Grayson County, Texas","Henderson County, Texas","Hood County, Texas","Hopkins County, Texas","Hunt County, Texas","Johnson County, Texas","Kaufman County, Texas","Navarro County, Texas","Palo Pinto County, Texas","Parker County, Texas","Rockwall County, Texas","Somervell County, Texas","Tarrant County, Texas","Wise County, Texas","Bryan County, Oklahoma",2007-2011
B01003_1_total,764424,38344,2348702,648470,146997,33853,119949,78394,50569,34869,85390,149681,101197,47621,27977,114764,76349,8320,1780700,58703,41865,2007-2011
B01001_1_total,764424,38344,2348702,648470,146997,33853,119949,78394,50569,34869,85390,149681,101197,47621,27977,114764,76349,8320,1780700,58703,41865,2007-2011
B01001_2_male,376225,19060,1162869,319114,72561,17937,58428,38519,24975,17294,42401,74988,49791,23504,13747,58164,37362,4062,874271,29654,20484,2007-2011
B01001_3_under_5_years,29980,1401,99350,25457,5648,1060,3953,2439,1436,1280,3013,5481,3792,1754,1026,3672,2817,255,72479,2009,1363,2007-2011
