estimate_year,index,NY_005,NY_027,NY_047,NY_059,NY_061,NY_071,NY_079,NY_081,NY_085,NY_087,NY_103,NY_119,NJ_003,NJ_013,NJ_017,NJ_019,NJ_023,NJ_025,NJ_027,NJ_029,NJ_031,NJ_035,NJ_037,NJ_039,PA_103
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5
2009-2013,STATE,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa
2009-2013,"B11001_5_male_householder,_no_wife_present",36397,4450,52924,18601,23104,5839,1270,52023,7931,4256,22760,14928,13783,17987,15258,1290,13811,9034,5749,8573,10115,3464,2218,10201,1022
2009-2013,"B11001_6_female_householder,_no_husband_present",149004,11652,184908,52878,85043,15340,3446,125602,23214,10241,60326,45471,37707,56860,42065,3794,33190,24861,15194,21488,29517,10888,4779,29466,2157
2009-2013,B11001_7_nonfamily_households,161984,34590,332890,102835,434298,35444,7978,253262,43324,23897,122936,105627,95848,94903,93702,12733,77878,71063,50248,72811,45576,31537,14113,53942,6053
2009-2013,B11001_8_householder_living_alone,141756,28383,262802,87479,352432,29340,6794,204999,37952,20487,101502,92354,82869,81325,71379,10680,64311,60180,42719,63821,39951,26685,11497,46011,5112
2009-2013,B11001_9_householder_not_living_alone,20228,6207,70088,15356,81866,6104,1184,48263,5372,3410,21434,13273,12979,13578,22323,2053,13567,10883,7529,8990,5625,4852,2616,7931,941
2009-2013,B15002_1_total,866898,200358,1680599,920469,1198681,235732,69086,1576805,317916,198598,1011777,649906,639683,517705,449940,88477,549515,432188,342610,399636,326833,223940,102089,362624,40267
2009-2013,B15002_2_male,386828,98470,766155,433299,560248,114088,33826,746727,149846,94501,486420,304052,300869,240960,219136,42666,264226,205107,164096,185926,154908,106326,49828,171492,19692
2009-2013,B15002_3_no_schooling_completed,12983,923,20951,4920,10350,1517,241,18994,2016,1337,6345,3376,3269,3182,4152,451,2990,1613,1131,1818,2635,893,283,2868,152
2009-2013,B15002_4_nursery_to_4th_grade,9217,425,10332,3585,5039,734,137,9855,692,679,3924,3145,1627,3890,3109,92,2080,1076,520,606,2242,337,168,3253,46
2009-2013,B15002_5_5th_and_6th_grade,18129,1145,27987,6922,10666,1302,253,28293,2050,2129,6230,9865,3743,6870,6940,188,3689,1893,1721,1689,4294,924,117,4963,84
2009-2013,B15002_6_7th_and_8th_grade,18244,1238,23292,5921,13625,1325,418,19569,2234,1492,6907,5632,3876,6773,6718,265,5093,2481,1569,2617,5467,919,515,3787,337
2009-2013,B15002_7_9th_grade,12297,1478,18784,4177,7382,1668,265,14941,1368,1040,5487,4341,2154,4661,4026,344,3263,1709,1100,2248,2753,569,364,2750,167
2009-2013,B15002_8_10th_grade,15038,1953,20256,4620,8904,2170,559,17368,2826,1293,6828,3948,3224,5090,4019,569,3860,2807,1711,3323,3437,1124,769,2848,415
2009-2013,B15002_9_11th_grade,17143,2386,19348,4959,10107,2991,402,15748,3145,1474,7591,4577,3352,6588,4364,546,4082,2421,1431,3464,3610,992,745,2822,406
2009-2013,"B15002_10_12th_grade,_no_diploma",15459,1560,26852,8518,9608,2767,743,24295,3509,2825,8627,5422,4786,4891,4993,343,4256,2986,2063,4360,3123,1166,535,3092,421
2009-2013,B15002_11_high_school_graduate_(includes_equivalency),114376,27775,209303,100754,73173,34698,8883,204132,46997,22116,142612,66176,70538,72175,56365,9364,70057,49651,35774,65338,54882,22860,16156,50972,7586
2009-2013,"B15002_12_some_college,_less_than_1_year",14257,5832,24174,19217,12886,7582,1690,29184,8329,4740,26916,11023,12469,10311,7169,1857,11888,11314,6663,12730,6687,3689,3266,7028,1338
2009-2013,"B15002_13_some_college,_1_or_more_years,_no_degree",54006,13769,90001,56870,49652,17399,5245,88543,22576,11281,64001,33212,35722,29617,26213,5467,29145,25881,17366,27098,17160,10767,7433,23302,3182
2009-2013,B15002_14_associate's_degree,23296,7925,42961,31349,17101,8530,2338,53309,10700,6147,40678,16346,13533,10942,8751,2366,14175,12954,8101,11237,7879,4863,3396,8527,1295
2009-2013,B15002_15_bachelor's_degree,41112,18074,144992,105090,172945,18920,7501,145339,27618,21475,93984,69551,86787,44194,51542,11664,64067,54509,48518,33163,27058,31315,11012,33391,2663
2009-2013,B15002_16_master's_degree,13892,9417,58570,44465,90074,8798,3671,53490,10827,10635,43413,38469,36605,18483,22082,5881,32076,22544,24048,11379,9182,16778,3400,14092,1084
2009-2013,B15002_17_professional_school_degree,4885,2423,19822,24968,47300,2274,851,16126,3529,3952,15363,21197,13267,9146,5675,1727,6754,7323,7514,3148,3097,4697,1086,4820,291
2009-2013,B15002_18_doctorate_degree,2494,2147,8530,6964,21436,1413,629,7541,1430,1886,7514,7772,5917,4147,3018,1542,6751,3945,4866,1708,1402,4433,583,2977,225
2009-2013,B15002_19_female,480070,101888,914444,487170,638433,121644,35260,830078,168070,104097,525357,345854,338814,276745,230804,45811,285289,227081,178514,213710,171925,117614,52261,191132,20575
2009-2013,B15002_20_no_schooling_completed,15700,796,25711,5675,13455,1278,269,25721,2605,1372,6538,4173,3759,4585,4789,216,3649,1539,1185,1463,3384,1045,256,2927,159
2009-2013,B15002_21_nursery_to_4th_grade,13906,435,13956,3931,9696,676,165,12535,964,885,3679,3674,2082,3838,4616,88,2761,903,668,811,2946,446,98,2904,26
2009-2013,B15002_22_5th_and_6th_grade,19953,767,30491,7049,14369,1167,285,30279,2287,2063,6279,8876,4119,5377,7726,112,4424,1888,1371,1678,4384,1096,170,4913,167
2009-2013,B15002_23_7th_and_8th_grade,23444,1505,29310,6666,15095,2119,417,22924,2581,1797,6501,5998,5473,6490,7629,238,6014,2533,1764,2936,6760,1390,421,3946,139
2009-2013,B15002_24_9th_grade,15929,1022,19743,4276,8549,1457,168,15751,1774,1140,4952,3186,2346,3695,3965,362,2545,1666,935,2212,3332,632,409,2473,160
2009-2013,B15002_25_10th_grade,17220,1494,22254,4910,9673,1686,295,17847,3431,1104,6545,4265,3538,5608,4872,447,3958,2466,1406,3653,3555,1192,794,2788,286
2009-2013,B15002_26_11th_grade,22467,2399,23514,5661,11156,3460,397,15149,3208,1487,8479,5038,3479,7957,4769,598,3739,2685,1643,4044,4574,1096,612,3358,322
2009-2013,"B15002_27_12th_grade,_no_diploma",13963,1382,28529,7957,10676,2611,389,23867,3474,2634,7774,4929,4687,5829,4928,314,4959,2901,2107,4024,2640,1365,450,3488,231
2009-2013,B15002_28_high_school_graduate_(includes_equivalency),124095,27755,249202,126500,79614,34268,9146,224928,55299,25384,160817,74009,87679,77953,59957,10874,77999,62694,43058,83997,59737,26475,15709,58097,7111
2009-2013,"B15002_29_some_college,_less_than_1_year",17549,5907,27545,20306,14335,7341,1952,32136,7900,4798,27906,12809,14253,12152,7542,2191,13990,12882,8178,15250,7669,5159,3764,7996,1724
2009-2013,"B15002_30_some_college,_1_or_more_years,_no_degree",65263,13056,100687,52198,51800,17152,4279,89274,20010,10928,60412,37650,35725,36539,27753,5191,29621,26288,17735,25098,19615,12503,7372,25868,3434
2009-2013,B15002_31_associate's_degree,36047,11465,60877,41128,26137,12120,3623,68370,13446,8188,52812,23290,20856,16918,11452,3914,20778,18233,12027,16247,10324,7913,5206,12385,2029
2009-2013,B15002_32_bachelor's_degree,60408,18011,170141,106039,198237,20680,7435,158709,28981,23144,89652,80671,96345,55766,51684,13239,68810,57236,53218,35229,28377,32402,11289,37373,2829
2009-2013,B15002_33_master's_degree,27255,13405,87757,74331,116412,13275,5442,73124,18137,15909,69249,58341,42256,25225,22351,5954,33089,26256,25761,14687,11598,19416,4706,17106,1685
2009-2013,B15002_34_professional_school_degree,4482,1566,17282,15725,39717,1613,715,13725,2861,1979,9134,12825,8752,5655,4621,1152,5035,4858,4482,1670,2091,3393,681,3470,132
2009-2013,B15002_35_doctorate_degree,2389,923,7445,4818,19512,741,283,5739,1112,1285,4628,6120,3465,3158,2150,921,3918,2053,2976,711,939,2091,324,2040,141
2009-2013,B19001_1_total,474842,107830,916025,441955,736192,125317,34496,778630,164609,98326,497347,343561,335422,277302,243875,46816,280988,233909,179665,221774,162543,115531,54746,185483,21581
2009-2013,"B19001_2_less_than_$10,000",75663,4486,107752,13089,71021,6084,970,55427,10804,3884,15940,16021,15297,25645,19590,1175,11515,9034,4810,9604,12954,2932,1419,10293,1069
2009-2013,"B19001_3_$10,000_to_$14,999",43202,4304,63646,10347,39554,5228,743,35532,6162,3747,13124,12033,10357,15107,12934,868,8478,7188,3537,10032,8550,2289,1447,6761,788
2009-2013,"B19001_4_$15,000_to_$19,999",36413,4124,55424,12966,32871,5449,1016,38615,6039,4167,15299,13030,11244,14610,13223,1304,9698,8869,4427,11799,7963,2935,1418,7766,1006
2009-2013,"B19001_5_$20,000_to_$24,999",31096,4167,51100,13090,29754,4897,974,40551,6837,3378,15363,12662,11703,14047,12250,1070,9511,7588,4612,10982,8130,2661,1651,7541,1023
2009-2013,"B19001_6_$25,000_to_$29,999",27285,4333,45616,12433,25611,4772,1061,36932,6600,2720,14789,12220,11421,13417,10644,1193,10003,8820,4698,11116,7915,3094,1533,7031,971
2009-2013,"B19001_7_$30,000_to_$34,999",26518,4530,45606,12213,27117,5081,1255,37101,5812,3316,15394,12139,11131,13426,10756,1159,9442,8073,4858,10413,7630,3683,1892,7577,884
2009-2013,"B19001_8_$35,000_to_$39,999",22381,3759,39526,12303,20702,4533,995,33925,5541,2581,13906,11436,10038,11446,9661,1298,9329,7111,4413,9793,6395,3066,1578,8059,1038
2009-2013,"B19001_9_$40,000_to_$44,999",21540,3869,42190,12325,24730,4559,817,34662,6137,3247,15832,11766,11305,10856,8505,1045,9169,7094,4728,9697,6891,3432,1781,7132,1011
2009-2013,"B19001_10_$45,000_to_$49,999",19105,3547,33671,12001,19108,4384,912,31498,4858,2741,15651,9450,9681,10019,9026,1222,9037,7323,5137,8870,5769,2969,1683,6722,1021
2009-2013,"B19001_11_$50,000_to_$59,999",34385,7807,65040,24255,41454,8496,2156,61841,10795,5818,30236,21077,21403,19142,17692,2591,19424,14678,10378,16611,11530,6190,3616,13359,2093
2009-2013,"B19001_12_$60,000_to_$74,999",37827,10984,82231,35173,53883,12528,2635,78711,15084,8092,44738,27362,28240,23800,22374,3242,26921,19003,14953,22554,13733,9589,5229,17489,2555
2009-2013,"B19001_13_$75,000_to_$99,999",43153,16042,94429,55651,71298,17043,4576,102727,22692,12766,71080,38972,42130,29057,28765,5891,40130,28953,24492,30094,19160,15531,8716,22685,3621
2009-2013,"B19001_14_$100,000_to_$124,999",24833,11731,64890,50904,57349,13533,4474,70547,17741,10899,61935,31899,34914,21012,20702,5540,34096,24935,20646,22217,14679,13084,7560,17367,2003
2009-2013,"B19001_15_$125,000_to_$149,999",12465,7723,41444,40564,39526,9910,3357,42994,12696,7999,44936,23802,25527,14314,13684,4405,23326,19160,15756,13611,9829,9660,5148,12673,960
2009-2013,"B19001_16_$150,000_to_$199,999",11755,9137,42861,54182,54475,10676,4187,44819,15483,10910,55179,31661,35551,16618,15949,6152,26490,25399,21598,14286,11547,14256,5440,14384,1035
2009-2013,"B19001_17_$200,000_or_more",7221,7287,40599,70459,127739,8144,4368,32748,11328,12061,53945,58031,45480,24786,18120,8661,24419,30681,30622,10095,9868,20160,4635,18644,503
2009-2013,B19013_1_median_household_income_in_the_past_12_months_(in_2013_inflation-adjusted_dollars),34388,72525,46085,97690,69659,70458,95117,57001,72569,84951,87763,81946,83794,55095,58442,106143,79596,84526,98633,61136,57654,99020,87335,68507,59340
2009-2013,B25001_1_total,513595,118551,1002389,467241,849236,137703,38181,838125,177168,104047,569196,369996,353415,313138,271537,49527,296281,258988,190170,278766,175987,123785,61993,200061,38414
2009-2013,B25003_1_total,474842,107830,916025,441955,736192,125317,34496,778630,164609,98326,497347,343561,335422,277302,243875,46816,280988,233909,179665,221774,162543,115531,54746,185483,21581
2009-2013,B25003_2_owner_occupied,92108,75038,272724,355915,167506,86713,28667,344390,112980,68701,397731,212542,220018,127297,79534,39576,185879,175948,136296,180299,88252,90063,46382,111977,18174
2009-2013,B25003_3_renter_occupied,382734,32792,643301,86040,568686,38604,5829,434240,51629,29625,99616,131019,115404,150005,164341,7240,95109,57961,43369,41475,74291,25468,8364,73506,3407
2009-2013,B25024_1_total,513595,118551,1002389,467241,849236,137703,38181,838125,177168,104047,569196,369996,353415,313138,271537,49527,296281,258988,190170,278766,175987,123785,61993,200061,38414
2009-2013,"B25024_2_1,_detached",29036,74935,55900,353318,5605,85507,30092,162088,58501,60775,457060,167836,189275,106675,27487,37344,156782,171941,126422,210425,73567,72928,49622,103693,34652
2009-2013,"B25024_3_1,_attached",22778,5453,85671,13493,5692,8876,2022,74321,45477,7962,25697,20024,17988,17723,16907,4723,34731,19869,14807,25765,8899,19369,3310,8761,1244
2009-2013,B25024_4_2,47559,8149,175821,34876,7965,9876,1613,176437,42301,6679,21316,31702,50316,46909,63093,1844,21088,8952,7228,9818,39512,6744,1548,33202,509
2009-2013,B25024_5_3_or_4,49686,8286,179108,10930,17454,9664,1348,93950,7006,7998,13477,30928,19935,51498,39363,1550,17117,9339,6090,6347,16402,5438,1483,16052,313
2009-2013,B25024_6_5_to_9,19245,7702,110564,7645,47685,9157,1436,49283,3005,7917,15265,18464,11590,19411,29209,1449,17319,10645,6625,6096,11195,5407,2577,7685,257
2009-2013,B25024_7_10_to_19,26964,4305,57103,8366,97832,5508,511,30057,2742,3766,13702,14872,14036,15840,22345,1505,24469,12373,11659,6229,8821,6802,1337,6861,32
2009-2013,B25024_8_20_to_49,113234,2076,129538,11858,199204,2118,570,81153,4112,3288,7900,27936,15966,19665,26676,480,10610,7520,8567,3508,6529,2688,396,10182,44
2009-2013,B25024_9_50_or_more,203844,3322,207026,25734,466250,3698,316,169104,13500,4242,9230,57643,32842,34927,46061,532,11904,15295,8150,4704,10339,4210,941,12961,122
2009-2013,B25024_10_mobile_home,696,4313,1230,916,414,3287,273,1313,456,1420,5499,489,1285,398,315,97,2221,3034,550,5855,603,178,779,537,1229
2009-2013,"B25024_11_boat,_rv,_van,_etc.",553,10,428,105,1135,12,0,419,68,0,50,102,182,92,81,3,40,20,72,19,120,21,0,127,12
2009-2013,B25077_1_median_value_(dollars),374500,289400,557100,454500,828100,276900,372200,450900,441000,435300,383400,518400,451400,364800,347200,404300,330000,389900,432400,268100,351000,398800,285800,362300,193100
2009-2013,B25034_1_total,513595,118551,1002389,467241,849236,137703,38181,838125,177168,104047,569196,369996,353415,313138,271537,49527,296281,258988,190170,278766,175987,123785,61993,200061,38414
2009-2013,B25034_2_built_2010_or_later,2261,332,4232,1045,3629,963,92,2124,599,547,1274,711,1032,973,1531,126,1321,879,668,1204,384,506,99,582,70
2009-2013,B25034_3_built_2000_to_2009,29475,12113,56105,16212,57746,16548,2847,42501,16529,7508,44111,18777,22040,24581,34061,4757,26573,27454,15843,38980,8899,12258,6315,11817,7032
2009-2013,B25034_4_built_1990_to_1999,19847,10356,27109,13825,30311,14571,3730,22342,19752,9943,49515,17491,18979,15267,14346,7068,30679,30759,22646,35087,8468,22155,5476,8531,6057
2009-2013,B25034_5_built_1980_to_1989,18042,16790,27914,19951,52038,18642,5151,28201,25161,10940,56318,27618,26037,17886,16378,10332,48029,38355,23870,50466,10499,24161,9689,9901,9434
2009-2013,B25034_6_built_1970_to_1979,40708,18127,52510,26567,68940,17926,5625,49048,30202,19748,102210,32748,32286,28446,23268,7289,35335,36264,29326,58004,15012,13833,11859,16808,6575
2009-2013,B25034_7_built_1960_to_1969,70158,16746,107273,58757,105886,14076,6113,114623,24954,22755,119395,50913,56620,38787,27963,4767,47477,38131,30139,40815,26929,15917,8786,28288,3004
2009-2013,B25034_8_built_1950_to_1959,80682,15565,113241,166427,83532,12975,5287,179667,16675,15158,108997,72628,82160,52463,29320,4423,56283,34797,29172,29881,37233,14846,7517,51176,1860
2009-2013,B25034_9_built_1940_to_1949,53576,6344,95370,65650,61510,6758,2953,142522,7846,4110,29973,32114,43863,43742,25102,1797,19106,13828,11602,10367,32173,6728,3862,28771,1191
2009-2013,B25034_10_built_1939_or_earlier,198846,22178,518635,98807,385644,35244,6383,257097,35450,13338,57403,116996,70398,90993,99568,8968,31478,38521,26904,13962,36390,13381,8390,44187,3191
2009-2013,B25127_1_total,474842,107830,916025,441955,736192,125317,34496,778630,164609,98326,497347,343561,335422,277302,243875,46816,280988,233909,179665,221774,162543,115531,54746,185483,21581
2009-2013,B25127_2_owner_occupied,92108,75038,272724,355915,167506,86713,28667,344390,112980,68701,397731,212542,220018,127297,79534,39576,185879,175948,136296,180299,88252,90063,46382,111977,18174
2009-2013,B25127_3_built_2000_or_later,4046,7845,17555,10617,11270,11905,2031,12584,11611,3637,26365,9190,12001,6767,9782,3839,16837,19267,11582,26896,4872,9473,4917,4672,3756
2009-2013,"B25127_4_1,_detached__or_attached",1319,7218,2713,8119,368,10485,1941,4373,9087,2688,23853,7380,9289,4416,1854,3760,14721,17008,8967,25662,3143,8479,4550,3318,3678
2009-2013,B25127_5_2_to_4,2150,115,5422,656,351,186,4,5298,2450,170,865,468,831,1543,1821,52,262,271,46,130,194,112,93,1071,0
2009-2013,B25127_6_5_to_19,214,172,4217,1036,777,777,68,601,51,243,1011,138,308,396,960,24,565,873,410,137,458,386,146,88,0
2009-2013,B25127_7_20_to_49,137,83,2318,363,1790,0,0,939,8,148,130,317,425,138,987,3,478,159,955,70,361,371,0,112,0
2009-2013,B25127_8_50_or_more,226,0,2823,372,7892,11,0,1288,6,202,266,871,1040,274,4147,0,533,669,1087,0,693,89,37,83,14
2009-2013,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",0,257,62,71,92,446,18,85,9,186,240,16,108,0,13,0,278,287,117,897,23,36,91,0,64
2009-2013,B25127_10_built_1980_to_1999,6736,19278,15826,22891,15085,24122,6878,16681,32591,13656,66380,29212,26498,11517,7923,14907,50790,53897,34023,61597,11159,35489,12037,8058,7743
2009-2013,"B25127_11_1,_detached__or_attached",2931,16375,7254,18053,708,20836,6180,5963,25953,11788,62289,23112,18018,7976,2479,13630,42969,47834,29578,58642,8595,30748,10981,6217,7462
2009-2013,B25127_12_2_to_4,2884,710,5620,1596,381,753,208,6284,4860,593,1503,1503,2172,1822,2090,159,1632,1075,736,558,674,981,169,971,99
2009-2013,B25127_13_5_to_19,118,556,1408,1130,947,1331,404,1083,634,702,1139,1332,2486,1006,1185,1031,4555,2506,2655,829,845,3255,702,463,3
2009-2013,B25127_14_20_to_49,287,40,570,568,1753,51,0,644,429,111,123,1029,1087,312,796,11,466,512,626,44,314,280,61,172,0
2009-2013,B25127_15_50_or_more,406,36,738,1307,11230,67,54,2450,509,69,306,2150,2500,397,1327,54,448,1000,342,181,631,168,13,235,0
2009-2013,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",110,1561,236,237,66,1084,32,257,206,393,1020,86,235,4,46,22,720,970,86,1343,100,57,111,0,179
2009-2013,B25127_17_built_1960_to_1979,24066,22262,37432,58619,42966,21718,9434,57094,35155,29716,164657,46718,50565,20558,14280,9838,48407,48023,40647,63608,21639,21728,16081,21661,3876
2009-2013,"B25127_18_1,_detached__or_attached",5499,19778,10740,50676,725,19621,8860,22051,26463,25490,154782,32254,38440,15576,5039,9451,44959,44019,38536,59173,17813,20587,15677,18742,3782
2009-2013,B25127_19_2_to_4,5057,537,13653,2199,326,540,167,15212,7327,1934,3733,3283,4166,2998,5492,101,1387,672,385,2089,2742,419,117,2329,0
2009-2013,B25127_20_5_to_19,211,749,782,1237,929,701,320,1146,307,1389,2912,2533,761,798,715,252,957,1749,1109,356,567,521,132,211,0
2009-2013,B25127_21_20_to_49,1254,27,919,784,3065,154,12,2732,158,223,699,1612,843,261,493,9,219,310,268,35,146,43,10,236,0
2009-2013,B25127_22_50_or_more,11985,118,11256,3512,37863,60,0,15808,845,370,686,6993,5997,912,2486,10,234,629,158,80,226,112,14,116,0
2009-2013,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",60,1053,82,211,58,642,75,145,55,310,1845,43,358,13,55,15,651,644,191,1875,145,46,131,27,94
2009-2013,B25127_24_built_1940_to_1959,30131,14687,60043,192295,24168,13410,6476,143722,13599,13510,105344,64384,83792,42020,16366,4776,52111,33579,32377,21095,34371,15128,8127,50424,1203
2009-2013,"B25127_25_1,_detached__or_attached",13609,13990,26295,182755,769,12918,6275,80745,11168,12918,103011,47774,74534,34278,7974,4738,50030,32478,31951,20343,28654,14688,8011,45779,1188
2009-2013,B25127_26_2_to_4,6668,489,19494,4553,240,356,179,30782,1919,268,1710,5247,6453,6330,6147,23,1647,516,366,638,4917,395,109,3991,8
2009-2013,B25127_27_5_to_19,520,98,1269,1422,1127,75,0,3372,44,123,181,2299,427,604,737,0,166,223,24,39,261,19,0,326,0
2009-2013,B25127_28_20_to_49,1736,6,2429,1281,3263,16,8,6971,69,82,168,2652,937,244,687,0,120,74,0,0,166,11,0,56,0
2009-2013,B25127_29_50_or_more,7585,37,10417,2105,18746,21,14,21715,399,119,138,6402,1381,461,782,15,43,210,0,27,184,10,0,189,0
2009-2013,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",13,67,139,179,23,24,0,137,0,0,136,10,60,103,39,0,105,78,36,48,189,5,7,83,7
2009-2013,B25127_31_built_1939_or_earlier,27129,10966,141868,71493,74017,15558,3848,114309,20024,8182,34985,63038,47162,46435,31183,6216,17734,21182,17667,7103,16211,8245,5220,27162,1596
2009-2013,"B25127_32_1,_detached__or_attached",13116,9817,61683,66140,4450,14040,3680,75342,15896,7374,33103,48639,40901,38115,13458,5859,16084,20234,16683,6816,11914,7588,5014,23407,1516
2009-2013,B25127_33_2_to_4,9676,1000,61642,3951,3697,1380,155,27907,3774,707,1554,7297,5558,7598,12873,324,1529,757,795,216,4041,644,180,3481,69
2009-2013,B25127_34_5_to_19,623,49,7254,225,12317,45,13,2352,61,28,125,1194,133,392,2626,33,11,82,74,22,118,13,26,52,3
2009-2013,B25127_35_20_to_49,1319,6,4058,465,20492,11,0,2318,57,38,41,2448,284,111,1271,0,42,49,62,0,83,0,0,71,8
2009-2013,B25127_36_50_or_more,2341,75,7122,604,33023,49,0,6353,202,18,151,3414,252,130,955,0,45,52,31,36,55,0,0,13,0
2009-2013,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",54,19,109,108,38,33,0,37,34,17,11,46,34,89,0,0,23,8,22,13,0,0,0,138,0
2009-2013,B25127_38_renter_occupied,382734,32792,643301,86040,568686,38604,5829,434240,51629,29625,99616,131019,115404,150005,164341,7240,95109,57961,43369,41475,74291,25468,8364,73506,3407
2009-2013,B25127_39_built_2000_or_later,24346,3575,34935,4758,38498,4662,616,26221,4197,3773,10940,8534,8877,14572,20289,667,9359,6167,4131,7074,3357,2721,783,6349,600
2009-2013,"B25127_40_1,_detached__or_attached",991,486,907,962,105,1280,57,1405,1720,501,2463,868,1553,2909,1222,174,1353,1225,674,3012,505,476,291,636,468
2009-2013,B25127_41_2_to_4,6311,893,11650,1136,901,772,193,12610,1875,1296,2319,1581,1315,6058,5163,28,2178,725,453,674,987,546,179,2725,17
2009-2013,B25127_42_5_to_19,2852,1197,8549,548,3001,1505,7,3987,166,1061,3272,955,1199,2093,2320,171,2705,1359,940,1896,649,685,118,932,15
2009-2013,B25127_43_20_to_49,4136,218,5041,367,4512,279,275,2184,66,413,782,892,894,1081,1882,70,1240,778,418,310,213,308,39,948,0
2009-2013,B25127_44_50_or_more,9972,679,8624,1745,29945,798,69,5942,370,462,1891,4213,3844,2407,9668,224,1855,2036,1592,1162,993,706,156,1084,92
2009-2013,"B25127_45_mobile_home,_boat,_rv,_van,_etc.",84,102,164,0,34,28,15,93,0,40,213,25,72,24,34,0,28,44,54,20,10,0,0,24,8
2009-2013,B25127_46_built_1980_to_1999,28553,5864,35812,8639,53360,7378,1252,30382,10193,6173,21364,12676,16088,18231,20384,1851,24156,11128,9960,11204,6935,8278,1822,9360,879
2009-2013,"B25127_47_1,_detached__or_attached",1070,1058,2095,1798,338,1516,436,2348,3195,991,7024,2413,2779,2578,1625,583,4035,2499,1704,4902,912,2078,697,931,663
2009-2013,B25127_48_2_to_4,6474,1703,12278,2728,1209,1680,484,13879,4649,1874,4763,3001,4176,6577,6544,336,4328,1628,1686,1595,2468,1557,282,3528,124
2009-2013,B25127_49_5_to_19,3389,1979,9018,1220,6989,2677,217,4666,659,1834,5783,2146,2815,2908,3993,638,10561,3089,3154,2403,1534,2707,649,1402,38
2009-2013,B25127_50_20_to_49,7325,344,4291,798,6901,435,12,2868,375,581,1834,1167,1877,1879,1988,138,1837,1009,1398,702,547,544,56,1294,24
2009-2013,B25127_51_50_or_more,10062,447,8000,2076,37887,833,30,6392,1224,730,1809,3916,4286,4257,6201,93,3346,2804,2011,1506,1434,1365,126,2137,8
2009-2013,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",233,333,130,19,36,237,73,229,91,163,151,33,155,32,33,63,49,99,7,96,40,27,12,68,22
2009-2013,B25127_53_built_1960_to_1979,79928,10003,112653,22180,113145,7924,1552,95741,16479,10886,35842,31339,34215,39135,32585,1817,29804,20405,15906,14923,17229,6064,2544,20718,991
2009-2013,"B25127_54_1,_detached__or_attached",2619,1695,4080,4849,260,1763,675,5593,2715,2023,16895,3780,4194,2533,2456,619,3664,3421,2343,7536,1644,1168,894,1648,643
2009-2013,B25127_55_2_to_4,10860,2984,27554,6432,1949,2000,382,31958,7013,3190,7297,8140,13992,11918,11231,550,8792,4106,2625,2222,7740,1714,590,8123,137
2009-2013,B25127_56_5_to_19,7079,3083,15341,3339,12336,2752,311,11182,1375,3513,7284,4869,6590,8349,7302,433,11618,6682,6291,2932,4087,1761,712,4012,38
2009-2013,B25127_57_20_to_49,15743,694,15942,2386,17767,390,140,10554,1129,880,1838,4453,3086,4557,3535,160,2627,1809,2913,1125,1197,418,14,2781,12
2009-2013,B25127_58_50_or_more,43477,992,49563,5107,80639,746,18,36212,4203,1196,2077,10097,6242,11730,7965,55,3017,4080,1710,708,2490,980,314,4071,8
2009-2013,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",150,555,173,67,194,273,26,242,44,84,451,0,111,48,96,0,86,307,24,400,71,23,20,83,153
2009-2013,B25127_60_built_1940_to_1959,94955,5462,134108,29419,106216,4373,907,157300,9061,4681,19964,33504,36737,42859,33100,1044,19589,10255,6283,5882,29845,4669,1455,23733,360
2009-2013,"B25127_61_1,_detached__or_attached",3305,1663,5814,11275,744,2130,478,13353,1375,1711,13875,6001,6604,4652,2476,547,4302,4339,2211,3432,3869,1585,979,4336,263
2009-2013,B25127_62_2_to_4,13125,2254,34696,9766,2492,1254,295,52853,3565,1411,3444,8930,17344,19100,13097,328,6829,2446,1928,1120,16551,1849,240,10383,86
2009-2013,B25127_63_5_to_19,9505,994,20471,2617,15894,751,110,21308,824,849,1300,5215,6269,7854,9862,108,5355,1925,991,786,5561,832,181,3530,9
2009-2013,B25127_64_20_to_49,25164,156,29585,2229,25590,102,13,27848,910,340,469,5692,3204,4778,4769,49,1837,687,657,283,1819,192,19,2604,0
