estimate_year,index,NY_005,NY_027,NY_047,NY_059,NY_061,NY_071,NY_079,NY_081,NY_085,NY_087,NY_103,NY_119,NJ_003,NJ_013,NJ_017,NJ_019,NJ_023,NJ_025,NJ_027,NJ_029,NJ_031,NJ_035,NJ_037,NJ_039,PA_103
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5
2009-2013,STATE,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa
2009-2013,B11016_7_6-person_household,14786,2363,27775,14426,5745,3541,917,24476,5149,3783,15916,8131,6830,6156,5636,868,7163,5288,3577,5261,5639,2387,1144,5462,481
2009-2013,B11016_8_7-or-more_person_household,11241,1020,27152,9701,3769,3551,422,20329,3135,4901,11270,4992,3288,3963,3021,402,4543,2299,1386,5856,3640,1399,481,3234,132
2009-2013,B11016_9_nonfamily_households,161984,34590,332890,102835,434298,35444,7978,253262,43324,23897,122936,105627,95848,94903,93702,12733,77878,71063,50248,72811,45576,31537,14113,53942,6053
2009-2013,B11016_10_1-person_household,141756,28383,262802,87479,352432,29340,6794,204999,37952,20487,101502,92354,82869,81325,71379,10680,64311,60180,42719,63821,39951,26685,11497,46011,5112
2009-2013,B11016_11_2-person_household,16459,5275,54429,12409,68160,5363,1043,36325,4372,2789,17499,10805,11013,10804,17438,1850,10839,9424,6387,8072,4502,4021,2258,6603,802
2009-2013,B11016_12_3-person_household,2275,549,10497,1710,10794,492,101,7312,560,255,2474,1260,1212,1846,3323,164,1578,841,632,461,758,505,257,724,95
2009-2013,B11016_13_4-person_household,959,248,3809,740,2001,180,10,2709,341,222,877,677,584,657,1122,39,678,479,197,267,236,249,87,278,32
2009-2013,B11016_14_5-person_household,319,81,912,214,756,41,30,1232,47,67,359,316,117,198,388,0,200,48,142,159,121,45,0,204,12
2009-2013,B11016_15_6-person_household,145,19,248,151,72,12,0,426,52,26,92,112,0,49,36,0,111,91,171,10,8,21,14,105,0
2009-2013,B11016_16_7-or-more_person_household,71,35,193,132,83,16,0,259,0,51,133,103,53,24,16,0,161,0,0,21,0,11,0,17,0
