index,48015,48039,48071,48157,48167,48201,48291,48321,48339,48455,48471,48473,48477,48481,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,2012-2016
B01001_35_25_to_29_years,699,10747,1236,19614,10375,177675,2765,1143,15611,300,1923,1063,829,1169,2012-2016
B01001_36_30_to_34_years,774,12298,1333,24564,10702,176185,2741,1062,17066,335,1523,1273,911,1238,2012-2016
B01001_37_35_to_39_years,988,13194,1520,27184,9597,159180,2594,1040,17348,230,1719,977,685,1354,2012-2016
B01001_38_40_to_44_years,802,11056,1038,27608,11264,156107,2828,1015,18908,538,1276,1315,1082,1053,2012-2016
B01001_39_45_to_49_years,920,11243,1469,25614,10845,143678,2561,1000,18388,481,1300,1334,1039,1282,2012-2016
B01001_40_50_to_54_years,1043,11335,1339,24863,12087,141675,2749,1462,18833,519,1645,1398,1202,1403,2012-2016
B01001_41_55_to_59_years,1126,9850,1237,23986,10583,130853,2632,988,16808,563,1932,1439,1208,1277,2012-2016
B01001_42_60_and_61_years,329,3947,541,7445,4296,46131,966,670,5878,192,484,527,497,661,2012-2016
B01001_43_62_to_64_years,551,5328,447,10224,6125,63430,1214,765,9768,446,857,568,702,759,2012-2016
B01001_44_65_and_66_years,460,2824,437,6446,3191,35124,861,410,4824,248,578,426,488,405,2012-2016
B01001_45_67_to_69_years,581,3445,446,7365,4348,44606,952,599,7524,297,712,532,440,456,2012-2016
B01001_46_70_to_74_years,642,5397,417,8197,5087,54386,1434,605,8299,493,912,824,991,1003,2012-2016
B01001_47_75_to_79_years,524,3325,369,5178,3666,38172,809,620,5565,438,755,302,457,725,2012-2016
B01001_48_80_to_84_years,290,2483,169,4277,3013,28622,698,344,3844,254,470,219,691,538,2012-2016
B01001_49_85_years_and_over,339,2509,232,3921,2789,28387,672,474,4322,236,729,534,797,554,2012-2016
B02001_1_total,29107,338419,38072,683756,314485,4434257,78598,36719,518849,14360,69926,47049,34544,41377,2012-2016
B02001_2_white_alone,24123,251028,33013,356027,245054,2804918,64099,28199,448305,12432,51148,31581,26919,33682,2012-2016
B02001_3_black_or_african_american_alone,2519,44000,3061,141901,41083,839349,8134,3909,22986,1426,16100,11946,5851,5834,2012-2016
B02001_4_american_indian_and_alaska_native_alone,8,1422,56,1717,1236,19696,262,109,2178,75,186,138,242,42,2012-2016
B02001_5_asian_alone,15,20810,518,128432,10311,295792,513,778,13498,44,844,401,684,39,2012-2016
B02001_6_native_hawaiian_and_other_pacific_islander_alone,0,11,0,230,67,3155,13,86,423,0,10,18,35,0,2012-2016
B02001_7_some_other_race_alone,1570,14388,913,37179,8070,371689,4268,2393,18223,234,875,1819,401,1342,2012-2016
B02001_8_two_or_more_races,872,6760,511,18270,8664,99658,1309,1245,13236,149,763,1146,412,438,2012-2016
B02001_9_two_races_including_some_other_race,206,918,47,4874,1557,24576,328,182,1592,29,16,128,55,121,2012-2016
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",666,5842,464,13396,7107,75082,981,1063,11644,120,747,1018,357,317,2012-2016
B11001_1_total,11222,114290,12967,214126,115685,1536259,25611,13666,179587,5459,20695,14082,11984,14979,2012-2016
B11001_2_family_households,8255,84461,10091,175964,79854,1045868,18689,9138,133422,3523,12278,10189,8496,10188,2012-2016
B11001_3_married-couple_family,6607,65746,8575,139892,59566,718333,14437,6462,106724,2600,9127,7449,6515,7296,2012-2016
B11001_4_other_family,1648,18715,1516,36072,20288,327535,4252,2676,26698,923,3151,2740,1981,2892,2012-2016
"B11001_5_male_householder,_no_wife_present",382,6259,614,9272,4868,88073,1371,829,8062,246,658,900,467,927,2012-2016
