index,06037,06059,estimate_year
FILEID,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2008-2012
STATE,ca,ca,2008-2012
CHARITER,000,000,2008-2012
SEQUENCE,0003,0003,2008-2012
LOGRECNO,0000031,0000042,2008-2012
SUMMARY_LEVEL,050,050,2008-2012
STATE_FIPS,06,06,2008-2012
GEO_ID,05000US06037,05000US06059,2008-2012
GEO_NAME,"Los Angeles County, California","Orange County, California",2008-2012
B01003_1_total,9840024,3021840,2008-2012
B01001_1_total,9840024,3021840,2008-2012
B01001_2_male,4852259,1495127,2008-2012
B01001_3_under_5_years,333306,99360,2008-2012
B01001_4_5_to_9_years,325047,102530,2008-2012
B01001_5_10_to_14_years,343914,106121,2008-2012
B01001_6_15_to_17_years,226026,69297,2008-2012
B01001_7_18_and_19_years,153928,45689,2008-2012
B01001_8_20_years,81689,24341,2008-2012
B01001_9_21_years,80862,22732,2008-2012
B01001_10_22_to_24_years,223929,64716,2008-2012
B01001_11_25_to_29_years,391523,112082,2008-2012
B01001_12_30_to_34_years,362573,101070,2008-2012
B01001_13_35_to_39_years,353627,106983,2008-2012
B01001_14_40_to_44_years,362047,110909,2008-2012
B01001_15_45_to_49_years,348341,113845,2008-2012
B01001_16_50_to_54_years,322814,105866,2008-2012
B01001_17_55_to_59_years,267920,87598,2008-2012
B01001_18_60_and_61_years,96054,29594,2008-2012
B01001_19_62_to_64_years,119436,38811,2008-2012
B01001_20_65_and_66_years,67537,23104,2008-2012
B01001_21_67_to_69_years,82294,27661,2008-2012
B01001_22_70_to_74_years,111491,37447,2008-2012
B01001_23_75_to_79_years,83694,27993,2008-2012
B01001_24_80_to_84_years,61759,19916,2008-2012
B01001_25_85_years_and_over,52448,17462,2008-2012
B01001_26_female,4987765,1526713,2008-2012
B01001_27_under_5_years,318356,94474,2008-2012
B01001_28_5_to_9_years,307409,97066,2008-2012
B01001_29_10_to_14_years,332329,102194,2008-2012
B01001_30_15_to_17_years,215967,65642,2008-2012
B01001_31_18_and_19_years,147266,42875,2008-2012
B01001_32_20_years,77975,22177,2008-2012
B01001_33_21_years,74828,22326,2008-2012
B01001_34_22_to_24_years,216827,60973,2008-2012
B01001_35_25_to_29_years,376275,104850,2008-2012
B01001_36_30_to_34_years,356699,99037,2008-2012
B01001_37_35_to_39_years,356595,107512,2008-2012
B01001_38_40_to_44_years,361375,115243,2008-2012
B01001_39_45_to_49_years,354619,115418,2008-2012
B01001_40_50_to_54_years,337939,107924,2008-2012
B01001_41_55_to_59_years,293483,90595,2008-2012
B01001_42_60_and_61_years,104137,33162,2008-2012
B01001_43_62_to_64_years,136354,44556,2008-2012
