estimate_year,index,FL_011,FL_086,FL_099
2005-2009,FILEID,ACSSF,ACSSF,ACSSF
2005-2009,FILETYPE,2009e5,2009e5,2009e5
2005-2009,STATE,fl,fl,fl
2005-2009,CHARITER,000,000,000
2005-2009,SEQUENCE,0011,0011,0011
2005-2009,LOGRECNO,0000018,0000055,0000062
2005-2009,SUMMARY_LEVEL,050,050,050
2005-2009,STATE_FIPS,12,12,12
2005-2009,GEO_ID,05000US12011,05000US12086,05000US12099
2005-2009,GEO_NAME,"Broward County, Florida","Miami-Dade County, Florida","Palm Beach County, Florida"
2005-2009,B01003_1_total,1759132,2457044,1268601
2005-2009,B01001_1_total,1759132,2457044,1268601
2005-2009,B01001_2_male,855828,1196859,619926
2005-2009,B01001_3_under_5_years,59115,86438,39092
2005-2009,B01001_4_5_to_9_years,55188,75738,36860
2005-2009,B01001_5_10_to_14_years,61408,82078,38030
2005-2009,B01001_6_15_to_17_years,36518,50709,24537
2005-2009,B01001_7_18_and_19_years,20805,33076,14779
2005-2009,B01001_8_20_years,9458,17673,8270
2005-2009,B01001_9_21_years,10852,17831,7086
2005-2009,B01001_10_22_to_24_years,30543,48516,20174
2005-2009,B01001_11_25_to_29_years,56859,88669,37105
2005-2009,B01001_12_30_to_34_years,57864,87426,36076
2005-2009,B01001_13_35_to_39_years,64451,88559,40276
2005-2009,B01001_14_40_to_44_years,70637,95581,45144
2005-2009,B01001_15_45_to_49_years,70983,87534,46013
2005-2009,B01001_16_50_to_54_years,60737,75353,40678
2005-2009,B01001_17_55_to_59_years,49069,63205,35721
2005-2009,B01001_18_60_and_61_years,17658,23317,13195
2005-2009,B01001_19_62_to_64_years,22188,30969,18702
2005-2009,B01001_20_65_and_66_years,12628,17988,11173
2005-2009,B01001_21_67_to_69_years,15548,25237,15277
2005-2009,B01001_22_70_to_74_years,20793,33449,23763
2005-2009,B01001_23_75_to_79_years,20812,30716,27464
2005-2009,B01001_24_80_to_84_years,16788,21139,22048
2005-2009,B01001_25_85_years_and_over,14926,15658,18463
2005-2009,B01001_26_female,903304,1260185,648675
2005-2009,B01001_27_under_5_years,56630,82473,37587
2005-2009,B01001_28_5_to_9_years,53627,73044,35661
2005-2009,B01001_29_10_to_14_years,56629,76906,35317
2005-2009,B01001_30_15_to_17_years,35022,49010,22959
2005-2009,B01001_31_18_and_19_years,19495,31519,13826
2005-2009,B01001_32_20_years,10336,16650,6573
2005-2009,B01001_33_21_years,9257,16548,6083
2005-2009,B01001_34_22_to_24_years,29661,47248,20074
2005-2009,B01001_35_25_to_29_years,57040,84008,33373
2005-2009,B01001_36_30_to_34_years,59939,85461,33933
2005-2009,B01001_37_35_to_39_years,66841,86607,41408
2005-2009,B01001_38_40_to_44_years,73354,98529,44970
2005-2009,B01001_39_45_to_49_years,72017,92895,46710
2005-2009,B01001_40_50_to_54_years,63271,82983,42642
2005-2009,B01001_41_55_to_59_years,52845,71039,39026
2005-2009,B01001_42_60_and_61_years,19772,26309,15240
2005-2009,B01001_43_62_to_64_years,24001,36195,21130
2005-2009,B01001_44_65_and_66_years,13505,20311,13112
2005-2009,B01001_45_67_to_69_years,18121,30625,18020
2005-2009,B01001_46_70_to_74_years,26369,44125,29593
2005-2009,B01001_47_75_to_79_years,28155,41306,34302
2005-2009,B01001_48_80_to_84_years,26796,31899,29473
2005-2009,B01001_49_85_years_and_over,30621,34495,27663
2005-2009,B02001_1_total,1759132,2457044,1268601
2005-2009,B02001_2_white_alone,1156014,1785122,951914
2005-2009,B02001_3_black_or_african_american_alone,429809,482431,200523
2005-2009,B02001_4_american_indian_and_alaska_native_alone,3548,3854,3205
2005-2009,B02001_5_asian_alone,53978,38939,28183
2005-2009,B02001_6_native_hawaiian_and_other_pacific_islander_alone,537,425,610
2005-2009,B02001_7_some_other_race_alone,73594,110991,67215
2005-2009,B02001_8_two_or_more_races,41652,35282,16951
2005-2009,B02001_9_two_races_including_some_other_race,13025,17610,4451
2005-2009,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",28627,17672,12500
2005-2009,B11001_1_total,670472,827931,508520
2005-2009,B11001_2_family_households,419536,567310,315491
2005-2009,B11001_3_married-couple_family,295161,376061,240279
2005-2009,B11001_4_other_family,124375,191249,75212
2005-2009,"B11001_5_male_householder,_no_wife_present",31918,50107,21602
2005-2009,"B11001_6_female_householder,_no_husband_present",92457,141142,53610
2005-2009,B11001_7_nonfamily_households,250936,260621,193029
2005-2009,B11001_8_householder_living_alone,203180,215038,158867
2005-2009,B11001_9_householder_not_living_alone,47756,45583,34162
2005-2009,B15002_1_total,1204588,1651587,901693
2005-2009,B15002_2_male,571941,784800,431098
2005-2009,B15002_3_no_schooling_completed,5394,12301,4900
2005-2009,B15002_4_nursery_to_4th_grade,3966,15567,5777
2005-2009,B15002_5_5th_and_6th_grade,8725,39229,9230
2005-2009,B15002_6_7th_and_8th_grade,9406,26030,7500
2005-2009,B15002_7_9th_grade,9246,22056,7137
2005-2009,B15002_8_10th_grade,11810,20438,9195
2005-2009,B15002_9_11th_grade,12932,18587,8848
2005-2009,"B15002_10_12th_grade,_no_diploma",15481,33688,10628
2005-2009,"B15002_11_high_school_graduate,_ged,_or_alternative",159896,216955,107814
2005-2009,"B15002_12_some_college,_less_than_1_year",31159,33916,22621
2005-2009,"B15002_13_some_college,_1_or_more_years,_no_degree",80723,78972,61188
2005-2009,B15002_14_associate's_degree,45511,58314,29437
2005-2009,B15002_15_bachelor's_degree,114071,128078,90882
2005-2009,B15002_16_master's_degree,37990,43650,29884
2005-2009,B15002_17_professional_school_degree,19337,27219,19335
2005-2009,B15002_18_doctorate_degree,6294,9800,6722
2005-2009,B15002_19_female,632647,866787,470595
2005-2009,B15002_20_no_schooling_completed,5941,15987,4686
2005-2009,B15002_21_nursery_to_4th_grade,4705,19507,4108
2005-2009,B15002_22_5th_and_6th_grade,9034,47504,6890
2005-2009,B15002_23_7th_and_8th_grade,10874,29414,7927
2005-2009,B15002_24_9th_grade,7857,20902,5875
2005-2009,B15002_25_10th_grade,13017,18734,9266
2005-2009,B15002_26_11th_grade,12890,16910,8627
2005-2009,"B15002_27_12th_grade,_no_diploma",15326,31313,10361
2005-2009,"B15002_28_high_school_graduate,_ged,_or_alternative",192673,237598,136007
2005-2009,"B15002_29_some_college,_less_than_1_year",39806,41662,31959
2005-2009,"B15002_30_some_college,_1_or_more_years,_no_degree",87598,91530,68285
2005-2009,B15002_31_associate's_degree,57525,76807,41075
2005-2009,B15002_32_bachelor's_degree,117321,144497,88519
2005-2009,B15002_33_master's_degree,41547,48906,34809
2005-2009,B15002_34_professional_school_degree,11491,18093,8618
2005-2009,B15002_35_doctorate_degree,5042,7423,3583
2005-2009,B19001_1_total,670472,827931,508520
2005-2009,"B19001_2_less_than_$10,000",43984,86170,32183
2005-2009,"B19001_3_$10,000_to_$14,999",35510,57928,25168
2005-2009,"B19001_4_$15,000_to_$19,999",36206,52428,26460
2005-2009,"B19001_5_$20,000_to_$24,999",38164,52728,28956
2005-2009,"B19001_6_$25,000_to_$29,999",37162,48100,26027
2005-2009,"B19001_7_$30,000_to_$34,999",35444,47205,26542
2005-2009,"B19001_8_$35,000_to_$39,999",34771,43418,25879
2005-2009,"B19001_9_$40,000_to_$44,999",32507,42861,25395
2005-2009,"B19001_10_$45,000_to_$49,999",31036,35030,21436
2005-2009,"B19001_11_$50,000_to_$59,999",55712,65760,41630
2005-2009,"B19001_12_$60,000_to_$74,999",69660,73937,51693
2005-2009,"B19001_13_$75,000_to_$99,999",78992,83818,60193
2005-2009,"B19001_14_$100,000_to_$124,999",52483,50422,39595
2005-2009,"B19001_15_$125,000_to_$149,999",29947,28813,24077
2005-2009,"B19001_16_$150,000_to_$199,999",30198,27867,22037
2005-2009,"B19001_17_$200,000_or_more",28696,31446,31249
2005-2009,B19013_1_median_household_income_in_the_past_12_months_(in_2009_inflation-adjusted_dollars),51731,42969,53538
2005-2009,B25001_1_total,801196,962935,634413
2005-2009,B25003_1_total,670472,827931,508520
2005-2009,B25003_2_owner_occupied,469639,482841,375483
2005-2009,B25003_3_renter_occupied,200833,345090,133037
2005-2009,B25024_1_total,801196,962935,634413
2005-2009,"B25024_2_1,_detached",329808,401435,288528
2005-2009,"B25024_3_1,_attached",59711,98923,62724
2005-2009,B25024_4_2,23673,20960,17506
2005-2009,B25024_5_3_or_4,35524,34859,42829
2005-2009,B25024_6_5_to_9,44488,49887,41993
2005-2009,B25024_7_10_to_19,58144,63620,44259
2005-2009,B25024_8_20_to_49,101689,89250,62950
2005-2009,B25024_9_50_or_more,124124,188370,54242
2005-2009,B25024_10_mobile_home,23581,15085,19027
2005-2009,"B25024_11_boat,_rv,_van,_etc.",454,546,355
2005-2009,B25077_1_median_value_(dollars),260500,277200,278500
2005-2009,B25034_1_total,801196,962935,634413
2005-2009,B25034_2_built_2005_or_later,13780,25653,19666
2005-2009,B25034_3_built_2000_to_2004,62959,76720,77307
2005-2009,B25034_4_built_1990_to_1999,128019,117685,111890
2005-2009,B25034_5_built_1980_to_1989,147467,151140,177123
2005-2009,B25034_6_built_1970_to_1979,229713,199998,137401
2005-2009,B25034_7_built_1960_to_1969,129122,131656,54645
2005-2009,B25034_8_built_1950_to_1959,73188,157562,35975
2005-2009,B25034_9_built_1940_to_1949,11052,62885,9309
2005-2009,B25034_10_built_1939_or_earlier,5896,39636,11097
2005-2009,B03002_1_total,1759132,2457044,1268601
2005-2009,B03002_2_not_hispanic_or_latino,1351911,949423,1049828
2005-2009,B03002_3_white_alone,843696,443615,806096
2005-2009,B03002_4_black_or_african_american_alone,418303,444667,196241
2005-2009,B03002_5_american_indian_and_alaska_native_alone,3138,2003,2197
2005-2009,B03002_6_asian_alone,52517,36782,27668
2005-2009,B03002_7_native_hawaiian_and_other_pacific_islander_alone,490,271,537
2005-2009,B03002_8_some_other_race_alone,7627,8915,5458
2005-2009,B03002_9_two_or_more_races,26140,13170,11631
2005-2009,B03002_10_two_races_including_some_other_race,3628,2366,1209
2005-2009,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",22512,10804,10422
2005-2009,B03002_12_hispanic_or_latino,407221,1507621,218773
2005-2009,B03002_13_white_alone,312318,1341507,145818
2005-2009,B03002_14_black_or_african_american_alone,11506,37764,4282
2005-2009,B03002_15_american_indian_and_alaska_native_alone,410,1851,1008
2005-2009,B03002_16_asian_alone,1461,2157,515
2005-2009,B03002_17_native_hawaiian_and_other_pacific_islander_alone,47,154,73
2005-2009,B03002_18_some_other_race_alone,65967,102076,61757
2005-2009,B03002_19_two_or_more_races,15512,22112,5320
2005-2009,B03002_20_two_races_including_some_other_race,9397,15244,3242
2005-2009,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",6115,6868,2078
2005-2009,B11005_1_total,670472,827931,508520
2005-2009,B11005_2_households_with_one_or_more_people_under_18_years,217235,291988,138413
2005-2009,B11005_3_family_households,214811,289340,136715
2005-2009,B11005_4_married-couple_family,137489,177322,88088
2005-2009,B11005_5_other_family,77322,112018,48627
2005-2009,"B11005_6_male_householder,_no_wife_present",15640,22751,12506
2005-2009,"B11005_7_female_householder,_no_husband_present",61682,89267,36121
2005-2009,B11005_8_nonfamily_households,2424,2648,1698
2005-2009,B11005_9_male_householder,1884,1756,1353
2005-2009,B11005_10_female_householder,540,892,345
2005-2009,B11005_11_households_with_no_people_under_18_years,453237,535943,370107
2005-2009,B11005_12_family_households,204725,277970,178776
2005-2009,B11005_13_married-couple_family,157672,198739,152191
2005-2009,B11005_14_other_family,47053,79231,26585
2005-2009,"B11005_15_male_householder,_no_wife_present",16278,27356,9096
2005-2009,"B11005_16_female_householder,_no_husband_present",30775,51875,17489
2005-2009,B11005_17_nonfamily_households,248512,257973,191331
2005-2009,B11005_18_male_householder,116215,123067,81185
2005-2009,B11005_19_female_householder,132297,134906,110146
2005-2009,B11016_1_total,670472,827931,508520
2005-2009,B11016_2_family_households,419536,567310,315491
2005-2009,B11016_3_2-person_household,174651,207993,162101
2005-2009,B11016_4_3-person_household,103690,146810,64539
2005-2009,B11016_5_4-person_household,88047,122999,53910
2005-2009,B11016_6_5-person_household,35707,55333,21905
2005-2009,B11016_7_6-person_household,11411,20854,8449
2005-2009,B11016_8_7-or-more_person_household,6030,13321,4587
2005-2009,B11016_9_nonfamily_households,250936,260621,193029
2005-2009,B11016_10_1-person_household,203180,215038,158867
2005-2009,B11016_11_2-person_household,40704,38161,28849
2005-2009,B11016_12_3-person_household,4813,4644,3087
2005-2009,B11016_13_4-person_household,1724,1923,1497
2005-2009,B11016_14_5-person_household,153,581,438
2005-2009,B11016_15_6-person_household,205,176,274
2005-2009,B11016_16_7-or-more_person_household,157,98,17
