estimate_year,index,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,WI_059
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5
2013-2017,STATE,il,il,il,il,il,il,il,il,il,in,in,in,in,wi
2013-2017,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2013-2017,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2013-2017,LOGRECNO,0000028,0000031,0000034,0000044,0000057,0000059,0000061,0000068,0000111,0000049,0000057,0000068,0000076,0000042
2013-2017,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2013-2017,STATE_FIPS,17,17,17,17,17,17,17,17,17,18,18,18,18,55
2013-2017,GEO_ID,05000US17031,05000US17037,05000US17043,05000US17063,05000US17089,05000US17093,05000US17097,05000US17111,05000US17197,05000US18073,05000US18089,05000US18111,05000US18127,05000US55059
2013-2017,GEO_NAME,"Cook County, Illinois","DeKalb County, Illinois","DuPage County, Illinois","Grundy County, Illinois","Kane County, Illinois","Kendall County, Illinois","Lake County, Illinois","McHenry County, Illinois","Will County, Illinois","Jasper County, Indiana","Lake County, Indiana","Newton County, Indiana","Porter County, Indiana","Kenosha County, Wisconsin"
2013-2017,B01003_1_total,5238541,104473,931826,50333,529402,122933,704476,308043,687727,33448,488694,14056,167391,167886
2013-2017,B01001_1_total,5238541,104473,931826,50333,529402,122933,704476,308043,687727,33448,488694,14056,167391,167886
2013-2017,B01001_2_male,2540704,51739,457327,25154,263392,60801,351847,153503,341719,16568,236337,7041,82696,83033
2013-2017,B01001_3_under_5_years,169593,3147,28139,1699,17895,4711,21395,8828,21229,1002,15406,345,4724,5147
2013-2017,B01001_4_5_to_9_years,162384,3215,29750,1985,19822,5618,25370,10534,25675,1343,16560,447,5385,5749
2013-2017,B01001_5_10_to_14_years,165489,3252,32633,1878,21458,5311,26623,11928,27631,966,17531,425,5689,5796
2013-2017,B01001_6_15_to_17_years,98899,1978,20111,1184,13099,2847,17128,7607,17473,760,10725,338,3702,3811
2013-2017,B01001_7_18_and_19_years,64622,2559,12262,605,7156,1532,12412,4103,9846,504,6235,134,2273,2639
2013-2017,B01001_8_20_years,34332,1796,5661,220,3634,813,5638,2020,4824,324,3116,35,1216,1344
2013-2017,B01001_9_21_years,34433,1568,5711,327,3594,508,5420,2013,4329,208,3220,39,1278,1093
2013-2017,B01001_10_22_to_24_years,109203,4033,18487,893,9891,2089,16232,5719,13760,628,9766,306,3399,3396
2013-2017,B01001_11_25_to_29_years,217038,4263,29677,1481,15762,3361,19924,8177,19556,909,14344,453,4897,5468
2013-2017,B01001_12_30_to_34_years,207324,3319,30501,1680,17067,4642,19931,8794,20722,964,14825,410,5271,5257
2013-2017,B01001_13_35_to_39_years,180703,2796,29298,1822,17276,5296,21133,9044,22831,1032,15279,341,5740,4912
2013-2017,B01001_14_40_to_44_years,169464,3095,30295,1757,19212,4825,23084,10952,25229,1027,14346,549,5157,5675
2013-2017,B01001_15_45_to_49_years,165112,2896,31901,1720,19041,4534,25169,11990,26684,1018,15013,439,5418,5967
2013-2017,B01001_16_50_to_54_years,166907,2997,34184,1906,18916,3931,26775,12877,25998,1188,16327,538,5720,6551
2013-2017,B01001_17_55_to_59_years,159782,3201,33023,1845,17227,3361,24638,11477,22199,1310,17328,672,6136,5722
