estimate_year,index,NJ_005,NJ_007,NJ_015,NJ_033,PA_017,PA_029,PA_045,PA_091,PA_101,DE_003,MD_015,MSA
2005-2009,"B19001_11_$50,000_to_$59,999",13640,15833,8038,2112,17342,12118,16506,21653,42814,16317,3412,37980.0
2005-2009,"B19001_12_$60,000_to_$74,999",17043,21031,10777,2903,23625,16701,20794,30272,48626,20757,4359,37980.0
2005-2009,"B19001_13_$75,000_to_$99,999",27278,26811,16198,3881,34194,25841,26870,43994,54362,28756,5579,37980.0
2005-2009,"B19001_14_$100,000_to_$124,999",19637,18844,12568,2546,26256,19646,19201,33195,29122,19821,4338,37980.0
2005-2009,"B19001_15_$125,000_to_$149,999",13435,10973,7986,1172,17152,14433,12443,21739,14768,11884,2118,37980.0
2005-2009,"B19001_16_$150,000_to_$199,999",13019,10908,6997,1455,18300,16523,12811,24278,12257,11778,1937,37980.0
2005-2009,"B19001_17_$200,000_or_more",9808,8045,4440,556,16340,20621,12345,27294,10113,9460,1003,37980.0
2005-2009,B19013_1_median_household_income_in_the_past_12_months_(in_2009_inflation-adjusted_dollars),75383,60362,71883,59452,74111,83759,61605,75728,36669,63160,65079,37980.0
2005-2009,B25001_1_total,173858,205611,106284,27459,240086,183168,220716,313224,661299,212163,40100,37980.0
2005-2009,B25003_1_total,165336,192095,100680,25194,227204,175312,204481,298326,566697,195137,35872,37980.0
2005-2009,B25003_2_owner_occupied,130269,134001,81657,19107,177815,137104,147561,223098,321629,138957,27055,37980.0
2005-2009,B25003_3_renter_occupied,35067,58094,19023,6087,49389,38208,56920,75228,245068,56180,8817,37980.0
2005-2009,B25024_1_total,173858,205611,106284,27459,240086,183168,220716,313224,661299,212163,40100,37980.0
2005-2009,"B25024_2_1,_detached",112514,114638,77721,20424,153133,114017,101601,175061,56661,114045,28815,37980.0
2005-2009,"B25024_3_1,_attached",26020,36177,7764,1290,35355,30735,67409,61242,389701,43946,3862,37980.0
2005-2009,B25024_4_2,3406,8886,3510,1043,9209,3720,10653,11557,57281,4577,794,37980.0
2005-2009,B25024_5_3_or_4,5818,6901,3093,923,6600,5640,10341,11562,42815,6528,935,37980.0
2005-2009,B25024_6_5_to_9,7256,7853,4193,1011,8815,7300,5549,9634,27361,9837,1566,37980.0
2005-2009,B25024_7_10_to_19,9109,10915,3445,620,10038,7250,7503,12166,14956,15547,756,37980.0
2005-2009,B25024_8_20_to_49,3246,5818,2342,338,4660,4986,7458,8378,16373,4166,348,37980.0
2005-2009,B25024_9_50_or_more,3501,12805,1834,705,7177,4300,9376,20431,54571,7886,392,37980.0
2005-2009,B25024_10_mobile_home,2988,1553,2382,1105,5075,5179,815,3144,1420,5554,2625,37980.0
2005-2009,"B25024_11_boat,_rv,_van,_etc.",0,65,0,0,24,41,11,49,160,77,7,37980.0
2005-2009,B25077_1_median_value_(dollars),264100,217300,230900,187400,318200,328900,224400,294000,128900,245800,254700,37980.0
2005-2009,B25034_1_total,173858,205611,106284,27459,240086,183168,220716,313224,661299,212163,40100,37980.0
2005-2009,B25034_2_built_2005_or_later,2922,3095,3715,583,3853,6332,2615,4946,6122,4442,1189,37980.0
2005-2009,B25034_3_built_2000_to_2004,13477,7940,10347,1172,14428,18735,5683,16966,10470,13952,5327,37980.0
2005-2009,B25034_4_built_1990_to_1999,23857,15413,14892,1924,32471,30028,12570,36728,14794,29835,8553,37980.0
2005-2009,B25034_5_built_1980_to_1989,25143,23791,15591,2662,36521,31368,14386,35857,26001,28719,5810,37980.0
2005-2009,B25034_6_built_1970_to_1979,33873,32239,16676,4179,45124,28328,20907,42090,44447,27916,5318,37980.0
2005-2009,B25034_7_built_1960_to_1969,26792,31757,12451,3608,31917,19093,25361,39817,69481,33269,3503,37980.0
2005-2009,B25034_8_built_1950_to_1959,21540,33475,14074,4350,42820,17661,58217,54354,119301,31640,3699,37980.0
2005-2009,B25034_9_built_1940_to_1949,6418,19543,5757,2413,9274,5613,31266,21843,105874,15263,1890,37980.0
2005-2009,B25034_10_built_1939_or_earlier,19836,38358,12781,6568,23678,26010,49711,60623,264809,27127,4811,37980.0
2005-2009,B03002_1_total,446301,516937,284552,65982,621241,486301,555018,776306,1531112,527774,99069,37980.0
2005-2009,B03002_2_not_hispanic_or_latino,422033,454460,274112,62362,600101,461969,542525,751437,1362190,488763,96773,37980.0
2005-2009,B03002_3_white_alone,323485,326624,235238,51130,550683,410596,413658,638087,608294,343102,88615,37980.0
2005-2009,B03002_4_black_or_african_american_alone,70116,94186,27227,9703,22075,29527,97992,61082,641689,117395,5229,37980.0
2005-2009,B03002_5_american_indian_and_alaska_native_alone,422,878,266,180,536,366,315,519,2450,841,233,37980.0
2005-2009,B03002_6_asian_alone,17846,23459,6209,405,20371,15457,24067,40334,83767,19922,954,37980.0
2005-2009,B03002_7_native_hawaiian_and_other_pacific_islander_alone,19,163,72,24,204,59,152,322,249,39,26,37980.0
2005-2009,B03002_8_some_other_race_alone,1306,1294,470,230,755,933,549,1222,6541,837,184,37980.0
2005-2009,B03002_9_two_or_more_races,8839,7856,4630,690,5477,5031,5792,9871,19200,6627,1532,37980.0
2005-2009,B03002_10_two_races_including_some_other_race,414,400,145,12,231,217,263,363,1012,242,0,37980.0
2005-2009,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",8425,7456,4485,678,5246,4814,5529,9508,18188,6385,1532,37980.0
2005-2009,B03002_12_hispanic_or_latino,24268,62477,10440,3620,21140,24332,12493,24869,168922,39011,2296,37980.0
2005-2009,B03002_13_white_alone,13053,18757,5246,2075,15378,16743,7310,16579,58433,27744,1579,37980.0
2005-2009,B03002_14_black_or_african_american_alone,1189,3241,418,237,419,537,1166,814,12743,2047,246,37980.0
2005-2009,B03002_15_american_indian_and_alaska_native_alone,131,660,62,22,116,8,76,35,1108,334,9,37980.0
2005-2009,B03002_16_asian_alone,76,70,153,0,278,20,58,248,281,183,52,37980.0
2005-2009,B03002_17_native_hawaiian_and_other_pacific_islander_alone,0,0,0,0,17,0,0,17,244,7,18,37980.0
2005-2009,B03002_18_some_other_race_alone,7792,35885,3524,1102,4009,6101,3404,5560,88131,7430,274,37980.0
2005-2009,B03002_19_two_or_more_races,2027,3864,1037,184,923,923,479,1616,7982,1266,118,37980.0
2005-2009,B03002_20_two_races_including_some_other_race,1216,2540,526,120,765,506,284,1092,4839,464,48,37980.0
2005-2009,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",811,1324,511,64,158,417,195,524,3143,802,70,37980.0
2005-2009,B11005_1_total,165336,192095,100680,25194,227204,175312,204481,298326,566697,195137,35872,37980.0
2005-2009,B11005_2_households_with_one_or_more_people_under_18_years,59359,69608,38991,8296,77988,64320,68546,99928,168817,68021,13531,37980.0
2005-2009,B11005_3_family_households,58866,68985,38637,8211,77567,63970,68045,99190,167111,67325,13357,37980.0
2005-2009,B11005_4_married-couple_family,44108,43615,28411,5289,61820,51818,46586,76572,70566,43683,9477,37980.0
2005-2009,B11005_5_other_family,14758,25370,10226,2922,15747,12152,21459,22618,96545,23642,3880,37980.0
