index,13013,13015,13035,13045,13057,13059,13063,13067,13077,13085,13089,13097,13113,13117,13121,13129,13135,13139,13143,13149,13151,13157,13159,13171,13195,13199,13211,13217,13219,13221,13223,13227,13231,13233,13247,13255,13285,13293,13297,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,2012-2016
"B15002_13_some_college,_1_or_more_years,_no_degree",2837,4917,1004,5433,11496,4339,12719,33320,6948,1186,32524,6359,5303,8443,40947,2209,39759,8237,1222,516,10084,3109,411,850,1411,1016,1024,5231,1378,539,7036,1735,941,1569,3924,2770,3371,1147,3872,2012-2016
B15002_14_associate's_degree,1813,2372,162,1495,4812,1600,5104,14843,3025,408,13123,2416,2500,3852,15671,824,21877,3545,621,187,4537,1407,259,208,596,269,316,1863,571,225,2838,785,410,569,1942,1193,847,363,2030,2012-2016
B15002_15_bachelor's_degree,2597,4017,480,3821,18226,6376,8796,67797,8504,1580,54241,6479,10430,21291,94796,1553,61915,8382,548,224,11194,2633,264,580,612,388,685,3640,2404,449,6509,1965,445,1002,4751,1815,2505,704,3901,2012-2016
B15002_16_master's_degree,691,1317,96,1203,5230,3164,2131,24836,2603,604,23043,2619,4122,8657,44880,561,21244,2807,160,119,3010,773,53,91,462,186,229,1164,1517,281,2352,534,154,445,1120,511,946,262,782,2012-2016
B15002_17_professional_school_degree,203,396,113,537,1674,978,560,6177,630,260,8216,648,1209,1348,14767,191,4385,1181,105,37,908,196,36,10,117,27,102,280,641,51,644,184,108,77,296,247,350,75,329,2012-2016
B15002_18_doctorate_degree,107,149,14,364,976,2091,452,3904,235,57,6182,237,493,1008,7123,126,4053,566,102,8,650,90,32,69,91,29,42,259,719,59,218,106,40,32,154,184,195,36,164,2012-2016
B15002_19_female,24644,34644,7696,36785,78737,35135,90674,254319,46691,8267,261534,47510,38986,67440,348770,19313,287971,62469,10026,3960,73239,21237,4820,6141,10066,7863,6488,35735,11975,5343,49693,10988,6200,14050,30993,22711,23793,9641,30301,2012-2016
B15002_20_no_schooling_completed,462,366,47,793,890,504,1603,1930,417,164,4425,559,179,637,2522,412,4923,1328,257,54,882,179,101,43,157,95,91,511,49,117,354,57,64,308,336,437,215,138,277,2012-2016
B15002_21_nursery_to_4th_grade,271,206,70,174,246,186,592,1211,172,12,1584,174,78,124,1485,329,2359,959,22,12,36,190,52,0,59,37,35,111,8,107,102,35,6,147,187,79,189,98,117,2012-2016
B15002_22_5th_and_6th_grade,261,794,58,399,893,284,1650,3314,389,97,3185,178,167,799,2424,407,4648,3126,74,47,340,130,53,8,58,94,42,163,37,70,238,51,14,94,246,222,336,62,205,2012-2016
B15002_23_7th_and_8th_grade,475,704,265,1119,617,813,1869,2851,673,40,2713,800,432,860,3698,681,5321,1737,328,165,637,533,127,155,167,210,135,738,71,62,895,325,101,587,536,661,602,201,408,2012-2016
B15002_24_9th_grade,543,1149,258,842,707,812,1596,2856,798,149,2519,552,184,679,3016,835,3641,1748,209,107,890,893,105,90,141,227,164,762,180,155,896,274,115,451,550,562,363,262,452,2012-2016
B15002_25_10th_grade,644,823,303,1193,1207,774,2381,2309,1046,285,3903,903,301,748,4754,872,3626,1734,460,137,1279,734,268,152,304,426,144,1053,146,214,962,368,140,775,696,864,839,420,841,2012-2016
B15002_26_11th_grade,828,993,430,1107,1234,785,2544,2491,952,235,4264,1287,487,597,6433,844,3818,1577,403,184,1497,416,167,196,414,501,339,987,207,134,474,329,209,761,702,1060,717,414,923,2012-2016
"B15002_27_12th_grade,_no_diploma",347,694,147,652,1156,765,1807,3096,783,13,4043,720,216,645,4688,298,6097,931,163,44,1024,412,190,172,201,127,123,781,138,64,470,157,81,193,555,604,636,232,695,2012-2016
B15002_28_high_school_graduate_(includes_equivalency),8165,12018,3086,12917,19024,7333,25036,48183,14565,2406,52719,13967,8644,12593,62755,6526,65535,17126,3582,1616,20138,7081,1878,2254,4095,2951,2166,10227,2486,1885,15130,3543,2376,5002,9585,8123,8003,3305,10875,2012-2016
"B15002_29_some_college,_less_than_1_year",2256,2562,532,2574,5532,1461,5720,13567,3523,623,11490,3245,2144,3913,13962,1407,15898,4053,585,321,5281,1780,460,404,677,473,318,2539,721,311,3134,827,455,699,1795,1554,1600,692,2285,2012-2016
"B15002_30_some_college,_1_or_more_years,_no_degree",3609,5337,1074,5652,13592,4479,18453,38968,6987,1377,40609,7724,5606,9432,51483,2987,42797,8743,1642,566,12507,2829,562,884,1146,1331,970,6892,1462,824,8764,1545,1157,2109,4380,3173,3908,1506,5081,2012-2016
B15002_31_associate's_degree,2401,2411,465,2397,5772,2540,7886,19667,3250,514,19048,4259,3110,5414,22670,1344,28358,4850,561,271,7089,1875,288,536,926,529,469,3283,1079,504,4633,892,398,971,2997,1539,2042,995,2634,2012-2016
B15002_32_bachelor's_degree,2970,4243,689,3928,18854,7215,12631,74242,8140,1549,63653,8154,11070,21421,103525,1304,66367,8840,920,228,12866,2637,277,842,1142,549,913,4789,2642,562,8811,1460,736,1041,5342,2396,2497,671,3440,2012-2016
B15002_33_master's_degree,1038,1868,166,2029,6865,4716,5357,30416,3847,709,33634,3918,4620,7814,49298,765,26895,4012,561,132,6800,950,243,274,421,221,409,2289,1923,285,3604,907,191,596,2300,968,1351,466,1481,2012-2016
B15002_34_professional_school_degree,235,385,106,514,1358,884,808,5818,698,53,7757,772,1157,1188,10316,161,4479,1173,203,46,1323,468,25,44,118,82,157,366,378,32,941,203,83,270,366,235,316,128,451,2012-2016
B15002_35_doctorate_degree,139,91,0,495,790,1584,741,3400,451,41,5988,298,591,576,5741,141,3209,532,56,30,650,130,24,87,40,10,13,244,448,17,285,15,74,46,420,234,179,51,136,2012-2016
B19001_1_total,24000,36490,7737,40287,80378,44901,90182,271975,49457,8522,270903,47534,38933,66500,385103,19779,278996,62327,10886,4364,71000,21115,5154,6287,10348,7982,6648,35090,12288,5723,50017,11377,6026,14868,29940,22914,24619,10078,30048,2012-2016
"B19001_2_less_than_$10,000",1373,2490,653,3663,2807,7853,7978,13084,2929,592,20545,2741,1283,2073,31657,1423,12710,3751,1020,337,3617,1369,516,797,669,855,428,2093,417,403,2598,468,413,1349,1744,2456,2667,1368,2200,2012-2016
"B19001_3_$10,000_to_$14,999",961,1718,565,2025,1902,3923,5678,8402,1880,325,12325,2196,954,1565,19864,1569,8561,2773,740,307,2345,1155,303,493,599,851,319,2059,330,511,1673,560,300,979,1559,1998,1691,639,1156,2012-2016
"B19001_4_$15,000_to_$19,999",1053,1911,599,2317,3614,3555,5945,8994,1643,425,13048,2291,1173,1585,17647,1258,10213,2979,839,253,2607,1124,195,382,629,729,296,2191,352,194,2242,489,242,1407,1729,1482,1768,840,1147,2012-2016
"B19001_5_$20,000_to_$24,999",1210,2293,506,2712,2954,3159,6094,11067,1850,395,14577,2070,1067,2005,18336,1390,13643,3505,852,384,3029,1180,376,339,916,631,347,1707,457,475,1368,620,229,849,1651,1443,1485,719,1481,2012-2016
"B19001_6_$25,000_to_$29,999",1178,1796,481,2322,2677,2381,5812,11880,2121,319,14572,2063,1220,1433,16173,1370,13293,3603,578,252,2464,972,321,528,546,395,447,1651,449,417,1842,549,269,933,1833,1345,1305,669,1570,2012-2016
"B19001_7_$30,000_to_$34,999",1546,2112,458,2607,3590,2542,5574,11975,2216,303,13654,2924,1423,1912,16963,1305,13636,3432,687,228,3289,884,288,387,738,531,342,2178,622,250,2828,560,278,1250,1400,1457,1642,726,1434,2012-2016
"B19001_8_$35,000_to_$39,999",1059,1832,520,2031,3034,2173,5351,11771,2008,313,13419,2165,1176,1701,17049,1233,12731,3517,425,210,3867,909,383,182,691,310,397,1390,481,262,2470,658,433,753,1063,1083,1123,523,1460,2012-2016
"B19001_9_$40,000_to_$44,999",1581,2339,406,2256,3148,2035,4991,11329,2166,415,14176,2114,1560,2268,15660,1218,13824,3001,533,241,3854,1075,524,355,380,286,239,1876,429,392,2142,595,474,773,1957,1428,1141,403,1803,2012-2016
"B19001_10_$45,000_to_$49,999",1379,1494,299,1915,2301,1703,4816,10444,2035,325,11957,2229,1464,2367,13641,1044,11853,3271,408,262,2890,869,316,340,528,310,249,1968,459,375,2338,562,318,598,1733,688,1018,616,1188,2012-2016
"B19001_11_$50,000_to_$59,999",2402,3557,540,3136,7015,2681,8555,19807,3875,929,21326,3971,2654,3979,28287,1686,24092,5290,699,337,5934,2089,397,431,989,818,512,3264,970,489,5038,826,505,1261,2979,2102,2348,681,3018,2012-2016
"B19001_12_$60,000_to_$74,999",2998,4280,654,4323,8324,3179,9697,29053,5483,824,26795,6257,3714,5968,34105,1865,30237,6784,1208,463,9444,2369,415,453,994,607,815,3989,1111,631,6032,1500,674,1376,3062,2225,2499,1082,3326,2012-2016
"B19001_13_$75,000_to_$99,999",3358,4668,836,5032,12271,3490,9748,35599,7837,1224,29694,6544,5436,8575,39399,1897,39474,7775,1126,537,11117,2826,477,764,1278,852,1058,4630,1560,734,7743,1317,654,1650,3825,2471,2278,945,4274,2012-2016
"B19001_14_$100,000_to_$124,999",2014,2689,515,2744,9160,2304,4789,27646,5193,706,20121,4201,4245,8843,30854,1195,26380,4841,749,252,6793,1683,199,343,633,284,404,2800,1495,280,4816,1092,489,868,2505,1282,1327,412,2381,2012-2016
"B19001_15_$125,000_to_$149,999",884,1733,414,1292,5934,1509,2327,17838,3137,427,13162,2335,3287,5913,18643,483,16335,2641,422,208,3999,918,197,315,302,186,355,1378,907,167,3211,498,296,464,1081,610,887,178,1395,2012-2016
"B19001_16_$150,000_to_$199,999",636,888,181,1003,6558,1142,1863,21022,3103,455,14008,2331,4251,7956,24902,494,17696,2816,475,81,3365,1123,195,103,201,143,228,1285,1061,106,2476,643,302,117,1180,448,742,142,1296,2012-2016
"B19001_17_$200,000_or_more",368,690,110,909,5089,1272,964,22064,1981,545,17524,1102,4026,8357,41923,349,14318,2348,125,12,2386,570,52,75,255,194,212,631,1188,37,1200,440,150,241,639,396,698,135,919,2012-2016
B19013_1_median_household_income_in_the_past_12_months_(in_2016_inflation-adjusted_dollars),53133,50565,40753,45486,72586,33116,42470,68818,65244,59265,52623,57384,81689,91842,58851,41390,61865,51902,42281,44185,62561,54246,41434,40364,45063,34989,54506,51068,75946,44403,60971,56769,50819,39356,51072,40548,42545,35699,54459,2012-2016
B25001_1_total,26902,39935,9288,44691,85926,51868,104699,293084,52005,10645,307255,51891,41391,71466,449933,22255,298844,69701,12243,5105,77863,23866,6236,7515,11762,9879,7520,38414,13121,6488,53398,13706,6816,16922,33299,27005,28282,12114,32636,2012-2016
B25003_1_total,24000,36490,7737,40287,80378,44901,90182,271975,49457,8522,270903,47534,38933,66500,385103,19779,278996,62327,10886,4364,71000,21115,5154,6287,10348,7982,6648,35090,12288,5723,50017,11377,6026,14868,29940,22914,24619,10078,30048,2012-2016
B25003_2_owner_occupied,17461,23472,5535,25716,62095,17301,45993,173718,35914,6602,146154,31228,31416,56003,197281,12582,184363,41012,7585,3093,51522,16010,3764,4464,7567,5325,4976,23930,9984,4263,39269,8715,5058,9985,20309,13986,14204,6744,21795,2012-2016
B25003_3_renter_occupied,6539,13018,2202,14571,18283,27600,44189,98257,13543,1920,124749,16306,7517,10497,187822,7197,94633,21315,3301,1271,19478,5105,1390,1823,2781,2657,1672,11160,2304,1460,10748,2662,968,4883,9631,8928,10415,3334,8253,2012-2016
B25024_1_total,26902,39935,9288,44691,85926,51868,104699,293084,52005,10645,307255,51891,41391,71466,449933,22255,298844,69701,12243,5105,77863,23866,6236,7515,11762,9879,7520,38414,13121,6488,53398,13706,6816,16922,33299,27005,28282,12114,32636,2012-2016
"B25024_2_1,_detached",22276,28821,7379,32657,70631,24657,66799,192573,43266,8884,172509,39662,35081,61585,217063,15392,217363,50247,8796,3032,64466,18155,4470,5432,8035,7478,5948,32124,11095,4335,47934,10675,5665,12920,25242,20735,20886,8625,26772,2012-2016
"B25024_3_1,_attached",379,1080,48,787,3304,2954,4816,24344,1168,137,19893,1567,1158,3770,28003,206,17068,2294,114,12,1318,196,44,19,135,56,18,460,402,0,777,262,35,296,769,548,268,62,738,2012-2016
B25024_4_2,736,1024,146,1060,589,4288,1467,2642,610,43,3648,689,414,222,7912,578,3449,1046,345,110,453,512,140,294,133,94,171,1084,741,39,546,126,66,443,1173,870,687,300,1208,2012-2016
B25024_5_3_or_4,305,840,290,1047,1050,3235,3906,6384,726,148,13413,861,347,391,16374,559,6492,1254,316,127,745,154,64,240,105,24,117,753,28,98,652,89,77,474,1381,890,988,503,350,2012-2016
B25024_6_5_to_9,326,1082,277,1819,916,4139,11606,16632,1259,231,27540,1831,1196,400,39257,899,16507,1987,212,33,2391,367,42,144,43,69,0,536,46,87,682,208,103,362,2254,848,1640,219,660,2012-2016
B25024_7_10_to_19,204,998,93,1307,2809,4737,7402,23623,1178,71,30356,2758,725,552,50806,681,18975,2676,63,6,1978,232,13,57,3,21,0,543,0,45,575,168,3,167,971,367,699,50,186,2012-2016
B25024_8_20_to_49,107,550,45,500,2117,3123,4045,13707,1114,0,17973,1852,670,616,23274,252,7966,1264,51,36,3379,146,2,39,11,109,34,498,30,15,294,173,42,128,344,223,413,143,87,2012-2016
B25024_9_50_or_more,27,172,8,421,1063,2395,1503,9011,798,40,20197,506,616,509,64416,194,5963,1525,49,4,539,143,0,0,0,97,0,344,52,0,163,18,0,105,158,320,502,30,96,2012-2016
B25024_10_mobile_home,2542,5331,949,5090,3447,2304,3121,4091,1864,1091,1624,2165,1135,3377,2595,3472,4822,7408,2297,1701,2582,3923,1461,1290,3283,1931,1229,1993,727,1859,1757,1963,825,2027,1007,2195,2199,2169,2393,2012-2016
"B25024_11_boat,_rv,_van,_etc.",0,37,53,3,0,36,34,77,22,0,102,0,49,44,233,22,239,0,0,44,12,38,0,0,14,0,3,79,0,10,18,24,0,0,0,9,0,13,146,2012-2016
B25077_1_median_value_(dollars),123200,128200,117000,113700,204400,152300,86700,205600,182300,196400,168100,127400,240200,281400,252700,112300,173000,164500,106600,94200,146100,155900,115000,121000,122800,88400,190100,117900,242000,113600,140600,181100,154200,98000,143100,110300,120300,83600,157400,2012-2016
B25034_1_total,26902,39935,9288,44691,85926,51868,104699,293084,52005,10645,307255,51891,41391,71466,449933,22255,298844,69701,12243,5105,77863,23866,6236,7515,11762,9879,7520,38414,13121,6488,53398,13706,6816,16922,33299,27005,28282,12114,32636,2012-2016
B25034_2_built_2014_or_later,227,106,0,15,1109,73,172,1191,406,66,991,100,177,1193,2723,80,1336,470,0,13,296,43,0,45,18,0,0,56,163,14,479,17,23,29,86,25,85,0,21,2012-2016
B25034_3_built_2010_to_2013,382,264,91,394,2354,954,630,5217,1581,182,3253,787,589,3809,10252,268,5523,899,146,34,1205,493,80,99,221,119,74,434,410,78,634,203,125,269,204,534,547,91,473,2012-2016
B25034_4_built_2000_to_2009,10114,9625,2150,12462,31040,9237,25215,55699,16614,3656,55922,17594,8138,30077,107268,5139,87492,18353,2129,769,33178,9105,1723,1629,1923,1524,2039,13807,3636,1461,23674,4820,2034,2885,6687,4580,4838,1227,9446,2012-2016
B25034_5_built_1990_to_1999,6208,12282,1987,8316,22855,9959,17977,65398,14088,3191,45194,9882,11604,21593,80497,5182,89257,17192,2565,1232,23624,5165,1222,1376,2651,1920,1665,9705,2949,1296,15991,3637,1495,2915,8873,4828,4759,2033,9603,2012-2016
B25034_6_built_1980_to_1989,4063,6527,1080,7459,14557,9219,19159,74772,7532,1823,50525,8689,11916,7615,65868,3737,67102,11414,1925,1130,9779,3066,1070,803,1899,1611,991,4948,2647,1310,6566,1644,833,2236,9111,3797,4137,1962,5974,2012-2016
B25034_7_built_1970_to_1979,2414,4809,1642,6177,8127,9061,21713,48368,4640,875,54472,7954,6425,3538,52677,3081,32023,9072,1825,784,4435,1925,736,1088,2021,1188,1066,3704,1786,1030,2910,1384,855,2758,5796,4295,4527,2037,3160,2012-2016
B25034_8_built_1960_to_1969,1440,2467,815,2920,2193,5892,12890,23368,1903,460,46331,3496,1404,1787,47785,2211,9340,4922,1441,393,2459,1333,369,772,1110,1070,582,2320,699,463,1044,742,456,1849,1717,3095,2133,1414,1466,2012-2016
B25034_9_built_1950_to_1959,1012,1368,539,2204,1588,3597,4442,12632,2125,189,28844,1761,418,801,35259,1135,3979,3954,815,218,1254,1102,577,548,700,662,389,1437,311,268,766,480,153,922,425,2724,3264,1255,955,2012-2016
B25034_10_built_1940_to_1949,366,1151,265,1428,774,1434,1329,2999,1063,83,10436,846,131,380,17084,672,1201,1442,701,189,624,509,112,305,313,436,150,555,96,132,629,384,153,1253,112,1655,1654,907,422,2012-2016
B25034_11_built_1939_or_earlier,676,1336,719,3316,1329,2442,1172,3440,2053,120,11287,782,589,673,30520,750,1591,1983,696,343,1009,1125,347,850,906,1349,564,1448,424,436,705,395,689,1806,288,1472,2338,1188,1116,2012-2016
B25127_1_total,24000,36490,7737,40287,80378,44901,90182,271975,49457,8522,270903,47534,38933,66500,385103,19779,278996,62327,10886,4364,71000,21115,5154,6287,10348,7982,6648,35090,12288,5723,50017,11377,6026,14868,29940,22914,24619,10078,30048,2012-2016
B25127_2_owner_occupied,17461,23472,5535,25716,62095,17301,45993,173718,35914,6602,146154,31228,31416,56003,197281,12582,184363,41012,7585,3093,51522,16010,3764,4464,7567,5325,4976,23930,9984,4263,39269,8715,5058,9985,20309,13986,14204,6744,21795,2012-2016
B25127_3_built_2010_or_later,395,329,68,247,2483,221,426,4216,1749,86,1562,430,582,4298,4208,194,4310,992,22,47,879,310,33,70,208,112,74,238,551,79,960,129,114,89,290,385,227,74,265,2012-2016
"B25127_4_1,_detached__or_attached",385,295,21,215,2346,154,426,4131,1631,86,1492,430,582,4268,3642,194,4243,949,22,45,879,304,32,25,173,112,74,233,515,62,960,101,99,71,290,358,219,74,265,2012-2016
B25127_5_2_to_4,0,0,0,0,0,0,0,9,0,0,26,0,0,30,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
B25127_6_5_to_19,0,0,0,0,0,15,0,37,0,0,24,0,0,0,49,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
B25127_7_20_to_49,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
B25127_8_50_or_more,0,0,0,0,0,0,0,32,0,0,2,0,0,0,308,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",10,34,47,32,137,52,0,0,118,0,9,0,0,0,20,0,38,43,0,2,0,6,1,45,35,0,0,5,36,17,0,28,15,18,0,27,8,0,0,2012-2016
B25127_10_built_2000_to_2009,7698,5906,1653,7831,23352,3292,13090,36791,12055,2464,25049,11250,6308,24799,47189,3160,59049,12521,1411,606,22687,7358,1123,1162,1507,987,1554,9951,3181,1192,18448,3349,1763,2061,5118,3023,2590,786,7963,2012-2016
"B25127_11_1,_detached__or_attached",7543,5499,1560,7300,22940,2878,12628,34956,11805,2364,22511,11119,6137,24341,39121,2984,58048,12094,1241,416,22507,7067,985,964,1231,916,1341,9911,3089,933,18293,3029,1725,1783,5041,2892,2491,568,7818,2012-2016
B25127_12_2_to_4,0,137,0,0,63,76,54,516,118,0,261,12,13,83,569,9,126,43,0,0,0,7,0,0,0,3,0,0,37,0,0,0,0,0,0,0,0,0,0,2012-2016
B25127_13_5_to_19,8,0,0,134,48,88,110,320,6,0,707,28,48,82,1246,0,181,23,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,2012-2016
B25127_14_20_to_49,0,14,0,0,14,50,0,234,0,0,419,0,0,0,648,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
B25127_15_50_or_more,0,0,0,0,17,46,0,376,0,30,1054,14,0,14,5360,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",147,256,93,397,270,154,298,389,126,70,97,77,110,279,245,157,684,322,170,190,160,284,138,198,276,68,213,40,55,259,155,320,38,278,77,131,86,218,135,2012-2016
B25127_17_built_1980_to_1999,6324,11721,1911,9420,27672,5562,15718,84009,15398,3268,41717,10855,18212,22657,70584,4861,93084,17047,3075,1423,22077,5188,1442,1441,2930,2043,1602,8849,4249,1627,16169,3579,1693,2811,9441,4530,5110,2099,10065,2012-2016
"B25127_18_1,_detached__or_attached",5470,9991,1599,8114,26696,4621,14753,80416,14964,3033,39015,10268,17738,21787,63082,3542,90453,14994,2186,860,21148,3872,933,1161,1826,1539,1241,8010,3962,923,15359,2903,1368,2253,9139,3931,4461,1409,9416,2012-2016
B25127_19_2_to_4,0,37,0,36,0,34,55,593,0,0,555,40,20,0,757,32,434,82,0,0,0,0,0,0,0,5,0,21,23,7,13,0,0,18,46,0,0,9,0,2012-2016
B25127_20_5_to_19,0,0,0,23,26,209,38,1460,0,0,996,0,54,29,2275,62,390,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,2012-2016
B25127_21_20_to_49,0,0,0,0,7,18,0,86,0,0,379,0,22,0,1027,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2012-2016
B25127_22_50_or_more,0,0,0,0,0,7,18,162,0,0,410,0,18,15,2935,21,27,25,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",854,1693,312,1247,943,673,854,1292,434,235,362,547,360,826,508,1187,1707,1901,889,563,915,1316,509,280,1104,499,361,818,264,697,797,676,325,540,256,599,618,681,629,2012-2016
B25127_24_built_1960_to_1979,2079,3651,1216,5113,6918,5194,13809,38983,4047,586,47201,6831,5677,3217,37249,3071,24575,7074,1852,612,4128,1647,622,924,1812,1050,1073,3211,1556,869,2532,1018,953,2731,4854,3810,3272,1970,2492,2012-2016
"B25127_25_1,_detached__or_attached",1831,3070,1114,4654,6706,4993,13654,37798,3830,469,45061,6559,5483,2879,32940,2907,24035,6605,1673,388,3793,1455,523,839,1669,832,950,2948,1476,726,2433,861,859,2459,4736,3504,2965,1763,2326,2012-2016
B25127_26_2_to_4,0,103,2,0,54,51,40,240,0,0,824,13,36,10,658,0,113,25,0,13,0,0,0,0,0,0,0,27,3,0,0,0,0,15,0,7,0,0,0,2012-2016
B25127_27_5_to_19,0,0,0,37,0,29,27,291,0,0,1049,0,25,0,2193,0,106,80,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,37,0,0,17,0,2012-2016
B25127_28_20_to_49,0,13,0,0,0,6,0,13,0,0,35,0,0,9,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2012-2016
B25127_29_50_or_more,0,0,0,0,0,9,6,57,0,0,92,0,0,6,1017,0,32,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",248,465,100,422,158,106,82,584,217,117,140,259,133,313,138,164,289,354,179,211,323,192,99,85,143,218,123,178,77,143,99,150,94,257,81,299,307,190,166,2012-2016
B25127_31_built_1940_to_1959,540,1201,336,1536,1065,1901,2564,8191,1674,175,23187,1292,256,654,23112,977,2467,2524,774,198,1138,912,275,327,604,586,340,1132,182,204,872,429,150,1275,389,1537,2151,969,566,2012-2016
"B25127_32_1,_detached__or_attached",540,1195,336,1536,1035,1882,2529,8148,1654,175,22551,1217,256,643,21737,977,2413,2443,715,198,1123,874,264,327,518,586,340,1132,182,204,872,429,140,1275,361,1488,2099,949,566,2012-2016
B25127_33_2_to_4,0,0,0,0,0,11,8,43,20,0,324,17,0,11,378,0,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,49,0,0,0,2012-2016
B25127_34_5_to_19,0,0,0,0,13,0,8,0,0,0,204,0,0,0,304,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
B25127_35_20_to_49,0,0,0,0,0,0,0,0,0,0,36,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
B25127_36_50_or_more,0,0,0,0,0,0,9,0,0,0,51,0,0,0,416,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",0,6,0,0,17,8,10,0,0,0,21,58,0,0,30,0,0,39,59,0,15,38,11,0,86,0,0,0,0,0,0,0,10,0,21,0,52,20,0,2012-2016
B25127_38_built_1939_or_earlier,425,664,351,1569,605,1131,386,1528,991,23,7438,570,381,378,14939,319,878,854,451,207,613,595,269,540,506,547,333,549,265,292,288,211,385,1018,217,701,854,846,444,2012-2016
"B25127_39_1,_detached__or_attached",417,664,346,1542,587,1113,357,1514,953,23,7249,570,381,361,12908,313,867,817,451,207,613,572,269,540,506,547,331,549,265,292,288,211,385,1001,217,701,832,835,427,2012-2016
B25127_40_2_to_4,0,0,0,0,0,18,29,0,0,0,127,0,0,0,341,6,11,27,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,0,0,2012-2016
B25127_41_5_to_19,8,0,0,0,0,0,0,14,0,0,27,0,0,0,764,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
B25127_42_20_to_49,0,0,0,0,0,0,0,0,0,0,18,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
B25127_43_50_or_more,0,0,0,0,0,0,0,0,0,0,7,0,0,17,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
"B25127_44_mobile_home,_boat,_rv,_van,_etc.",0,0,5,27,18,0,0,0,38,0,10,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,11,17,2012-2016
B25127_45_renter_occupied,6539,13018,2202,14571,18283,27600,44189,98257,13543,1920,124749,16306,7517,10497,187822,7197,94633,21315,3301,1271,19478,5105,1390,1823,2781,2657,1672,11160,2304,1460,10748,2662,968,4883,9631,8928,10415,3334,8253,2012-2016
