"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"20106","Rappahannock","County",51,"157",478,1669,0.29,1,478,2141,266.227,156828290.307925,101331747.071177,0.646131809970106,"642"
"20115","Rappahannock","County",51,"157",481,1717,0.28,0.96,463,2113,266.227,247617805.868171,36855.4073414803,0.000148839891429705,"642"
"22610","Rappahannock","County",51,"157",170,554,0.31,1,170,724,266.227,135475199.871103,24591.8930195905,0.000181523208993146,"642"
"22623","Rappahannock","County",51,"157",33,227,0.15,1,33,260,266.227,3125644.24836347,2761058.48022972,0.883356601339185,"156"
"22627","Rappahannock","County",51,"157",23,263,0.09,1,23,286,266.227,85409199.3490468,85164705.3533033,0.997137381012737,"156"
"22630","Rappahannock","County",51,"157",1946,9380,0.21,1,1939,10076,266.227,343731687.931053,82358.7255713008,0.000239601783783812,"12036"
"22639","Rappahannock","County",51,"157",33,126,0.26,1,33,159,266.227,48692404.2975961,63469.2282928155,0.00130347287648618,"156"
"22640","Rappahannock","County",51,"157",41,175,0.23,1,41,216,266.227,61385197.4647907,61156095.6801796,0.996267800804217,"156"
"22650","Rappahannock","County",51,"157",66,219,0.3,1,66,285,266.227,75726979.1051072,7389.14552614093,9.75761295836848e-05,"156"
"22713","Rappahannock","County",51,"157",139,362,0.38,1,139,501,266.227,69331363.2384347,28242847.6861369,0.40736033977881,"156"
"22716","Rappahannock","County",51,"157",55,315,0.17,1,55,370,266.227,65170839.1392074,65151890.6339352,0.999709248714265,"156"
"22719","Rappahannock","County",51,"157",21,133,0.16,1,21,140,266.227,52763187.3310449,56066.7000063956,0.00106261018036352,"156"
"22727","Rappahannock","County",51,"157",504,1532,0.33,1,504,1914,266.227,263173453.41947,0,0,"642"
"22735","Rappahannock","County",51,"157",195,685,0.28,1,195,880,266.227,86304172.931658,10707.8794972599,0.000124071399255968,"642"
"22737","Rappahannock","County",51,"157",233,733,0.32,1,233,966,266.227,105429029.478615,637.38707763917,6.04565062195188e-06,"642"
"22740","Rappahannock","County",51,"157",54,491,0.11,1,54,545,266.227,204550568.159909,196428956.233334,0.960295334304691,"156"
"22743","Rappahannock","County",51,"157",14,77,0.18,1,14,76,266.227,157551522.830474,74798.3325886056,0.000474754742098488,"156"
"22747","Rappahannock","County",51,"157",74,409,0.18,1,74,442,266.227,100852087.245946,100852087.245946,1,"156"
"22749","Rappahannock","County",51,"157",10,104,0.1,1,10,114,266.227,49985357.7538133,49985357.7538133,1,"156"
"22835","Rappahannock","County",51,"157",457,3409,0.13,1,457,3640,266.227,394685603.052309,13611.9968413049,3.44882020930995e-05,"642"
