"STATE_FIPS","value","county_code","variable","value","value_prop"
51,"Manassas city","683","$75,000 to $99,999",2147,17.12
51,"Manassas city","683","$150,000 to $199,999",1164,9.28
51,"Manassas city","683","$200,000 or more",847,6.75
51,"Manassas city","683","less than $40,000",2673,21.32
51,"Manassas city","683","$40,000 to $74,999",3327,26.53
51,"Manassas city","683","$100,000 to $149,999",2382,19
