estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5
2013-2017,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2013-2017,"B25127_4_1,_detached__or_attached",1256,1143,2642,2873,5031,5016,1112,80,528,3758,562,11309,5200,77,1418,2725,258,505,115,129,383,195,54,611
2013-2017,B25127_5_2_to_4,203,0,0,12,151,10,0,0,0,54,0,112,69,0,0,6,0,26,0,0,0,0,0,0
2013-2017,B25127_6_5_to_19,123,0,0,15,102,0,89,0,0,39,0,331,94,0,0,11,0,18,0,0,0,24,0,0
2013-2017,B25127_7_20_to_49,276,0,0,5,80,69,85,0,0,181,0,199,38,0,0,0,0,42,0,0,8,25,0,0
2013-2017,B25127_8_50_or_more,203,0,0,0,29,6,75,0,0,147,0,25,6,0,0,0,0,54,0,8,0,0,0,0
2013-2017,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",0,0,12,0,0,37,0,0,0,91,0,29,4,0,73,5,0,4,0,0,0,0,0,20
2013-2017,B25127_10_built_2000_to_2009,9406,5412,9159,12768,23198,23365,5088,933,3767,25981,4506,34263,31219,389,10243,9181,2148,3299,682,381,790,562,547,4629
2013-2017,"B25127_11_1,_detached__or_attached",2632,5284,9015,12012,18376,22085,1812,933,3660,21976,4364,32160,30183,389,9951,8934,2126,1597,592,159,746,562,439,4522
2013-2017,B25127_12_2_to_4,255,0,12,25,335,19,15,0,15,184,0,114,111,0,37,16,0,45,26,0,0,0,0,0
2013-2017,B25127_13_5_to_19,593,67,51,465,868,294,233,0,0,897,37,800,241,0,7,42,0,192,0,0,0,0,8,0
2013-2017,B25127_14_20_to_49,1258,16,9,63,880,492,180,0,0,556,8,350,257,0,0,10,0,275,0,0,44,0,88,0
2013-2017,B25127_15_50_or_more,4668,27,16,141,2721,319,2848,0,0,2103,15,681,186,0,0,0,0,1190,64,222,0,0,0,0
2013-2017,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",0,18,56,62,18,156,0,0,92,265,82,158,241,0,248,179,22,0,0,0,0,0,12,107
2013-2017,B25127_17_built_1980_to_1999,5598,12111,16786,26987,82941,57363,7714,950,4333,106696,7417,34534,37260,700,16010,15152,3936,5959,804,286,393,4274,1236,4801
2013-2017,"B25127_18_1,_detached__or_attached",3225,11850,16582,25464,72921,54499,4334,933,4112,94237,7141,32059,35087,700,15102,14528,3878,3763,738,259,370,3816,1236,4394
2013-2017,B25127_19_2_to_4,295,0,8,77,656,212,125,0,0,919,49,254,299,0,25,0,0,163,21,0,6,50,0,33
2013-2017,B25127_20_5_to_19,558,69,17,1074,4899,1693,327,0,10,6713,65,1642,1228,0,0,75,0,444,20,27,17,369,0,0
2013-2017,B25127_21_20_to_49,497,6,11,104,826,196,321,0,0,1103,0,127,0,0,3,0,0,170,17,0,0,23,0,0
2013-2017,B25127_22_50_or_more,1023,45,0,77,3501,160,2594,0,0,3013,0,241,97,0,31,0,0,1410,8,0,0,0,0,0
2013-2017,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",0,141,168,191,138,603,13,17,211,711,162,211,549,0,849,549,58,9,0,0,0,16,0,374
