estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2006-2010,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2006-2010,FILETYPE,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5
2006-2010,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2006-2010,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2006-2010,SEQUENCE,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011
2006-2010,LOGRECNO,0000007,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000118,0000119,0000121,0000128,0000129,0000031
2006-2010,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2006-2010,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2006-2010,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2006-2010,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2006-2010,B01003_1_total,584400,87891,143912,229205,947230,854722,197467,14013,45749,1048554,64546,291653,379415,7376,120212,124587,37044,133647,22058,11465,23375,36067,13195,52033
2006-2010,B01001_1_total,584400,87891,143912,229205,947230,854722,197467,14013,45749,1048554,64546,291653,379415,7376,120212,124587,37044,133647,22058,11465,23375,36067,13195,52033
2006-2010,B01001_2_male,276101,43332,69666,112729,454412,409834,98284,6850,23063,517987,31905,144143,188880,3595,59033,62668,18368,64320,10784,5494,10720,18124,6476,25816
2006-2010,B01001_3_under_5_years,16463,2612,4948,7864,32539,30417,5726,375,1635,36584,2096,13940,16668,181,4360,4454,1178,4849,572,382,813,1655,641,1816
2006-2010,B01001_4_5_to_9_years,13091,3241,6031,8336,31111,27755,4215,277,1859,36423,2258,13165,15524,161,4892,4763,1029,2841,687,404,744,1340,556,1850
2006-2010,B01001_5_10_to_14_years,13447,3890,5158,8784,32545,29707,3625,568,1494,35221,2570,11709,15182,250,5132,5884,1508,2182,540,386,466,1447,409,1675
2006-2010,B01001_6_15_to_17_years,9056,2428,3694,5529,21194,19606,2183,318,895,23034,1664,6266,8936,185,3295,3662,878,1641,374,251,354,852,215,1018
2006-2010,B01001_7_18_and_19_years,11691,1293,2010,2967,10329,16310,1427,78,616,11975,823,2787,5055,73,1659,1727,551,1002,365,84,708,584,82,960
