"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"20198","Loudoun","County",51,"107",107,872,0.12,1,107,979,515.561,189486664.619847,19028.1622993474,0.000100419532622637,"156"
"20198","Prince William","County",51,"153",107,872,0.12,1,107,979,336.402,189486664.619847,276078.327249974,0.00145698024609726,"156"
"20198","Fauquier","County",51,"061",107,872,0.12,1,107,979,647.449,189486664.619847,189189402.527243,0.998431224206723,"156"
"22406","Stafford","County",51,"179",4092,4220,0.97,0.92,3767,6856,268.956,191622099.574469,191328464.504767,0.998467634629024,"12036"
"22406","Spotsylvania","County",51,"177",4092,4220,0.97,0.92,3767,6856,401.496,191622099.574469,57998.8592545837,0.000302673122689818,"12036"
"22406","Fauquier","County",51,"061",4092,4220,0.97,0.92,3767,6856,647.449,191622099.574469,195002.201645462,0.00101763941674003,"12036"
"22406","Culpeper","County",51,"047",4092,4220,0.97,0.92,3767,6856,379.234,191622099.574469,38814.52345974,0.000202557656689571,"12036"
"22406","Fredericksburg","city",51,"630",4092,4220,0.97,0.92,3767,6856,10.44,191622099.574469,1821.27966189384,9.50453870372114e-06,"12036"
"22556","Stafford","County",51,"179",2872,5983,0.48,0.93,2677,8324,268.956,82742081.8431034,82688242.8947353,0.999349316005003,"12036"
"22556","Fauquier","County",51,"061",2872,5983,0.48,0.93,2677,8324,647.449,82742081.8431034,53647.6538450602,0.000648372057483247,"12036"
"22620","Warren","County",51,"187",214,746,0.29,1,214,945,213.465,121212503.765698,28601.7705779076,0.000235963862549976,"642"
"22620","Clarke","County",51,"043",214,746,0.29,1,214,945,176.177,121212503.765698,121152820.215588,0.999507612265601,"642"
"22620","Fauquier","County",51,"061",214,746,0.29,1,214,945,647.449,121212503.765698,4881.6201332463,4.02732389942411e-05,"642"
"22627","Rappahannock","County",51,"157",23,263,0.09,1,23,286,266.227,85409199.3490468,85164705.3533033,0.997137381012737,"156"
"22627","Warren","County",51,"187",23,263,0.09,1,23,286,213.465,85409199.3490468,116113.243666053,0.00135949340997246,"156"
"22627","Fauquier","County",51,"061",23,263,0.09,1,23,286,647.449,85409199.3490468,128377.296145014,0.00150308511405623,"156"
"22630","Clarke","County",51,"043",1946,9380,0.21,1,1939,10076,176.177,343731687.931053,496239.476668764,0.00144368265741127,"12036"
"22630","Rappahannock","County",51,"157",1946,9380,0.21,1,1939,10076,266.227,343731687.931053,82358.7255713008,0.000239601783783812,"12036"
"22630","Warren","County",51,"187",1946,9380,0.21,1,1939,10076,213.465,343731687.931053,322364687.921659,0.937838143064422,"12036"
"22630","Fauquier","County",51,"061",1946,9380,0.21,1,1939,10076,647.449,343731687.931053,13801443.802459,0.0401517936432656,"12036"
"22639","Fauquier","County",51,"061",33,126,0.26,1,33,159,647.449,48692404.2975961,48628937.8536108,0.998696584305072,"156"
"22639","Rappahannock","County",51,"157",33,126,0.26,1,33,159,266.227,48692404.2975961,63469.2282928155,0.00130347287648618,"156"
"22640","Fauquier","County",51,"061",41,175,0.23,1,41,216,647.449,61385197.4647907,117517.658327257,0.00191442991438877,"156"
"22640","Warren","County",51,"187",41,175,0.23,1,41,216,213.465,61385197.4647907,111576.04683055,0.00181763766247633,"156"
"22640","Rappahannock","County",51,"157",41,175,0.23,1,41,216,266.227,61385197.4647907,61156095.6801796,0.996267800804217,"156"
"22642","Clarke","County",51,"043",417,1224,0.34,1,417,1641,176.177,132740688.158973,27930.3130098209,0.000210412597653336,"642"
"22642","Fauquier","County",51,"061",417,1224,0.34,1,417,1641,647.449,132740688.158973,96108780.1385994,0.724034065753054,"642"
"22642","Warren","County",51,"187",417,1224,0.34,1,417,1641,213.465,132740688.158973,36603975.9259133,0.275755508228763,"642"
"22643","Fauquier","County",51,"061",0,95,0,0,0,95,647.449,14904307.869881,14904307.869881,1,"156"
"22712","Fauquier","County",51,"061",670,1846,0.36,0.9,605,2194,647.449,94338509.6282774,94338509.6282774,1,"1942"
"22714","Culpeper","County",51,"047",177,90,1.97,1,177,267,379.234,58342898.2150135,58311918.0442791,0.999468998426848,"642"
"22714","Fauquier","County",51,"061",177,90,1.97,1,177,267,647.449,58342898.2150135,30977.8073522449,0.000530961064671163,"642"
"22718","Culpeper","County",51,"047",0,215,0,0,0,215,379.234,64072842.1064873,64040141.3183548,0.999489631065871,"156"
"22718","Fauquier","County",51,"061",0,215,0,0,0,215,647.449,64072842.1064873,32699.6553105367,0.00051035125390865,"156"
"22720","Fauquier","County",51,"061",81,222,0.36,1,81,303,647.449,53803352.3272319,53689825.141976,0.997889960748813,"156"
"22720","Culpeper","County",51,"047",81,222,0.36,1,81,303,379.234,53803352.3272319,13951.5399443768,0.000259306146195567,"156"
"22720","Stafford","County",51,"179",81,222,0.36,1,81,303,268.956,53803352.3272319,99578.9392861509,0.00185079432747075,"156"
"22724","Fauquier","County",51,"061",153,542,0.28,1,153,695,647.449,55092533.0297289,70736.369593896,0.00128395565975747,"156"
"22724","Culpeper","County",51,"047",153,542,0.28,1,153,695,379.234,55092533.0297289,55021795.3320839,0.998716020234416,"156"
"22728","Stafford","County",51,"179",172,954,0.18,1,172,1096,268.956,117736863.454943,32154.4245223328,0.000273104137300533,"642"
"22728","Fauquier","County",51,"061",172,954,0.18,1,172,1096,647.449,117736863.454943,117704900.336579,0.999728520724729,"642"
"22734","Culpeper","County",51,"047",224,973,0.23,1,224,1139,379.234,78618147.5934767,18278303.91451,0.232494716220287,"642"
"22734","Fauquier","County",51,"061",224,973,0.23,1,224,1139,647.449,78618147.5934767,60339847.173397,0.767505328227852,"642"
"22736","Fauquier","County",51,"061",93,161,0.58,1,93,254,647.449,75741457.6701974,125479.785733676,0.00165668564605734,"156"
"22736","Culpeper","County",51,"047",93,161,0.58,1,93,254,379.234,75741457.6701974,75508410.3989409,0.996923121386556,"156"
"22736","Spotsylvania","County",51,"177",93,161,0.58,1,93,254,401.496,75741457.6701974,28225.8563295566,0.000372660590352789,"156"
"22736","Stafford","County",51,"179",93,161,0.58,1,93,254,268.956,75741457.6701974,63954.3366369456,0.000844376892182658,"156"
"22742","Culpeper","County",51,"047",132,475,0.28,1,132,598,379.234,57675127.8599557,26846.9498592559,0.000465485744989496,"156"
"22742","Fauquier","County",51,"061",132,475,0.28,1,132,598,647.449,57675127.8599557,57648292.0075011,0.999534706667323,"156"
"20105","Loudoun","County",51,"107",4893,740,6.61,0.93,4547,5233,515.561,97119079.0998353,97004788.6431253,0.998823192540854,"12036"
"20105","Prince William","County",51,"153",4893,740,6.61,0.93,4547,5233,336.402,97119079.0998353,114291.898930179,0.00117682230916431,"12036"
"20105","Fauquier","County",51,"061",4893,740,6.61,0.93,4547,5233,647.449,97119079.0998353,2.4183773547411,2.49011561595954e-08,"12036"
"20109","Prince William","County",51,"153",2140,10949,0.2,0.5,1061,7340,336.402,53259552.8967605,53133263.054666,0.997628785161992,"12036"
"20109","Fairfax","County",51,"059",2140,10949,0.2,0.5,1061,7340,390.969,53259552.8967605,24662.1938011702,0.000463056718650567,"12036"
"20109","Loudoun","County",51,"107",2140,10949,0.2,0.5,1061,7340,515.561,53259552.8967605,6841.06587702036,0.000128447677551504,"12036"
"20109","Manassas","city",51,"683",2140,10949,0.2,0.5,1061,7340,9.881,53259552.8967605,94781.0026141405,0.00177960567558399,"12036"
"20115","Loudoun","County",51,"107",481,1717,0.28,0.96,463,2113,515.561,247617805.868171,28093.9909477383,0.000113457070864667,"642"
"20115","Fauquier","County",51,"061",481,1717,0.28,0.96,463,2113,647.449,247617805.868171,247544566.35354,0.999704223553819,"642"
"20115","Rappahannock","County",51,"157",481,1717,0.28,0.96,463,2113,266.227,247617805.868171,36855.4073414803,0.000148839891429705,"642"
"20115","Culpeper","County",51,"047",481,1717,0.28,0.96,463,2113,379.234,247617805.868171,8294.28676645923,3.3496326071458e-05,"642"
"20117","Fauquier","County",51,"061",163,983,0.17,0.86,140,1029,647.449,117310616.073202,12952282.6971023,0.110410149828385,"642"
"20117","Loudoun","County",51,"107",163,983,0.17,0.86,140,1029,515.561,117310616.073202,104360495.844761,0.889608283871254,"642"
"20118","Loudoun","County",51,"107",0,2,0,0,0,2,515.561,15748.1495354176,15748.1495354176,1,"156"
"20120","Loudoun","County",51,"107",2067,11577,0.18,0.8,1653,11506,515.561,45250137.9581774,2329491.69495106,0.0514803224932507,"12036"
"20120","Fairfax","County",51,"059",2067,11577,0.18,0.8,1653,11506,390.969,45250137.9581774,42799755.290802,0.945848061951983,"12036"
"20120","Prince William","County",51,"153",2067,11577,0.18,0.8,1653,11506,336.402,45250137.9581774,120725.409018554,0.00266795670612396,"12036"
"20129","Loudoun","County",51,"107",59,177,0.33,1,59,236,515.561,8311214.88040271,8311214.88040271,1,"156"
"20130","Clarke","County",51,"043",7,115,0.06,1,7,122,176.177,21512093.4984629,15897963.6058444,0.739024475092594,"156"
"20130","Loudoun","County",51,"107",7,115,0.06,1,7,122,515.561,21512093.4984629,86377.5247519314,0.00401530073110286,"156"
"20130","Fauquier","County",51,"061",7,115,0.06,1,7,122,647.449,21512093.4984629,5527782.2118969,0.256961611490386,"156"
"20132","Jefferson","County",54,"037",2299,2988,0.77,0.95,2188,5002,209.635,216575002.744151,3790.90473821759,1.75038886768292e-05,"12036"
"20132","Loudoun","County",51,"107",2299,2988,0.77,0.95,2188,5002,515.561,216575002.744151,216569086.82411,0.999972684197317,"12036"
"20135","Clarke","County",51,"043",177,1026,0.17,1,177,1196,176.177,117057876.965921,63317510.1761835,0.540907727163182,"642"
"20135","Loudoun","County",51,"107",177,1026,0.17,1,177,1196,515.561,117057876.965921,40150209.664679,0.342994514383411,"642"
"20135","Jefferson","County",54,"037",177,1026,0.17,1,177,1196,209.635,117057876.965921,13589791.9942648,0.116094639220403,"642"
"20141","Loudoun","County",51,"107",886,1113,0.8,1,886,1995,515.561,71254887.2575333,71254887.2575333,0.999999999999999,"1942"
"20141","Jefferson","County",54,"037",886,1113,0.8,1,886,1995,209.635,71254887.2575333,7.96898744154489e-06,1.1183776647829e-13,"1942"
"20143","Loudoun","County",51,"107",98,283,0.35,1,98,381,515.561,20120551.5760258,45029.158331234,0.00223796838576173,"156"
"20143","Prince William","County",51,"153",98,283,0.35,1,98,381,336.402,20120551.5760258,20075520.5680601,0.997761939686617,"156"
"20147","Loudoun","County",51,"107",9774,11701,0.84,0.71,6894,15957,515.561,52295060.5249333,52295059.0638,0.999999972059821,"12036"
"20147","Montgomery","County",24,"031",9774,11701,0.84,0.71,6894,15957,491.254,52295060.5249333,4.20785450935364,8.04637085628271e-08,"12036"
"20148","Loudoun","County",51,"107",12036,2132,5.65,0.88,10626,12400,515.561,43752935.2469335,43752935.2469335,1,"12036"
"20152","Fairfax","County",51,"059",6934,3003,2.31,0.98,6803,9470,390.969,65363017.1169919,127824.767967001,0.00195561303019733,"12036"
"20152","Prince William","County",51,"153",6934,3003,2.31,0.98,6803,9470,336.402,65363017.1169919,86620.3514014184,0.00132521960004353,"12036"
"20152","Loudoun","County",51,"107",6934,3003,2.31,0.98,6803,9470,515.561,65363017.1169919,65148750.9270165,0.996721904841205,"12036"
"20158","Loudoun","County",51,"107",523,823,0.64,0.95,498,1310,515.561,37915130.8496085,37915130.8496085,1,"642"
"20164","Loudoun","County",51,"107",728,11748,0.06,0.69,503,10555,515.561,19264591.4305302,19262402.7991791,0.999886390980104,"1942"
"20164","Fairfax","County",51,"059",728,11748,0.06,0.69,503,10555,390.969,19264591.4305302,2746.33168172836,0.00014255852202378,"1942"
"20165","Montgomery","County",24,"031",2100,9161,0.23,0.68,1438,9512,491.254,25850254.1350423,0.807036161422729,3.12196606349306e-08,"12036"
"20165","Fairfax","County",51,"059",2100,9161,0.23,0.68,1438,9512,390.969,25850254.1350423,10095.7003214359,0.000390545495943513,"12036"
"20165","Loudoun","County",51,"107",2100,9161,0.23,0.68,1438,9512,515.561,25850254.1350423,25840163.8403315,0.999609663616533,"12036"
"20166","Loudoun","County",51,"107",1872,1729,1.08,0.68,1276,2386,515.561,45795654.3031704,45768661.2031052,0.999410575075823,"1942"
"20166","Fairfax","County",51,"059",1872,1729,1.08,0.68,1276,2386,390.969,45795654.3031704,26994.1867073984,0.000589448652238814,"1942"
"20169","Loudoun","County",51,"107",5490,1982,2.77,0.96,5297,7270,515.561,83823014.7660463,87333.3112736107,0.00104187747860611,"12036"
"20169","Prince William","County",51,"153",5490,1982,2.77,0.96,5297,7270,336.402,83823014.7660463,83703114.1080273,0.998569597402889,"12036"
"20169","Fauquier","County",51,"061",5490,1982,2.77,0.96,5297,7270,647.449,83823014.7660463,32558.5808817148,0.000388420542646757,"12036"
"20170","Loudoun","County",51,"107",1693,11600,0.15,0.62,1042,10263,515.561,22879862.4368663,31344.3192024305,0.00136995225775158,"1942"
"20170","Fairfax","County",51,"059",1693,11600,0.15,0.62,1042,10263,390.969,22879862.4368663,22847959.3305111,0.998605625079992,"1942"
"20175","Loudoun","County",51,"107",4178,6983,0.6,0.81,3386,8950,515.561,163711091.413989,163711091.413989,1,"12036"
"20176","Loudoun","County",51,"107",8442,8387,1.01,0.84,7085,12708,515.561,148765692.3985,148765696.788017,1.00000002950625,"12036"
"20176","Frederick","County",24,"021",8442,8387,1.01,0.84,7085,12708,660.221,148765692.3985,0,0,"12036"
"20176","Montgomery","County",24,"031",8442,8387,1.01,0.84,7085,12708,491.254,148765692.3985,7.02276736497879,4.72069013477036e-08,"12036"
"20180","Frederick","County",24,"021",931,1492,0.62,1,928,2371,660.221,111169793.923558,2.29178325086832,2.06151614569348e-08,"1942"
"20180","Loudoun","County",51,"107",931,1492,0.62,1,928,2371,515.561,111169793.923558,111169794.14795,1.00000000201846,"1942"
"20184","Loudoun","County",51,"107",43,392,0.11,1,43,435,515.561,103450351.524522,59559970.5022712,0.575734829553993,"156"
"20184","Fauquier","County",51,"061",43,392,0.11,1,43,435,647.449,103450351.524522,43745656.5395909,0.422866195183701,"156"
"20184","Clarke","County",51,"043",43,392,0.11,1,43,435,176.177,103450351.524522,144691.623356275,0.00139865762874646,"156"
"20197","Loudoun","County",51,"107",333,321,1.04,1,333,654,515.561,35162611.748394,35162611.748394,1,"642"
"20198","Loudoun","County",51,"107",107,872,0.12,1,107,979,515.561,189486664.619847,19028.1622993474,0.000100419532622637,"156"
"20198","Prince William","County",51,"153",107,872,0.12,1,107,979,336.402,189486664.619847,276078.327249974,0.00145698024609726,"156"
"20198","Fauquier","County",51,"061",107,872,0.12,1,107,979,647.449,189486664.619847,189189402.527243,0.998431224206723,"156"
"20837","Loudoun","County",51,"107",242,1756,0.14,1,242,1985,515.561,118529174.142168,6.52793187694624,5.50744736406954e-08,"642"
"20837","Montgomery","County",24,"031",242,1756,0.14,1,242,1985,491.254,118529174.142168,118529159.75714,0.999999878637232,"642"
"20842","Montgomery","County",24,"031",73,634,0.12,0.81,59,693,491.254,144607550.591817,105801260.974307,0.731644098398098,"156"
"20842","Frederick","County",24,"021",73,634,0.12,0.81,59,693,660.221,144607550.591817,38806279.1932697,0.268355829515486,"156"
"20842","Loudoun","County",51,"107",73,634,0.12,0.81,59,693,515.561,144607550.591817,4.57939675450325,3.16677568755001e-08,"156"
"20874","Loudoun","County",51,"107",3633,18227,0.2,0.61,2207,14456,515.561,58459166.0035546,0,0,"12036"
"20874","Fairfax","County",51,"059",3633,18227,0.2,0.61,2207,14456,390.969,58459166.0035546,0.144705608487129,2.4753279661624e-09,"12036"
"20874","Montgomery","County",24,"031",3633,18227,0.2,0.61,2207,14456,491.254,58459166.0035546,58459163.908223,0.999999964157347,"12036"
"21716","Frederick","County",24,"021",245,1611,0.15,1,245,1493,660.221,10122655.6604268,10122655.7786808,1.00000001168211,"642"
"21716","Loudoun","County",51,"107",245,1611,0.15,1,245,1493,515.561,10122655.6604268,2.0695630684495,2.04448628687449e-07,"642"
