"NAME","year","FIPS","hhs_type","hhs_share","hhs_type_name"
NA,2000,24031,"hhs_1",0.243878869945221,"hh w/ 1 person"
NA,1990,24031,"hhs_1",0.22202663103608,"hh w/ 1 person"
NA,1980,24031,"hhs_1",0.210217105041024,"hh w/ 1 person"
NA,1970,24031,"hhs_1",NA,"hh w/ 1 person"
NA,2000,24033,"hhs_1",0.240725623582766,"hh w/ 1 person"
NA,1990,24033,"hhs_1",0.214863653473761,"hh w/ 1 person"
NA,1980,24033,"hhs_1",0.199635357057305,"hh w/ 1 person"
NA,1970,24033,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51013,"hhs_1",0.407475079214562,"hh w/ 1 person"
NA,1990,51013,"hhs_1",0.391237538891358,"hh w/ 1 person"
NA,1980,51013,"hhs_1",0.40332385254587,"hh w/ 1 person"
NA,1970,51013,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51043,"hhs_1",0.240606060606061,"hh w/ 1 person"
NA,1990,51043,"hhs_1",0.180645161290323,"hh w/ 1 person"
NA,1980,51043,"hhs_1",0.209182209469154,"hh w/ 1 person"
NA,1970,51043,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51047,"hhs_1",0.205991276438153,"hh w/ 1 person"
NA,1990,51047,"hhs_1",0.187313662999897,"hh w/ 1 person"
NA,1980,51047,"hhs_1",0.184877276326207,"hh w/ 1 person"
NA,1970,51047,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51059,"hhs_1",0.213522584612231,"hh w/ 1 person"
NA,1990,51059,"hhs_1",0.185527559969004,"hh w/ 1 person"
NA,1980,51059,"hhs_1",0.169604295552702,"hh w/ 1 person"
NA,1970,51059,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51061,"hhs_1",0.186334154557796,"hh w/ 1 person"
NA,1990,51061,"hhs_1",0.151480223246785,"hh w/ 1 person"
NA,1980,51061,"hhs_1",0.154233957105016,"hh w/ 1 person"
NA,1970,51061,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51107,"hhs_1",0.184893443033327,"hh w/ 1 person"
NA,1990,51107,"hhs_1",0.165431211834242,"hh w/ 1 person"
NA,1980,51107,"hhs_1",0.14857295278741,"hh w/ 1 person"
NA,1970,51107,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51153,"hhs_1",0.170089370602776,"hh w/ 1 person"
NA,1990,51153,"hhs_1",0.129460663601554,"hh w/ 1 person"
NA,1980,51153,"hhs_1",0.105966913861951,"hh w/ 1 person"
NA,1970,51153,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51157,"hhs_1",0.231759656652361,"hh w/ 1 person"
NA,1990,51157,"hhs_1",0.194106090373281,"hh w/ 1 person"
NA,1980,51157,"hhs_1",0.197209302325581,"hh w/ 1 person"
NA,1970,51157,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51177,"hhs_1",0.164592597331968,"hh w/ 1 person"
NA,1990,51177,"hhs_1",0.131836863736959,"hh w/ 1 person"
NA,1980,51177,"hhs_1",0.12814349112426,"hh w/ 1 person"
NA,1970,51177,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51179,"hhs_1",0.138671356517122,"hh w/ 1 person"
NA,1990,51179,"hhs_1",0.121071851051792,"hh w/ 1 person"
NA,1980,51179,"hhs_1",0.112427485905711,"hh w/ 1 person"
NA,1970,51179,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51187,"hhs_1",0.24,"hh w/ 1 person"
NA,1990,51187,"hhs_1",0.218913480885312,"hh w/ 1 person"
NA,1980,51187,"hhs_1",0.203186743148502,"hh w/ 1 person"
NA,1970,51187,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51510,"hhs_1",0.433772269558482,"hh w/ 1 person"
NA,1990,51510,"hhs_1",0.418730868185318,"hh w/ 1 person"
NA,1980,51510,"hhs_1",0.407632316503514,"hh w/ 1 person"
NA,1970,51510,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51600,"hhs_1",0.23449394733558,"hh w/ 1 person"
NA,1990,51600,"hhs_1",0.203038112030381,"hh w/ 1 person"
NA,1980,51600,"hhs_1",0.187002460558692,"hh w/ 1 person"
NA,1970,51600,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51610,"hhs_1",0.339892665474061,"hh w/ 1 person"
NA,1990,51610,"hhs_1",0.332613908872902,"hh w/ 1 person"
NA,1980,51610,"hhs_1",0.333411488862837,"hh w/ 1 person"
NA,1970,51610,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51630,"hhs_1",0.392653969824388,"hh w/ 1 person"
NA,1990,51630,"hhs_1",0.34542776810818,"hh w/ 1 person"
NA,1980,51630,"hhs_1",0.342741254013858,"hh w/ 1 person"
NA,1970,51630,"hhs_1",NA,"hh w/ 1 person"
NA,2000,51683,"hhs_1",0.209758167161646,"hh w/ 1 person"
NA,1990,51683,"hhs_1",0.16570650466115,"hh w/ 1 person"
NA,1980,51683,"hhs_1",0.15278598149242,"hh w/ 1 person"
NA,2000,51685,"hhs_1",0.145096833691977,"hh w/ 1 person"
NA,1990,51685,"hhs_1",0.132014719411224,"hh w/ 1 person"
NA,1980,51685,"hhs_1",0.0698924731182796,"hh w/ 1 person"
NA,2000,54037,"hhs_1",0.231472896965202,"hh w/ 1 person"
NA,1990,54037,"hhs_1",0.214391402538743,"hh w/ 1 person"
NA,1980,54037,"hhs_1",0.185512718600954,"hh w/ 1 person"
