"NAME","year","CBSA","hhs_type","hhs_share","hhs_type_name"
"Atlanta-Sandy Springs-Roswell, GA",1970,12060,"hhs_1",NA,"hh w/ 1 person"
"Atlanta-Sandy Springs-Roswell, GA",1980,12060,"hhs_1",0.210004536599685,"hh w/ 1 person"
"Atlanta-Sandy Springs-Roswell, GA",1990,12060,"hhs_1",0.225730322466902,"hh w/ 1 person"
"Atlanta-Sandy Springs-Roswell, GA",2000,12060,"hhs_1",0.232452683156909,"hh w/ 1 person"
"Atlanta-Sandy Springs-Roswell, GA",2009,12060,"hhs_1",0.264468706435599,"hh w/ 1 person"
"Atlanta-Sandy Springs-Roswell, GA",2013,12060,"hhs_1",0.26430591458718,"hh w/ 1 person"
"Atlanta-Sandy Springs-Roswell, GA",2017,12060,"hhs_1",0.265771828618882,"hh w/ 1 person"
"Boston-Cambridge-Newton, MA-NH",1970,14460,"hhs_1",NA,"hh w/ 1 person"
"Boston-Cambridge-Newton, MA-NH",1980,14460,"hhs_1",0.247362845333132,"hh w/ 1 person"
"Boston-Cambridge-Newton, MA-NH",1990,14460,"hhs_1",0.256836359969685,"hh w/ 1 person"
"Boston-Cambridge-Newton, MA-NH",2000,14460,"hhs_1",0.27696383316331,"hh w/ 1 person"
"Boston-Cambridge-Newton, MA-NH",2009,14460,"hhs_1",0.28945136596059,"hh w/ 1 person"
"Boston-Cambridge-Newton, MA-NH",2013,14460,"hhs_1",0.285874989889877,"hh w/ 1 person"
"Boston-Cambridge-Newton, MA-NH",2017,14460,"hhs_1",0.277560560844637,"hh w/ 1 person"
"Chicago-Naperville-Elgin, IL-IN-WI",1970,16980,"hhs_1",NA,"hh w/ 1 person"
"Chicago-Naperville-Elgin, IL-IN-WI",1980,16980,"hhs_1",0.2386225737884,"hh w/ 1 person"
"Chicago-Naperville-Elgin, IL-IN-WI",1990,16980,"hhs_1",0.250667152321391,"hh w/ 1 person"
"Chicago-Naperville-Elgin, IL-IN-WI",2000,16980,"hhs_1",0.261921025255569,"hh w/ 1 person"
"Chicago-Naperville-Elgin, IL-IN-WI",2009,16980,"hhs_1",0.279802613550427,"hh w/ 1 person"
"Chicago-Naperville-Elgin, IL-IN-WI",2013,16980,"hhs_1",0.281849517368382,"hh w/ 1 person"
"Chicago-Naperville-Elgin, IL-IN-WI",2017,16980,"hhs_1",0.285733900549503,"hh w/ 1 person"
"Dallas-Fort Worth-Arlington, TX",1970,19100,"hhs_1",NA,"hh w/ 1 person"
"Dallas-Fort Worth-Arlington, TX",1980,19100,"hhs_1",0.226381218236214,"hh w/ 1 person"
"Dallas-Fort Worth-Arlington, TX",1990,19100,"hhs_1",0.249630531947415,"hh w/ 1 person"
"Dallas-Fort Worth-Arlington, TX",2000,19100,"hhs_1",0.246565596242826,"hh w/ 1 person"
"Dallas-Fort Worth-Arlington, TX",2009,19100,"hhs_1",0.256078218065905,"hh w/ 1 person"
"Dallas-Fort Worth-Arlington, TX",2013,19100,"hhs_1",0.251753564982182,"hh w/ 1 person"
"Dallas-Fort Worth-Arlington, TX",2017,19100,"hhs_1",0.248217024678223,"hh w/ 1 person"
"Houston-The Woodlands-Sugar Land, TX",1970,26420,"hhs_1",NA,"hh w/ 1 person"
"Houston-The Woodlands-Sugar Land, TX",1980,26420,"hhs_1",0.225671404368571,"hh w/ 1 person"
