"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"20601","Charles","County",24,"017",1876,6812,0.28,0.86,1615,8248,457.749,116051534.846758,105145998.512404,0.906028504071447,"1942"
"20602","Charles","County",24,"017",2471,7424,0.33,0.7,1719,7817,457.749,36157034.0888521,36157034.0888521,1,"12036"
"20603","Charles","County",24,"017",3744,7134,0.52,0.8,2996,9527,457.749,44414836.5369154,44383832.1025531,0.999301935191485,"12036"
"20607","Charles","County",24,"017",1407,2307,0.61,1,1407,3710,457.749,54891070.6801748,1889939.38617803,0.034430725485204,"1942"
"20608","Charles","County",24,"017",35,220,0.16,1,35,255,457.749,50903057.1472981,36535.5037758322,0.000717746748886015,"156"
"20611","Charles","County",24,"017",74,400,0.18,0.59,44,420,457.749,18277349.6275117,18277349.6275117,1,"156"
"20612","Charles","County",24,"017",49,168,0.29,1,49,217,457.749,1955041.30456537,1930926.25570869,0.987665197251658,"156"
"20613","Charles","County",24,"017",2084,2411,0.86,1,2084,4466,457.749,199585354.825032,15431766.1316346,0.0773191306805202,"12036"
"20616","Charles","County",24,"017",694,1433,0.48,0.98,683,2090,457.749,29082435.0115622,29082381.3882902,0.99999815616292,"1942"
"20617","Charles","County",24,"017",26,249,0.1,1,26,275,457.749,16982806.3976395,16982806.3976395,1,"156"
"20622","Charles","County",24,"017",413,1127,0.37,1,413,1521,457.749,98447824.6889968,82611536.8484531,0.839140296999232,"642"
"20625","Charles","County",24,"017",59,204,0.29,1,59,263,457.749,1542025.13611295,1512576.01621056,0.980902308780369,"156"
"20632","Charles","County",24,"017",23,97,0.24,1,23,120,457.749,19473833.6890022,19473833.6890022,1,"156"
"20637","Charles","County",24,"017",639,1108,0.58,1,639,1747,457.749,83539558.9947183,83451807.9227146,0.998949586602327,"642"
"20640","Charles","County",24,"017",971,2746,0.35,0.96,929,3539,457.749,118423934.563102,118165369.568468,0.997816615403067,"1942"
"20645","Charles","County",24,"017",161,155,1.04,1,161,316,457.749,6414480.78047568,5878690.24628311,0.916471721947723,"642"
"20646","Charles","County",24,"017",1964,4938,0.4,0.91,1785,6239,457.749,215582725.379325,215582725.379325,1,"12036"
"20658","Charles","County",24,"017",17,328,0.05,1,17,325,457.749,7780603.00986481,7780603.00986481,1,"156"
"20659","Charles","County",24,"017",1436,6064,0.24,0.99,1424,7393,457.749,264986377.565095,10802180.9409336,0.040765042490835,"1942"
"20662","Charles","County",24,"017",157,822,0.19,1,157,979,457.749,154331075.977407,153680682.153536,0.995785723518399,"642"
"20664","Charles","County",24,"017",200,1092,0.18,1,200,1264,457.749,111086049.810629,110654267.142273,0.996113079283206,"642"
"20675","Charles","County",24,"017",61,699,0.09,1,61,760,457.749,15660367.4530485,15660367.4530485,1,"156"
"20677","Charles","County",24,"017",237,554,0.43,0.95,225,779,457.749,44780216.9608692,44780216.9608817,1.00000000000028,"642"
"20678","Charles","County",24,"017",1261,3035,0.42,0.92,1164,3884,457.749,129035832.94957,2721.54730924964,2.109140730167e-05,"1942"
"20693","Charles","County",24,"017",113,256,0.44,1,113,369,457.749,60770668.1134751,60668155.6440783,0.998313125845426,"156"
"20695","Charles","County",24,"017",1178,1598,0.74,0.94,1102,2595,457.749,32925359.2217402,32925359.2217402,1,"1942"
"22060","Charles","County",24,"017",1431,1282,1.12,0.89,1279,2086,457.749,38289250.9895487,8.58306884765625e-06,2.24163926580832e-13,"1942"
"22079","Charles","County",24,"017",4600,6780,0.68,0.83,3799,9245,457.749,81594676.1301242,0,0,"12036"
"22309","Charles","County",24,"017",982,10132,0.1,0.98,963,8187,457.749,21639107.815757,3483.45032960176,0.000160979387840806,"1942"
