"NAME","year","CBSA","hhs_type","hhs_share","hhs_type_name"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2000,37980,"hhs_1",0.268816690690066,"hh size: 1"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2009,37980,"hhs_1",0.29010709251194,"hh size: 1"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013,37980,"hhs_1",0.293593774630821,"hh size: 1"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2017,37980,"hhs_1",0.294943666903191,"hh size: 1"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1970,47900,"hhs_1",NA,"hh size: 1"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1980,47900,"hhs_1",0.247992967494087,"hh size: 1"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1990,47900,"hhs_1",0.247505758434795,"hh size: 1"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2000,47900,"hhs_1",0.264214033936667,"hh size: 1"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2009,47900,"hhs_1",0.284627547841701,"hh size: 1"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2013,47900,"hhs_1",0.272503575525474,"hh size: 1"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2017,47900,"hhs_1",0.269979640871986,"hh size: 1"
NA,2009,47900,"hhs_1",0.468385429338353,"hh size: 1"
NA,2013,47900,"hhs_1",0.453531020409711,"hh size: 1"
NA,2017,47900,"hhs_1",0.435728546504308,"hh size: 1"
NA,2000,47900,"hhs_1",0.436739209139547,"hh size: 1"
NA,1990,47900,"hhs_1",0.41338532087988,"hh size: 1"
NA,1980,47900,"hhs_1",0.393966114505259,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.189076478105872,"hh size: 1"
NA,2013,47900,"hhs_1",0.200012935355561,"hh size: 1"
NA,2017,47900,"hhs_1",0.186288220710699,"hh size: 1"
NA,2000,47900,"hhs_1",0.163402548371874,"hh size: 1"
NA,1990,47900,"hhs_1",0.139788753171653,"hh size: 1"
NA,1980,47900,"hhs_1",0.144148341408871,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.206591656286374,"hh size: 1"
NA,2013,47900,"hhs_1",0.214744277713817,"hh size: 1"
NA,2017,47900,"hhs_1",0.226722193933222,"hh size: 1"
NA,2000,47900,"hhs_1",0.171469706058788,"hh size: 1"
