"","YEAR","COUNTYA","STATEA","median_gross_rent","real_med_gross_rent"
"142",2012,510,51,1330,1454.65498961355
"143",2012,600,51,1484,1623.08872525302
"144",2012,610,51,1453,1589.18323301391
"145",2012,630,51,1030,1126.53732278343
"146",2012,683,51,1232,1347.46988511571
"147",2012,685,51,1344,1469.96714739896
"148",2012,37,54,815,891.38632822184
"149",2013,1,11,1191,1283.8068934876
"150",2013,9,24,1403,1512.3266763754
"151",2013,17,24,1415,1525.26175842565
"152",2013,21,24,1209,1303.20951656298
"153",2013,31,24,1495,1611.49563876067
"154",2013,33,24,1199,1292.4302815211
"155",2013,13,51,1647,1775.34001139721
"156",2013,47,51,982,1058.52088111236
"157",2013,59,51,1593,1717.13214217107
"158",2013,61,51,1117,1204.04055417771
"159",2013,107,51,1587,1710.66460114595
"160",2013,153,51,1420,1530.65137594659
"161",2013,177,51,1247,1344.17060972211
"162",2013,179,51,1373,1479.98897124977
"163",2013,187,51,931,1003.54678239879
"164",2013,510,51,1424,1534.96306996334
"165",2013,600,51,1648,1776.4179349014
"166",2013,630,51,1020,1099.4819742715
"167",2013,683,51,1231,1326.92383365511
"168",2013,37,54,874,942.105142660086
"169",2014,1,11,1200,1272.94425786283
"170",2014,9,24,1382,1466.00747030536
"171",2014,17,24,1416,1502.07422427814
"172",2014,21,24,1210,1283.55212667835
"173",2014,31,24,1525,1617.69999436735
"174",2014,33,24,1216,1289.91684796767
"175",2014,13,51,1678,1780.00038724486
"176",2014,43,51,1049,1112.76543874842
"177",2014,47,51,997,1057.6045209077
"178",2014,59,51,1621,1719.53553499637
"179",2014,61,51,1138,1207.17547120658
"180",2014,107,51,1629,1728.02183004879
"181",2014,153,51,1438,1525.41153567229
"182",2014,157,51,953,1010.9298981194
"183",2014,177,51,1226,1300.52471678319
"184",2014,179,51,1382,1466.00747030536
"185",2014,187,51,940,997.139668659217
"186",2014,510,51,1440,1527.5331094354
"187",2014,600,51,1643,1742.87284639053
"188",2014,610,51,1510,1601.78819114406
"189",2014,630,51,1063,1127.61645509016
"190",2014,683,51,1284,1362.05035591323
"191",2014,685,51,1384,1468.12904406846
"192",2014,37,54,850,901.668849319505
"193",2015,1,11,1242,1315.92500494027
"194",2015,9,24,1452,1538.42440191085
"195",2015,17,24,1463,1550.07913222835
"196",2015,21,24,1243,1316.98452587823
"197",2015,31,24,1568,1661.32883071364
"198",2015,33,24,1241,1314.86548400232
"199",2015,13,51,1733,1836.14978547624
"200",2015,43,51,1022,1082.83039859014
"201",2015,47,51,1021,1081.77087765219
"202",2015,59,51,1687,1787.4118223303
"203",2015,61,51,1138,1205.73482739294
"204",2015,107,51,1654,1752.44763137778
"205",2015,153,51,1477,1564.91242535973
"206",2015,157,51,966,1023.49722606465
"207",2015,177,51,1285,1361.48440527234
"208",2015,179,51,1428,1512.99589939992
"209",2015,187,51,960,1017.14010043692
"210",2015,510,51,1501,1590.34092787065
"211",2015,600,51,1666,1765.16188263324
"212",2015,610,51,1588,1682.51924947274
"213",2015,630,51,1045,1107.19938016311
"214",2015,683,51,1328,1407.04380560441
"215",2015,685,51,1469,1556.43625785608
"216",2015,37,54,899,952.509323221661
"217",2016,NA,NA,NA,NA
"218",2017,NA,NA,NA,NA
"219",2018,NA,NA,NA,NA
